frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1696.720947265625, 388.44293212890625, 1867.353515625, 729.739990234375], [1255.813720703125, 539.1259765625, 1315.2357177734375, 655.7720947265625], [1289.82666015625, 460.95123291015625, 1359.020263671875, 659.3781127929688], [0.39348602294921875, 343.405517578125, 116.69556427001953, 901.161865234375], [247.6194610595703, 455.7197570800781, 353.99798583984375, 704.48388671875], [119.17648315429688, 505.25189208984375, 202.72781372070312, 744.4502563476562], [1887.89892578125, 393.38873291015625, 1919.2933349609375, 558.5750122070312], [860.821044921875, 524.17578125, 900.1459350585938, 628.2166137695312]]","[0.910568356513977, 0.8839455842971802, 0.8718075156211853, 0.8256440758705139, 0.7695965766906738, 0.46321988105773926, 0.3125552237033844, 0.2740271985530853]","[[1782.0372314453125, 729.739990234375], [1285.5247192382812, 655.7720947265625], [1324.4234619140625, 659.3781127929688], [58.544525146484375, 901.161865234375], [300.80872344970703, 704.48388671875], [160.9521484375, 744.4502563476562], [1903.5961303710938, 558.5750122070312], [880.4834899902344, 628.2166137695312]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
2,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1689.6011962890625, 387.21087646484375, 1860.3406982421875, 729.0147705078125], [1257.4736328125, 539.9609375, 1317.0001220703125, 656.88818359375], [1291.615478515625, 460.75677490234375, 1360.9085693359375, 659.8174438476562], [0.7628843188285828, 337.54278564453125, 118.32276916503906, 901.2190551757812], [250.26881408691406, 457.3695068359375, 356.162109375, 705.0164794921875], [116.2122573852539, 508.52587890625, 198.64857482910156, 744.7644653320312], [1884.8485107421875, 387.3990478515625, 1918.1944580078125, 562.5989990234375], [860.1388549804688, 524.8307495117188, 899.30029296875, 628.395263671875]]","[0.9152452349662781, 0.8489905595779419, 0.8609092831611633, 0.8707349300384521, 0.7508907914161682, 0.6708366274833679, 0.3793172836303711, 0.2666343152523041]","[[1774.970947265625, 729.0147705078125], [1287.2368774414062, 656.88818359375], [1326.2620239257812, 659.8174438476562], [59.54282674193382, 901.2190551757812], [303.21546173095703, 705.0164794921875], [157.43041610717773, 744.7644653320312], [1901.521484375, 562.5989990234375], [879.7195739746094, 628.395263671875]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.0672607421875, 386.1119689941406, 1857.1885986328125, 729.0802612304688], [1257.659423828125, 541.08984375, 1316.8953857421875, 657.7988891601562], [1292.1551513671875, 460.4707946777344, 1361.346435546875, 659.8646850585938], [1.0475703477859497, 324.77532958984375, 121.63346099853516, 902.7791748046875], [256.9529724121094, 456.5438232421875, 363.0494079589844, 705.4248046875], [119.85230255126953, 507.9947814941406, 202.50811767578125, 744.6624145507812], [1883.47900390625, 386.3535461425781, 1917.4222412109375, 564.0611572265625]]","[0.9098803400993347, 0.8136060833930969, 0.8537702560424805, 0.8655434250831604, 0.6994761824607849, 0.6336035132408142, 0.31732460856437683]","[[1771.6279296875, 729.0802612304688], [1287.2774047851562, 657.7988891601562], [1326.7507934570312, 659.8646850585938], [61.34051567316055, 902.7791748046875], [310.0011901855469, 705.4248046875], [161.1802101135254, 744.6624145507812], [1900.4506225585938, 564.0611572265625]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1683.2569580078125, 386.31524658203125, 1854.30615234375, 729.9496459960938], [1259.2545166015625, 541.5646362304688, 1318.0963134765625, 658.1184692382812], [1295.4205322265625, 460.5523681640625, 1364.2347412109375, 659.5361938476562], [0.0, 277.8761901855469, 129.17169189453125, 904.0943603515625], [258.0176696777344, 457.2646179199219, 363.6275329589844, 705.7921752929688], [121.90473175048828, 508.6792907714844, 204.38677978515625, 744.6029052734375], [861.5936279296875, 523.8265991210938, 900.9168090820312, 627.748779296875]]","[0.9062424898147583, 0.7893461585044861, 0.8330075144767761, 0.8419715762138367, 0.7871035933494568, 0.6754318475723267, 0.28262680768966675]","[[1768.7815551757812, 729.9496459960938], [1288.6754150390625, 658.1184692382812], [1329.82763671875, 659.5361938476562], [64.58584594726562, 904.0943603515625], [310.8226013183594, 705.7921752929688], [163.14575576782227, 744.6029052734375], [881.2552185058594, 627.748779296875]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1681.104248046875, 386.4865417480469, 1852.79833984375, 732.5239868164062], [1261.04736328125, 540.7723999023438, 1319.7259521484375, 658.3010864257812], [1298.0135498046875, 460.2256164550781, 1366.5438232421875, 659.1337890625], [1.4120782613754272, 248.85997009277344, 138.93701171875, 907.8394165039062], [259.7091979980469, 457.112060546875, 364.9743957519531, 706.2828979492188], [122.59105682373047, 515.2451782226562, 203.20751953125, 745.3350219726562], [862.84765625, 522.9146118164062, 902.2495727539062, 627.2122192382812]]","[0.9098701477050781, 0.7743315100669861, 0.850614070892334, 0.7607523798942566, 0.4304725229740143, 0.6483730673789978, 0.2511900067329407]","[[1766.9512939453125, 732.5239868164062], [1290.3866577148438, 658.3010864257812], [1332.2786865234375, 659.1337890625], [70.17454499006271, 907.8394165039062], [312.341796875, 706.2828979492188], [162.89928817749023, 745.3350219726562], [882.5486145019531, 627.2122192382812]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.5079345703125, 386.84039306640625, 1852.6094970703125, 735.429931640625], [1263.6053466796875, 540.6253051757812, 1321.6077880859375, 658.548828125], [1299.6392822265625, 459.54388427734375, 1368.2286376953125, 659.3615112304688], [1.0463660955429077, 236.1530303955078, 141.64920043945312, 909.6339721679688], [260.48760986328125, 457.12744140625, 365.0399169921875, 706.2688598632812], [122.65218353271484, 510.7544250488281, 204.97618103027344, 745.4273071289062], [1878.8681640625, 365.92889404296875, 1919.0264892578125, 576.195556640625]]","[0.9074345231056213, 0.7705720663070679, 0.856706976890564, 0.7641470432281494, 0.8069019913673401, 0.7046053409576416, 0.6051515936851501]","[[1766.5587158203125, 735.429931640625], [1292.6065673828125, 658.548828125], [1333.9339599609375, 659.3615112304688], [71.34778326749802, 909.6339721679688], [312.7637634277344, 706.2688598632812], [163.81418228149414, 745.4273071289062], [1898.9473266601562, 576.195556640625]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.4542236328125, 387.5325012207031, 1851.76953125, 737.0958251953125], [1266.5491943359375, 539.468994140625, 1324.0828857421875, 658.5614624023438], [1302.0455322265625, 458.2356262207031, 1370.8790283203125, 659.56298828125], [3.5059077739715576, 227.92800903320312, 145.5854034423828, 905.763427734375], [263.38067626953125, 457.4239196777344, 366.49090576171875, 705.6182861328125], [121.96674346923828, 518.387451171875, 201.795166015625, 745.4676513671875], [1875.302001953125, 352.3146057128906, 1918.935546875, 580.50390625]]","[0.90521240234375, 0.804129421710968, 0.7846670150756836, 0.6487141251564026, 0.8018655180931091, 0.6446258425712585, 0.7763279676437378]","[[1766.1118774414062, 737.0958251953125], [1295.3160400390625, 658.5614624023438], [1336.4622802734375, 659.56298828125], [74.54565560817719, 905.763427734375], [314.935791015625, 705.6182861328125], [161.88095474243164, 745.4676513671875], [1897.1187744140625, 580.50390625]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.6856689453125, 388.0074768066406, 1851.97216796875, 738.1149291992188], [1269.1708984375, 539.4264526367188, 1325.5228271484375, 658.499755859375], [1304.412353515625, 457.7396545410156, 1373.3370361328125, 659.7636108398438], [7.909790992736816, 224.10549926757812, 151.82057189941406, 904.1510009765625], [265.00848388671875, 456.6922302246094, 367.1221923828125, 705.365478515625], [120.32465362548828, 514.7717895507812, 201.41917419433594, 745.4457397460938], [1873.7098388671875, 347.0177307128906, 1919.01171875, 583.7705078125]]","[0.9030890464782715, 0.7706072926521301, 0.7803537249565125, 0.9426710605621338, 0.8014222979545593, 0.6392483711242676, 0.7952724099159241]","[[1766.8289184570312, 738.1149291992188], [1297.3468627929688, 658.499755859375], [1338.8746948242188, 659.7636108398438], [79.86518144607544, 904.1510009765625], [316.0653381347656, 705.365478515625], [160.8719139099121, 745.4457397460938], [1896.3607788085938, 583.7705078125]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.941162109375, 389.3834533691406, 1853.095703125, 739.1290283203125], [1271.6263427734375, 539.0853271484375, 1327.1588134765625, 659.1068115234375], [1306.5262451171875, 457.6652526855469, 1375.554931640625, 660.1075439453125], [9.675023078918457, 222.5414276123047, 155.3165283203125, 903.7279663085938], [268.0345458984375, 456.74365234375, 368.28509521484375, 704.5027465820312], [120.29600524902344, 515.5857543945312, 200.9188690185547, 745.1361694335938], [1872.417724609375, 345.2935485839844, 1918.974853515625, 588.3313598632812]]","[0.9130592942237854, 0.7648634910583496, 0.8277871012687683, 0.9450111389160156, 0.755223274230957, 0.6283414959907532, 0.7993346452713013]","[[1768.5184326171875, 739.1290283203125], [1299.392578125, 659.1068115234375], [1341.0405883789062, 660.1075439453125], [82.49577569961548, 903.7279663085938], [318.1598205566406, 704.5027465820312], [160.60743713378906, 745.1361694335938], [1895.6962890625, 588.3313598632812]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.8941650390625, 390.0098571777344, 1851.8336181640625, 741.87109375], [1274.2080078125, 539.1953125, 1329.1461181640625, 660.3815307617188], [1311.3358154296875, 457.61181640625, 1380.85791015625, 659.605224609375], [12.492653846740723, 222.84231567382812, 160.06521606445312, 903.2948608398438], [269.18682861328125, 456.4480285644531, 368.05535888671875, 704.1846923828125], [120.97238159179688, 515.9481201171875, 201.4158172607422, 745.155029296875], [1870.7987060546875, 347.2960510253906, 1918.5205078125, 595.532470703125]]","[0.9034959077835083, 0.7895070314407349, 0.819809079170227, 0.9298259615898132, 0.7868639826774597, 0.6082664728164673, 0.7953551411628723]","[[1767.3638916015625, 741.87109375], [1301.6770629882812, 660.3815307617188], [1346.0968627929688, 659.605224609375], [86.27893495559692, 903.2948608398438], [318.62109375, 704.1846923828125], [161.19409942626953, 745.155029296875], [1894.6596069335938, 595.532470703125]]",1750151168,1738158080,640,yolo26m.pt,MOT17-09
