frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,imgsz,model,seq
1,,6,"[1, 2, 3, 4, 5, 6]","[[0.5979690551757812, 343.53173828125, 112.82906341552734, 900.7943115234375], [1283.254638671875, 464.2462158203125, 1359.0975341796875, 658.25048828125], [1691.8912353515625, 388.99267578125, 1873.8577880859375, 725.9234619140625], [256.8055419921875, 456.0430908203125, 353.98211669921875, 705.4384765625], [114.91708374023438, 499.73724365234375, 197.99349975585938, 740.297119140625], [1883.793212890625, 389.047607421875, 1919.41552734375, 581.901611328125]]","[0.7988431453704834, 0.7376099228858948, 0.7367294430732727, 0.7274063229560852, 0.7111827731132507, 0.6124731302261353]","[[56.71351623535156, 900.7943115234375], [1321.1760864257812, 658.25048828125], [1782.87451171875, 725.9234619140625], [305.3938293457031, 705.4384765625], [156.45529174804688, 740.297119140625], [1901.6043701171875, 581.901611328125]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
2,,6,"[1, 2, 3, 4, 5, 6]","[[2.8342761993408203, 336.9798278808594, 116.43701171875, 900.5670776367188], [1285.781005859375, 464.160888671875, 1361.898193359375, 659.0122680664062], [1687.082763671875, 389.4924011230469, 1869.01123046875, 726.4450073242188], [259.82763671875, 456.9483337402344, 357.6473693847656, 708.4744262695312], [115.54226684570312, 504.2120056152344, 196.90345764160156, 740.2484130859375], [1883.0556640625, 388.1334533691406, 1918.7626953125, 581.2720947265625]]","[0.8144652843475342, 0.7365057468414307, 0.7984165549278259, 0.7297387719154358, 0.7213059663772583, 0.69698166847229]","[[59.63564395904541, 900.5670776367188], [1323.839599609375, 659.0122680664062], [1778.0469970703125, 726.4450073242188], [308.7375030517578, 708.4744262695312], [156.22286224365234, 740.2484130859375], [1900.9091796875, 581.2720947265625]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
3,,6,"[1, 2, 3, 4, 5, 6]","[[4.205575466156006, 322.2751770019531, 121.30455780029297, 902.1243896484375], [1287.43994140625, 463.604248046875, 1363.64794921875, 659.0853881835938], [1684.7962646484375, 386.3936462402344, 1869.1837158203125, 727.9983520507812], [262.9776916503906, 457.3879089355469, 360.18707275390625, 708.089111328125], [114.07118225097656, 508.1906433105469, 194.19949340820312, 740.7445678710938], [1882.4014892578125, 386.593017578125, 1918.2216796875, 579.9166259765625]]","[0.648674726486206, 0.7327069640159607, 0.7584976553916931, 0.7345591187477112, 0.5053331851959229, 0.6568616628646851]","[[62.75506663322449, 902.1243896484375], [1325.5439453125, 659.0853881835938], [1776.989990234375, 727.9983520507812], [311.58238220214844, 708.089111328125], [154.13533782958984, 740.7445678710938], [1900.3115844726562, 579.9166259765625]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
4,,6,"[1, 2, 3, 4, 5, 6]","[[4.2784953117370605, 304.647705078125, 125.2796859741211, 902.6024169921875], [1291.850341796875, 463.179931640625, 1367.651611328125, 658.341552734375], [1681.7108154296875, 385.33221435546875, 1866.9984130859375, 729.1292724609375], [263.8072509765625, 456.8761901855469, 361.2049255371094, 708.77734375], [114.49758911132812, 510.0354309082031, 194.1717071533203, 741.4566650390625], [1881.55419921875, 384.26190185546875, 1917.7781982421875, 579.0316772460938]]","[0.8482319116592407, 0.6177241206169128, 0.753434956073761, 0.7500471472740173, 0.6912252902984619, 0.6790623664855957]","[[64.77909064292908, 902.6024169921875], [1329.7509765625, 658.341552734375], [1774.3546142578125, 729.1292724609375], [312.50608825683594, 708.77734375], [154.33464813232422, 741.4566650390625], [1899.6661987304688, 579.0316772460938]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
5,,6,"[1, 2, 3, 4, 5, 6]","[[6.472946643829346, 257.8572998046875, 137.94065856933594, 904.56689453125], [1293.680419921875, 460.62677001953125, 1369.91162109375, 658.082275390625], [1683.170166015625, 385.1728820800781, 1869.847412109375, 732.1356811523438], [262.0252380371094, 455.89117431640625, 360.3050231933594, 710.3952026367188], [115.54440307617188, 511.8157043457031, 194.6024627685547, 741.618408203125], [1880.966796875, 382.3179626464844, 1917.701416015625, 579.0392456054688]]","[0.8965251445770264, 0.5425492525100708, 0.8658437728881836, 0.7586395144462585, 0.6217688322067261, 0.7237749099731445]","[[72.20680260658264, 904.56689453125], [1331.7960205078125, 658.082275390625], [1776.5087890625, 732.1356811523438], [311.1651306152344, 710.3952026367188], [155.07343292236328, 741.618408203125], [1899.3341064453125, 579.0392456054688]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
6,,6,"[1, 2, 3, 4, 5, 6]","[[5.634199619293213, 241.26321411132812, 141.1409149169922, 905.6002197265625], [1298.1353759765625, 458.9190979003906, 1374.8494873046875, 658.1061401367188], [1683.242431640625, 386.27716064453125, 1870.2056884765625, 734.4541015625], [262.9572448730469, 457.01702880859375, 360.34814453125, 709.4384765625], [114.42301177978516, 506.06597900390625, 195.50485229492188, 741.2202758789062], [1880.24462890625, 380.2999572753906, 1917.5421142578125, 579.0316162109375]]","[0.8997437357902527, 0.4971218407154083, 0.8674426674842834, 0.7461415529251099, 0.5263285040855408, 0.6782647371292114]","[[73.3875572681427, 905.6002197265625], [1336.492431640625, 658.1061401367188], [1776.7240600585938, 734.4541015625], [311.65269470214844, 709.4384765625], [154.96393203735352, 741.2202758789062], [1898.8933715820312, 579.0316162109375]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
7,,6,"[1, 2, 3, 4, 5, 6]","[[7.792415142059326, 231.5878143310547, 146.20521545410156, 905.2579345703125], [1301.8109130859375, 457.7744140625, 1379.4007568359375, 658.831298828125], [1681.7379150390625, 387.7541198730469, 1868.784912109375, 737.4178466796875], [265.6573791503906, 457.25408935546875, 362.4111633300781, 708.93310546875], [114.13671112060547, 514.155517578125, 192.96600341796875, 742.0728759765625], [1878.1595458984375, 378.2852478027344, 1916.3970947265625, 579.8394775390625]]","[0.9119005799293518, 0.5315914750099182, 0.8566097617149353, 0.6683720946311951, 0.6230736970901489, 0.7310075759887695]","[[76.99881529808044, 905.2579345703125], [1340.6058349609375, 658.831298828125], [1775.2614135742188, 737.4178466796875], [314.0342712402344, 708.93310546875], [153.5513572692871, 742.0728759765625], [1897.2783203125, 579.8394775390625]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
8,,6,"[1, 2, 3, 4, 5, 6]","[[10.200342178344727, 226.4568328857422, 151.00645446777344, 904.6567993164062], [1306.280517578125, 458.52691650390625, 1383.1666259765625, 657.0631103515625], [1681.4190673828125, 389.4194030761719, 1867.78173828125, 739.4917602539062], [272.066162109375, 456.6751403808594, 366.7206115722656, 705.9215698242188], [114.7520751953125, 519.969970703125, 191.59878540039062, 741.8710327148438], [1877.2252197265625, 377.2449645996094, 1916.2918701171875, 581.128173828125]]","[0.9178955554962158, 0.2616429030895233, 0.8593621850013733, 0.722041130065918, 0.6280336380004883, 0.7112225294113159]","[[80.60339832305908, 904.6567993164062], [1344.7235717773438, 657.0631103515625], [1774.6004028320312, 739.4917602539062], [319.3933868408203, 705.9215698242188], [153.17543029785156, 741.8710327148438], [1896.758544921875, 581.128173828125]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
9,,6,"[1, 2, 3, 4, 5, 6]","[[13.258672714233398, 222.49574279785156, 156.85763549804688, 903.9984741210938], [1307.537841796875, 459.1867980957031, 1384.7550048828125, 657.37451171875], [1680.550048828125, 390.25360107421875, 1866.136474609375, 741.1074829101562], [277.46795654296875, 456.5260009765625, 369.6414489746094, 703.6682739257812], [115.31822967529297, 518.4544677734375, 192.405517578125, 741.5789184570312], [1875.9388427734375, 376.4075927734375, 1915.861083984375, 582.0985717773438]]","[0.9237873554229736, 0.5221091508865356, 0.8610967993736267, 0.7376523017883301, 0.6313391327857971, 0.7383342385292053]","[[85.05815410614014, 903.9984741210938], [1346.1464233398438, 657.37451171875], [1773.34326171875, 741.1074829101562], [323.55470275878906, 703.6682739257812], [153.86187362670898, 741.5789184570312], [1895.8999633789062, 582.0985717773438]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
10,,6,"[1, 2, 3, 4, 5, 6]","[[15.610373497009277, 221.62030029296875, 161.9069061279297, 903.7921752929688], [1310.2059326171875, 458.5461120605469, 1387.8287353515625, 657.1602783203125], [1675.0220947265625, 391.0810241699219, 1858.34912109375, 741.4680786132812], [280.80328369140625, 454.51153564453125, 370.7571716308594, 700.8989868164062], [111.13191223144531, 501.704833984375, 193.25376892089844, 741.0320434570312], [1873.87255859375, 376.6418151855469, 1915.7039794921875, 589.429931640625]]","[0.9280965328216553, 0.5868611931800842, 0.8503403663635254, 0.7142319083213806, 0.39217156171798706, 0.7528166174888611]","[[88.75863981246948, 903.7921752929688], [1349.017333984375, 657.1602783203125], [1766.6856079101562, 741.4680786132812], [325.7802276611328, 700.8989868164062], [152.19284057617188, 741.0320434570312], [1894.7882690429688, 589.429931640625]]",1706332160,1694420992,640,yolo26n.pt,MOT17-09
