frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,imgsz,model,seq
1,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[0.0, 340.7830810546875, 116.41194152832031, 899.2332763671875], [1696.851318359375, 386.79913330078125, 1874.2694091796875, 727.2882080078125], [1288.7177734375, 463.52020263671875, 1360.636474609375, 656.0536499023438], [117.53358459472656, 500.13897705078125, 212.04226684570312, 742.27978515625], [258.1549072265625, 456.1380615234375, 353.00982666015625, 702.013916015625], [1254.075439453125, 542.77197265625, 1311.3160400390625, 656.3499755859375], [1885.8966064453125, 391.251708984375, 1919.2987060546875, 567.7298583984375], [259.60491943359375, 456.671630859375, 324.93817138671875, 574.8721923828125], [40.61153793334961, 503.8054504394531, 115.99462890625, 747.314208984375]]","[0.8940327167510986, 0.8675811886787415, 0.82988041639328, 0.6783713102340698, 0.625446617603302, 0.4985654056072235, 0.44524919986724854, 0.4182211458683014, 0.2607363760471344]","[[58.205970764160156, 899.2332763671875], [1785.5603637695312, 727.2882080078125], [1324.6771240234375, 656.0536499023438], [164.78792572021484, 742.27978515625], [305.5823669433594, 702.013916015625], [1282.6957397460938, 656.3499755859375], [1902.59765625, 567.7298583984375], [292.27154541015625, 574.8721923828125], [78.3030834197998, 747.314208984375]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[0.0, 335.0147399902344, 117.1990966796875, 899.4484252929688], [1688.5445556640625, 388.0186767578125, 1865.94775390625, 728.3099975585938], [1289.0345458984375, 461.3965148925781, 1361.9818115234375, 656.8992919921875], [117.15340423583984, 496.2035217285156, 213.2728271484375, 742.8148803710938], [260.8891296386719, 457.1230163574219, 355.8327941894531, 703.3504028320312], [1254.93505859375, 534.9365234375, 1316.900390625, 657.9107055664062], [1884.078857421875, 389.9457092285156, 1918.0787353515625, 569.3204345703125]]","[0.9096872210502625, 0.8807913064956665, 0.7890137434005737, 0.7531728744506836, 0.4577644169330597, 0.6436583399772644, 0.5887423157691956]","[[58.59954833984375, 899.4484252929688], [1777.2461547851562, 728.3099975585938], [1325.5081787109375, 656.8992919921875], [165.21311569213867, 742.8148803710938], [308.3609619140625, 703.3504028320312], [1285.917724609375, 657.9107055664062], [1901.0787963867188, 569.3204345703125]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[0.0, 320.8547058105469, 119.88528442382812, 899.8709106445312], [1682.1036376953125, 387.7269592285156, 1860.2659912109375, 729.44580078125], [1292.261474609375, 460.73529052734375, 1365.3585205078125, 656.949951171875], [116.9721908569336, 498.67413330078125, 211.9735870361328, 742.826171875], [262.8464050292969, 458.06951904296875, 357.7891540527344, 704.7118530273438], [1254.7933349609375, 533.6835327148438, 1317.68896484375, 658.767333984375], [1882.557373046875, 388.6232604980469, 1917.1004638671875, 570.14892578125]]","[0.9127963781356812, 0.8811525106430054, 0.6845248341560364, 0.7462639808654785, 0.7179502248764038, 0.6358917951583862, 0.5897055268287659]","[[59.94264221191406, 899.8709106445312], [1771.184814453125, 729.44580078125], [1328.8099975585938, 656.949951171875], [164.4728889465332, 742.826171875], [310.3177795410156, 704.7118530273438], [1286.2411499023438, 658.767333984375], [1899.8289184570312, 570.14892578125]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[0.0, 298.1355895996094, 124.70997619628906, 900.0374145507812], [1679.22021484375, 388.6207275390625, 1856.7991943359375, 729.7455444335938], [1294.8857421875, 461.1028137207031, 1367.913818359375, 657.3494873046875], [116.77549743652344, 500.1928405761719, 210.99041748046875, 742.8057250976562], [264.21026611328125, 458.6390075683594, 358.6365661621094, 704.4664306640625], [1256.6124267578125, 535.272216796875, 1318.6246337890625, 659.0748291015625], [1881.5367431640625, 386.3868103027344, 1916.5621337890625, 569.3397827148438]]","[0.8705345988273621, 0.8580300211906433, 0.6685752272605896, 0.7918121218681335, 0.5387632846832275, 0.565107524394989, 0.598223090171814]","[[62.35498809814453, 900.0374145507812], [1768.0097045898438, 729.7455444335938], [1331.3997802734375, 657.3494873046875], [163.8829574584961, 742.8057250976562], [311.4234161376953, 704.4664306640625], [1287.6185302734375, 659.0748291015625], [1899.0494384765625, 569.3397827148438]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
5,,8,"[1, 2, 3, 4, 5, 6, 7, 11]","[[3.2594032287597656, 255.66575622558594, 138.1817169189453, 901.31787109375], [1680.289794921875, 387.3011474609375, 1859.6356201171875, 732.5700073242188], [1294.1871337890625, 461.3399963378906, 1366.9169921875, 657.6893310546875], [118.72396087646484, 507.68450927734375, 209.91281127929688, 742.9451293945312], [265.6395263671875, 457.83758544921875, 359.91937255859375, 704.2506103515625], [1262.0386962890625, 537.4602661132812, 1318.033447265625, 650.011474609375], [1880.228271484375, 382.8283386230469, 1917.4488525390625, 576.66162109375], [1879.8720703125, 383.76123046875, 1918.8978271484375, 570.0693359375]]","[0.9196438789367676, 0.8598279356956482, 0.7328887581825256, 0.6565654277801514, 0.8456573486328125, 0.36345669627189636, 0.7119549512863159, 0.5054240822792053]","[[70.72056007385254, 901.31787109375], [1769.9627075195312, 732.5700073242188], [1330.5520629882812, 657.6893310546875], [164.31838607788086, 742.9451293945312], [312.7794494628906, 704.2506103515625], [1290.0360717773438, 650.011474609375], [1898.8385620117188, 576.66162109375], [1899.3849487304688, 570.0693359375]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
6,,8,"[1, 2, 3, 4, 5, 6, 7, 11]","[[5.352308750152588, 238.05789184570312, 144.76812744140625, 902.0330810546875], [1679.1038818359375, 388.1849365234375, 1858.8260498046875, 735.8046264648438], [1295.0255126953125, 461.6060485839844, 1366.8331298828125, 656.3182373046875], [119.8404541015625, 510.5936584472656, 209.70440673828125, 743.0943603515625], [268.02001953125, 457.876953125, 361.67193603515625, 704.2647094726562], [1263.826416015625, 537.758056640625, 1321.3233642578125, 654.9324951171875], [1879.671630859375, 381.4118347167969, 1918.0950927734375, 581.0488891601562], [1880.23388671875, 383.3306884765625, 1918.6729736328125, 566.7201538085938]]","[0.9201980233192444, 0.8249659538269043, 0.5418657660484314, 0.7216780781745911, 0.8476119041442871, 0.547487199306488, 0.616877019405365, 0.4192935526371002]","[[75.06021809577942, 902.0330810546875], [1768.9649658203125, 735.8046264648438], [1330.9293212890625, 656.3182373046875], [164.77243041992188, 743.0943603515625], [314.8459777832031, 704.2647094726562], [1292.5748901367188, 654.9324951171875], [1898.8833618164062, 581.0488891601562], [1899.4534301757812, 566.7201538085938]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[7.171802520751953, 229.2361602783203, 149.47523498535156, 902.435791015625], [1676.284912109375, 388.013916015625, 1855.92333984375, 737.9005126953125], [1299.1552734375, 460.43524169921875, 1371.7987060546875, 656.8247680664062], [119.72657012939453, 512.2389526367188, 208.41236877441406, 742.3416748046875], [271.61578369140625, 457.65618896484375, 364.42236328125, 704.481201171875], [1266.9161376953125, 537.8265380859375, 1324.79052734375, 657.8379516601562], [1878.2720947265625, 379.2408752441406, 1917.936767578125, 584.4638671875]]","[0.92822265625, 0.8355081677436829, 0.503346860408783, 0.734291672706604, 0.7480191588401794, 0.6252097487449646, 0.7325963377952576]","[[78.32351875305176, 902.435791015625], [1766.1041259765625, 737.9005126953125], [1335.4769897460938, 656.8247680664062], [164.0694694519043, 742.3416748046875], [318.0190734863281, 704.481201171875], [1295.8533325195312, 657.8379516601562], [1898.1044311523438, 584.4638671875]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[9.987863540649414, 223.76243591308594, 154.94029235839844, 902.26953125], [1675.989013671875, 388.1786193847656, 1854.129638671875, 739.305908203125], [1303.263427734375, 459.7210693359375, 1376.5543212890625, 658.40771484375], [119.04728698730469, 510.81060791015625, 208.0263214111328, 742.3160400390625], [275.3839111328125, 456.64990234375, 367.137451171875, 704.228271484375], [1270.184814453125, 538.1871948242188, 1327.1373291015625, 658.5346069335938], [1876.7408447265625, 378.4302062988281, 1917.39306640625, 587.3052368164062]]","[0.9258299469947815, 0.856709897518158, 0.5805466771125793, 0.726186215877533, 0.7539818286895752, 0.5744190216064453, 0.7191932201385498]","[[82.46407794952393, 902.26953125], [1765.059326171875, 739.305908203125], [1339.9088745117188, 658.40771484375], [163.53680419921875, 742.3160400390625], [321.26068115234375, 704.228271484375], [1298.6610717773438, 658.5346069335938], [1897.0669555664062, 587.3052368164062]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[12.38962173461914, 220.78390502929688, 159.85675048828125, 901.773681640625], [1676.9124755859375, 388.8058166503906, 1853.1470947265625, 739.9647827148438], [1304.424072265625, 459.543212890625, 1378.21923828125, 658.9779663085938], [118.5264663696289, 508.7119445800781, 208.0122528076172, 742.70166015625], [278.09173583984375, 456.298095703125, 368.18194580078125, 703.2462158203125], [1272.2799072265625, 540.3182983398438, 1327.2747802734375, 658.8201293945312], [1875.1845703125, 378.6861877441406, 1916.881591796875, 591.0031127929688]]","[0.920581579208374, 0.8649809956550598, 0.817558228969574, 0.7560192346572876, 0.7582296133041382, 0.6161426901817322, 0.7661634683609009]","[[86.1231861114502, 901.773681640625], [1765.02978515625, 739.9647827148438], [1341.3216552734375, 658.9779663085938], [163.26935958862305, 742.70166015625], [323.1368408203125, 703.2462158203125], [1299.77734375, 658.8201293945312], [1896.0330810546875, 591.0031127929688]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[12.850192070007324, 221.62612915039062, 162.1167449951172, 901.6344604492188], [1674.8695068359375, 388.4320373535156, 1850.1339111328125, 741.9791259765625], [1309.7998046875, 462.0177917480469, 1382.7437744140625, 658.5958862304688], [118.568603515625, 507.2454833984375, 207.85923767089844, 742.1430053710938], [279.0823669433594, 455.46759033203125, 367.6230163574219, 702.1263427734375], [1275.3675537109375, 541.1744995117188, 1329.163330078125, 659.0081787109375], [1873.36865234375, 379.2906188964844, 1916.37939453125, 595.8422241210938]]","[0.9287668466567993, 0.864967942237854, 0.6498202085494995, 0.7993456125259399, 0.666707456111908, 0.44395962357521057, 0.7929325103759766]","[[87.48346853256226, 901.6344604492188], [1762.501708984375, 741.9791259765625], [1346.2717895507812, 658.5958862304688], [163.21392059326172, 742.1430053710938], [323.3526916503906, 702.1263427734375], [1302.2654418945312, 659.0081787109375], [1894.8740234375, 595.8422241210938]]",1726058496,1714397184,576,yolo26s.pt,MOT17-09
