frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1698.526123046875, 389.40948486328125, 1863.223388671875, 728.4970092773438], [1288.96044921875, 460.1283264160156, 1352.8594970703125, 656.9620361328125], [0.0, 340.5538635253906, 119.11097717285156, 898.4124755859375], [1254.33154296875, 535.681640625, 1311.609130859375, 657.267333984375], [259.0165100097656, 455.2177429199219, 352.2832946777344, 704.1748046875], [1887.57373046875, 394.26190185546875, 1919.231689453125, 577.553955078125], [1887.304931640625, 394.849365234375, 1919.3199462890625, 569.386474609375], [116.2992935180664, 508.23565673828125, 205.19857788085938, 743.211669921875]]","[0.8996182084083557, 0.8884696364402771, 0.8575583100318909, 0.7112664580345154, 0.6420919895172119, 0.6246591806411743, 0.5984331965446472, 0.5712822675704956]","[[1780.874755859375, 728.4970092773438], [1320.9099731445312, 656.9620361328125], [59.55548858642578, 898.4124755859375], [1282.9703369140625, 657.267333984375], [305.64990234375, 704.1748046875], [1903.4027099609375, 577.553955078125], [1903.3124389648438, 569.386474609375], [160.7489356994629, 743.211669921875]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
2,,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1691.4952392578125, 388.6336975097656, 1856.4195556640625, 727.9777221679688], [1291.8544921875, 459.6907043457031, 1355.9256591796875, 657.2588500976562], [0.0, 333.6773986816406, 120.13921356201172, 898.4190063476562], [1256.75390625, 536.6824340820312, 1313.92578125, 658.0252685546875], [262.84124755859375, 455.581298828125, 355.94805908203125, 704.2750244140625], [1885.274658203125, 388.5709228515625, 1918.2552490234375, 579.250732421875], [112.45960235595703, 513.843994140625, 199.25303649902344, 743.8787231445312]]","[0.9088482856750488, 0.8900220394134521, 0.9001401662826538, 0.7685382962226868, 0.6985363960266113, 0.6687953472137451, 0.6508529186248779]","[[1773.9573974609375, 727.9777221679688], [1323.8900756835938, 657.2588500976562], [60.06960678100586, 898.4190063476562], [1285.33984375, 658.0252685546875], [309.3946533203125, 704.2750244140625], [1901.7649536132812, 579.250732421875], [155.85631942749023, 743.8787231445312]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
3,,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1687.6358642578125, 388.6441345214844, 1853.08203125, 728.6101684570312], [1293.0667724609375, 459.04437255859375, 1357.64306640625, 658.2523803710938], [0.0, 321.29656982421875, 121.91724395751953, 899.0780029296875], [1258.5306396484375, 538.1525268554688, 1315.3480224609375, 658.9068603515625], [265.36370849609375, 456.7667541503906, 358.0972900390625, 704.5601196289062], [1883.8221435546875, 386.02996826171875, 1917.3597412109375, 579.19677734375], [115.01174926757812, 510.91790771484375, 203.01573181152344, 743.9931640625]]","[0.8978970646858215, 0.8794216513633728, 0.8995955586433411, 0.701951801776886, 0.7943373322486877, 0.6978651881217957, 0.6457294821739197]","[[1770.3589477539062, 728.6101684570312], [1325.3549194335938, 658.2523803710938], [60.958621978759766, 899.0780029296875], [1286.9393310546875, 658.9068603515625], [311.7304992675781, 704.5601196289062], [1900.5909423828125, 579.19677734375], [159.01374053955078, 743.9931640625]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
4,,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1684.039306640625, 388.10589599609375, 1850.247802734375, 729.5072021484375], [1294.89990234375, 459.8844909667969, 1359.2979736328125, 658.7442016601562], [0.5622718334197998, 295.74517822265625, 129.43516540527344, 899.3916625976562], [1259.8045654296875, 539.2963256835938, 1316.552978515625, 660.2837524414062], [265.2022399902344, 456.67279052734375, 357.91094970703125, 704.4754028320312], [1883.016845703125, 383.929443359375, 1917.190673828125, 579.8623657226562], [115.78343200683594, 510.949951171875, 203.6792449951172, 744.0198364257812]]","[0.9088380336761475, 0.8637149930000305, 0.8653198480606079, 0.6823058724403381, 0.8141592144966125, 0.6226444244384766, 0.6537898778915405]","[[1767.1435546875, 729.5072021484375], [1327.0989379882812, 658.7442016601562], [64.99871861934662, 899.3916625976562], [1288.1787719726562, 660.2837524414062], [311.5565948486328, 704.4754028320312], [1900.103759765625, 579.8623657226562], [159.73133850097656, 744.0198364257812]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
5,,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1682.1036376953125, 387.6044006347656, 1849.695556640625, 732.151611328125], [1297.16796875, 459.4353942871094, 1361.56591796875, 658.6410522460938], [1.0591789484024048, 257.5196228027344, 138.3951873779297, 900.3137817382812], [1262.2774658203125, 540.6181030273438, 1317.3995361328125, 659.1861572265625], [265.8160705566406, 456.8769226074219, 358.4344177246094, 704.5574340820312], [1882.01708984375, 380.8222351074219, 1916.9537353515625, 579.8818359375], [115.81130981445312, 521.2298583984375, 199.5573272705078, 744.3082275390625]]","[0.8752207159996033, 0.8815205097198486, 0.9128227233886719, 0.6949132084846497, 0.8217207789421082, 0.7628924250602722, 0.5692489743232727]","[[1765.8995971679688, 732.151611328125], [1329.366943359375, 658.6410522460938], [69.72718316316605, 900.3137817382812], [1289.8385009765625, 659.1861572265625], [312.125244140625, 704.5574340820312], [1899.4854125976562, 579.8818359375], [157.68431854248047, 744.3082275390625]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
6,,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1681.6005859375, 387.7781066894531, 1849.926513671875, 734.5863647460938], [1299.9599609375, 459.6962890625, 1363.9476318359375, 657.9048461914062], [4.284398555755615, 239.45135498046875, 146.3034210205078, 901.2039184570312], [1265.3675537109375, 541.697021484375, 1319.1234130859375, 658.7623291015625], [267.22869873046875, 457.1707763671875, 359.5238037109375, 704.566162109375], [1880.933349609375, 376.97869873046875, 1916.72314453125, 579.3156127929688], [118.42826843261719, 524.9274291992188, 200.6592254638672, 744.357666015625]]","[0.8723130226135254, 0.877158522605896, 0.7368733286857605, 0.5704566240310669, 0.8127702474594116, 0.7248817086219788, 0.611789345741272]","[[1765.7635498046875, 734.5863647460938], [1331.9537963867188, 657.9048461914062], [75.29390978813171, 901.2039184570312], [1292.2454833984375, 658.7623291015625], [313.3762512207031, 704.566162109375], [1898.8282470703125, 579.3156127929688], [159.5437469482422, 744.357666015625]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
7,,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1680.422119140625, 388.384033203125, 1848.8944091796875, 736.7669677734375], [1301.8958740234375, 458.707275390625, 1366.189697265625, 658.191162109375], [3.315397262573242, 229.9082489013672, 147.93478393554688, 902.363037109375], [1269.2176513671875, 544.7521362304688, 1321.2486572265625, 659.8124389648438], [271.06976318359375, 457.6407470703125, 362.26019287109375, 704.0067138671875], [1877.9801025390625, 371.270751953125, 1915.644775390625, 581.4150390625], [118.65497589111328, 531.0045166015625, 198.2633056640625, 743.9552001953125]]","[0.888634443283081, 0.8752861022949219, 0.9385108351707458, 0.3719378411769867, 0.6792840957641602, 0.7515443563461304, 0.6040376424789429]","[[1764.6582641601562, 736.7669677734375], [1334.0427856445312, 658.191162109375], [75.62509059906006, 902.363037109375], [1295.233154296875, 659.8124389648438], [316.66497802734375, 704.0067138671875], [1896.8124389648438, 581.4150390625], [158.4591407775879, 743.9552001953125]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
8,,,6,"[1, 2, 3, 5, 6, 8]","[[1682.595703125, 389.22222900390625, 1850.8255615234375, 738.1058349609375], [1304.41064453125, 458.7703552246094, 1369.1304931640625, 658.4029541015625], [4.775503635406494, 224.21543884277344, 151.43199157714844, 902.7117919921875], [273.9918518066406, 457.263427734375, 364.29425048828125, 703.9802856445312], [1876.8846435546875, 375.068359375, 1915.031494140625, 584.4817504882812], [116.60877990722656, 522.4561157226562, 199.0023651123047, 744.119140625]]","[0.8898057341575623, 0.8737297654151917, 0.9452526569366455, 0.752808153629303, 0.7869535088539124, 0.560282289981842]","[[1766.7106323242188, 738.1058349609375], [1336.7705688476562, 658.4029541015625], [78.10374760627747, 902.7117919921875], [319.14305114746094, 703.9802856445312], [1895.9580688476562, 584.4817504882812], [157.80557250976562, 744.119140625]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
9,,,7,"[1, 2, 3, 5, 6, 8, 4]","[[1682.4189453125, 389.9226379394531, 1850.4609375, 739.9171752929688], [1308.56396484375, 458.44708251953125, 1374.2144775390625, 659.4039306640625], [7.696816444396973, 222.13095092773438, 156.12196350097656, 902.5081176757812], [278.6405944824219, 457.28558349609375, 367.0465393066406, 703.0736083984375], [1875.5528564453125, 375.8573913574219, 1915.0263671875, 589.2046508789062], [116.56373596191406, 514.9080200195312, 201.19366455078125, 743.9562377929688], [1273.410400390625, 541.9379272460938, 1325.658447265625, 659.6961059570312]]","[0.8900831341743469, 0.8867006897926331, 0.93379807472229, 0.6974632143974304, 0.7986562848091125, 0.6721594333648682, 0.42190906405448914]","[[1766.43994140625, 739.9171752929688], [1341.3892211914062, 659.4039306640625], [81.90938997268677, 902.5081176757812], [322.84356689453125, 703.0736083984375], [1895.2896118164062, 589.2046508789062], [158.87870025634766, 743.9562377929688], [1299.534423828125, 659.6961059570312]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
10,,,7,"[1, 2, 3, 5, 6, 8, 4]","[[1680.195068359375, 390.5211181640625, 1847.86962890625, 742.0211181640625], [1312.3741455078125, 458.8024597167969, 1378.5880126953125, 659.2525024414062], [12.044793128967285, 222.58448791503906, 162.45980834960938, 901.6968994140625], [280.22900390625, 455.768310546875, 367.1192321777344, 701.626953125], [1874.10791015625, 377.97161865234375, 1914.7593994140625, 593.7733764648438], [117.6388168334961, 514.512939453125, 201.97265625, 743.9349365234375], [1276.0997314453125, 539.81787109375, 1329.29296875, 661.5641479492188]]","[0.8714216351509094, 0.7535940408706665, 0.9347540140151978, 0.6022434234619141, 0.8183543086051941, 0.4522141218185425, 0.7003635764122009]","[[1764.0323486328125, 742.0211181640625], [1345.4810791015625, 659.2525024414062], [87.25230073928833, 901.6968994140625], [323.6741180419922, 701.626953125], [1894.4336547851562, 593.7733764648438], [159.80573654174805, 743.9349365234375], [1302.6963500976562, 661.5641479492188]]",1736540160,1724477440,1736540160,640,yolo26s.pt,MOT17-09
