frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,imgsz,model,seq
1,,5,"[1, 2, 3, 4, 5]","[[580.078125, 443.8125, 686.109375, 705.69140625], [423.375, 444.234375, 557.71875, 720.140625], [1334.8125, 425.14453125, 1501.21875, 785.53125], [729.3984375, 470.4697265625, 770.14453125, 569.63671875], [1670.484375, 418.921875, 1785.3046875, 586.51171875]]","[0.8350528478622437, 0.831976056098938, 0.7534666657447815, 0.4765796363353729, 0.3837139308452606]","[[633.09375, 705.69140625], [490.546875, 720.140625], [1418.015625, 785.53125], [749.771484375, 569.63671875], [1727.89453125, 586.51171875]]",0,0,640,yolo26n_hq.engine,MOT17-02
2,,5,"[2, 1, 3, 4, 5]","[[424.453125, 444.8671875, 560.15625, 718.453125], [581.203125, 444.8671875, 683.8125, 705.796875], [1341.9375, 439.69921875, 1509.375, 790.69921875], [729.8203125, 471.8935546875, 770.44921875, 570.375], [1671.609375, 425.0390625, 1785.0, 586.51171875]]","[0.8356251120567322, 0.8257583975791931, 0.7520126104354858, 0.4765796363353729, 0.3328726589679718]","[[492.3046875, 718.453125], [632.5078125, 705.796875], [1425.65625, 790.69921875], [750.134765625, 570.375], [1728.3046875, 586.51171875]]",0,0,640,yolo26n_hq.engine,MOT17-02
3,,6,"[3, 2, 1, 4, 6, 5]","[[1345.6875, 440.12109375, 1525.03125, 799.13671875], [421.59375, 444.4453125, 559.78125, 718.98046875], [580.78125, 443.390625, 687.8203125, 706.4296875], [730.125, 470.9443359375, 770.61328125, 568.37109375], [1839.609375, 480.83203125, 1919.1328125, 655.48828125], [1672.734375, 429.46875, 1782.796875, 585.5625]]","[0.8300437331199646, 0.8197289109230042, 0.8123247623443604, 0.46101677417755127, 0.4040659964084625, 0.3337959349155426]","[[1435.359375, 799.13671875], [490.6875, 718.98046875], [634.30078125, 706.4296875], [750.369140625, 568.37109375], [1879.37109375, 655.48828125], [1727.765625, 585.5625]]",0,0,640,yolo26n_hq.engine,MOT17-02
4,,6,"[3, 1, 2, 4, 6, 5]","[[1348.3125, 422.296875, 1533.375, 801.03515625], [580.921875, 444.234375, 684.8203125, 706.95703125], [422.15625, 445.39453125, 565.265625, 719.40234375], [730.640625, 470.3642578125, 771.0703125, 568.6875], [1838.53125, 480.146484375, 1919.15625, 655.171875], [1673.203125, 427.517578125, 1784.390625, 585.5625]]","[0.8577680587768555, 0.8404718041419983, 0.8317161798477173, 0.5525397062301636, 0.42836931347846985, 0.35968685150146484]","[[1440.84375, 801.03515625], [632.87109375, 706.95703125], [493.7109375, 719.40234375], [750.85546875, 568.6875], [1878.84375, 655.171875], [1728.796875, 585.5625]]",0,0,640,yolo26n_hq.engine,MOT17-02
5,,7,"[1, 3, 2, 7, 4, 5, 6]","[[580.40625, 444.4453125, 681.84375, 706.21875], [1353.5625, 425.25, 1529.53125, 801.3515625], [423.75, 446.23828125, 567.46875, 719.5078125], [1484.53125, 428.625, 1620.046875, 769.5], [730.359375, 468.38671875, 771.234375, 568.845703125], [1672.6875, 431.05078125, 1783.546875, 585.87890625], [1841.90625, 479.98828125, 1919.109375, 654.9609375]]","[0.8451384902000427, 0.8289388418197632, 0.7926700711250305, 0.6089215874671936, 0.5039061903953552, 0.43395885825157166, 0.3736149072647095]","[[631.125, 706.21875], [1441.546875, 801.3515625], [495.609375, 719.5078125], [1552.2890625, 769.5], [750.796875, 568.845703125], [1728.1171875, 585.87890625], [1880.5078125, 654.9609375]]",0,0,640,yolo26n_hq.engine,MOT17-02
6,,7,"[2, 1, 3, 7, 4, 6, 5]","[[424.875, 445.2890625, 569.90625, 722.671875], [580.6875, 444.8671875, 684.28125, 705.1640625], [1362.28125, 417.8671875, 1539.0, 801.984375], [1491.9375, 429.2578125, 1627.171875, 772.2421875], [730.3359375, 467.279296875, 771.4921875, 568.265625], [1838.015625, 479.98828125, 1919.15625, 655.48828125], [1671.75, 430.20703125, 1784.015625, 585.66796875]]","[0.8359026908874512, 0.8350946307182312, 0.700894832611084, 0.642497718334198, 0.4843800365924835, 0.45267391204833984, 0.3400249183177948]","[[497.390625, 722.671875], [632.484375, 705.1640625], [1450.640625, 801.984375], [1559.5546875, 772.2421875], [750.9140625, 568.265625], [1878.5859375, 655.48828125], [1727.8828125, 585.66796875]]",0,0,640,yolo26n_hq.engine,MOT17-02
7,,7,"[1, 2, 4, 7, 3, 5, 6]","[[580.125, 444.65625, 682.96875, 704.63671875], [423.0, 445.18359375, 570.984375, 722.77734375], [730.4765625, 467.4638671875, 771.9609375, 569.056640625], [1499.625, 430.3125, 1632.0, 772.55859375], [1374.28125, 418.7109375, 1585.5, 801.3515625], [1674.140625, 426.83203125, 1783.921875, 585.3515625], [1839.75, 482.255859375, 1919.109375, 655.171875]]","[0.8465503454208374, 0.8328328132629395, 0.5126925706863403, 0.4229179620742798, 0.41679665446281433, 0.3634524643421173, 0.3378429412841797]","[[631.546875, 704.63671875], [496.9921875, 722.77734375], [751.21875, 569.056640625], [1565.8125, 772.55859375], [1479.890625, 801.3515625], [1729.03125, 585.3515625], [1879.4296875, 655.171875]]",0,0,640,yolo26n_hq.engine,MOT17-02
8,,6,"[2, 1, 4, 5, 6, 3]","[[423.796875, 445.2890625, 572.4375, 723.9375], [579.703125, 444.234375, 683.765625, 704.53125], [730.9453125, 466.06640625, 772.06640625, 569.953125], [1670.15625, 427.9921875, 1785.2578125, 585.24609375], [1836.0, 478.93359375, 1919.109375, 655.69921875], [1385.34375, 419.1328125, 1564.03125, 800.9296875]]","[0.8734124898910522, 0.8457686901092529, 0.5136684775352478, 0.40134599804878235, 0.35728564858436584, 0.270480215549469]","[[498.1171875, 723.9375], [631.734375, 704.53125], [751.505859375, 569.953125], [1727.70703125, 585.24609375], [1877.5546875, 655.69921875], [1474.6875, 800.9296875]]",0,0,640,yolo26n_hq.engine,MOT17-02
9,,6,"[2, 1, 3, 6, 5, 4]","[[425.4375, 445.5, 572.8125, 723.9375], [579.1875, 444.0234375, 683.296875, 705.1640625], [1399.6875, 425.98828125, 1622.34375, 798.609375], [1833.703125, 480.83203125, 1919.2734375, 654.64453125], [1671.375, 419.1328125, 1786.3125, 585.5625], [730.1484375, 465.328125, 771.19921875, 569.109375]]","[0.8596903085708618, 0.8512216210365295, 0.5583270192146301, 0.5187276005744934, 0.5027984976768494, 0.4668455719947815]","[[499.125, 723.9375], [631.2421875, 705.1640625], [1511.015625, 798.609375], [1876.48828125, 654.64453125], [1728.84375, 585.5625], [750.673828125, 569.109375]]",0,0,640,yolo26n_hq.engine,MOT17-02
10,,7,"[1, 2, 3, 5, 4, 6, 7]","[[578.625, 444.0234375, 683.4375, 706.4296875], [427.734375, 446.1328125, 573.65625, 724.1484375], [1413.1875, 430.1015625, 1598.0625, 800.82421875], [1672.171875, 414.59765625, 1788.09375, 584.61328125], [726.328125, 456.57421875, 773.484375, 569.7158203125], [1835.90625, 479.4609375, 1919.1796875, 653.90625], [1522.875, 425.0390625, 1650.609375, 763.91015625]]","[0.8650965094566345, 0.8390968441963196, 0.6808785796165466, 0.5497480630874634, 0.43087345361709595, 0.39832472801208496, 0.3055988550186157]","[[631.03125, 706.4296875], [500.6953125, 724.1484375], [1505.625, 800.82421875], [1730.1328125, 584.61328125], [749.90625, 569.7158203125], [1877.54296875, 653.90625], [1586.7421875, 763.91015625]]",0,0,640,yolo26n_hq.engine,MOT17-02
