frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,5,"[1, 2, 3, 4, 5]","[[1443.7318115234375, 432.8840026855469, 1602.4697265625, 766.3318481445312], [435.20050048828125, 441.0013427734375, 553.8443603515625, 724.9407348632812], [581.0733032226562, 445.172607421875, 676.3416748046875, 707.7930297851562], [1337.9642333984375, 437.8424987792969, 1507.36279296875, 787.4608154296875], [731.5327758789062, 474.0658264160156, 766.3599243164062, 568.8948974609375]]","[0.8848903179168701, 0.8633005619049072, 0.8585968613624573, 0.767457127571106, 0.5920957326889038]","[[1523.1007690429688, 766.3318481445312], [494.5224304199219, 724.9407348632812], [628.7074890136719, 707.7930297851562], [1422.6635131835938, 787.4608154296875], [748.9463500976562, 568.8948974609375]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
2,,,5,"[1, 3, 2, 4, 5]","[[1450.189697265625, 434.7781982421875, 1600.3197021484375, 767.455078125], [582.104248046875, 445.5752868652344, 677.0948486328125, 707.5440063476562], [436.6221008300781, 440.3883972167969, 558.2783203125, 725.0165405273438], [1343.908447265625, 441.91961669921875, 1514.2384033203125, 786.9176635742188], [731.962646484375, 474.7648620605469, 766.4625244140625, 569.4564819335938]]","[0.8808532953262329, 0.8583954572677612, 0.8467401266098022, 0.6089836359024048, 0.5808232426643372]","[[1525.2546997070312, 767.455078125], [629.5995483398438, 707.5440063476562], [497.45021057128906, 725.0165405273438], [1429.0734252929688, 786.9176635742188], [749.2125854492188, 569.4564819335938]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
3,,,5,"[4, 2, 3, 1, 5]","[[1345.3563232421875, 424.7345275878906, 1524.156005859375, 798.9329833984375], [434.771728515625, 440.42584228515625, 560.2844848632812, 724.4138793945312], [582.2002563476562, 444.677490234375, 677.1964111328125, 707.529052734375], [1458.2352294921875, 433.3302001953125, 1608.973388671875, 771.0339965820312], [731.7581787109375, 478.0735778808594, 768.9918823242188, 569.4252319335938]]","[0.8790258765220642, 0.8690526485443115, 0.8452957272529602, 0.8166609406471252, 0.6204841732978821]","[[1434.7561645507812, 798.9329833984375], [497.5281066894531, 724.4138793945312], [629.6983337402344, 707.529052734375], [1533.6043090820312, 771.0339965820312], [750.3750305175781, 569.4252319335938]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
4,,,5,"[4, 2, 3, 1, 5]","[[1348.72509765625, 419.54248046875, 1527.31005859375, 800.69970703125], [437.484130859375, 444.0022277832031, 561.27880859375, 724.2042846679688], [581.9859008789062, 444.90411376953125, 676.7256469726562, 707.4054565429688], [1474.6005859375, 429.27239990234375, 1607.691162109375, 769.7071533203125], [731.9437255859375, 479.1778869628906, 768.8153686523438, 568.9173583984375]]","[0.9243598580360413, 0.8671730756759644, 0.8359378576278687, 0.8169891834259033, 0.6897349953651428]","[[1438.017578125, 800.69970703125], [499.3814697265625, 724.2042846679688], [629.3557739257812, 707.4054565429688], [1541.1458740234375, 769.7071533203125], [750.3795471191406, 568.9173583984375]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
5,,,6,"[1, 2, 3, 5, 4, 9]","[[1484.170654296875, 425.8323059082031, 1623.00146484375, 770.731201171875], [437.6975402832031, 446.5445861816406, 561.6608276367188, 724.4888305664062], [581.7018432617188, 444.70751953125, 677.1882934570312, 707.7791137695312], [732.074462890625, 478.87921142578125, 769.1793212890625, 569.6973876953125], [1352.0703125, 418.3199157714844, 1531.302734375, 800.7255859375], [1004.8895263671875, 431.3966979980469, 1060.789794921875, 528.137939453125]]","[0.8750833868980408, 0.8709226250648499, 0.854801595211029, 0.7145615220069885, 0.4532928168773651, 0.4485909044742584]","[[1553.5860595703125, 770.731201171875], [499.67918395996094, 724.4888305664062], [629.445068359375, 707.7791137695312], [750.6268920898438, 569.6973876953125], [1441.6865234375, 800.7255859375], [1032.8396606445312, 528.137939453125]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
6,,,6,"[2, 3, 4, 1, 5, 9]","[[437.61834716796875, 443.6838073730469, 563.3186645507812, 725.1073608398438], [581.2495727539062, 444.5650939941406, 678.4918823242188, 707.2947998046875], [1359.43701171875, 418.5508728027344, 1536.2379150390625, 800.783935546875], [1494.0001220703125, 426.3372802734375, 1631.8216552734375, 771.370361328125], [732.2586059570312, 478.2166442871094, 768.770751953125, 569.1664428710938], [1005.73779296875, 432.0834045410156, 1059.6927490234375, 528.2764282226562]]","[0.884036123752594, 0.8644868731498718, 0.8411626219749451, 0.799095094203949, 0.709072470664978, 0.3980056047439575]","[[500.468505859375, 725.1073608398438], [629.8707275390625, 707.2947998046875], [1447.8374633789062, 800.783935546875], [1562.910888671875, 771.370361328125], [750.5146789550781, 569.1664428710938], [1032.7152709960938, 528.2764282226562]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
7,,,6,"[2, 3, 4, 5, 1, 11]","[[436.94415283203125, 443.3916015625, 564.3888549804688, 725.7455444335938], [580.064697265625, 444.1103515625, 678.2545776367188, 707.4293823242188], [1369.36376953125, 416.19073486328125, 1532.88525390625, 799.903564453125], [731.188232421875, 474.79779052734375, 768.9539184570312, 570.4793701171875], [1478.8197021484375, 425.8625793457031, 1636.1910400390625, 775.819580078125], [933.6217041015625, 434.14141845703125, 969.794189453125, 515.8314208984375]]","[0.8826356530189514, 0.8715399503707886, 0.7407921552658081, 0.7009429931640625, 0.6005862355232239, 0.35200557112693787]","[[500.66650390625, 725.7455444335938], [629.1596374511719, 707.4293823242188], [1451.12451171875, 799.903564453125], [750.0710754394531, 570.4793701171875], [1557.50537109375, 775.819580078125], [951.7079467773438, 515.8314208984375]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
8,,,7,"[2, 3, 1, 5, 12, 4, 11]","[[436.4813232421875, 447.12445068359375, 565.8089599609375, 725.4312744140625], [579.4697875976562, 444.5608825683594, 679.071533203125, 706.0848388671875], [1498.9796142578125, 424.17938232421875, 1639.98388671875, 773.5264892578125], [731.13623046875, 471.4410705566406, 768.3051147460938, 571.1474609375], [1255.619140625, 446.963134765625, 1293.7994384765625, 545.8296508789062], [1384.65625, 415.0462646484375, 1534.1474609375, 799.578125], [932.4086303710938, 434.2667236328125, 969.5822143554688, 515.6429443359375]]","[0.8713181614875793, 0.8387792110443115, 0.8286957144737244, 0.6923487186431885, 0.4096568524837494, 0.3194330036640167, 0.29035478830337524]","[[501.1451416015625, 725.4312744140625], [629.2706604003906, 706.0848388671875], [1569.4817504882812, 773.5264892578125], [749.7206726074219, 571.1474609375], [1274.7092895507812, 545.8296508789062], [1459.40185546875, 799.578125], [950.9954223632812, 515.6429443359375]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
9,,,7,"[3, 1, 5, 2, 14, 12, 11]","[[580.4712524414062, 443.72894287109375, 675.7860107421875, 706.3034057617188], [1501.7315673828125, 422.4057312011719, 1646.4537353515625, 773.414306640625], [730.8212280273438, 469.4955749511719, 768.563232421875, 571.764892578125], [435.5212707519531, 440.8044738769531, 567.0886840820312, 725.3320922851562], [1675.8685302734375, 436.60797119140625, 1788.6536865234375, 585.5618896484375], [1255.2833251953125, 446.86822509765625, 1293.32275390625, 545.9793701171875], [932.4776000976562, 434.5646667480469, 969.742919921875, 516.6046752929688]]","[0.832119882106781, 0.6553682684898376, 0.6306313872337341, 0.4794403612613678, 0.4297700524330139, 0.4200635254383087, 0.3520123064517975]","[[628.1286315917969, 706.3034057617188], [1574.0926513671875, 773.414306640625], [749.6922302246094, 571.764892578125], [501.3049774169922, 725.3320922851562], [1732.2611083984375, 585.5618896484375], [1274.3030395507812, 545.9793701171875], [951.1102600097656, 516.6046752929688]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
10,,,10,"[2, 3, 1, 4, 5, 11, 14, 12, 15, 9]","[[436.2546691894531, 442.09234619140625, 568.8577880859375, 726.3823852539062], [581.1151733398438, 443.7538146972656, 676.8654174804688, 708.1181640625], [1516.241943359375, 421.14276123046875, 1662.4085693359375, 775.260986328125], [1417.7467041015625, 415.52581787109375, 1540.3712158203125, 802.7463989257812], [730.4694213867188, 468.6304626464844, 768.0231323242188, 571.7438354492188], [931.7322387695312, 434.1604919433594, 970.5360717773438, 517.247802734375], [1677.4268798828125, 438.01690673828125, 1788.670654296875, 586.2662963867188], [1255.4755859375, 447.18719482421875, 1294.3387451171875, 546.1355590820312], [655.4498901367188, 451.9024658203125, 721.9155883789062, 631.9915161132812], [1008.8838500976562, 431.4564208984375, 1060.802734375, 527.0745849609375]]","[0.9028747081756592, 0.8543952703475952, 0.7365503311157227, 0.7269177436828613, 0.6157302260398865, 0.4740060269832611, 0.44300660490989685, 0.43273279070854187, 0.4288915693759918, 0.4255504012107849]","[[502.5562286376953, 726.3823852539062], [628.9902954101562, 708.1181640625], [1589.3252563476562, 775.260986328125], [1479.0589599609375, 802.7463989257812], [749.2462768554688, 571.7438354492188], [951.1341552734375, 517.247802734375], [1733.0487670898438, 586.2662963867188], [1274.9071655273438, 546.1355590820312], [688.6827392578125, 631.9915161132812], [1034.8432922363281, 527.0745849609375]]",1157079040,1145024512,1157079040,576,yolo26s_576_hq.engine,MOT17-02
