frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1338.4305419921875, 426.71502685546875, 1507.833740234375, 790.7481689453125], [1445.5289306640625, 431.0602111816406, 1601.663330078125, 766.4737548828125], [581.6441650390625, 448.7090759277344, 673.5849609375, 708.4298095703125], [435.84539794921875, 442.7427673339844, 553.2452392578125, 724.8200073242188], [729.754150390625, 466.6302490234375, 767.140625, 568.250244140625], [935.8685302734375, 436.35345458984375, 973.0626220703125, 514.1390991210938], [1254.978759765625, 445.50360107421875, 1295.879638671875, 546.0886840820312]]","[0.9027240872383118, 0.8520758152008057, 0.8352565169334412, 0.8170509934425354, 0.6113421320915222, 0.5382691621780396, 0.45879456400871277]","[[1423.1321411132812, 790.7481689453125], [1523.5961303710938, 766.4737548828125], [627.6145629882812, 708.4298095703125], [494.5453186035156, 724.8200073242188], [748.4473876953125, 568.250244140625], [954.465576171875, 514.1390991210938], [1275.42919921875, 546.0886840820312]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
2,,,7,"[1, 3, 4, 2, 6, 7, 5]","[[1341.98681640625, 430.0976867675781, 1516.42919921875, 792.0427856445312], [582.0741577148438, 448.2021179199219, 677.2247924804688, 707.8563842773438], [438.65625, 442.65399169921875, 557.8291625976562, 724.1865234375], [1454.779541015625, 432.2042541503906, 1599.6697998046875, 767.97900390625], [934.6148071289062, 436.1447448730469, 973.3004150390625, 514.2583618164062], [1255.4114990234375, 446.2947692871094, 1295.8963623046875, 546.064453125], [730.5147094726562, 465.69207763671875, 768.233642578125, 568.029296875]]","[0.8955591917037964, 0.8289294838905334, 0.7869493961334229, 0.5981155037879944, 0.5270978212356567, 0.5197079181671143, 0.4985811412334442]","[[1429.2080078125, 792.0427856445312], [629.6494750976562, 707.8563842773438], [498.2427062988281, 724.1865234375], [1527.2246704101562, 767.97900390625], [953.9576110839844, 514.2583618164062], [1275.6539306640625, 546.064453125], [749.3741760253906, 568.029296875]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
3,,,11,"[1, 3, 2, 4, 5, 7, 6, 11, 8, 10, 9]","[[1344.0596923828125, 425.698974609375, 1522.5113525390625, 799.0092163085938], [581.4993896484375, 447.1200256347656, 676.98291015625, 708.1218872070312], [1462.929931640625, 430.39263916015625, 1610.493896484375, 770.1715087890625], [432.5841979980469, 442.68634033203125, 559.1236572265625, 724.7657470703125], [731.387939453125, 479.5694580078125, 768.46875, 568.4346923828125], [1255.713623046875, 446.4672546386719, 1296.11083984375, 545.7775268554688], [935.1656494140625, 436.2030029296875, 971.45556640625, 515.1019287109375], [1006.5198974609375, 431.5864562988281, 1065.2860107421875, 528.9773559570312], [1689.7569580078125, 431.5242919921875, 1788.1376953125, 586.0178833007812], [1078.4033203125, 448.70697021484375, 1137.1953125, 598.26611328125], [910.6650390625, 462.1732177734375, 1015.5518188476562, 586.86083984375]]","[0.8983945250511169, 0.8285205364227295, 0.7973316311836243, 0.7756157517433167, 0.5787551403045654, 0.5532615184783936, 0.5413327813148499, 0.516572117805481, 0.41806545853614807, 0.379044771194458, 0.36879676580429077]","[[1433.2855224609375, 799.0092163085938], [629.2411499023438, 708.1218872070312], [1536.7119140625, 770.1715087890625], [495.8539276123047, 724.7657470703125], [749.9283447265625, 568.4346923828125], [1275.9122314453125, 545.7775268554688], [953.3106079101562, 515.1019287109375], [1035.9029541015625, 528.9773559570312], [1738.9473266601562, 586.0178833007812], [1107.79931640625, 598.26611328125], [963.1084289550781, 586.86083984375]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
4,,,11,"[1, 4, 2, 3, 5, 7, 11, 6, 8, 10, 9]","[[1348.648681640625, 419.25665283203125, 1527.302734375, 800.8551635742188], [436.07366943359375, 443.0802001953125, 563.5802612304688, 724.531982421875], [1476.118896484375, 427.66058349609375, 1613.290283203125, 767.8527221679688], [581.634765625, 449.14996337890625, 676.117919921875, 707.9743041992188], [731.9308471679688, 475.0686340332031, 768.899169921875, 568.5482788085938], [1255.75244140625, 447.05426025390625, 1295.975341796875, 545.9476318359375], [1005.9094848632812, 430.03399658203125, 1065.095458984375, 529.22998046875], [935.10205078125, 436.17364501953125, 971.0545654296875, 515.7657470703125], [1690.365478515625, 429.56781005859375, 1789.4754638671875, 586.4667358398438], [1077.4962158203125, 448.67425537109375, 1137.97509765625, 597.7869262695312], [910.2365112304688, 458.74365234375, 1017.34130859375, 586.8613891601562]]","[0.8767070174217224, 0.8585467338562012, 0.8366637825965881, 0.8247995376586914, 0.6008039712905884, 0.581573486328125, 0.5485034584999084, 0.5220948457717896, 0.3910273015499115, 0.3183986246585846, 0.27173739671707153]","[[1437.9757080078125, 800.8551635742188], [499.82696533203125, 724.531982421875], [1544.70458984375, 767.8527221679688], [628.8763427734375, 707.9743041992188], [750.4150085449219, 568.5482788085938], [1275.8638916015625, 545.9476318359375], [1035.5024719238281, 529.22998046875], [953.0783081054688, 515.7657470703125], [1739.9204711914062, 586.4667358398438], [1107.7356567382812, 597.7869262695312], [963.7889099121094, 586.8613891601562]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
5,,,10,"[1, 3, 2, 5, 7, 11, 6, 4, 8, 10]","[[1352.0435791015625, 417.4744567871094, 1530.421630859375, 801.5514526367188], [582.1520385742188, 447.8394775390625, 675.42578125, 707.6094360351562], [1485.0484619140625, 426.3777160644531, 1620.063232421875, 767.1339111328125], [731.5070190429688, 473.1089172363281, 769.2460327148438, 567.7763671875], [1255.65625, 447.6764831542969, 1296.13525390625, 546.112060546875], [1006.2101440429688, 430.71722412109375, 1065.385498046875, 529.9681396484375], [934.8018798828125, 436.1119384765625, 971.787109375, 515.9642944335938], [436.1792907714844, 443.7879943847656, 564.5439453125, 724.1578979492188], [1687.35693359375, 429.0058898925781, 1789.5611572265625, 586.2684326171875], [1075.407470703125, 448.4790344238281, 1137.625, 598.279541015625]]","[0.876648485660553, 0.8174698948860168, 0.8174346089363098, 0.6132842898368835, 0.59654700756073, 0.5633650422096252, 0.5431777834892273, 0.4712795317173004, 0.4189736247062683, 0.3621792793273926]","[[1441.2326049804688, 801.5514526367188], [628.7889099121094, 707.6094360351562], [1552.5558471679688, 767.1339111328125], [750.3765258789062, 567.7763671875], [1275.895751953125, 546.112060546875], [1035.7978210449219, 529.9681396484375], [953.2944946289062, 515.9642944335938], [500.3616180419922, 724.1578979492188], [1738.4590454101562, 586.2684326171875], [1106.5162353515625, 598.279541015625]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
6,,,9,"[1, 4, 3, 5, 7, 11, 6, 8, 10]","[[1359.9195556640625, 417.3240661621094, 1530.7606201171875, 801.9356689453125], [434.76898193359375, 442.8710632324219, 567.94970703125, 724.9419555664062], [582.7654418945312, 447.3603210449219, 675.767822265625, 707.6019287109375], [731.4688110351562, 474.3154296875, 768.956787109375, 566.7285766601562], [1255.8056640625, 448.1977844238281, 1295.48828125, 545.9580078125], [1006.7066650390625, 430.43560791015625, 1066.20361328125, 529.6210327148438], [934.4924926757812, 435.84063720703125, 971.7713012695312, 516.1455078125], [1691.92724609375, 431.40753173828125, 1788.8280029296875, 586.0188598632812], [1075.523681640625, 448.40142822265625, 1137.5596923828125, 597.834716796875]]","[0.8726736903190613, 0.8670388460159302, 0.8357793092727661, 0.60288405418396, 0.5531166195869446, 0.5522892475128174, 0.5514161586761475, 0.42240017652511597, 0.25947585701942444]","[[1445.340087890625, 801.9356689453125], [501.3593444824219, 724.9419555664062], [629.2666320800781, 707.6019287109375], [750.2127990722656, 566.7285766601562], [1275.64697265625, 545.9580078125], [1036.4551391601562, 529.6210327148438], [953.1318969726562, 516.1455078125], [1740.3776245117188, 586.0188598632812], [1106.5416870117188, 597.834716796875]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
7,,,10,"[1, 4, 3, 2, 5, 6, 7, 8, 10, 11]","[[1371.986083984375, 414.8996887207031, 1533.452880859375, 801.2014770507812], [434.5998229980469, 443.02313232421875, 569.53076171875, 727.0322265625], [582.3438720703125, 445.05535888671875, 677.0743408203125, 708.0498046875], [1492.23583984375, 424.7361145019531, 1630.75537109375, 770.9464111328125], [731.365234375, 472.6969909667969, 768.9589233398438, 568.718994140625], [934.216064453125, 435.97125244140625, 970.962646484375, 516.65673828125], [1255.635986328125, 446.32525634765625, 1296.011474609375, 545.7833251953125], [1690.4219970703125, 429.9610595703125, 1789.052001953125, 584.47802734375], [1076.409423828125, 446.62646484375, 1137.6470947265625, 598.3164672851562], [1006.6185302734375, 433.86968994140625, 1064.55126953125, 529.0647583007812]]","[0.909988284111023, 0.8813058137893677, 0.842238187789917, 0.6741487383842468, 0.6174928545951843, 0.5992412567138672, 0.5453324913978577, 0.49173790216445923, 0.430429071187973, 0.420053094625473]","[[1452.719482421875, 801.2014770507812], [502.06529235839844, 727.0322265625], [629.7091064453125, 708.0498046875], [1561.49560546875, 770.9464111328125], [750.1620788574219, 568.718994140625], [952.58935546875, 516.65673828125], [1275.82373046875, 545.7833251953125], [1739.7369995117188, 584.47802734375], [1107.0282592773438, 598.3164672851562], [1035.5848999023438, 529.0647583007812]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
8,,,10,"[4, 3, 1, 6, 5, 7, 10, 8, 2, 11]","[[434.90863037109375, 446.95440673828125, 570.2883911132812, 726.4076538085938], [581.45703125, 444.9996337890625, 678.218017578125, 709.004638671875], [1386.7685546875, 414.2057189941406, 1532.2744140625, 800.0685424804688], [934.7689208984375, 435.6871337890625, 970.94775390625, 515.737060546875], [730.9331665039062, 469.6830749511719, 769.3701782226562, 568.4564208984375], [1255.0849609375, 446.3191833496094, 1295.30029296875, 545.7291259765625], [1073.7830810546875, 448.194091796875, 1136.67529296875, 598.1060791015625], [1686.397216796875, 430.43304443359375, 1788.86279296875, 584.87548828125], [1497.1746826171875, 423.3753662109375, 1640.74560546875, 771.1131591796875], [1013.9313354492188, 443.6761474609375, 1059.26806640625, 527.8104248046875]]","[0.8820825815200806, 0.8330653309822083, 0.8276171088218689, 0.6159206628799438, 0.600687563419342, 0.5652202367782593, 0.535568356513977, 0.4694007933139801, 0.46251997351646423, 0.31280237436294556]","[[502.5985107421875, 726.4076538085938], [629.8375244140625, 709.004638671875], [1459.521484375, 800.0685424804688], [952.8583374023438, 515.737060546875], [750.1516723632812, 568.4564208984375], [1275.192626953125, 545.7291259765625], [1105.2291870117188, 598.1060791015625], [1737.6300048828125, 584.87548828125], [1568.9601440429688, 771.1131591796875], [1036.5997009277344, 527.8104248046875]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
9,,,10,"[3, 4, 1, 2, 7, 8, 5, 6, 10, 11]","[[582.6964111328125, 445.0294189453125, 675.9398803710938, 708.452392578125], [435.05218505859375, 442.8670959472656, 570.4869384765625, 726.7196655273438], [1401.072021484375, 412.42498779296875, 1538.12744140625, 798.14453125], [1429.2003173828125, 423.2274475097656, 1652.759765625, 780.9537353515625], [1254.0572509765625, 445.4656066894531, 1294.8404541015625, 545.6626586914062], [1681.307861328125, 428.3922424316406, 1789.8291015625, 587.82763671875], [730.1011962890625, 470.916015625, 768.9061279296875, 571.0176391601562], [933.952392578125, 436.09222412109375, 970.3173828125, 515.47900390625], [1075.8892822265625, 448.1148681640625, 1136.724609375, 598.5949096679688], [1015.267333984375, 441.927978515625, 1058.96240234375, 528.1472778320312]]","[0.8402636051177979, 0.8249861598014832, 0.8079403042793274, 0.6038464903831482, 0.5700880289077759, 0.5680042505264282, 0.5672941207885742, 0.4493553638458252, 0.3706519603729248, 0.28007957339286804]","[[629.3181457519531, 708.452392578125], [502.7695617675781, 726.7196655273438], [1469.5997314453125, 798.14453125], [1540.9800415039062, 780.9537353515625], [1274.4488525390625, 545.6626586914062], [1735.5684814453125, 587.82763671875], [749.503662109375, 571.0176391601562], [952.1348876953125, 515.47900390625], [1106.3069458007812, 598.5949096679688], [1037.1148681640625, 528.1472778320312]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
10,,,10,"[4, 1, 3, 2, 7, 6, 5, 8, 10, 11]","[[435.419677734375, 443.76629638671875, 572.9163818359375, 726.0950927734375], [1414.56201171875, 410.66534423828125, 1545.02587890625, 801.5530395507812], [582.6085205078125, 445.1266784667969, 674.06201171875, 708.8012084960938], [1515.58447265625, 422.3379821777344, 1667.37451171875, 772.5533447265625], [1253.9842529296875, 445.0522766113281, 1295.73681640625, 545.832275390625], [933.4146728515625, 436.2156677246094, 971.3351440429688, 516.203125], [730.5989379882812, 468.150146484375, 769.1611328125, 571.5430297851562], [1687.093505859375, 430.1189270019531, 1789.58544921875, 585.5185546875], [1075.98193359375, 448.0787353515625, 1136.238037109375, 598.6810302734375], [1013.493408203125, 437.46954345703125, 1060.976806640625, 528.3723754882812]]","[0.8879404664039612, 0.8192282319068909, 0.8087854385375977, 0.7698647975921631, 0.5884746313095093, 0.5698413848876953, 0.5323940515518188, 0.5272725820541382, 0.4118935763835907, 0.33400049805641174]","[[504.16802978515625, 726.0950927734375], [1479.7939453125, 801.5530395507812], [628.3352661132812, 708.8012084960938], [1591.4794921875, 772.5533447265625], [1274.8605346679688, 545.832275390625], [952.3749084472656, 516.203125], [749.8800354003906, 571.5430297851562], [1738.3394775390625, 585.5185546875], [1106.1099853515625, 598.6810302734375], [1037.235107421875, 528.3723754882812]]",1161658368,1149579264,1161658368,640,yolo26s_hq.engine,MOT17-02
