frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[[102.62882995605469, 548.6541748046875, 180.6452178955078, 794.5767822265625], [1357.510498046875, 574.587890625, 1446.3333740234375, 798.1613159179688], [370.59454345703125, 410.9077453613281, 453.25262451171875, 648.961181640625], [1733.896728515625, 459.37872314453125, 1806.0010986328125, 669.9680786132812], [1102.9915771484375, 209.20419311523438, 1160.2685546875, 387.7863464355469], [1098.0655517578125, 979.7716064453125, 1171.1497802734375, 1079.46826171875], [1041.4622802734375, 134.2611846923828, 1110.615966796875, 314.481201171875], [0.2797393798828125, 880.6343994140625, 43.752723693847656, 1079.3536376953125], [228.630859375, 402.5351257324219, 293.65362548828125, 602.717041015625], [64.15824890136719, 1061.700439453125, 103.90693664550781, 1079.5791015625], [1634.7989501953125, 261.6922607421875, 1697.36865234375, 439.97314453125], [794.27880859375, 147.37110900878906, 854.883056640625, 319.08770751953125], [540.265869140625, 148.1393280029297, 604.5770874023438, 327.94610595703125], [1446.106201171875, 248.1209259033203, 1508.0806884765625, 416.0580749511719], [261.263427734375, 365.57073974609375, 325.4613342285156, 587.6151123046875]]","[0.8334701061248779, 0.8265044093132019, 0.8135889172554016, 0.7679409980773926, 0.7320390343666077, 0.7213577032089233, 0.6303276419639587, 0.6241787672042847, 0.6180739998817444, 0.5821090340614319, 0.48689067363739014, 0.40863391757011414, 0.3948969542980194, 0.37773972749710083, 0.3611396551132202]","[[141.63702392578125, 794.5767822265625], [1401.9219360351562, 798.1613159179688], [411.923583984375, 648.961181640625], [1769.9489135742188, 669.9680786132812], [1131.6300659179688, 387.7863464355469], [1134.607666015625, 1079.46826171875], [1076.0391235351562, 314.481201171875], [22.016231536865234, 1079.3536376953125], [261.1422424316406, 602.717041015625], [84.0325927734375, 1079.5791015625], [1666.0838012695312, 439.97314453125], [824.5809326171875, 319.08770751953125], [572.4214782714844, 327.94610595703125], [1477.0934448242188, 416.0580749511719], [293.3623809814453, 587.6151123046875]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
2,,,15,"[1, 2, 3, 4, 6, 5, 9, 8, 7, 11, 10, 12, 13, 15, 14]","[[102.3011474609375, 548.9725341796875, 181.64910888671875, 795.2473754882812], [1357.87353515625, 574.3763427734375, 1446.6724853515625, 798.0545043945312], [371.7823486328125, 410.1060485839844, 454.07244873046875, 648.9138793945312], [1732.75341796875, 459.1396484375, 1806.85791015625, 668.583740234375], [1101.604736328125, 979.6104125976562, 1173.698486328125, 1079.467041015625], [1096.1661376953125, 209.28973388671875, 1156.5831298828125, 387.7500305175781], [225.2952117919922, 401.7344970703125, 292.490966796875, 602.8702392578125], [0.2616004943847656, 878.105224609375, 43.30768966674805, 1079.30908203125], [1041.806640625, 133.9887237548828, 1109.9041748046875, 313.176025390625], [1634.0302734375, 261.35516357421875, 1696.1875, 443.1631164550781], [65.3886947631836, 1065.8887939453125, 98.5521011352539, 1079.5714111328125], [794.313232421875, 147.03594970703125, 854.72998046875, 320.1947937011719], [540.7714233398438, 150.67294311523438, 605.0383911132812, 327.8435974121094], [261.8531494140625, 365.0561828613281, 324.20465087890625, 585.579345703125], [1442.115234375, 247.45587158203125, 1506.53515625, 416.9085388183594]]","[0.8572750687599182, 0.8115231990814209, 0.8114303946495056, 0.7991494536399841, 0.7206319570541382, 0.7167232632637024, 0.6869441866874695, 0.6532251834869385, 0.6288869380950928, 0.4972274601459503, 0.4477337896823883, 0.4030197262763977, 0.36569422483444214, 0.3591994643211365, 0.3456540107727051]","[[141.97512817382812, 795.2473754882812], [1402.2730102539062, 798.0545043945312], [412.9273986816406, 648.9138793945312], [1769.8056640625, 668.583740234375], [1137.651611328125, 1079.467041015625], [1126.3746337890625, 387.7500305175781], [258.8930892944336, 602.8702392578125], [21.784645080566406, 1079.30908203125], [1075.8554077148438, 313.176025390625], [1665.10888671875, 443.1631164550781], [81.97039794921875, 1079.5714111328125], [824.5216064453125, 320.1947937011719], [572.9049072265625, 327.8435974121094], [293.0289001464844, 585.579345703125], [1474.3251953125, 416.9085388183594]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
3,,,14,"[1, 4, 2, 3, 6, 5, 8, 7, 9, 11, 12, 14, 16, 13]","[[102.21253967285156, 548.9600830078125, 181.29736328125, 795.1478881835938], [1731.65966796875, 459.30352783203125, 1804.32421875, 668.8220825195312], [1357.7470703125, 574.8721313476562, 1446.5263671875, 798.024658203125], [372.7586669921875, 409.73529052734375, 455.11346435546875, 649.2776489257812], [1105.567138671875, 978.667724609375, 1176.64501953125, 1079.4725341796875], [1085.3414306640625, 209.47772216796875, 1153.965087890625, 387.3764343261719], [0.25598716735839844, 876.8655395507812, 42.72297668457031, 1079.3746337890625], [1044.9873046875, 134.2664031982422, 1108.351806640625, 302.8424377441406], [227.1133575439453, 404.0097351074219, 298.6478271484375, 601.9098510742188], [1632.514892578125, 261.207275390625, 1694.3829345703125, 443.9418029785156], [793.3922119140625, 146.9449920654297, 854.7813720703125, 319.614990234375], [1440.060791015625, 246.85928344726562, 1506.06103515625, 415.6494445800781], [891.5974731445312, 129.651123046875, 962.4808959960938, 300.1307067871094], [539.6514892578125, 151.73785400390625, 605.2377319335938, 328.1783447265625]]","[0.8496021628379822, 0.821317195892334, 0.8165316581726074, 0.8163979649543762, 0.7090100646018982, 0.6678884625434875, 0.662955641746521, 0.6283243298530579, 0.5536504983901978, 0.49419835209846497, 0.38576847314834595, 0.35146018862724304, 0.3345675766468048, 0.3328031897544861]","[[141.75495147705078, 795.1478881835938], [1767.991943359375, 668.8220825195312], [1402.13671875, 798.024658203125], [413.9360656738281, 649.2776489257812], [1141.1060791015625, 1079.4725341796875], [1119.6532592773438, 387.3764343261719], [21.489481925964355, 1079.3746337890625], [1076.6695556640625, 302.8424377441406], [262.8805923461914, 601.9098510742188], [1663.4489135742188, 443.9418029785156], [824.0867919921875, 319.614990234375], [1473.0609130859375, 415.6494445800781], [927.0391845703125, 300.1307067871094], [572.4446105957031, 328.1783447265625]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
4,,,15,"[1, 2, 3, 4, 6, 5, 8, 7, 9, 11, 17, 12, 14, 16, 13]","[[102.39754486083984, 548.9749755859375, 181.42807006835938, 794.9739379882812], [1357.838134765625, 575.0211791992188, 1446.6519775390625, 798.8489379882812], [372.83319091796875, 409.1120910644531, 455.24737548828125, 649.267578125], [1728.58154296875, 459.2207336425781, 1802.5924072265625, 667.1013793945312], [1108.2403564453125, 977.8948364257812, 1179.5411376953125, 1079.466796875], [1074.100830078125, 208.77774047851562, 1152.410888671875, 387.5418395996094], [0.2720489501953125, 875.5156860351562, 44.68125534057617, 1079.439208984375], [1043.390869140625, 134.5018768310547, 1108.234619140625, 303.04339599609375], [225.30088806152344, 400.9878234863281, 307.5919494628906, 599.0316772460938], [1630.758544921875, 260.1418762207031, 1693.8958740234375, 441.89862060546875], [1795.833984375, 205.51174926757812, 1857.242919921875, 389.21820068359375], [794.4638671875, 146.75247192382812, 854.7255249023438, 319.5973205566406], [1436.9073486328125, 246.64515686035156, 1504.430419921875, 416.7359619140625], [885.6566162109375, 130.7751922607422, 962.2620849609375, 301.87158203125], [536.752685546875, 149.90435791015625, 601.9241943359375, 327.20428466796875]]","[0.8528507947921753, 0.8147252798080444, 0.8080238699913025, 0.8018650412559509, 0.7331097722053528, 0.7317856550216675, 0.655538022518158, 0.6203137040138245, 0.4860530197620392, 0.44971218705177307, 0.406593918800354, 0.3569453954696655, 0.33098605275154114, 0.3153705596923828, 0.28085553646087646]","[[141.9128074645996, 794.9739379882812], [1402.2450561523438, 798.8489379882812], [414.040283203125, 649.267578125], [1765.5869750976562, 667.1013793945312], [1143.8907470703125, 1079.466796875], [1113.255859375, 387.5418395996094], [22.476652145385742, 1079.439208984375], [1075.812744140625, 303.04339599609375], [266.44641876220703, 599.0316772460938], [1662.3272094726562, 441.89862060546875], [1826.5384521484375, 389.21820068359375], [824.5946960449219, 319.5973205566406], [1470.6688842773438, 416.7359619140625], [923.9593505859375, 301.87158203125], [569.3384399414062, 327.20428466796875]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
5,,,15,"[1, 4, 2, 3, 5, 6, 8, 7, 11, 9, 17, 14, 12, 13, 16]","[[102.35452270507812, 548.6111450195312, 181.41043090820312, 795.2039794921875], [1728.14599609375, 458.37847900390625, 1803.155029296875, 667.17236328125], [1357.8651123046875, 574.6978149414062, 1446.3326416015625, 798.608642578125], [373.7323303222656, 408.3133850097656, 456.71875, 647.8533935546875], [1068.8739013671875, 208.25912475585938, 1151.8427734375, 387.7415466308594], [1112.85595703125, 977.1847534179688, 1182.3804931640625, 1079.502685546875], [0.2861795425415039, 874.3422241210938, 45.67472839355469, 1079.55029296875], [1042.78173828125, 135.166748046875, 1107.7999267578125, 299.695556640625], [1629.76416015625, 260.8039855957031, 1691.8955078125, 440.3677673339844], [223.9940643310547, 398.157958984375, 303.189208984375, 598.0341796875], [1797.6170654296875, 205.08987426757812, 1858.2747802734375, 388.2233581542969], [1436.407958984375, 245.6974334716797, 1504.183837890625, 416.72222900390625], [794.407958984375, 147.2699432373047, 854.3388671875, 319.143798828125], [539.5609130859375, 150.58251953125, 602.144287109375, 327.3535461425781], [881.0889892578125, 130.70162963867188, 963.2178955078125, 303.3516540527344]]","[0.8519375324249268, 0.823867917060852, 0.82098788022995, 0.8061696290969849, 0.7973653674125671, 0.7402374744415283, 0.6358709931373596, 0.6066329479217529, 0.5459978580474854, 0.5240359902381897, 0.4469081461429596, 0.4406385123729706, 0.3907734155654907, 0.32612869143486023, 0.3017856776714325]","[[141.88247680664062, 795.2039794921875], [1765.6505126953125, 667.17236328125], [1402.098876953125, 798.608642578125], [415.2255401611328, 647.8533935546875], [1110.3583374023438, 387.7415466308594], [1147.6182250976562, 1079.502685546875], [22.980453968048096, 1079.55029296875], [1075.2908325195312, 299.695556640625], [1660.829833984375, 440.3677673339844], [263.59163665771484, 598.0341796875], [1827.9459228515625, 388.2233581542969], [1470.2958984375, 416.72222900390625], [824.3734130859375, 319.143798828125], [570.8526000976562, 327.3535461425781], [922.1534423828125, 303.3516540527344]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
6,,,17,"[1, 4, 3, 2, 5, 6, 8, 9, 7, 11, 17, 12, 18, 13, 15, 14, 16]","[[102.289306640625, 548.393798828125, 181.5493621826172, 795.036865234375], [1725.77783203125, 458.94793701171875, 1801.71044921875, 667.8197631835938], [374.57208251953125, 407.2980041503906, 456.7718811035156, 645.01318359375], [1357.484619140625, 574.504150390625, 1445.94384765625, 799.0809936523438], [1062.095458984375, 208.00628662109375, 1152.787841796875, 387.561767578125], [1114.3873291015625, 976.3123779296875, 1185.9139404296875, 1079.389892578125], [0.2757225036621094, 872.565185546875, 45.748748779296875, 1079.5126953125], [222.45053100585938, 396.455810546875, 303.7381896972656, 596.5944213867188], [1042.5330810546875, 135.62745666503906, 1107.17236328125, 296.31585693359375], [1627.8988037109375, 259.3622131347656, 1691.482666015625, 440.81646728515625], [1799.442626953125, 205.43252563476562, 1857.933349609375, 389.0813293457031], [794.0220336914062, 147.69395446777344, 854.0689697265625, 318.762451171875], [631.7607421875, 759.1112670898438, 677.6730346679688, 919.060546875], [540.7971801757812, 151.71205139160156, 602.32958984375, 329.53228759765625], [254.79489135742188, 360.00103759765625, 316.452392578125, 576.0927734375], [1433.30322265625, 245.3519287109375, 1500.760986328125, 418.8587341308594], [884.7403564453125, 132.38185119628906, 964.7626953125, 302.34625244140625]]","[0.8506783246994019, 0.8327538967132568, 0.8295316100120544, 0.8143408894538879, 0.8034385442733765, 0.7873964309692383, 0.6314494013786316, 0.5949691534042358, 0.5498636960983276, 0.44183269143104553, 0.43800026178359985, 0.40735572576522827, 0.3618755340576172, 0.36080965399742126, 0.3324030935764313, 0.31063657999038696, 0.2516690790653229]","[[141.9193344116211, 795.036865234375], [1763.744140625, 667.8197631835938], [415.67198181152344, 645.01318359375], [1401.7142333984375, 799.0809936523438], [1107.441650390625, 387.561767578125], [1150.150634765625, 1079.389892578125], [23.012235641479492, 1079.5126953125], [263.0943603515625, 596.5944213867188], [1074.8527221679688, 296.31585693359375], [1659.6907348632812, 440.81646728515625], [1828.68798828125, 389.0813293457031], [824.0455017089844, 318.762451171875], [654.7168884277344, 919.060546875], [571.5633850097656, 329.53228759765625], [285.62364196777344, 576.0927734375], [1467.0321044921875, 418.8587341308594], [924.7515258789062, 302.34625244140625]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
7,,,17,"[3, 1, 5, 2, 4, 6, 7, 8, 9, 11, 17, 13, 12, 18, 14, 15, 16]","[[375.40142822265625, 405.6379089355469, 457.76214599609375, 643.7339477539062], [102.31723022460938, 547.9390258789062, 181.6709442138672, 795.1136474609375], [1054.6044921875, 208.55703735351562, 1152.39208984375, 387.3326721191406], [1357.3355712890625, 574.75146484375, 1446.7716064453125, 798.3815307617188], [1725.64013671875, 458.2987060546875, 1799.9813232421875, 666.2340698242188], [1118.222412109375, 976.0330200195312, 1188.07080078125, 1079.418212890625], [1040.2069091796875, 136.30735778808594, 1105.794677734375, 291.13751220703125], [0.3139829635620117, 871.1477661132812, 46.18733596801758, 1079.5921630859375], [220.83897399902344, 394.89068603515625, 295.8526611328125, 591.7540283203125], [1627.209228515625, 259.1783447265625, 1690.298095703125, 439.5457458496094], [1800.5703125, 206.107666015625, 1859.5264892578125, 389.3460693359375], [539.15283203125, 150.93983459472656, 600.6836547851562, 333.2845153808594], [793.343994140625, 147.49447631835938, 854.092041015625, 319.2249755859375], [630.9290161132812, 759.045654296875, 677.691650390625, 919.9697265625], [1433.525390625, 245.0229034423828, 1499.083984375, 416.74456787109375], [252.01361083984375, 358.3609313964844, 316.3685607910156, 578.989990234375], [878.1754760742188, 131.8679962158203, 963.8616943359375, 304.9792785644531]]","[0.8347002267837524, 0.8317192196846008, 0.8313417434692383, 0.8290262818336487, 0.8075360059738159, 0.7868984937667847, 0.5875771045684814, 0.5778727531433105, 0.5471760034561157, 0.5425984859466553, 0.5205619931221008, 0.39355912804603577, 0.39290449023246765, 0.3494804799556732, 0.3347104787826538, 0.3062441349029541, 0.30102261900901794]","[[416.581787109375, 643.7339477539062], [141.99408721923828, 795.1136474609375], [1103.498291015625, 387.3326721191406], [1402.0535888671875, 798.3815307617188], [1762.8107299804688, 666.2340698242188], [1153.1466064453125, 1079.418212890625], [1073.0007934570312, 291.13751220703125], [23.250659465789795, 1079.5921630859375], [258.34581756591797, 591.7540283203125], [1658.753662109375, 439.5457458496094], [1830.0484008789062, 389.3460693359375], [569.9182434082031, 333.2845153808594], [823.718017578125, 319.2249755859375], [654.3103332519531, 919.9697265625], [1466.3046875, 416.74456787109375], [284.1910858154297, 578.989990234375], [921.0185852050781, 304.9792785644531]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
8,,,16,"[3, 2, 1, 4, 5, 6, 8, 7, 9, 16, 17, 13, 12, 11, 14, 18]","[[375.7684020996094, 403.6458435058594, 458.1936950683594, 641.8239135742188], [1357.308349609375, 575.0469360351562, 1446.5545654296875, 798.4288940429688], [103.07713317871094, 548.0126342773438, 181.30332946777344, 794.0491333007812], [1724.980712890625, 458.2264404296875, 1799.8333740234375, 666.7144775390625], [1050.7664794921875, 208.99021911621094, 1152.5885009765625, 387.3252868652344], [1121.86279296875, 975.7714233398438, 1190.623046875, 1079.4505615234375], [0.31116485595703125, 869.1994018554688, 47.097015380859375, 1079.499267578125], [1037.9329833984375, 137.15760803222656, 1105.68505859375, 288.1291198730469], [218.76083374023438, 393.12030029296875, 300.19427490234375, 582.26123046875], [879.2371215820312, 132.7742156982422, 964.666748046875, 304.8226623535156], [1800.23779296875, 207.9704132080078, 1863.5537109375, 390.9288330078125], [540.7789916992188, 152.3980255126953, 601.0652465820312, 335.97479248046875], [794.558349609375, 147.66415405273438, 854.6321411132812, 320.8266296386719], [1625.691650390625, 258.27471923828125, 1688.981689453125, 439.2640686035156], [1434.509521484375, 245.14907836914062, 1497.6300048828125, 414.475830078125], [632.26806640625, 759.1801147460938, 677.5943603515625, 917.8699951171875]]","[0.845392644405365, 0.8269653916358948, 0.8265713453292847, 0.8172573447227478, 0.8088371157646179, 0.8049705624580383, 0.6433765292167664, 0.6349737644195557, 0.5892852544784546, 0.5012977123260498, 0.48461610078811646, 0.4284169673919678, 0.4013727307319641, 0.39950889348983765, 0.3834933936595917, 0.37118226289749146]","[[416.9810485839844, 641.8239135742188], [1401.9314575195312, 798.4288940429688], [142.1902313232422, 794.0491333007812], [1762.4070434570312, 666.7144775390625], [1101.677490234375, 387.3252868652344], [1156.242919921875, 1079.4505615234375], [23.704090118408203, 1079.499267578125], [1071.8090209960938, 288.1291198730469], [259.47755432128906, 582.26123046875], [921.9519348144531, 304.8226623535156], [1831.895751953125, 390.9288330078125], [570.922119140625, 335.97479248046875], [824.5952453613281, 320.8266296386719], [1657.336669921875, 439.2640686035156], [1466.0697631835938, 414.475830078125], [654.9312133789062, 917.8699951171875]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
9,,,16,"[1, 2, 3, 6, 4, 5, 7, 8, 9, 17, 11, 16, 18, 13, 12, 14]","[[102.84532928466797, 548.0545043945312, 181.14584350585938, 794.318603515625], [1357.15283203125, 575.278076171875, 1446.678466796875, 798.246826171875], [376.9134521484375, 402.08575439453125, 459.81475830078125, 639.9431762695312], [1125.37158203125, 975.6224975585938, 1193.3436279296875, 1079.465576171875], [1723.78271484375, 458.31048583984375, 1798.79541015625, 666.1660766601562], [1049.632080078125, 208.91336059570312, 1152.855224609375, 386.17913818359375], [1035.1949462890625, 137.43605041503906, 1104.5667724609375, 291.6065979003906], [0.3227577209472656, 866.8804321289062, 47.269378662109375, 1079.6583251953125], [216.62844848632812, 392.0486145019531, 293.9693603515625, 586.445068359375], [1799.9395751953125, 210.2153778076172, 1859.9501953125, 395.5456848144531], [1624.872314453125, 258.6376037597656, 1686.8250732421875, 437.4838562011719], [878.9254150390625, 133.3429412841797, 961.5806884765625, 305.27557373046875], [631.5885009765625, 759.0435791015625, 677.6549072265625, 918.1149291992188], [540.7485961914062, 154.69972229003906, 600.47412109375, 337.4986572265625], [793.9598388671875, 147.65093994140625, 854.7683715820312, 319.1294860839844], [1433.60009765625, 243.6502227783203, 1496.175048828125, 411.3259582519531]]","[0.85323166847229, 0.8319831490516663, 0.8145546317100525, 0.8106736540794373, 0.8061406016349792, 0.7692763209342957, 0.6784684062004089, 0.6613197326660156, 0.619718074798584, 0.5631194710731506, 0.5357071161270142, 0.5317351222038269, 0.40020623803138733, 0.38228219747543335, 0.3708682358264923, 0.36695119738578796]","[[141.99558639526367, 794.318603515625], [1401.9156494140625, 798.246826171875], [418.3641052246094, 639.9431762695312], [1159.3576049804688, 1079.465576171875], [1761.2890625, 666.1660766601562], [1101.24365234375, 386.17913818359375], [1069.880859375, 291.6065979003906], [23.79606819152832, 1079.6583251953125], [255.2989044189453, 586.445068359375], [1829.9448852539062, 395.5456848144531], [1655.8486938476562, 437.4838562011719], [920.2530517578125, 305.27557373046875], [654.6217041015625, 918.1149291992188], [570.6113586425781, 337.4986572265625], [824.3641052246094, 319.1294860839844], [1464.8875732421875, 411.3259582519531]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
10,,,16,"[1, 2, 4, 6, 3, 5, 8, 7, 9, 17, 16, 11, 18, 13, 12, 14]","[[103.03246307373047, 548.2828979492188, 181.286376953125, 794.0851440429688], [1357.2552490234375, 574.690185546875, 1447.541015625, 798.4078979492188], [1724.2510986328125, 457.92926025390625, 1798.015380859375, 665.9166870117188], [1129.0150146484375, 975.58935546875, 1195.839599609375, 1079.4844970703125], [376.7635498046875, 400.5228271484375, 460.4830322265625, 636.7413330078125], [1047.0831298828125, 208.13809204101562, 1151.264892578125, 386.1787109375], [0.31978511810302734, 864.4705810546875, 46.5610237121582, 1079.5595703125], [1034.986328125, 138.58566284179688, 1103.0804443359375, 294.2164611816406], [214.73716735839844, 391.5040283203125, 295.1841125488281, 583.98046875], [1799.648681640625, 212.4901123046875, 1862.01708984375, 400.1703796386719], [879.71923828125, 133.7601776123047, 964.011474609375, 305.8711853027344], [1622.83544921875, 257.62591552734375, 1686.09423828125, 437.6746520996094], [631.9041748046875, 759.0175170898438, 677.529296875, 917.6527709960938], [538.7081298828125, 155.63494873046875, 599.0440673828125, 338.4771423339844], [794.9268798828125, 147.61447143554688, 853.4998168945312, 319.36553955078125], [1432.7783203125, 243.6341552734375, 1496.145751953125, 408.9267272949219]]","[0.8402140736579895, 0.8396747708320618, 0.8309065103530884, 0.8073733448982239, 0.7998648881912231, 0.7469753623008728, 0.7030206918716431, 0.6793172955513, 0.6624719500541687, 0.5970458984375, 0.58870929479599, 0.4836388826370239, 0.38360702991485596, 0.362505167722702, 0.36157694458961487, 0.3025820255279541]","[[142.15942001342773, 794.0851440429688], [1402.3981323242188, 798.4078979492188], [1761.1332397460938, 665.9166870117188], [1162.4273071289062, 1079.4844970703125], [418.623291015625, 636.7413330078125], [1099.1740112304688, 386.1787109375], [23.440404415130615, 1079.5595703125], [1069.0333862304688, 294.2164611816406], [254.96063995361328, 583.98046875], [1830.8328857421875, 400.1703796386719], [921.8653564453125, 305.8711853027344], [1654.46484375, 437.6746520996094], [654.7167358398438, 917.6527709960938], [568.8760986328125, 338.4771423339844], [824.2133483886719, 319.36553955078125], [1464.4620361328125, 408.9267272949219]]",1164410880,1152471040,1164410880,640,yolo26m_hq.engine,MOT17-04
