frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,5,"[1, 2, 3, 4, 5]","[[367.77239990234375, 410.11529541015625, 452.4906311035156, 648.7852172851562], [100.58872985839844, 546.537109375, 180.43511962890625, 796.2249755859375], [1732.0340576171875, 458.8975830078125, 1807.1182861328125, 672.01123046875], [227.94259643554688, 365.8840637207031, 327.4283142089844, 591.1463623046875], [788.4125366210938, 145.99618530273438, 852.8051147460938, 316.8469543457031]]","[0.8606147170066833, 0.8154229521751404, 0.5022635459899902, 0.4772198498249054, 0.35472506284713745]","[[410.1315155029297, 648.7852172851562], [140.51192474365234, 796.2249755859375], [1769.576171875, 672.01123046875], [277.6854553222656, 591.1463623046875], [820.6088256835938, 316.8469543457031]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
2,,,5,"[1, 2, 4, 3, 5]","[[369.81890869140625, 409.4811096191406, 453.3293151855469, 648.77685546875], [100.67182159423828, 547.386962890625, 180.52720642089844, 795.7357788085938], [226.63446044921875, 365.3934326171875, 326.1835632324219, 592.1885986328125], [1732.400634765625, 458.6869201660156, 1807.1427001953125, 672.3657836914062], [788.2501831054688, 145.98524475097656, 852.7227172851562, 317.0544128417969]]","[0.871548593044281, 0.8119887113571167, 0.5290167331695557, 0.408247172832489, 0.3075580298900604]","[[411.57411193847656, 648.77685546875], [140.59951400756836, 795.7357788085938], [276.4090118408203, 592.1885986328125], [1769.7716674804688, 672.3657836914062], [820.4864501953125, 317.0544128417969]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
3,,,5,"[1, 2, 4, 3, 5]","[[371.3127746582031, 408.39453125, 454.2184753417969, 648.7566528320312], [101.36065673828125, 547.3197631835938, 180.28167724609375, 796.0724487304688], [223.19100952148438, 364.77032470703125, 324.82568359375, 593.228271484375], [1730.244140625, 458.80670166015625, 1804.742431640625, 668.3766479492188], [787.3782958984375, 146.409423828125, 852.4891357421875, 316.4929504394531]]","[0.8710541129112244, 0.8118772506713867, 0.6949099898338318, 0.5312988758087158, 0.28411391377449036]","[[412.765625, 648.7566528320312], [140.8211669921875, 796.0724487304688], [274.0083465576172, 593.228271484375], [1767.4932861328125, 668.3766479492188], [819.9337158203125, 316.4929504394531]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
4,,,6,"[1, 2, 3, 4, 6, 5]","[[371.5386962890625, 408.4740295410156, 453.3475646972656, 647.8406982421875], [101.44022369384766, 546.6866455078125, 180.84132385253906, 795.9916381835938], [1729.2130126953125, 457.3326110839844, 1804.091552734375, 671.2320556640625], [222.23561096191406, 363.941162109375, 322.7209777832031, 591.3137817382812], [1076.14599609375, 211.8524169921875, 1154.868896484375, 387.9119567871094], [787.0505981445312, 145.38058471679688, 852.9319458007812, 317.88134765625]]","[0.8637884259223938, 0.8194743990898132, 0.5520339012145996, 0.5318339467048645, 0.5161634683609009, 0.2986854910850525]","[[412.44313049316406, 647.8406982421875], [141.14077377319336, 795.9916381835938], [1766.6522827148438, 671.2320556640625], [272.4782943725586, 591.3137817382812], [1115.5074462890625, 387.9119567871094], [819.9912719726562, 317.88134765625]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
5,,,6,"[1, 2, 6, 3, 4, 5]","[[373.2650451660156, 408.2643737792969, 454.5146484375, 646.853515625], [101.27861785888672, 546.6503295898438, 180.18479919433594, 795.908203125], [1066.2347412109375, 212.4114990234375, 1153.3631591796875, 387.4599304199219], [1726.9677734375, 458.4434509277344, 1803.53857421875, 674.2548828125], [221.1195831298828, 387.125, 317.5382080078125, 594.4224243164062], [787.2760620117188, 146.25308227539062, 853.6474609375, 318.5302429199219]]","[0.8679198622703552, 0.8024801015853882, 0.6437909007072449, 0.5398855209350586, 0.4668005704879761, 0.3772262930870056]","[[413.8898468017578, 646.853515625], [140.73170852661133, 795.908203125], [1109.7989501953125, 387.4599304199219], [1765.253173828125, 674.2548828125], [269.32889556884766, 594.4224243164062], [820.4617614746094, 318.5302429199219]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
6,,,6,"[1, 2, 6, 3, 4, 5]","[[373.1364440917969, 407.5887451171875, 456.05010986328125, 645.5369873046875], [101.81153869628906, 546.5518188476562, 180.9847412109375, 795.7216186523438], [1059.4871826171875, 211.9709930419922, 1153.301025390625, 387.57269287109375], [1726.2711181640625, 458.439697265625, 1802.7042236328125, 675.492919921875], [219.9092254638672, 360.4478759765625, 316.3914794921875, 593.7862548828125], [786.4349975585938, 146.38876342773438, 853.2843627929688, 317.8421630859375]]","[0.8711022138595581, 0.8045521974563599, 0.6610210537910461, 0.6009421348571777, 0.49898219108581543, 0.313005268573761]","[[414.59327697753906, 645.5369873046875], [141.39813995361328, 795.7216186523438], [1106.3941040039062, 387.57269287109375], [1764.4876708984375, 675.492919921875], [268.15035247802734, 593.7862548828125], [819.8596801757812, 317.8421630859375]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
7,,,6,"[1, 2, 6, 4, 3, 5]","[[373.93115234375, 406.5312805175781, 456.6868896484375, 644.7097778320312], [101.3709487915039, 546.626708984375, 181.04461669921875, 795.3690185546875], [1050.87939453125, 212.7794647216797, 1153.8994140625, 388.3915100097656], [217.2108154296875, 358.5921936035156, 315.8101806640625, 591.74365234375], [1724.7430419921875, 457.65789794921875, 1802.9239501953125, 671.0234985351562], [786.7154541015625, 146.17115783691406, 853.5421752929688, 318.1692810058594]]","[0.8740049600601196, 0.7935217618942261, 0.6699827313423157, 0.5388574004173279, 0.4286745488643646, 0.3233717679977417]","[[415.30902099609375, 644.7097778320312], [141.20778274536133, 795.3690185546875], [1102.389404296875, 388.3915100097656], [266.510498046875, 591.74365234375], [1763.83349609375, 671.0234985351562], [820.1288146972656, 318.1692810058594]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
8,,,7,"[1, 2, 6, 3, 4, 5, 8]","[[375.1947326660156, 404.9609069824219, 456.5045166015625, 642.4991455078125], [102.74655151367188, 546.6761474609375, 181.15663146972656, 795.6830444335938], [1049.5882568359375, 214.87623596191406, 1152.8699951171875, 388.4610900878906], [1722.4110107421875, 457.3045654296875, 1801.275390625, 664.7744750976562], [216.2867889404297, 360.0610656738281, 313.4765930175781, 585.328125], [786.7000732421875, 146.92498779296875, 853.6354370117188, 317.92657470703125], [1351.55615234375, 570.5252075195312, 1456.5750732421875, 815.8678588867188]]","[0.8712540864944458, 0.7930251955986023, 0.6178515553474426, 0.4778018295764923, 0.35628020763397217, 0.3562558889389038, 0.3322483003139496]","[[415.84962463378906, 642.4991455078125], [141.95159149169922, 795.6830444335938], [1101.2291259765625, 388.4610900878906], [1761.8432006835938, 664.7744750976562], [264.8816909790039, 585.328125], [820.1677551269531, 317.92657470703125], [1404.0656127929688, 815.8678588867188]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
9,,,8,"[1, 2, 4, 3, 6, 9, 8, 5]","[[375.107421875, 402.72076416015625, 457.25860595703125, 640.2191772460938], [102.53227233886719, 546.540771484375, 180.9481201171875, 795.4021606445312], [215.5830841064453, 356.7314453125, 313.132080078125, 590.1443481445312], [1721.7840576171875, 457.7569885253906, 1800.811279296875, 664.8252563476562], [1045.4532470703125, 215.7654266357422, 1151.8917236328125, 386.6226806640625], [880.3489990234375, 128.91909790039062, 968.7141723632812, 307.673583984375], [1351.7542724609375, 571.6380004882812, 1454.6796875, 813.2607421875], [786.3024291992188, 146.68978881835938, 852.987548828125, 316.73101806640625]]","[0.8690768480300903, 0.7887814044952393, 0.5317760109901428, 0.44478556513786316, 0.43707776069641113, 0.3310910165309906, 0.26976197957992554, 0.2664530873298645]","[[416.1830139160156, 640.2191772460938], [141.74019622802734, 795.4021606445312], [264.35758209228516, 590.1443481445312], [1761.2976684570312, 664.8252563476562], [1098.6724853515625, 386.6226806640625], [924.5315856933594, 307.673583984375], [1403.2169799804688, 813.2607421875], [819.6449890136719, 316.73101806640625]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
10,,,7,"[1, 2, 6, 5, 3, 4, 9]","[[376.6257019042969, 401.5501708984375, 456.6111755371094, 638.0447998046875], [102.51905822753906, 546.9302978515625, 180.91493225097656, 795.29345703125], [1041.2752685546875, 213.58096313476562, 1151.1767578125, 385.48101806640625], [787.18603515625, 146.01296997070312, 852.9404296875, 316.8489074707031], [1722.211669921875, 457.5232849121094, 1801.1744384765625, 666.2637939453125], [213.16932678222656, 359.3921813964844, 312.7395324707031, 584.4666137695312], [880.9515380859375, 129.26776123046875, 968.8447875976562, 307.0498046875]]","[0.8174867033958435, 0.7688986659049988, 0.5321483016014099, 0.3571583926677704, 0.35404670238494873, 0.3414481580257416, 0.3076704740524292]","[[416.6184387207031, 638.0447998046875], [141.7169952392578, 795.29345703125], [1096.2260131835938, 385.48101806640625], [820.063232421875, 316.8489074707031], [1761.6930541992188, 666.2637939453125], [262.95442962646484, 584.4666137695312], [924.8981628417969, 307.0498046875]]",1158098944,1146019840,1158098944,576,yolo26n_576_hq.engine,MOT17-04
