frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[369.61260986328125, 410.10870361328125, 452.5815124511719, 650.4085693359375], [100.51055145263672, 546.6962890625, 177.35809326171875, 794.7486572265625], [229.5501708984375, 366.04071044921875, 327.70654296875, 596.3504638671875], [1353.5902099609375, 571.623291015625, 1459.609375, 819.9033203125], [1733.306884765625, 459.8999328613281, 1805.7396240234375, 670.783203125], [0.3705940246582031, 881.126220703125, 45.14408874511719, 1079.6505126953125], [1103.7015380859375, 212.94424438476562, 1161.723388671875, 387.9425964355469]]","[0.8300052881240845, 0.7979652881622314, 0.6836463809013367, 0.6285781860351562, 0.5108036994934082, 0.4382365345954895, 0.3772762715816498]","[[411.09706115722656, 650.4085693359375], [138.93432235717773, 794.7486572265625], [278.62835693359375, 596.3504638671875], [1406.5997924804688, 819.9033203125], [1769.5232543945312, 670.783203125], [22.757341384887695, 1079.6505126953125], [1132.7124633789062, 387.9425964355469]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
2,,,7,"[1, 2, 3, 4, 5, 7, 6]","[[370.899658203125, 409.85577392578125, 453.1169128417969, 650.0726928710938], [100.96261596679688, 546.4547119140625, 177.66085815429688, 794.9962158203125], [227.02789306640625, 367.8152160644531, 325.5391540527344, 599.0934448242188], [1353.9327392578125, 572.0839233398438, 1458.5252685546875, 820.2333374023438], [1731.5908203125, 460.2288513183594, 1806.110595703125, 670.1748046875], [1097.5582275390625, 212.87953186035156, 1158.3231201171875, 388.0372009277344], [0.34250450134277344, 878.823486328125, 43.0152702331543, 1078.957275390625]]","[0.8424454927444458, 0.8017597794532776, 0.6361074447631836, 0.6113271713256836, 0.4589109718799591, 0.3791499733924866, 0.3005732297897339]","[[412.00828552246094, 650.0726928710938], [139.31173706054688, 794.9962158203125], [276.2835235595703, 599.0934448242188], [1406.22900390625, 820.2333374023438], [1768.8507080078125, 670.1748046875], [1127.940673828125, 388.0372009277344], [21.678887367248535, 1078.957275390625]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
3,,,6,"[1, 2, 5, 4, 3, 7]","[[371.7735595703125, 409.0777893066406, 453.50732421875, 650.395263671875], [101.31175231933594, 546.7742309570312, 177.66903686523438, 794.88427734375], [1731.38134765625, 459.22930908203125, 1804.8095703125, 669.3363647460938], [1353.8895263671875, 572.2257690429688, 1458.024169921875, 820.3642578125], [226.39651489257812, 365.4112243652344, 324.6316223144531, 599.85693359375], [1085.8594970703125, 212.21754455566406, 1156.4852294921875, 388.38714599609375]]","[0.847185492515564, 0.8035339713096619, 0.6526867151260376, 0.6429515480995178, 0.5876214504241943, 0.5206893682479858]","[[412.64044189453125, 650.395263671875], [139.49039459228516, 794.88427734375], [1768.095458984375, 669.3363647460938], [1405.9568481445312, 820.3642578125], [275.5140686035156, 599.85693359375], [1121.17236328125, 388.38714599609375]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
4,,,8,"[1, 2, 3, 4, 5, 7, 8, 6]","[[371.8980712890625, 409.09967041015625, 452.73944091796875, 650.00244140625], [100.95185852050781, 546.8330078125, 178.0187530517578, 794.8153686523438], [222.74766540527344, 372.6631774902344, 319.5826416015625, 598.1390991210938], [1353.21142578125, 571.8711547851562, 1457.3966064453125, 820.453125], [1728.383544921875, 458.7171630859375, 1804.67822265625, 668.303466796875], [1077.114013671875, 210.7262725830078, 1154.140625, 387.50592041015625], [877.24365234375, 126.17182922363281, 964.0106201171875, 298.8746337890625], [0.4168567657470703, 875.4074096679688, 45.64136505126953, 1078.344482421875]]","[0.8551966547966003, 0.8245368599891663, 0.6945806741714478, 0.684134840965271, 0.6708801984786987, 0.5845745801925659, 0.40701988339424133, 0.3909405767917633]","[[412.3187561035156, 650.00244140625], [139.4853057861328, 794.8153686523438], [271.16515350341797, 598.1390991210938], [1405.3040161132812, 820.453125], [1766.5308837890625, 668.303466796875], [1115.6273193359375, 387.50592041015625], [920.6271362304688, 298.8746337890625], [23.0291109085083, 1078.344482421875]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
5,,,8,"[1, 2, 7, 5, 4, 3, 8, 6]","[[373.4169921875, 408.5242919921875, 453.9368896484375, 649.3788452148438], [100.97840881347656, 546.2900390625, 177.6417694091797, 794.777099609375], [1066.610107421875, 211.26341247558594, 1151.7554931640625, 386.9346923828125], [1727.32666015625, 458.86517333984375, 1804.286376953125, 669.766845703125], [1353.9422607421875, 572.3314208984375, 1457.4586181640625, 820.3718872070312], [221.7967987060547, 361.3800048828125, 319.7795104980469, 595.3577880859375], [877.9873046875, 127.57073974609375, 964.6932373046875, 301.89678955078125], [0.4023399353027344, 874.4780883789062, 46.76192855834961, 1077.51611328125]]","[0.8551246523857117, 0.807542622089386, 0.7067034244537354, 0.6818926930427551, 0.6336994171142578, 0.5814734697341919, 0.38559257984161377, 0.31146591901779175]","[[413.67694091796875, 649.3788452148438], [139.31008911132812, 794.777099609375], [1109.1828002929688, 386.9346923828125], [1765.8065185546875, 669.766845703125], [1405.700439453125, 820.3718872070312], [270.7881546020508, 595.3577880859375], [921.3402709960938, 301.89678955078125], [23.582134246826172, 1077.51611328125]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
6,,,9,"[1, 2, 7, 4, 3, 5, 8, 9, 6]","[[373.61016845703125, 407.4039001464844, 454.90673828125, 648.1539916992188], [101.29423522949219, 546.6071166992188, 177.93936157226562, 794.6853637695312], [1060.14453125, 211.25039672851562, 1151.451904296875, 387.4945983886719], [1353.8924560546875, 572.3992309570312, 1456.54150390625, 819.756103515625], [218.77574157714844, 360.8363342285156, 316.93023681640625, 595.5726318359375], [1725.878662109375, 459.07745361328125, 1804.6123046875, 671.8836059570312], [880.2760009765625, 127.4967041015625, 965.93994140625, 304.0941162109375], [1627.39404296875, 258.6561584472656, 1700.5535888671875, 400.97393798828125], [0.39609718322753906, 872.2512817382812, 47.30729293823242, 1076.8433837890625]]","[0.866020679473877, 0.796090841293335, 0.7516677379608154, 0.6311625838279724, 0.5760543346405029, 0.5369368195533752, 0.3709124028682709, 0.3537280261516571, 0.312682569026947]","[[414.2584533691406, 648.1539916992188], [139.6167984008789, 794.6853637695312], [1105.7982177734375, 387.4945983886719], [1405.2169799804688, 819.756103515625], [267.85298919677734, 595.5726318359375], [1765.2454833984375, 671.8836059570312], [923.1079711914062, 304.0941162109375], [1663.9738159179688, 400.97393798828125], [23.85169506072998, 1076.8433837890625]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
7,,,8,"[1, 2, 7, 4, 8, 3, 9, 6]","[[374.8047180175781, 406.121337890625, 457.22882080078125, 646.9352416992188], [100.73695373535156, 546.4312133789062, 177.75013732910156, 794.7274780273438], [1055.619384765625, 211.64283752441406, 1152.16943359375, 388.2386169433594], [1353.5933837890625, 572.365234375, 1457.22900390625, 819.9631958007812], [878.67041015625, 128.12100219726562, 965.692138671875, 305.3964538574219], [217.27139282226562, 360.7852783203125, 313.26593017578125, 588.6871337890625], [1626.8272705078125, 258.1326904296875, 1698.185791015625, 403.1622009277344], [0.38323974609375, 871.1630249023438, 47.15892028808594, 1076.621826171875]]","[0.8637059926986694, 0.8015114665031433, 0.7554059028625488, 0.6759588718414307, 0.45064184069633484, 0.44825279712677, 0.3995456397533417, 0.33882948756217957]","[[416.0167694091797, 646.9352416992188], [139.24354553222656, 794.7274780273438], [1103.8944091796875, 388.2386169433594], [1405.4111938476562, 819.9631958007812], [922.1812744140625, 305.3964538574219], [265.26866149902344, 588.6871337890625], [1662.5065307617188, 403.1622009277344], [23.771080017089844, 1076.621826171875]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
8,,,9,"[1, 2, 7, 4, 3, 8, 9, 6, 5]","[[375.8752136230469, 404.8878479003906, 456.74365234375, 643.7346801757812], [100.95895385742188, 546.6235961914062, 177.848388671875, 795.0155029296875], [1050.8076171875, 213.3383331298828, 1150.84912109375, 386.20745849609375], [1353.7789306640625, 572.4640502929688, 1457.3758544921875, 819.8310546875], [214.39585876464844, 358.6855773925781, 312.1894226074219, 576.1129760742188], [879.5316162109375, 128.51718139648438, 967.1808471679688, 306.24835205078125], [1625.487548828125, 257.38043212890625, 1699.76318359375, 402.2657775878906], [0.4237346649169922, 868.9464111328125, 47.93770217895508, 1076.0750732421875], [1722.8675537109375, 458.33795166015625, 1802.647705078125, 667.6347045898438]]","[0.8611612319946289, 0.7908434867858887, 0.7310945391654968, 0.6139510869979858, 0.4654499888420105, 0.44416260719299316, 0.3958832919597626, 0.28254297375679016, 0.2654851973056793]","[[416.30943298339844, 643.7346801757812], [139.40367126464844, 795.0155029296875], [1100.828369140625, 386.20745849609375], [1405.577392578125, 819.8310546875], [263.29264068603516, 576.1129760742188], [923.3562316894531, 306.24835205078125], [1662.6253662109375, 402.2657775878906], [24.180718421936035, 1076.0750732421875], [1762.7576293945312, 667.6347045898438]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
9,,,8,"[2, 4, 3, 7, 8, 1, 9, 5]","[[100.53347778320312, 546.86865234375, 178.23715209960938, 795.0745849609375], [1354.11962890625, 572.673095703125, 1456.3360595703125, 819.408935546875], [212.79872131347656, 356.54180908203125, 313.2208557128906, 587.2616577148438], [1046.1907958984375, 215.70205688476562, 1150.9622802734375, 385.19769287109375], [880.1424560546875, 128.55416870117188, 968.177978515625, 305.6304016113281], [376.6617736816406, 403.66949462890625, 458.23516845703125, 641.1276245117188], [1625.113037109375, 257.5903625488281, 1692.26708984375, 401.39404296875], [1722.57861328125, 457.9432373046875, 1801.8408203125, 667.443359375]]","[0.8002679347991943, 0.6109083294868469, 0.6011090874671936, 0.5990131497383118, 0.5597222447395325, 0.4200616776943207, 0.337817519903183, 0.27176663279533386]","[[139.38531494140625, 795.0745849609375], [1405.2278442382812, 819.408935546875], [263.0097885131836, 587.2616577148438], [1098.5765380859375, 385.19769287109375], [924.1602172851562, 305.6304016113281], [417.44847106933594, 641.1276245117188], [1658.6900634765625, 401.39404296875], [1762.209716796875, 667.443359375]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
10,,,8,"[1, 2, 4, 3, 8, 9, 5, 6]","[[377.4100341796875, 401.6195373535156, 457.88818359375, 638.762939453125], [101.12812042236328, 547.1925048828125, 178.51834106445312, 794.816650390625], [1353.5872802734375, 571.8064575195312, 1455.98681640625, 818.8905639648438], [209.4221649169922, 355.2306213378906, 313.2934875488281, 585.12158203125], [880.186279296875, 128.9139404296875, 968.4185791015625, 305.96783447265625], [1623.4639892578125, 256.8651123046875, 1690.042236328125, 400.2652893066406], [1722.8096923828125, 457.88897705078125, 1801.1605224609375, 666.5989379882812], [0.38921356201171875, 863.4791870117188, 47.82224655151367, 1076.5653076171875]]","[0.8353441953659058, 0.8001868724822998, 0.6402212381362915, 0.6401849985122681, 0.5693691372871399, 0.3978383541107178, 0.3604263663291931, 0.2782770097255707]","[[417.64910888671875, 638.762939453125], [139.8232307434082, 794.816650390625], [1404.7870483398438, 818.8905639648438], [261.35782623291016, 585.12158203125], [924.3024291992188, 305.96783447265625], [1656.7531127929688, 400.2652893066406], [1761.985107421875, 666.5989379882812], [24.105730056762695, 1076.5653076171875]]",1163067392,1151057920,1163067392,640,yolo26n_hq.engine,MOT17-04
