frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,6,"[1, 2, 3, 4, 5, 6]","[[1696.933349609375, 389.5108337402344, 1868.732666015625, 728.8012084960938], [0.5665460824966431, 341.14361572265625, 121.86762237548828, 902.9652099609375], [1288.283447265625, 460.63909912109375, 1363.99951171875, 658.0314331054688], [247.70481872558594, 455.45892333984375, 358.3041687011719, 705.1759033203125], [1885.093994140625, 395.7525329589844, 1919.2095947265625, 574.0855102539062], [118.44001770019531, 511.58856201171875, 208.96119689941406, 745.721923828125]]","[0.8865473866462708, 0.7600081562995911, 0.7273551821708679, 0.5076104402542114, 0.3768179416656494, 0.3694203794002533]","[[1782.8330078125, 728.8012084960938], [61.21708422899246, 902.9652099609375], [1326.1414794921875, 658.0314331054688], [303.0044937133789, 705.1759033203125], [1902.1517944335938, 574.0855102539062], [163.7006072998047, 745.721923828125]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
2,,,6,"[1, 2, 3, 4, 5, 6]","[[1690.1483154296875, 387.8778076171875, 1866.240234375, 728.5554809570312], [0.3948720097541809, 338.12548828125, 124.26949310302734, 905.12060546875], [1291.3272705078125, 461.2479248046875, 1368.66064453125, 659.3247680664062], [254.0557861328125, 456.7979736328125, 357.1136779785156, 706.7354736328125], [1882.08251953125, 393.7585754394531, 1919.2120361328125, 571.5137939453125], [116.63307189941406, 510.566650390625, 201.1377716064453, 746.0480346679688]]","[0.8898142576217651, 0.8603726029396057, 0.7590344548225403, 0.69954514503479, 0.613937258720398, 0.40904077887535095]","[[1778.1942749023438, 728.5554809570312], [62.33218255639076, 905.12060546875], [1329.9939575195312, 659.3247680664062], [305.58473205566406, 706.7354736328125], [1900.6472778320312, 571.5137939453125], [158.8854217529297, 746.0480346679688]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
3,,,6,"[1, 2, 3, 5, 4, 6]","[[1686.6298828125, 388.85186767578125, 1863.5499267578125, 728.973876953125], [0.3754679262638092, 322.4937438964844, 128.3143768310547, 904.644287109375], [1293.71240234375, 460.6108093261719, 1364.4786376953125, 658.1957397460938], [1881.8348388671875, 391.39532470703125, 1919.1910400390625, 569.4446411132812], [260.1693420410156, 456.84088134765625, 362.4432373046875, 706.6139526367188], [117.97299194335938, 508.6123046875, 202.023193359375, 746.1376342773438]]","[0.9118349552154541, 0.8787250518798828, 0.6180372834205627, 0.6130101084709167, 0.6129820346832275, 0.3876321613788605]","[[1775.0899047851562, 728.973876953125], [64.34492237865925, 904.644287109375], [1329.0955200195312, 658.1957397460938], [1900.512939453125, 569.4446411132812], [311.30628967285156, 706.6139526367188], [159.9980926513672, 746.1376342773438]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
4,,,6,"[1, 2, 4, 5, 3, 6]","[[1688.3714599609375, 388.7679748535156, 1861.388916015625, 730.218994140625], [0.6749979257583618, 255.21829223632812, 133.79502868652344, 904.4689331054688], [259.56756591796875, 456.585205078125, 359.354248046875, 706.7899780273438], [1880.2838134765625, 389.6533203125, 1919.1925048828125, 572.636474609375], [1296.875732421875, 460.99017333984375, 1372.8719482421875, 658.8754272460938], [118.00415802001953, 508.1327819824219, 205.1007843017578, 745.7272338867188]]","[0.9020214080810547, 0.8889848589897156, 0.7206847667694092, 0.6402770280838013, 0.5972333550453186, 0.5314922332763672]","[[1774.8801879882812, 730.218994140625], [67.2350133061409, 904.4689331054688], [309.4609069824219, 706.7899780273438], [1899.7381591796875, 572.636474609375], [1334.8738403320312, 658.8754272460938], [161.55247116088867, 745.7272338867188]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
5,,,6,"[2, 1, 4, 3, 5, 6]","[[0.4868570864200592, 246.8697509765625, 155.30601501464844, 908.490234375], [1693.984130859375, 387.8946228027344, 1862.1890869140625, 735.413818359375], [254.24435424804688, 458.6314392089844, 358.82489013671875, 706.5858154296875], [1297.8433837890625, 460.263916015625, 1376.768310546875, 659.2257690429688], [1879.383056640625, 386.50933837890625, 1919.19287109375, 572.5689086914062], [119.74390411376953, 512.1355590820312, 201.94879150390625, 746.0125122070312]]","[0.9353484511375427, 0.8966718316078186, 0.7289254665374756, 0.7087758779525757, 0.645276665687561, 0.4923531115055084]","[[77.89643605053425, 908.490234375], [1778.0866088867188, 735.413818359375], [306.5346221923828, 706.5858154296875], [1337.3058471679688, 659.2257690429688], [1899.2879638671875, 572.5689086914062], [160.8463478088379, 746.0125122070312]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
6,,,6,"[2, 1, 4, 3, 6, 5]","[[0.47657012939453125, 241.47433471679688, 158.46153259277344, 907.9007568359375], [1694.6265869140625, 387.8652648925781, 1857.16162109375, 737.5963745117188], [253.50289916992188, 458.3059997558594, 358.9975891113281, 706.062255859375], [1299.869873046875, 460.067138671875, 1377.4443359375, 658.877685546875], [118.6426010131836, 510.4812316894531, 204.3650665283203, 745.964599609375], [1879.20849609375, 384.7327575683594, 1919.203857421875, 573.6326293945312]]","[0.9387341141700745, 0.8856947422027588, 0.7191488742828369, 0.6505197286605835, 0.5438646674156189, 0.46568119525909424]","[[79.46905136108398, 907.9007568359375], [1775.8941040039062, 737.5963745117188], [306.250244140625, 706.062255859375], [1338.6571044921875, 658.877685546875], [161.50383377075195, 745.964599609375], [1899.2061767578125, 573.6326293945312]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
7,,,6,"[2, 1, 5, 4, 3, 6]","[[0.5178578495979309, 233.37374877929688, 154.52210998535156, 908.2322387695312], [1693.922607421875, 388.85906982421875, 1853.252685546875, 738.751708984375], [1874.088134765625, 343.82989501953125, 1919.1983642578125, 579.46240234375], [271.6065673828125, 457.0590515136719, 357.3979187011719, 704.1055297851562], [1303.419677734375, 458.90966796875, 1380.39501953125, 658.5524291992188], [116.61407470703125, 511.7030029296875, 201.4733428955078, 745.94970703125]]","[0.9136570692062378, 0.8715808987617493, 0.6927560567855835, 0.6917792558670044, 0.6240458488464355, 0.5722485184669495]","[[77.51998391747475, 908.2322387695312], [1773.587646484375, 738.751708984375], [1896.6432495117188, 579.46240234375], [314.5022430419922, 704.1055297851562], [1341.9073486328125, 658.5524291992188], [159.04370880126953, 745.94970703125]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
8,,,6,"[2, 1, 4, 3, 5, 6]","[[0.4944610595703125, 230.97576904296875, 159.38722229003906, 907.0990600585938], [1694.6812744140625, 391.0735168457031, 1852.296875, 738.3462524414062], [272.1577453613281, 457.5471496582031, 357.3194580078125, 704.6744995117188], [1305.347900390625, 459.6907653808594, 1382.7337646484375, 658.5274658203125], [1873.2294921875, 347.5704650878906, 1919.197998046875, 584.6171875], [118.37847137451172, 511.0015869140625, 199.7610321044922, 745.9757080078125]]","[0.9306050539016724, 0.8630337715148926, 0.731637179851532, 0.716280460357666, 0.6310209035873413, 0.48674511909484863]","[[79.94084167480469, 907.0990600585938], [1773.4890747070312, 738.3462524414062], [314.7386016845703, 704.6744995117188], [1344.0408325195312, 658.5274658203125], [1896.2137451171875, 584.6171875], [159.06975173950195, 745.9757080078125]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
9,,,6,"[2, 1, 3, 4, 5, 6]","[[0.6584421396255493, 228.9402618408203, 166.0391387939453, 906.8560180664062], [1693.5963134765625, 390.9959716796875, 1846.2186279296875, 739.8666381835938], [1305.0045166015625, 459.9480895996094, 1386.6055908203125, 658.7052001953125], [268.70074462890625, 456.7104797363281, 358.5877380371094, 703.7039184570312], [1871.1490478515625, 381.5633239746094, 1919.197509765625, 588.2416381835938], [119.32705688476562, 511.1777038574219, 199.26104736328125, 745.6550903320312]]","[0.9359965324401855, 0.869801938533783, 0.7689879536628723, 0.7141265869140625, 0.5750045776367188, 0.5718093514442444]","[[83.34879046678543, 906.8560180664062], [1769.907470703125, 739.8666381835938], [1345.8050537109375, 658.7052001953125], [313.6442413330078, 703.7039184570312], [1895.1732788085938, 588.2416381835938], [159.29405212402344, 745.6550903320312]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
10,,,6,"[2, 1, 5, 4, 3, 6]","[[0.8555984497070312, 230.1378173828125, 170.62762451171875, 906.5849609375], [1693.7960205078125, 390.0051574707031, 1838.8431396484375, 742.90576171875], [1869.4158935546875, 385.2276611328125, 1919.2010498046875, 594.4369506835938], [266.88494873046875, 456.3780517578125, 358.59515380859375, 703.1873779296875], [1307.6151123046875, 459.6355895996094, 1388.3857421875, 659.69580078125], [120.37981414794922, 510.2282409667969, 200.16908264160156, 745.804931640625]]","[0.9359977841377258, 0.8407862186431885, 0.7871909737586975, 0.7702198028564453, 0.7620254755020142, 0.5264825820922852]","[[85.74161148071289, 906.5849609375], [1766.319580078125, 742.90576171875], [1894.3084716796875, 594.4369506835938], [312.74005126953125, 703.1873779296875], [1348.0004272460938, 659.69580078125], [160.2744483947754, 745.804931640625]]",1163653120,1151819776,1163653120,576,yolo26m_576_hq.engine,MOT17-09
