frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,imgsz,model,seq
1,,6,"[1, 2, 3, 4, 5, 6]","[[1697.25, 387.9140625, 1865.625, 728.89453125], [0.5625, 341.296875, 118.5, 904.078125], [247.171875, 456.15234375, 384.46875, 705.796875], [1288.6875, 461.689453125, 1364.6953125, 658.65234375], [1255.359375, 538.20703125, 1318.59375, 656.6748046875], [1886.015625, 394.98046875, 1919.3203125, 573.591796875]]","[0.9149009585380554, 0.8824278712272644, 0.8244618773460388, 0.8221890926361084, 0.6671476364135742, 0.5175709128379822]","[[1781.4375, 728.89453125], [59.53125, 904.078125], [315.8203125, 705.796875], [1326.69140625, 658.65234375], [1286.9765625, 656.6748046875], [1902.66796875, 573.591796875]]",0,0,640,yolo26m_hq.engine,MOT17-09
2,,6,"[1, 3, 4, 2, 5, 6]","[[1691.8125, 387.703125, 1856.71875, 728.68359375], [252.046875, 457.83984375, 385.6875, 706.4296875], [1294.59375, 460.58203125, 1358.109375, 658.44140625], [0.5625, 338.34375, 122.109375, 904.078125], [1257.421875, 540.2109375, 1317.515625, 657.703125], [1881.84375, 393.3984375, 1919.296875, 574.171875]]","[0.9284088015556335, 0.8031737804412842, 0.7310585975646973, 0.7248703241348267, 0.6548947095870972, 0.6261242032051086]","[[1774.265625, 728.68359375], [318.8671875, 706.4296875], [1326.3515625, 658.44140625], [61.3359375, 904.078125], [1287.46875, 657.703125], [1900.5703125, 574.171875]]",0,0,640,yolo26m_hq.engine,MOT17-09
3,,6,"[1, 2, 4, 3, 5, 6]","[[1688.71875, 388.125, 1853.109375, 728.578125], [0.375, 321.890625, 133.6875, 905.765625], [1295.296875, 460.16015625, 1358.859375, 658.810546875], [258.84375, 457.734375, 384.421875, 706.32421875], [1259.109375, 541.0546875, 1313.765625, 657.228515625], [1881.375, 390.97265625, 1919.296875, 572.853515625]]","[0.9219217896461487, 0.9161096215248108, 0.7786493301391602, 0.7745833992958069, 0.672331690788269, 0.6584175229072571]","[[1770.9140625, 728.578125], [67.03125, 905.765625], [1327.078125, 658.810546875], [321.6328125, 706.32421875], [1286.4375, 657.228515625], [1900.3359375, 572.853515625]]",0,0,640,yolo26m_hq.engine,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1687.21875, 388.3359375, 1849.875, 729.73828125], [0.46875, 259.875, 139.921875, 906.3984375], [255.28125, 457.5234375, 382.359375, 706.8515625], [1298.765625, 459.580078125, 1362.2109375, 658.705078125], [1261.96875, 540.580078125, 1312.828125, 657.28125], [1880.390625, 389.232421875, 1919.2734375, 571.271484375], [119.296875, 506.98828125, 197.015625, 745.55859375]]","[0.9161096215248108, 0.9111796617507935, 0.7386690378189087, 0.7154240012168884, 0.6187804341316223, 0.5583270192146301, 0.4765796363353729]","[[1768.546875, 729.73828125], [70.1953125, 906.3984375], [318.8203125, 706.8515625], [1330.48828125, 658.705078125], [1287.3984375, 657.28125], [1899.83203125, 571.271484375], [158.15625, 745.55859375]]",0,0,640,yolo26m_hq.engine,MOT17-09
5,,7,"[2, 1, 4, 3, 6, 7, 5]","[[0.5625, 249.328125, 151.5, 904.7109375], [1688.671875, 386.96484375, 1849.03125, 733.21875], [1300.546875, 460.634765625, 1375.96875, 658.96875], [253.21875, 456.46875, 359.34375, 706.693359375], [1879.40625, 350.15625, 1919.3203125, 569.109375], [119.53125, 514.8984375, 201.3515625, 745.453125], [1267.78125, 540.10546875, 1312.59375, 657.333984375]]","[0.9268352389335632, 0.9136765599250793, 0.7759445905685425, 0.6406359076499939, 0.5234203934669495, 0.49609386920928955, 0.4824290871620178]","[[76.03125, 904.7109375], [1768.8515625, 733.21875], [1338.2578125, 658.96875], [306.28125, 706.693359375], [1899.36328125, 569.109375], [160.44140625, 745.453125], [1290.1875, 657.333984375]]",0,0,640,yolo26m_hq.engine,MOT17-09
6,,6,"[2, 1, 4, 3, 6, 7]","[[1.125, 240.46875, 152.71875, 908.71875], [1690.03125, 387.80859375, 1848.5625, 735.9609375], [1301.578125, 460.0546875, 1373.578125, 659.337890625], [262.03125, 457.9453125, 359.15625, 706.060546875], [1878.46875, 345.09375, 1919.2734375, 572.90625], [119.390625, 527.1328125, 202.1484375, 745.55859375]]","[0.9385759830474854, 0.9149009585380554, 0.740174412727356, 0.7325918078422546, 0.5389832258224487, 0.47073665261268616]","[[76.921875, 908.71875], [1769.296875, 735.9609375], [1337.578125, 659.337890625], [310.59375, 706.060546875], [1898.87109375, 572.90625], [160.76953125, 745.55859375]]",0,0,640,yolo26m_hq.engine,MOT17-09
7,,6,"[1, 2, 6, 4, 3, 7]","[[1690.78125, 388.44140625, 1848.09375, 737.54296875], [1.21875, 234.5625, 160.6875, 907.2421875], [1872.7734375, 343.93359375, 1919.25, 578.970703125], [1283.859375, 458.841796875, 1381.125, 659.548828125], [266.2265625, 456.890625, 358.7578125, 705.5859375], [118.40625, 520.8046875, 198.28125, 745.98046875]]","[0.9032942056655884, 0.8354835510253906, 0.7826625108718872, 0.6636689305305481, 0.6442250609397888, 0.4493926763534546]","[[1769.4375, 737.54296875], [80.953125, 907.2421875], [1896.01171875, 578.970703125], [1332.4921875, 659.548828125], [312.4921875, 705.5859375], [158.34375, 745.98046875]]",0,0,640,yolo26m_hq.engine,MOT17-09
8,,6,"[1, 2, 6, 4, 3, 7]","[[1691.90625, 389.49609375, 1850.8125, 738.0703125], [0.65625, 232.6640625, 166.875, 906.8203125], [1872.703125, 345.41015625, 1919.26171875, 582.609375], [1301.578125, 458.947265625, 1384.59375, 660.76171875], [266.4140625, 456.2578125, 358.5, 705.1640625], [117.1875, 510.890625, 196.7109375, 746.5078125]]","[0.9032942056655884, 0.8539127111434937, 0.7943849563598633, 0.7371581792831421, 0.709019124507904, 0.35220175981521606]","[[1771.359375, 738.0703125], [83.765625, 906.8203125], [1895.982421875, 582.609375], [1343.0859375, 660.76171875], [312.45703125, 705.1640625], [156.94921875, 746.5078125]]",0,0,640,yolo26m_hq.engine,MOT17-09
9,,6,"[2, 1, 4, 6, 3, 7]","[[0.65625, 230.5546875, 169.40625, 907.03125], [1690.6875, 390.234375, 1849.03125, 740.07421875], [1303.359375, 458.26171875, 1387.2421875, 659.865234375], [1871.8359375, 346.359375, 1919.2734375, 590.94140625], [266.0625, 456.046875, 358.6875, 704.42578125], [118.78125, 509.30859375, 196.6875, 745.875]]","[0.9252300262451172, 0.9190633296966553, 0.837619960308075, 0.8080672025680542, 0.6020615696907043, 0.4649015963077545]","[[85.03125, 907.03125], [1769.859375, 740.07421875], [1345.30078125, 659.865234375], [1895.5546875, 590.94140625], [312.375, 704.42578125], [157.734375, 745.875]]",0,0,640,yolo26m_hq.engine,MOT17-09
10,,7,"[2, 1, 4, 6, 3, 5, 7]","[[0.5625, 231.609375, 175.59375, 905.9765625], [1687.3125, 390.234375, 1846.59375, 742.60546875], [1308.09375, 458.47265625, 1389.140625, 659.70703125], [1869.75, 352.16015625, 1919.28515625, 596.3203125], [269.765625, 456.046875, 359.25, 704.00390625], [1281.609375, 534.251953125, 1324.9921875, 659.970703125], [119.15625, 515.953125, 196.828125, 746.19140625]]","[0.9407896995544434, 0.9184802770614624, 0.8652240633964539, 0.7106282711029053, 0.6859495043754578, 0.41869693994522095, 0.3923368453979492]","[[88.078125, 905.9765625], [1766.953125, 742.60546875], [1348.6171875, 659.70703125], [1894.517578125, 596.3203125], [314.5078125, 704.00390625], [1303.30078125, 659.970703125], [157.9921875, 746.19140625]]",0,0,640,yolo26m_hq.engine,MOT17-09
