frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,imgsz,model,seq
1,,3,"[1, 2, 3]","[[1700.8853759765625, 388.59375, 1878.2291259765625, 725.9765625], [1.5625, 342.5390625, 123.54166412353516, 903.75], [253.07290649414062, 455.7421875, 356.30206298828125, 707.34375]]","[0.8469578623771667, 0.7684273719787598, 0.47073665261268616]","[[1789.5572509765625, 725.9765625], [62.55208206176758, 903.75], [304.68748474121094, 707.34375]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
2,,3,"[2, 1, 3]","[[1.7708332538604736, 336.09375, 123.125, 907.734375], [1692.2916259765625, 388.359375, 1875.3125, 725.0390625], [260.4166564941406, 456.6796875, 355.78125, 707.578125]]","[0.8238107562065125, 0.6992544531822205, 0.46004632115364075]","[[62.44791662693024, 907.734375], [1783.8020629882812, 725.0390625], [308.0989532470703, 707.578125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
3,,4,"[2, 1, 4, 3]","[[1.4583332538604736, 321.6796875, 128.4375, 907.03125], [1691.8228759765625, 389.765625, 1872.6041259765625, 726.796875], [1264.427001953125, 460.78125, 1365.15625, 659.765625], [265.15625, 457.5, 354.58331298828125, 707.578125]]","[0.8256646990776062, 0.6791787147521973, 0.46976348757743835, 0.41111087799072266]","[[64.94791662693024, 907.03125], [1782.2135009765625, 726.796875], [1314.7916259765625, 659.765625], [309.8697814941406, 707.578125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
4,,3,"[2, 1, 3]","[[1.3541666269302368, 309.140625, 134.0625, 907.265625], [1692.083251953125, 390.46875, 1870.833251953125, 728.4375], [265.05206298828125, 457.734375, 355.83331298828125, 707.6953125]]","[0.8206077814102173, 0.6976089477539062, 0.35309353470802307]","[[67.70833331346512, 907.265625], [1781.458251953125, 728.4375], [310.44268798828125, 707.6953125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
5,,3,"[1, 2, 3]","[[1694.4791259765625, 388.359375, 1864.21875, 733.0078125], [1.4583332538604736, 252.1875, 144.79165649414062, 908.90625], [264.0104064941406, 457.03125, 354.375, 708.6328125]]","[0.8577680587768555, 0.541341245174408, 0.43206343054771423]","[[1779.3489379882812, 733.0078125], [73.12499487400055, 908.90625], [309.1927032470703, 708.6328125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
6,,3,"[2, 1, 3]","[[0.9375, 245.7421875, 147.8125, 908.4375], [1695.052001953125, 386.953125, 1862.34375, 735.8203125], [264.3229064941406, 456.09375, 356.25, 709.1015625]]","[0.8473082780838013, 0.8459424376487732, 0.43014734983444214]","[[74.375, 908.4375], [1778.6978759765625, 735.8203125], [310.2864532470703, 709.1015625]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
7,,3,"[1, 2, 5]","[[1693.59375, 387.421875, 1857.96875, 738.28125], [1.0416666269302368, 236.015625, 151.4583282470703, 907.5], [1270.9635009765625, 538.359375, 1328.567626953125, 660.5859375]]","[0.8624675869941711, 0.8500308990478516, 0.5234203934669495]","[[1775.78125, 738.28125], [76.24999743700027, 907.5], [1299.7655639648438, 660.5859375]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
8,,4,"[1, 2, 5, 6]","[[1693.4375, 387.1875, 1856.71875, 739.5703125], [0.7291666269302368, 237.7734375, 154.8958282470703, 907.265625], [1275.052001953125, 536.484375, 1359.9478759765625, 660.1171875], [1874.84375, 381.064453125, 1919.114501953125, 576.09375]]","[0.8749346137046814, 0.8545433878898621, 0.4311051070690155, 0.32338011264801025]","[[1775.078125, 739.5703125], [77.81249743700027, 907.265625], [1317.4999389648438, 660.1171875], [1896.9791259765625, 576.09375]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
9,,4,"[1, 2, 6, 5]","[[1690.520751953125, 387.890625, 1859.270751953125, 739.5703125], [0.9375, 232.03125, 166.4583282470703, 907.265625], [1877.552001953125, 382.03125, 1919.0885009765625, 581.71875], [1276.614501953125, 536.89453125, 1365.625, 660.64453125]]","[0.8783142566680908, 0.8501291871070862, 0.3729618489742279, 0.3665897250175476]","[[1774.895751953125, 739.5703125], [83.69791412353516, 907.265625], [1898.3202514648438, 581.71875], [1321.1197509765625, 660.64453125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
10,,4,"[1, 2, 6, 4]","[[1688.020751953125, 388.59375, 1854.0625, 741.9140625], [1.3541666269302368, 233.4375, 170.8333282470703, 908.671875], [1872.9166259765625, 381.6796875, 1919.0103759765625, 589.6875], [1313.177001953125, 459.375, 1390.677001953125, 655.78125]]","[0.9092645049095154, 0.7296144366264343, 0.5583270192146301, 0.49218809604644775]","[[1771.0416259765625, 741.9140625], [86.09374743700027, 908.671875], [1895.9635009765625, 589.6875], [1351.927001953125, 655.78125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
11,,4,"[1, 2, 6, 4]","[[1685.989501953125, 389.296875, 1853.0728759765625, 742.6171875], [1.1458332538604736, 233.4375, 179.0625, 907.96875], [1868.59375, 382.20703125, 1919.0103759765625, 592.03125], [1305.9375, 457.8515625, 1389.375, 659.765625]]","[0.9066531658172607, 0.8867506384849548, 0.6001883149147034, 0.5156199336051941]","[[1769.5311889648438, 742.6171875], [90.10416662693024, 907.96875], [1893.8020629882812, 592.03125], [1347.65625, 659.765625]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
12,,4,"[1, 2, 6, 4]","[[1684.7916259765625, 387.1875, 1850.9375, 743.5546875], [0.9375, 232.5, 179.6875, 908.203125], [1865.989501953125, 380.859375, 1918.984375, 588.75], [1293.5416259765625, 456.9140625, 1390.78125, 661.7578125]]","[0.9124361872673035, 0.885184645652771, 0.5602526664733887, 0.5525397062301636]","[[1767.8645629882812, 743.5546875], [90.3125, 908.203125], [1892.4869384765625, 588.75], [1342.1614379882812, 661.7578125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
13,,4,"[1, 2, 4, 6]","[[1682.552001953125, 386.015625, 1851.25, 744.609375], [0.8333333134651184, 235.078125, 190.0, 911.484375], [1296.770751953125, 457.6171875, 1391.223876953125, 661.0546875], [1867.34375, 380.56640625, 1918.958251953125, 583.4765625]]","[0.894789457321167, 0.8817105293273926, 0.6442250609397888, 0.3849121630191803]","[[1766.9010009765625, 744.609375], [95.41666665673256, 911.484375], [1343.997314453125, 661.0546875], [1893.1510009765625, 583.4765625]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
14,,4,"[2, 1, 4, 6]","[[0.8333333134651184, 235.78125, 192.91665649414062, 925.546875], [1682.5, 386.484375, 1850.625, 743.7890625], [1300.833251953125, 457.44140625, 1392.6041259765625, 660.1171875], [1869.21875, 380.5078125, 1919.036376953125, 574.8046875]]","[0.89686518907547, 0.8864204287528992, 0.6584175229072571, 0.3106943964958191]","[[96.87499490380287, 925.546875], [1766.5625, 743.7890625], [1346.7186889648438, 660.1171875], [1894.1275634765625, 574.8046875]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
15,,3,"[2, 1, 4]","[[0.0, 234.84375, 196.04165649414062, 924.140625], [1678.75, 384.609375, 1852.708251953125, 741.9140625], [1303.333251953125, 459.0234375, 1396.5103759765625, 660.703125]]","[0.91592937707901, 0.8210441470146179, 0.6842640042304993]","[[98.02082824707031, 924.140625], [1765.7291259765625, 741.9140625], [1349.9218139648438, 660.703125]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
16,,4,"[2, 1, 4, 6]","[[0.0, 234.609375, 199.5833282470703, 919.6875], [1677.708251953125, 382.96875, 1851.5625, 742.8515625], [1309.2447509765625, 459.84375, 1400.2603759765625, 660.3515625], [1869.9478759765625, 376.9921875, 1919.0885009765625, 663.3984375]]","[0.9216880202293396, 0.8407825827598572, 0.5983121991157532, 0.5195213556289673]","[[99.79166412353516, 919.6875], [1764.6353759765625, 742.8515625], [1354.7525634765625, 660.3515625], [1894.5181884765625, 663.3984375]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
17,,4,"[2, 1, 6, 4]","[[0.0, 234.84375, 202.29165649414062, 914.0625], [1673.020751953125, 381.5625, 1850.1041259765625, 744.375], [1869.84375, 376.93359375, 1919.0625, 671.8359375], [1311.692626953125, 460.8984375, 1401.5103759765625, 661.2890625]]","[0.9228029251098633, 0.8438951373100281, 0.6076632142066956, 0.3904758393764496]","[[101.14582824707031, 914.0625], [1761.5624389648438, 744.375], [1894.453125, 671.8359375], [1356.6015014648438, 661.2890625]]",0,0,576,yolo26n_576_hq.engine,MOT17-09
