frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,imgsz,model,seq
1,,5,"[1, 2, 3, 4, 5]","[[0.0, 342.65625, 115.0, 903.515625], [1287.421875, 463.06640625, 1363.90625, 660.9375], [1700.7291259765625, 389.4140625, 1868.333251953125, 728.4375], [111.82291412353516, 528.80859375, 209.4270782470703, 744.375], [1883.75, 389.00390625, 1919.0625, 575.5078125]]","[0.8868131041526794, 0.7431680560112, 0.7272012233734131, 0.4882833957672119, 0.4804786741733551]","[[57.5, 903.515625], [1325.6640625, 660.9375], [1784.5311889648438, 728.4375], [160.62499618530273, 744.375], [1901.40625, 575.5078125]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
2,,5,"[1, 3, 2, 5, 4]","[[0.0, 337.5, 117.23957824707031, 903.75], [1690.989501953125, 388.2421875, 1863.3853759765625, 728.4375], [1281.3541259765625, 462.0703125, 1361.302001953125, 661.23046875], [1879.6353759765625, 389.1796875, 1919.114501953125, 571.0546875], [112.91666412353516, 516.328125, 204.32290649414062, 744.66796875]]","[0.9082930684089661, 0.8958876132965088, 0.6513549089431763, 0.6020615696907043, 0.3647775650024414]","[[58.619789123535156, 903.75], [1777.1874389648438, 728.4375], [1321.3280639648438, 661.23046875], [1899.3749389648438, 571.0546875], [158.6197853088379, 744.66796875]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
3,,6,"[1, 3, 5, 2, 6, 4]","[[0.0, 320.859375, 121.40625, 904.21875], [1692.239501953125, 388.7109375, 1858.28125, 728.90625], [1879.192626953125, 386.953125, 1919.140625, 568.59375], [1266.484375, 461.953125, 1351.640625, 659.23828125], [260.83331298828125, 456.328125, 359.73956298828125, 704.6484375], [112.65625, 510.3515625, 205.78125, 745.078125]]","[0.9029524326324463, 0.8820220232009888, 0.622459352016449, 0.46295860409736633, 0.43590155243873596, 0.31742626428604126]","[[60.703125, 904.21875], [1775.2603759765625, 728.90625], [1899.1666259765625, 568.59375], [1309.0625, 659.23828125], [310.28643798828125, 704.6484375], [159.21875, 745.078125]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
4,,6,"[1, 3, 5, 2, 6, 4]","[[0.0520833320915699, 258.75, 128.22915649414062, 903.75], [1687.5, 388.359375, 1856.6666259765625, 729.7265625], [1876.5103759765625, 382.5, 1919.0885009765625, 576.4453125], [1285.0260009765625, 460.78125, 1362.65625, 660.05859375], [260.4166564941406, 456.9140625, 359.7916564941406, 704.82421875], [113.28125, 511.40625, 208.3333282470703, 744.31640625]]","[0.8914335370063782, 0.8820220232009888, 0.6513549089431763, 0.5794004201889038, 0.43782350420951843, 0.3757064640522003]","[[64.1406199131161, 903.75], [1772.0833129882812, 729.7265625], [1897.7994384765625, 576.4453125], [1323.8411254882812, 660.05859375], [310.1041564941406, 704.82421875], [160.80728912353516, 744.31640625]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
5,,6,"[1, 2, 5, 6, 4, 3]","[[0.1041666641831398, 247.03125, 148.125, 903.28125], [1293.125, 461.484375, 1377.5, 659.296875], [1877.630126953125, 384.4921875, 1919.114501953125, 575.7421875], [260.46875, 457.03125, 360.83331298828125, 705.46875], [115.20832824707031, 528.75, 207.1614532470703, 745.546875], [1693.020751953125, 388.0078125, 1849.375, 734.53125]]","[0.9205042719841003, 0.6774740219116211, 0.6566582322120667, 0.45132648944854736, 0.3363310694694519, 0.2689414322376251]","[[74.11458333209157, 903.28125], [1335.3125, 659.296875], [1898.372314453125, 575.7421875], [310.6510314941406, 705.46875], [161.1848907470703, 745.546875], [1771.1978759765625, 734.53125]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
6,,6,"[1, 5, 6, 2, 3, 4]","[[0.0, 238.59375, 150.26040649414062, 903.75], [1877.395751953125, 382.55859375, 1919.114501953125, 579.43359375], [262.734375, 457.5, 360.3125, 705.703125], [1297.7603759765625, 460.25390625, 1378.515625, 659.6484375], [1693.4375, 388.359375, 1846.3541259765625, 736.875], [116.45832824707031, 535.25390625, 202.9427032470703, 745.078125]]","[0.9082930684089661, 0.6297746300697327, 0.5448014140129089, 0.4902356266975403, 0.474631130695343, 0.4073334038257599]","[[75.13020324707031, 903.75], [1898.255126953125, 579.43359375], [311.5234375, 705.703125], [1338.1380004882812, 659.6484375], [1769.8958129882812, 736.875], [159.7005157470703, 745.078125]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
7,,6,"[1, 3, 5, 2, 6, 4]","[[0.3125, 233.671875, 155.2083282470703, 903.515625], [1694.3228759765625, 389.0625, 1843.90625, 738.984375], [1875.625, 380.68359375, 1919.140625, 585.234375], [1298.0728759765625, 459.7265625, 1381.770751953125, 659.58984375], [268.75, 456.5625, 359.7916564941406, 704.94140625], [115.98957824707031, 525.52734375, 202.890625, 745.3125]]","[0.936051607131958, 0.7461389899253845, 0.7057850360870361, 0.5679365992546082, 0.5467381477355957, 0.43014734983444214]","[[77.76041412353516, 903.515625], [1769.1145629882812, 738.984375], [1897.3828125, 585.234375], [1339.9218139648438, 659.58984375], [314.2708282470703, 704.94140625], [159.44010162353516, 745.3125]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
8,,6,"[1, 3, 5, 2, 6, 4]","[[0.15625, 230.15625, 165.0, 903.984375], [1693.125, 389.53125, 1842.395751953125, 739.6875], [1874.6353759765625, 381.5625, 1919.0885009765625, 588.6328125], [1300.78125, 458.61328125, 1384.6353759765625, 660.1171875], [277.6041564941406, 457.03125, 359.0104064941406, 703.2421875], [115.67707824707031, 523.359375, 201.4583282470703, 745.4296875]]","[0.9276259541511536, 0.7718434929847717, 0.7154240012168884, 0.6513549089431763, 0.4765796363353729, 0.3090237081050873]","[[82.578125, 903.984375], [1767.7603759765625, 739.6875], [1896.8619384765625, 588.6328125], [1342.7083129882812, 660.1171875], [318.3072814941406, 703.2421875], [158.5677032470703, 745.4296875]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
9,,5,"[1, 5, 2, 6, 4]","[[0.2083333283662796, 228.28125, 170.9375, 904.21875], [1873.020751953125, 381.62109375, 1919.0885009765625, 591.5625], [1299.7916259765625, 457.8515625, 1386.5625, 660.3515625], [283.8541564941406, 457.3828125, 359.0104064941406, 701.71875], [115.83332824707031, 518.7890625, 200.26040649414062, 745.4296875]]","[0.9270997643470764, 0.7549149990081787, 0.6601723432540894, 0.34687307476997375, 0.32766830921173096]","[[85.57291666418314, 904.21875], [1896.0546264648438, 591.5625], [1343.1770629882812, 660.3515625], [321.4322814941406, 701.71875], [158.04686737060547, 745.4296875]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
10,,6,"[1, 3, 2, 5, 4, 6]","[[0.1041666641831398, 229.921875, 175.3125, 905.15625], [1685.1041259765625, 390.703125, 1841.8228759765625, 743.90625], [1308.6197509765625, 458.26171875, 1389.0625, 660.703125], [1870.364501953125, 381.73828125, 1919.0625, 593.90625], [116.45832824707031, 519.375, 201.5625, 744.84375], [278.28125, 458.0859375, 358.33331298828125, 701.89453125]]","[0.9270997643470764, 0.8770562410354614, 0.7892336845397949, 0.7606506943702698, 0.3923368453979492, 0.2751297354698181]","[[87.70833333209157, 905.15625], [1763.4635009765625, 743.90625], [1348.8411254882812, 660.703125], [1894.7135009765625, 593.90625], [159.01041412353516, 744.84375], [318.3072814941406, 701.89453125]]",0,0,576,yolo26s_576_hq.engine,MOT17-09
