frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,0,[],[],[],[],912502784,320,yolo26m.pt,MOT17-04
2,,8,"[655, 656, 657, 658, 659, 660, 661, 663]","[[101.4731216430664, 545.323486328125, 176.5223388671875, 791.143798828125], [369.2180480957031, 407.9599914550781, 453.0381164550781, 648.1156616210938], [1357.6988525390625, 570.5946044921875, 1433.9263916015625, 791.0902099609375], [1100.6041259765625, 206.37020874023438, 1156.76220703125, 386.2328796386719], [545.9149169921875, 149.0836181640625, 605.3124389648438, 324.9446105957031], [1045.2828369140625, 133.00531005859375, 1109.9383544921875, 313.4516906738281], [1732.15673828125, 454.88873291015625, 1805.1888427734375, 672.1962280273438], [257.7137145996094, 363.374267578125, 324.97113037109375, 593.0568237304688]]","[0.6925780177116394, 0.6667687296867371, 0.5042790174484253, 0.4578453600406647, 0.4513491690158844, 0.3400687873363495, 0.39988645911216736, 0.3577252924442291]","[[138.99773025512695, 791.143798828125], [411.1280822753906, 648.1156616210938], [1395.8126220703125, 791.0902099609375], [1128.6831665039062, 386.2328796386719], [575.6136779785156, 324.9446105957031], [1077.610595703125, 313.4516906738281], [1768.6727905273438, 672.1962280273438], [291.34242248535156, 593.0568237304688]]",912502784,320,yolo26m.pt,MOT17-04
3,,8,"[655, 656, 657, 658, 659, 660, 661, 663]","[[101.58805084228516, 545.0436401367188, 176.76467895507812, 791.300537109375], [369.99566650390625, 407.2948913574219, 454.19464111328125, 648.6124267578125], [1357.8980712890625, 570.8995971679688, 1433.8133544921875, 790.5488891601562], [1097.804931640625, 206.85794067382812, 1153.3443603515625, 384.55255126953125], [545.7147827148438, 148.60879516601562, 605.5123291015625, 325.6617736816406], [1045.600341796875, 134.0963134765625, 1109.660400390625, 312.82366943359375], [1731.5743408203125, 453.4597473144531, 1804.0916748046875, 669.001220703125], [256.568359375, 362.0992431640625, 324.6775817871094, 594.9124755859375]]","[0.6931552290916443, 0.6567167639732361, 0.5363710522651672, 0.40319618582725525, 0.40852028131484985, 0.34871533513069153, 0.40010279417037964, 0.25181764364242554]","[[139.17636489868164, 791.300537109375], [412.09515380859375, 648.6124267578125], [1395.855712890625, 790.5488891601562], [1125.5746459960938, 384.55255126953125], [575.6135559082031, 325.6617736816406], [1077.63037109375, 312.82366943359375], [1767.8330078125, 669.001220703125], [290.6229705810547, 594.9124755859375]]",912502784,320,yolo26m.pt,MOT17-04
4,,9,"[655, 656, 657, 658, 659, 660, 661, 663, 667]","[[101.87301635742188, 544.9572143554688, 176.86566162109375, 790.6660766601562], [370.5557556152344, 406.07659912109375, 454.9962158203125, 648.1802978515625], [1358.2286376953125, 570.8474731445312, 1434.716796875, 792.1514892578125], [1091.8497314453125, 205.75257873535156, 1148.42041015625, 386.0113220214844], [545.3106079101562, 149.2664794921875, 604.8812255859375, 325.6070251464844], [1045.726806640625, 132.53489685058594, 1109.2677001953125, 309.76202392578125], [1728.7371826171875, 454.2793884277344, 1804.337890625, 678.9659423828125], [255.1154022216797, 361.67047119140625, 322.9571228027344, 594.068115234375], [1106.5079345703125, 976.9741821289062, 1179.4993896484375, 1080.0]]","[0.6660234332084656, 0.6904292702674866, 0.5797954201698303, 0.4517183303833008, 0.3872899115085602, 0.3086906671524048, 0.4000886082649231, 0.2818642556667328, 0.37406134605407715]","[[139.3693389892578, 790.6660766601562], [412.77598571777344, 648.1802978515625], [1396.4727172851562, 792.1514892578125], [1120.1350708007812, 386.0113220214844], [575.0959167480469, 325.6070251464844], [1077.4972534179688, 309.76202392578125], [1766.5375366210938, 678.9659423828125], [289.03626251220703, 594.068115234375], [1143.003662109375, 1080.0]]",912502784,320,yolo26m.pt,MOT17-04
5,,7,"[655, 656, 657, 658, 661, 663, 667]","[[101.95358276367188, 545.210693359375, 176.85267639160156, 790.6239013671875], [371.79412841796875, 404.92608642578125, 456.5079345703125, 647.9152221679688], [1358.4019775390625, 571.226318359375, 1434.9251708984375, 792.5774536132812], [1083.4569091796875, 205.67034912109375, 1141.294921875, 387.24658203125], [1726.4757080078125, 454.5232849121094, 1802.013916015625, 678.4627075195312], [252.4384765625, 359.7042541503906, 319.8690185546875, 591.1212768554688], [1109.76953125, 976.7493896484375, 1182.88232421875, 1080.0]]","[0.6683319211006165, 0.6966514587402344, 0.5621588826179504, 0.46265465021133423, 0.39366838335990906, 0.32445213198661804, 0.37630611658096313]","[[139.40312957763672, 790.6239013671875], [414.1510314941406, 647.9152221679688], [1396.66357421875, 792.5774536132812], [1112.3759155273438, 387.24658203125], [1764.2448120117188, 678.4627075195312], [286.15374755859375, 591.1212768554688], [1146.325927734375, 1080.0]]",912502784,320,yolo26m.pt,MOT17-04
6,,7,"[655, 656, 657, 658, 661, 667, 659]","[[101.9620132446289, 544.9833984375, 176.87632751464844, 790.4764404296875], [373.3834533691406, 404.1597900390625, 457.7823486328125, 646.5576171875], [1358.120849609375, 571.199951171875, 1434.6224365234375, 792.5174560546875], [1077.9879150390625, 205.249755859375, 1137.2275390625, 386.8797912597656], [1725.550048828125, 455.10009765625, 1800.3892822265625, 676.154541015625], [1113.004150390625, 976.6657104492188, 1186.1092529296875, 1080.0], [543.1640625, 154.02078247070312, 600.9557495117188, 325.4544677734375]]","[0.6498584151268005, 0.7032167315483093, 0.530983030796051, 0.5140129327774048, 0.37685132026672363, 0.3724234104156494, 0.3361690640449524]","[[139.41917037963867, 790.4764404296875], [415.58290100097656, 646.5576171875], [1396.3716430664062, 792.5174560546875], [1107.6077270507812, 386.8797912597656], [1762.9696655273438, 676.154541015625], [1149.5567016601562, 1080.0], [572.0599060058594, 325.4544677734375]]",912502784,320,yolo26m.pt,MOT17-04
7,,7,"[655, 656, 657, 658, 661, 667, 659]","[[102.04883575439453, 545.0217895507812, 176.80787658691406, 790.0748291015625], [374.2349548339844, 403.5877685546875, 458.1163024902344, 644.8823852539062], [1358.3804931640625, 570.9215698242188, 1434.2498779296875, 790.5541381835938], [1072.2015380859375, 205.4385223388672, 1133.3929443359375, 386.6798400878906], [1726.6995849609375, 454.7344970703125, 1799.409423828125, 668.2161865234375], [1115.5731201171875, 975.6244506835938, 1189.21435546875, 1080.0], [542.2532348632812, 156.1787872314453, 599.2676391601562, 326.0365905761719]]","[0.668967068195343, 0.698078453540802, 0.5346319675445557, 0.592263400554657, 0.3884775638580322, 0.3893018662929535, 0.31182661652565]","[[139.4283561706543, 790.0748291015625], [416.1756286621094, 644.8823852539062], [1396.315185546875, 790.5541381835938], [1102.7972412109375, 386.6798400878906], [1763.0545043945312, 668.2161865234375], [1152.3937377929688, 1080.0], [570.7604370117188, 326.0365905761719]]",912502784,320,yolo26m.pt,MOT17-04
8,,7,"[655, 656, 657, 658, 661, 667, 659]","[[102.21749114990234, 544.873779296875, 176.76844787597656, 789.4293823242188], [374.65533447265625, 401.26043701171875, 458.7198791503906, 643.4441528320312], [1358.221435546875, 570.8319091796875, 1433.962890625, 790.063232421875], [1068.9364013671875, 206.51821899414062, 1131.935302734375, 386.1508483886719], [1726.3939208984375, 455.2785949707031, 1798.2161865234375, 664.9207153320312], [1118.749267578125, 974.7575073242188, 1192.7440185546875, 1080.0], [541.1774291992188, 156.81307983398438, 598.63134765625, 329.13287353515625]]","[0.6748148202896118, 0.7527562975883484, 0.5080764293670654, 0.5550451874732971, 0.3835224509239197, 0.4129228889942169, 0.3713262677192688]","[[139.49296951293945, 789.4293823242188], [416.68760681152344, 643.4441528320312], [1396.0921630859375, 790.063232421875], [1100.4358520507812, 386.1508483886719], [1762.3050537109375, 664.9207153320312], [1155.7466430664062, 1080.0], [569.9043884277344, 329.13287353515625]]",912502784,320,yolo26m.pt,MOT17-04
9,,6,"[655, 656, 657, 661, 667, 659]","[[102.18528747558594, 544.6123657226562, 176.81980895996094, 789.6882934570312], [375.247802734375, 399.2142028808594, 459.03643798828125, 640.9141235351562], [1358.62255859375, 570.9035034179688, 1434.3515625, 790.4708251953125], [1725.0765380859375, 455.035888671875, 1797.49169921875, 665.2608032226562], [1122.592529296875, 974.3961181640625, 1196.4674072265625, 1080.0], [539.7926635742188, 155.96728515625, 598.048583984375, 332.0770263671875]]","[0.6605225205421448, 0.7511955499649048, 0.4727937877178192, 0.38450536131858826, 0.369727224111557, 0.44981175661087036]","[[139.50254821777344, 789.6882934570312], [417.1421203613281, 640.9141235351562], [1396.487060546875, 790.4708251953125], [1761.2841186523438, 665.2608032226562], [1159.5299682617188, 1080.0], [568.9206237792969, 332.0770263671875]]",912502784,320,yolo26m.pt,MOT17-04
10,,7,"[655, 656, 657, 661, 667, 659, 658]","[[102.37168884277344, 544.894775390625, 176.76527404785156, 789.3602905273438], [375.70892333984375, 397.90386962890625, 458.9345703125, 638.4985961914062], [1359.29541015625, 570.614501953125, 1434.8079833984375, 790.1707763671875], [1724.9910888671875, 455.1744079589844, 1797.0, 663.3848266601562], [1125.2144775390625, 975.218017578125, 1198.1005859375, 1080.0], [539.3167724609375, 157.6809539794922, 597.1212158203125, 333.5494384765625], [1064.2891845703125, 209.35211181640625, 1129.3333740234375, 386.3732604980469]]","[0.6515588760375977, 0.7516446113586426, 0.49916645884513855, 0.40049973130226135, 0.43416041135787964, 0.4718606173992157, 0.6398701667785645]","[[139.5684814453125, 789.3602905273438], [417.3217468261719, 638.4985961914062], [1397.0516967773438, 790.1707763671875], [1760.9955444335938, 663.3848266601562], [1161.6575317382812, 1080.0], [568.218994140625, 333.5494384765625], [1096.811279296875, 386.3732604980469]]",912502784,320,yolo26m.pt,MOT17-04
