frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,0,[],[],[],[],527433728,384,yolo26n.pt,MOT17-04
2,,3,"[699, 700, 701]","[[98.55717468261719, 549.8363647460938, 179.17617797851562, 789.999755859375], [373.1981201171875, 408.82501220703125, 453.5634460449219, 649.1746826171875], [1100.74951171875, 978.632568359375, 1172.963623046875, 1080.0]]","[0.7007246613502502, 0.6283780336380005, 0.42964205145835876]","[[138.8666763305664, 789.999755859375], [413.3807830810547, 649.1746826171875], [1136.8565673828125, 1080.0]]",527441920,384,yolo26n.pt,MOT17-04
3,,4,"[699, 700, 701, 704]","[[98.19827270507812, 549.38671875, 178.81768798828125, 789.5397338867188], [373.5743713378906, 407.83441162109375, 453.9438781738281, 648.3218383789062], [1103.0272216796875, 978.5601196289062, 1175.320068359375, 1080.0], [1726.8677978515625, 461.5150451660156, 1802.3739013671875, 681.2753295898438]]","[0.6961562633514404, 0.589627742767334, 0.4260593354701996, 0.34410080313682556]","[[138.5079803466797, 789.5397338867188], [413.7591247558594, 648.3218383789062], [1139.1736450195312, 1080.0], [1764.620849609375, 681.2753295898438]]",527441920,384,yolo26n.pt,MOT17-04
4,,5,"[699, 700, 701, 704, 705]","[[98.59488677978516, 549.0064697265625, 179.34645080566406, 789.6044921875], [374.4351501464844, 406.39794921875, 454.7103576660156, 646.9221801757812], [1105.41796875, 977.3507080078125, 1178.588134765625, 1080.0], [1726.04150390625, 462.5955810546875, 1802.3331298828125, 684.736328125], [1090.306396484375, 207.26478576660156, 1151.3492431640625, 392.6449890136719]]","[0.7115211486816406, 0.6074003577232361, 0.3778875470161438, 0.3862808644771576, 0.37187567353248596]","[[138.9706687927246, 789.6044921875], [414.57275390625, 646.9221801757812], [1142.0030517578125, 1080.0], [1764.1873168945312, 684.736328125], [1120.8278198242188, 392.6449890136719]]",527441920,384,yolo26n.pt,MOT17-04
5,,4,"[699, 700, 701, 704]","[[98.15763854980469, 547.8507080078125, 179.322509765625, 789.9171752929688], [374.92333984375, 405.5724182128906, 454.82305908203125, 645.4578857421875], [1108.0692138671875, 976.6876220703125, 1181.780029296875, 1080.0], [1725.2183837890625, 463.69561767578125, 1801.2945556640625, 685.248046875]]","[0.6942688822746277, 0.6167798638343811, 0.3875093460083008, 0.4298776388168335]","[[138.74007415771484, 789.9171752929688], [414.8731994628906, 645.4578857421875], [1144.9246215820312, 1080.0], [1763.2564697265625, 685.248046875]]",527441920,384,yolo26n.pt,MOT17-04
6,,4,"[699, 700, 701, 704]","[[98.13412475585938, 548.2904052734375, 179.1034393310547, 790.0198974609375], [375.5591125488281, 404.2212829589844, 455.325927734375, 644.3405151367188], [1111.042236328125, 975.6434326171875, 1185.694580078125, 1080.0], [1723.896728515625, 461.4483337402344, 1800.542724609375, 684.711181640625]]","[0.703997790813446, 0.6258379817008972, 0.41565796732902527, 0.4043371379375458]","[[138.61878204345703, 790.0198974609375], [415.44252014160156, 644.3405151367188], [1148.368408203125, 1080.0], [1762.2197265625, 684.711181640625]]",527441920,384,yolo26n.pt,MOT17-04
7,,4,"[699, 700, 701, 704]","[[97.9775161743164, 548.0661010742188, 179.05270385742188, 790.4281005859375], [376.41375732421875, 402.7964172363281, 456.05596923828125, 643.3821411132812], [1114.158203125, 974.642333984375, 1189.428466796875, 1080.0], [1724.0296630859375, 462.5692443847656, 1799.07763671875, 681.2716674804688]]","[0.7097670435905457, 0.6091180443763733, 0.3087816536426544, 0.36247241497039795]","[[138.51511001586914, 790.4281005859375], [416.23486328125, 643.3821411132812], [1151.7933349609375, 1080.0], [1761.5536499023438, 681.2716674804688]]",527441920,384,yolo26n.pt,MOT17-04
8,,4,"[699, 700, 701, 704]","[[98.16107940673828, 548.1704711914062, 179.36390686035156, 791.1416015625], [377.4897766113281, 401.6358642578125, 456.7552185058594, 641.7373046875], [1116.8363037109375, 973.636962890625, 1192.9185791015625, 1080.0], [1723.495361328125, 462.5942687988281, 1797.7244873046875, 678.9368896484375]]","[0.6978786587715149, 0.6149862408638, 0.28589141368865967, 0.30668893456459045]","[[138.76249313354492, 791.1416015625], [417.12249755859375, 641.7373046875], [1154.87744140625, 1080.0], [1760.6099243164062, 678.9368896484375]]",527441920,384,yolo26n.pt,MOT17-04
9,,3,"[699, 700, 704]","[[98.32244873046875, 548.0097045898438, 179.32655334472656, 790.5323486328125], [377.9756164550781, 400.3582763671875, 456.6621398925781, 639.2406005859375], [1722.89208984375, 464.65863037109375, 1795.881103515625, 677.16162109375]]","[0.7211416363716125, 0.6186263561248779, 0.368602991104126]","[[138.82450103759766, 790.5323486328125], [417.3188781738281, 639.2406005859375], [1759.3865966796875, 677.16162109375]]",527441920,384,yolo26n.pt,MOT17-04
10,,4,"[699, 700, 704, 701]","[[98.45877075195312, 547.968994140625, 179.39077758789062, 790.5504150390625], [378.9942626953125, 399.1408996582031, 456.57318115234375, 634.9029541015625], [1722.41357421875, 465.4958190917969, 1794.64453125, 675.5150756835938], [1123.8360595703125, 973.6189575195312, 1199.551025390625, 1079.9215087890625]]","[0.7069777846336365, 0.474068820476532, 0.2913509011268616, 0.3837589919567108]","[[138.92477416992188, 790.5504150390625], [417.7837219238281, 634.9029541015625], [1758.529052734375, 675.5150756835938], [1161.6935424804688, 1079.9215087890625]]",527441920,384,yolo26n.pt,MOT17-04
11,,3,"[699, 700, 701]","[[98.6949691772461, 547.7529296875, 179.47093200683594, 790.09375], [379.7929382324219, 398.2241516113281, 456.5920715332031, 631.5416259765625], [1128.701416015625, 973.9601440429688, 1203.492431640625, 1079.8677978515625]]","[0.7048541903495789, 0.46425753831863403, 0.40907683968544006]","[[139.08295059204102, 790.09375], [418.1925048828125, 631.5416259765625], [1166.096923828125, 1079.8677978515625]]",527441920,384,yolo26n.pt,MOT17-04
12,,4,"[699, 700, 701, 704]","[[98.97816467285156, 547.8267211914062, 179.61773681640625, 789.9761962890625], [379.5834655761719, 395.96435546875, 456.85626220703125, 630.4811401367188], [1132.6851806640625, 973.7214965820312, 1207.146728515625, 1079.8555908203125], [1720.6785888671875, 464.6972351074219, 1793.532958984375, 676.3812255859375]]","[0.6847303509712219, 0.5089602470397949, 0.4086487889289856, 0.3130742907524109]","[[139.2979507446289, 789.9761962890625], [418.21986389160156, 630.4811401367188], [1169.9159545898438, 1079.8555908203125], [1757.1057739257812, 676.3812255859375]]",527441920,384,yolo26n.pt,MOT17-04
13,,4,"[699, 700, 701, 704]","[[99.05919647216797, 548.0603637695312, 179.81312561035156, 790.7026977539062], [379.98089599609375, 394.3655090332031, 457.09368896484375, 628.2263793945312], [1136.250244140625, 973.2093505859375, 1210.0006103515625, 1079.862060546875], [1720.7301025390625, 462.7802734375, 1793.8004150390625, 675.1390991210938]]","[0.6770909428596497, 0.6431320905685425, 0.40025535225868225, 0.3641623556613922]","[[139.43616104125977, 790.7026977539062], [418.53729248046875, 628.2263793945312], [1173.1254272460938, 1079.862060546875], [1757.2652587890625, 675.1390991210938]]",527441920,384,yolo26n.pt,MOT17-04
14,,4,"[699, 700, 701, 704]","[[99.18368530273438, 548.30712890625, 179.83396911621094, 790.853515625], [380.6059265136719, 393.4322509765625, 457.7445983886719, 626.966796875], [1138.8494873046875, 971.71142578125, 1212.490966796875, 1079.8746337890625], [1720.5174560546875, 462.146240234375, 1794.3057861328125, 676.455078125]]","[0.6745185852050781, 0.626175045967102, 0.32364776730537415, 0.38232430815696716]","[[139.50882720947266, 790.853515625], [419.1752624511719, 626.966796875], [1175.6702270507812, 1079.8746337890625], [1757.41162109375, 676.455078125]]",527441920,384,yolo26n.pt,MOT17-04
15,,4,"[699, 700, 701, 704]","[[99.06954193115234, 548.2518920898438, 179.68206787109375, 790.6652221679688], [381.06585693359375, 392.43359375, 458.1622619628906, 625.1469116210938], [1140.6146240234375, 971.420654296875, 1213.5780029296875, 1079.8875732421875], [1720.726806640625, 462.15460205078125, 1794.2645263671875, 675.9675903320312]]","[0.7005366086959839, 0.6049084663391113, 0.39178377389907837, 0.4020650088787079]","[[139.37580490112305, 790.6652221679688], [419.6140594482422, 625.1469116210938], [1177.0963134765625, 1079.8875732421875], [1757.4956665039062, 675.9675903320312]]",527441920,384,yolo26n.pt,MOT17-04
