frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[370.29840087890625, 410.3616943359375, 451.9989929199219, 646.8585205078125], [101.98475646972656, 545.0430908203125, 175.8586883544922, 794.1255493164062], [1733.051025390625, 457.4932861328125, 1808.5311279296875, 678.3966064453125], [1097.219970703125, 980.632080078125, 1171.927490234375, 1080.0], [1103.0401611328125, 211.62710571289062, 1161.6412353515625, 389.654052734375], [1048.157958984375, 135.05938720703125, 1109.7506103515625, 316.17205810546875], [1355.385498046875, 575.1727294921875, 1442.2047119140625, 802.0012817382812], [546.24609375, 142.3380126953125, 602.9248046875, 327.685791015625], [272.45654296875, 386.1885986328125, 326.2377014160156, 595.5623168945312], [789.9967041015625, 146.12396240234375, 851.9638671875, 326.957275390625], [0.21363067626953125, 882.533447265625, 39.82840347290039, 1080.0], [228.4600067138672, 392.53814697265625, 300.89508056640625, 600.7191162109375]]","[0.7649388313293457, 0.7172337770462036, 0.6637212634086609, 0.6003586649894714, 0.5272268056869507, 0.4762265086174011, 0.4527614116668701, 0.44320395588874817, 0.4198019504547119, 0.406579852104187, 0.3936092257499695, 0.34220147132873535]","[[411.14869689941406, 646.8585205078125], [138.92172241210938, 794.1255493164062], [1770.7910766601562, 678.3966064453125], [1134.57373046875, 1080.0], [1132.3406982421875, 389.654052734375], [1078.9542846679688, 316.17205810546875], [1398.7951049804688, 802.0012817382812], [574.58544921875, 327.685791015625], [299.3471221923828, 595.5623168945312], [820.9802856445312, 326.957275390625], [20.02101707458496, 1080.0], [264.6775436401367, 600.7191162109375]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
2,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[371.6481628417969, 409.59185791015625, 453.5903015136719, 646.8344116210938], [101.8722915649414, 545.5477294921875, 175.87042236328125, 795.007568359375], [1732.7503662109375, 458.2086486816406, 1808.0045166015625, 678.3513793945312], [1099.5640869140625, 980.2567749023438, 1174.4769287109375, 1079.940185546875], [1099.382568359375, 212.506103515625, 1158.1162109375, 390.8732604980469], [1047.22412109375, 133.04234313964844, 1109.1357421875, 315.0674133300781], [1355.73681640625, 575.38671875, 1441.646240234375, 799.8392944335938], [544.7960815429688, 143.81654357910156, 600.970458984375, 327.4468688964844], [271.15142822265625, 386.6962585449219, 324.3262023925781, 593.7081909179688], [790.1572265625, 146.8302459716797, 852.1907958984375, 327.84381103515625], [0.0, 880.1767578125, 39.972679138183594, 1080.0], [226.1767120361328, 393.9157409667969, 297.5830078125, 599.1603393554688]]","[0.7677555680274963, 0.7161180973052979, 0.6592839956283569, 0.6377987265586853, 0.42310774326324463, 0.4367067813873291, 0.5149758458137512, 0.47480684518814087, 0.4170854985713959, 0.4179615080356598, 0.4471924901008606, 0.40540191531181335]","[[412.6192321777344, 646.8344116210938], [138.87135696411133, 795.007568359375], [1770.37744140625, 678.3513793945312], [1137.0205078125, 1079.940185546875], [1128.7493896484375, 390.8732604980469], [1078.179931640625, 315.0674133300781], [1398.6915283203125, 799.8392944335938], [572.8832702636719, 327.4468688964844], [297.7388153076172, 593.7081909179688], [821.1740112304688, 327.84381103515625], [19.986339569091797, 1080.0], [261.8798599243164, 599.1603393554688]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
3,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[372.6786804199219, 409.67730712890625, 454.51165771484375, 646.6619873046875], [102.2770767211914, 545.6953125, 176.2700653076172, 795.1634521484375], [1731.6597900390625, 457.8337707519531, 1807.0118408203125, 678.19287109375], [1102.473876953125, 978.9507446289062, 1178.217529296875, 1079.8232421875], [1094.3856201171875, 211.7518310546875, 1153.190185546875, 389.8900451660156], [1046.720458984375, 133.1712188720703, 1108.2247314453125, 313.8751220703125], [1355.7508544921875, 575.102783203125, 1442.007080078125, 800.53857421875], [543.9928588867188, 144.9082489013672, 600.0185546875, 327.9107666015625], [268.1374206542969, 382.9861145019531, 322.3038330078125, 593.8289794921875], [789.953857421875, 146.16941833496094, 852.0066528320312, 327.2918701171875], [0.0, 875.0618286132812, 40.335533142089844, 1080.0], [227.23484802246094, 383.1179504394531, 302.46429443359375, 598.6328125]]","[0.7781579494476318, 0.7077392935752869, 0.6580049395561218, 0.6440109610557556, 0.5149512887001038, 0.4269733726978302, 0.45787811279296875, 0.4302145838737488, 0.30863773822784424, 0.4104469418525696, 0.4065702557563782, 0.33054909110069275]","[[413.5951690673828, 646.6619873046875], [139.2735710144043, 795.1634521484375], [1769.3358154296875, 678.19287109375], [1140.345703125, 1079.8232421875], [1123.7879028320312, 389.8900451660156], [1077.4725952148438, 313.8751220703125], [1398.8789672851562, 800.53857421875], [572.0057067871094, 327.9107666015625], [295.2206268310547, 593.8289794921875], [820.9802551269531, 327.2918701171875], [20.167766571044922, 1080.0], [264.84957122802734, 598.6328125]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
4,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[373.1827697753906, 408.9079284667969, 454.9311218261719, 645.7801513671875], [102.4677505493164, 545.7211303710938, 176.42372131347656, 795.10791015625], [1729.8226318359375, 456.4460144042969, 1806.343017578125, 680.296142578125], [1104.7484130859375, 976.9144287109375, 1181.973388671875, 1079.9434814453125], [1091.11083984375, 210.75241088867188, 1149.9517822265625, 388.4234313964844], [1046.279296875, 131.93450927734375, 1107.60595703125, 311.7087097167969], [1356.34765625, 575.8002319335938, 1441.9605712890625, 799.4254150390625], [543.0301513671875, 144.6781463623047, 599.227783203125, 327.9817810058594], [268.79193115234375, 388.77154541015625, 320.7252197265625, 590.8790893554688], [789.8226318359375, 145.9014892578125, 852.049072265625, 327.61669921875], [0.0, 873.1367797851562, 41.12496566772461, 1080.0], [224.30487060546875, 383.11773681640625, 299.53314208984375, 598.404052734375]]","[0.7779556512832642, 0.7215578556060791, 0.6637159585952759, 0.6315666437149048, 0.6441473960876465, 0.36014652252197266, 0.5050332546234131, 0.4459666609764099, 0.3439984917640686, 0.4465674161911011, 0.42312079668045044, 0.34951189160346985]","[[414.05694580078125, 645.7801513671875], [139.44573593139648, 795.10791015625], [1768.0828247070312, 680.296142578125], [1143.3609008789062, 1079.9434814453125], [1120.5313110351562, 388.4234313964844], [1076.942626953125, 311.7087097167969], [1399.1541137695312, 799.4254150390625], [571.1289672851562, 327.9817810058594], [294.7585754394531, 590.8790893554688], [820.9358520507812, 327.61669921875], [20.562482833862305, 1080.0], [261.91900634765625, 598.404052734375]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
5,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[373.92352294921875, 408.4081726074219, 455.2550354003906, 644.2650146484375], [102.13959503173828, 545.7084350585938, 176.1491241455078, 795.5521240234375], [1728.258544921875, 456.2560729980469, 1805.354248046875, 681.8436889648438], [1107.6741943359375, 975.9608154296875, 1185.257080078125, 1079.707275390625], [1085.294677734375, 211.18548583984375, 1144.7357177734375, 388.8638610839844], [1047.076416015625, 132.77711486816406, 1106.3604736328125, 305.750244140625], [1356.103515625, 575.7396240234375, 1441.930908203125, 800.072998046875], [541.5450439453125, 145.7147216796875, 597.3099365234375, 327.1800537109375], [269.22906494140625, 389.3514099121094, 319.7113952636719, 586.1394653320312], [789.8739624023438, 146.58926391601562, 851.7243041992188, 327.2088928222656], [0.35067468881607056, 872.262451171875, 41.90016555786133, 1079.632568359375], [223.0283203125, 378.0984191894531, 300.091064453125, 597.8779907226562]]","[0.7809843420982361, 0.7010648846626282, 0.6671711802482605, 0.6340926289558411, 0.5562998056411743, 0.34087809920310974, 0.4840528964996338, 0.4844435453414917, 0.2738097906112671, 0.46855685114860535, 0.4968923330307007, 0.32774150371551514]","[[414.5892791748047, 644.2650146484375], [139.14435958862305, 795.5521240234375], [1766.806396484375, 681.8436889648438], [1146.4656372070312, 1079.707275390625], [1115.0151977539062, 388.8638610839844], [1076.7184448242188, 305.750244140625], [1399.0172119140625, 800.072998046875], [569.427490234375, 327.1800537109375], [294.47023010253906, 586.1394653320312], [820.7991333007812, 327.2088928222656], [21.1254201233387, 1079.632568359375], [261.5596923828125, 597.8779907226562]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
6,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]","[[375.1626281738281, 407.5163269042969, 456.2036437988281, 642.3958740234375], [102.40799713134766, 545.9071655273438, 176.26695251464844, 795.5473022460938], [1726.5345458984375, 456.31488037109375, 1803.7664794921875, 682.6082763671875], [1110.695556640625, 975.1390991210938, 1188.8177490234375, 1079.8970947265625], [1076.6947021484375, 208.62094116210938, 1138.372314453125, 388.0026550292969], [1045.78759765625, 132.8007049560547, 1104.32421875, 302.48736572265625], [1355.9376220703125, 574.319091796875, 1441.9783935546875, 799.32958984375], [540.4972534179688, 147.9841766357422, 596.2982177734375, 329.22967529296875], [789.774169921875, 147.2315673828125, 851.6051635742188, 327.84625244140625], [0.7332614064216614, 871.5531616210938, 42.25712203979492, 1078.4365234375], [223.10330200195312, 384.2796630859375, 298.6112060546875, 598.1507568359375]]","[0.7755330801010132, 0.708865225315094, 0.6605539917945862, 0.6320114731788635, 0.5171390175819397, 0.25126925110816956, 0.51535964012146, 0.5279228687286377, 0.49104222655296326, 0.5028084516525269, 0.36106958985328674]","[[415.6831359863281, 642.3958740234375], [139.33747482299805, 795.5473022460938], [1765.1505126953125, 682.6082763671875], [1149.7566528320312, 1079.8970947265625], [1107.5335083007812, 388.0026550292969], [1075.055908203125, 302.48736572265625], [1398.9580078125, 799.32958984375], [568.3977355957031, 329.22967529296875], [820.6896667480469, 327.84625244140625], [21.49519172310829, 1078.4365234375], [260.8572540283203, 598.1507568359375]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
7,,10,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]","[[375.9427795410156, 405.99224853515625, 456.95556640625, 640.8742065429688], [102.46769714355469, 545.7974243164062, 176.24176025390625, 795.4915161132812], [1726.559814453125, 456.39569091796875, 1801.1162109375, 674.7128295898438], [1114.145751953125, 974.8626708984375, 1191.936767578125, 1079.6417236328125], [1068.8092041015625, 208.85081481933594, 1133.0115966796875, 388.9455871582031], [1356.2882080078125, 573.658935546875, 1442.070556640625, 798.0673217773438], [539.4246826171875, 149.15737915039062, 595.768310546875, 332.27685546875], [789.9946899414062, 147.59286499023438, 851.6257934570312, 327.6174011230469], [0.952254056930542, 870.54638671875, 42.78318405151367, 1078.4599609375], [222.49017333984375, 379.8627624511719, 299.93463134765625, 597.8001098632812]]","[0.7681825160980225, 0.7061442136764526, 0.6365416049957275, 0.6097574234008789, 0.524586021900177, 0.5125270485877991, 0.5029367804527283, 0.48779451847076416, 0.45457106828689575, 0.3230169415473938]","[[416.4491729736328, 640.8742065429688], [139.35472869873047, 795.4915161132812], [1763.8380126953125, 674.7128295898438], [1153.041259765625, 1079.6417236328125], [1100.910400390625, 388.9455871582031], [1399.1793823242188, 798.0673217773438], [567.5964965820312, 332.27685546875], [820.8102416992188, 327.6174011230469], [21.867719054222107, 1078.4599609375], [261.21240234375, 597.8001098632812]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
8,,10,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]","[[376.2224426269531, 404.0015563964844, 457.383544921875, 639.6130981445312], [104.1729507446289, 545.6644897460938, 177.9990692138672, 795.273193359375], [1725.8802490234375, 456.7041015625, 1798.3056640625, 668.0125732421875], [1117.3397216796875, 975.270263671875, 1194.4842529296875, 1079.8704833984375], [1066.5224609375, 211.03489685058594, 1132.1962890625, 387.94561767578125], [1356.0081787109375, 574.1600952148438, 1441.4981689453125, 798.1993408203125], [539.0913696289062, 151.04278564453125, 595.7008056640625, 335.199462890625], [790.2039184570312, 148.03114318847656, 851.4149780273438, 326.71142578125], [0.9854857325553894, 868.0670776367188, 43.37440490722656, 1078.2708740234375], [220.847900390625, 378.7569885253906, 298.5054931640625, 596.2449340820312]]","[0.7632864117622375, 0.6981588006019592, 0.677059531211853, 0.606492817401886, 0.389787882566452, 0.5118789672851562, 0.5357946157455444, 0.4866420030593872, 0.2946983873844147, 0.3302133083343506]","[[416.80299377441406, 639.6130981445312], [141.08600997924805, 795.273193359375], [1762.0929565429688, 668.0125732421875], [1155.9119873046875, 1079.8704833984375], [1099.359375, 387.94561767578125], [1398.753173828125, 798.1993408203125], [567.3960876464844, 335.199462890625], [820.8094482421875, 326.71142578125], [22.179945319890976, 1078.2708740234375], [259.67669677734375, 596.2449340820312]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
9,,11,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 17]","[[376.9902038574219, 402.3597106933594, 458.1438293457031, 638.2416381835938], [103.39553833007812, 545.6957397460938, 177.24647521972656, 795.67431640625], [1725.2005615234375, 456.4733581542969, 1797.0389404296875, 665.5031127929688], [1121.29150390625, 976.069091796875, 1197.33349609375, 1079.9566650390625], [1065.69482421875, 215.7015838623047, 1131.901611328125, 386.3069152832031], [1356.37451171875, 574.6090087890625, 1440.8602294921875, 796.10888671875], [539.1382446289062, 152.44459533691406, 595.781494140625, 336.80096435546875], [790.0248413085938, 147.90476989746094, 851.1282958984375, 326.442626953125], [0.8553066849708557, 865.856689453125, 43.836605072021484, 1078.623291015625], [219.38787841796875, 366.1287536621094, 300.5411376953125, 592.7987670898438], [884.1300659179688, 129.725830078125, 966.5228881835938, 305.2284851074219]]","[0.7573594450950623, 0.7111693620681763, 0.6860821843147278, 0.5873456001281738, 0.42963480949401855, 0.5139158368110657, 0.5774697065353394, 0.4765385687351227, 0.39852604269981384, 0.3779684007167816, 0.3299507200717926]","[[417.5670166015625, 638.2416381835938], [140.32100677490234, 795.67431640625], [1761.1197509765625, 665.5031127929688], [1159.3125, 1079.9566650390625], [1098.7982177734375, 386.3069152832031], [1398.6173706054688, 796.10888671875], [567.4598693847656, 336.80096435546875], [820.5765686035156, 326.442626953125], [22.34595587849617, 1078.623291015625], [259.9645080566406, 592.7987670898438], [925.3264770507812, 305.2284851074219]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
10,,11,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 17]","[[377.43255615234375, 401.0616455078125, 458.1192932128906, 635.911376953125], [104.7980728149414, 545.9522705078125, 178.6702117919922, 795.8562622070312], [1724.6612548828125, 455.7627258300781, 1796.7642822265625, 664.9962768554688], [1124.4788818359375, 976.2008056640625, 1199.83642578125, 1079.9886474609375], [1063.902587890625, 216.5709228515625, 1132.2249755859375, 385.43017578125], [1355.986572265625, 573.8740234375, 1440.7728271484375, 796.1577758789062], [538.6400146484375, 153.0966033935547, 595.5983276367188, 339.2018737792969], [790.0134887695312, 147.60360717773438, 851.2529296875, 326.7666931152344], [0.7785334587097168, 863.5216064453125, 44.31829833984375, 1078.7161865234375], [218.2934112548828, 361.08837890625, 300.5019836425781, 589.4148559570312], [884.778564453125, 129.58377075195312, 967.45654296875, 305.7882385253906]]","[0.7556058764457703, 0.7155004739761353, 0.6588997840881348, 0.5707855820655823, 0.45055103302001953, 0.516686201095581, 0.5537349581718445, 0.4902038872241974, 0.40837353467941284, 0.40622374415397644, 0.3959503173828125]","[[417.7759246826172, 635.911376953125], [141.7341423034668, 795.8562622070312], [1760.7127685546875, 664.9962768554688], [1162.1576538085938, 1079.9886474609375], [1098.0637817382812, 385.43017578125], [1398.3796997070312, 796.1577758789062], [567.1191711425781, 339.2018737792969], [820.6332092285156, 326.7666931152344], [22.548415899276733, 1078.7161865234375], [259.39769744873047, 589.4148559570312], [926.1175537109375, 305.7882385253906]]",302821376,287830016,302821376,576,yolo26n_576_ncnn_model,MOT17-04
