frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[369.99591064453125, 410.75384521484375, 453.42974853515625, 648.445068359375], [102.68766021728516, 548.9631958007812, 180.04360961914062, 797.1286010742188], [1097.756103515625, 979.6079711914062, 1170.9114990234375, 1079.9091796875], [1733.6767578125, 456.33837890625, 1807.146728515625, 673.0726318359375], [1041.5218505859375, 133.0059814453125, 1110.0521240234375, 315.77362060546875], [1103.3388671875, 209.1279754638672, 1160.1771240234375, 388.37493896484375], [0.14110565185546875, 880.8739013671875, 43.61051559448242, 1078.83203125], [1358.564208984375, 571.9521484375, 1439.5550537109375, 796.1506958007812], [226.31393432617188, 399.82769775390625, 289.8280334472656, 601.8607177734375], [264.9266357421875, 367.044921875, 327.4622497558594, 585.0313720703125], [1635.9393310546875, 262.00152587890625, 1697.9893798828125, 440.744384765625], [278.53472900390625, 395.108642578125, 325.1077880859375, 584.1729125976562], [545.7860717773438, 143.94515991210938, 602.968994140625, 325.5290222167969], [1793.0240478515625, 204.8763427734375, 1846.2952880859375, 389.74859619140625], [791.78857421875, 146.33615112304688, 854.781982421875, 323.7818298339844], [504.0765380859375, 135.31585693359375, 555.2821044921875, 306.0560302734375], [876.5296020507812, 121.29995727539062, 930.9642944335938, 303.4675598144531], [1446.8408203125, 247.83352661132812, 1504.5882568359375, 415.6394348144531]]","[0.8387798070907593, 0.8099576830863953, 0.6934061050415039, 0.6927602887153625, 0.6803570985794067, 0.6701831817626953, 0.669593334197998, 0.6685599088668823, 0.5931733250617981, 0.579379141330719, 0.5172780156135559, 0.4618116021156311, 0.42673665285110474, 0.3540550172328949, 0.3239755630493164, 0.3222106099128723, 0.26403364539146423, 0.26015934348106384]","[[411.71282958984375, 648.445068359375], [141.3656349182129, 797.1286010742188], [1134.3338012695312, 1079.9091796875], [1770.4117431640625, 673.0726318359375], [1075.7869873046875, 315.77362060546875], [1131.7579956054688, 388.37493896484375], [21.875810623168945, 1078.83203125], [1399.0596313476562, 796.1506958007812], [258.07098388671875, 601.8607177734375], [296.19444274902344, 585.0313720703125], [1666.96435546875, 440.744384765625], [301.8212585449219, 584.1729125976562], [574.3775329589844, 325.5290222167969], [1819.65966796875, 389.74859619140625], [823.2852783203125, 323.7818298339844], [529.6793212890625, 306.0560302734375], [903.7469482421875, 303.4675598144531], [1475.7145385742188, 415.6394348144531]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
2,,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[371.27764892578125, 410.850341796875, 454.62335205078125, 648.307861328125], [102.6272964477539, 549.33642578125, 179.8252410888672, 796.98193359375], [1100.4130859375, 978.945556640625, 1173.81396484375, 1079.629638671875], [1733.0548095703125, 455.6650085449219, 1807.4970703125, 675.2420043945312], [1041.9141845703125, 132.73336791992188, 1110.7845458984375, 316.4844665527344], [1099.01953125, 208.9856719970703, 1155.762451171875, 387.7814636230469], [0.25114157795906067, 878.7691040039062, 44.16478729248047, 1078.7269287109375], [1358.079345703125, 572.073486328125, 1437.895751953125, 793.1058959960938], [225.99252319335938, 400.3289489746094, 288.86663818359375, 600.2236328125], [263.0732727050781, 365.548828125, 326.28936767578125, 585.9198608398438], [1634.492919921875, 260.8805847167969, 1697.4478759765625, 442.2330627441406], [277.4695739746094, 398.4353942871094, 323.20318603515625, 584.085205078125], [545.8287963867188, 145.02865600585938, 602.6407470703125, 325.48992919921875], [1795.90771484375, 206.31797790527344, 1848.6953125, 389.5506286621094], [791.7025146484375, 145.82435607910156, 854.499267578125, 322.6645812988281], [502.3603210449219, 135.0896759033203, 553.543212890625, 305.41949462890625], [876.3853759765625, 122.3817367553711, 930.1963500976562, 302.53265380859375], [1445.065673828125, 246.98863220214844, 1503.8994140625, 417.8177185058594]]","[0.8422124981880188, 0.8174248337745667, 0.667674720287323, 0.7013230323791504, 0.6346656084060669, 0.6803640723228455, 0.6617411971092224, 0.6550381183624268, 0.5115436911582947, 0.4874308109283447, 0.5167368054389954, 0.5117188692092896, 0.45366939902305603, 0.3980488181114197, 0.30070722103118896, 0.3019440174102783, 0.2708701193332672, 0.2800596058368683]","[[412.95050048828125, 648.307861328125], [141.22626876831055, 796.98193359375], [1137.113525390625, 1079.629638671875], [1770.2759399414062, 675.2420043945312], [1076.349365234375, 316.4844665527344], [1127.3909912109375, 387.7814636230469], [22.207964435219765, 1078.7269287109375], [1397.987548828125, 793.1058959960938], [257.42958068847656, 600.2236328125], [294.6813201904297, 585.9198608398438], [1665.9703979492188, 442.2330627441406], [300.3363800048828, 584.085205078125], [574.2347717285156, 325.48992919921875], [1822.301513671875, 389.5506286621094], [823.1008911132812, 322.6645812988281], [527.9517669677734, 305.41949462890625], [903.2908630371094, 302.53265380859375], [1474.4825439453125, 417.8177185058594]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
3,,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[372.1125183105469, 410.540283203125, 455.6473388671875, 648.6431884765625], [102.72309112548828, 549.3165893554688, 179.88784790039062, 796.8423461914062], [1103.59521484375, 978.6961669921875, 1177.048583984375, 1079.501953125], [1731.5704345703125, 456.26641845703125, 1805.522705078125, 674.3767700195312], [1042.2554931640625, 131.84432983398438, 1110.074951171875, 313.2108459472656], [1093.3516845703125, 209.9944305419922, 1149.9012451171875, 387.39044189453125], [0.05699867382645607, 877.6402587890625, 44.13090896606445, 1078.3680419921875], [1358.8992919921875, 572.2356567382812, 1438.0413818359375, 791.3589477539062], [228.1258544921875, 398.4136657714844, 291.800537109375, 599.7223510742188], [260.1417236328125, 364.6715087890625, 323.453857421875, 584.7960815429688], [1632.639892578125, 260.085693359375, 1696.7071533203125, 444.7373046875], [276.1863098144531, 398.32415771484375, 321.4472351074219, 581.7063598632812], [545.7604370117188, 146.1737518310547, 602.3159790039062, 325.9417724609375], [1798.1312255859375, 206.78675842285156, 1850.8408203125, 389.74298095703125], [792.2169799804688, 146.0059814453125, 854.1427001953125, 320.31597900390625], [500.2318420410156, 135.62620544433594, 551.7369384765625, 306.23876953125], [877.3204345703125, 124.18157958984375, 930.6392211914062, 302.5947265625], [1443.92041015625, 246.77490234375, 1502.490966796875, 416.90118408203125]]","[0.8485274314880371, 0.8198177218437195, 0.7004237771034241, 0.6932705640792847, 0.6234288811683655, 0.6869357228279114, 0.670259952545166, 0.6706516146659851, 0.43500256538391113, 0.5257260203361511, 0.5234362483024597, 0.37754732370376587, 0.42873531579971313, 0.35501009225845337, 0.33595922589302063, 0.35536137223243713, 0.27791357040405273, 0.30470195412635803]","[[413.8799285888672, 648.6431884765625], [141.30546951293945, 796.8423461914062], [1140.3218994140625, 1079.501953125], [1768.5465698242188, 674.3767700195312], [1076.1652221679688, 313.2108459472656], [1121.62646484375, 387.39044189453125], [22.093953819945455, 1078.3680419921875], [1398.4703369140625, 791.3589477539062], [259.96319580078125, 599.7223510742188], [291.79779052734375, 584.7960815429688], [1664.6735229492188, 444.7373046875], [298.8167724609375, 581.7063598632812], [574.0382080078125, 325.9417724609375], [1824.4860229492188, 389.74298095703125], [823.1798400878906, 320.31597900390625], [525.9843902587891, 306.23876953125], [903.9798278808594, 302.5947265625], [1473.2056884765625, 416.90118408203125]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
4,,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[372.2345886230469, 410.12896728515625, 455.94012451171875, 648.8233642578125], [102.6648178100586, 549.0608520507812, 179.91098022460938, 796.7710571289062], [1106.4930419921875, 977.9461059570312, 1180.4852294921875, 1079.5938720703125], [1729.8338623046875, 457.0250244140625, 1802.549072265625, 671.328857421875], [1042.0882568359375, 132.69229125976562, 1110.3616943359375, 315.6133728027344], [1087.40234375, 210.47573852539062, 1144.2950439453125, 387.05816650390625], [0.0, 875.6822509765625, 44.231781005859375, 1079.261962890625], [1359.4744873046875, 572.5758056640625, 1439.0272216796875, 792.5680541992188], [228.42620849609375, 385.85894775390625, 296.3871154785156, 599.2139892578125], [258.67242431640625, 363.86199951171875, 321.2960510253906, 581.260498046875], [1631.629638671875, 259.4595031738281, 1695.155517578125, 442.6711730957031], [274.7422790527344, 391.1983642578125, 320.9149169921875, 577.96728515625], [545.5454711914062, 146.56546020507812, 601.8368530273438, 325.82354736328125], [1800.0870361328125, 205.95968627929688, 1852.8843994140625, 388.9096984863281], [791.5099487304688, 145.73446655273438, 854.4053344726562, 322.56927490234375], [498.41131591796875, 135.41481018066406, 550.21728515625, 306.0202941894531], [880.8129272460938, 126.15120697021484, 933.8930053710938, 302.77935791015625], [1440.92431640625, 245.26528930664062, 1500.189453125, 417.5759582519531]]","[0.8603063821792603, 0.8277288675308228, 0.6809911131858826, 0.7172285914421082, 0.5784962177276611, 0.6982015371322632, 0.6475217342376709, 0.6998166441917419, 0.4534153342247009, 0.4622461199760437, 0.5559003949165344, 0.2902207374572754, 0.44990208745002747, 0.39121243357658386, 0.3293786346912384, 0.387956440448761, 0.25581035017967224, 0.285795658826828]","[[414.0873565673828, 648.8233642578125], [141.28789901733398, 796.7710571289062], [1143.4891357421875, 1079.5938720703125], [1766.1914672851562, 671.328857421875], [1076.2249755859375, 315.6133728027344], [1115.8486938476562, 387.05816650390625], [22.115890502929688, 1079.261962890625], [1399.2508544921875, 792.5680541992188], [262.4066619873047, 599.2139892578125], [289.98423767089844, 581.260498046875], [1663.392578125, 442.6711730957031], [297.82859802246094, 577.96728515625], [573.691162109375, 325.82354736328125], [1826.4857177734375, 388.9096984863281], [822.9576416015625, 322.56927490234375], [524.3143005371094, 306.0202941894531], [907.3529663085938, 302.77935791015625], [1470.556884765625, 417.5759582519531]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
5,,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[373.1271667480469, 409.751708984375, 456.4739074707031, 647.4854125976562], [102.7611312866211, 548.8008422851562, 180.10365295410156, 796.7566528320312], [1109.5338134765625, 976.810546875, 1184.201416015625, 1079.671630859375], [1728.5657958984375, 455.78948974609375, 1801.4776611328125, 670.5845947265625], [1043.3809814453125, 133.7241668701172, 1108.371826171875, 307.569091796875], [1080.7603759765625, 209.9865264892578, 1139.1075439453125, 387.2618408203125], [0.0, 874.4314575195312, 44.6403694152832, 1079.74755859375], [1359.5245361328125, 572.3033447265625, 1438.7601318359375, 791.1837158203125], [227.53248596191406, 384.3896789550781, 296.3528747558594, 598.5650024414062], [258.04034423828125, 362.363525390625, 320.22601318359375, 578.2653198242188], [1630.121337890625, 259.32257080078125, 1693.229248046875, 441.57818603515625], [272.03204345703125, 391.3438720703125, 318.10308837890625, 577.183349609375], [544.7307739257812, 146.93679809570312, 600.9190673828125, 326.4032287597656], [1800.5843505859375, 205.92788696289062, 1853.439208984375, 388.74005126953125], [791.7255249023438, 146.1481170654297, 854.326171875, 321.6834716796875], [498.248046875, 136.4722900390625, 550.05029296875, 305.9160461425781], [880.1187133789062, 127.14322662353516, 933.8441162109375, 306.2466125488281], [1440.6571044921875, 244.96182250976562, 1499.6807861328125, 417.20318603515625]]","[0.8568534851074219, 0.818138062953949, 0.6655221581459045, 0.7349846959114075, 0.5040379762649536, 0.7002630829811096, 0.6814263463020325, 0.7116782665252686, 0.4807409346103668, 0.5012121200561523, 0.5593339800834656, 0.3931131362915039, 0.5015885233879089, 0.4730945825576782, 0.34464865922927856, 0.4127406179904938, 0.39621540904045105, 0.33630797266960144]","[[414.800537109375, 647.4854125976562], [141.43239212036133, 796.7566528320312], [1146.8676147460938, 1079.671630859375], [1765.021728515625, 670.5845947265625], [1075.8764038085938, 307.569091796875], [1109.9339599609375, 387.2618408203125], [22.3201847076416, 1079.74755859375], [1399.142333984375, 791.1837158203125], [261.9426803588867, 598.5650024414062], [289.1331787109375, 578.2653198242188], [1661.67529296875, 441.57818603515625], [295.06756591796875, 577.183349609375], [572.8249206542969, 326.4032287597656], [1827.0117797851562, 388.74005126953125], [823.0258483886719, 321.6834716796875], [524.149169921875, 305.9160461425781], [906.9814147949219, 306.2466125488281], [1470.1689453125, 417.20318603515625]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
6,,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18]","[[374.07769775390625, 408.614013671875, 457.24786376953125, 645.9451904296875], [102.85025787353516, 548.9423217773438, 180.1035919189453, 796.5569458007812], [1112.5054931640625, 976.2091674804688, 1187.385009765625, 1079.6151123046875], [1727.5885009765625, 456.91204833984375, 1800.2109375, 670.5353393554688], [1043.00439453125, 134.110107421875, 1106.6907958984375, 304.1426086425781], [1076.1278076171875, 209.13397216796875, 1136.66064453125, 388.1942138671875], [0.0, 873.439697265625, 44.90376281738281, 1079.9295654296875], [1359.314453125, 572.0440063476562, 1439.6046142578125, 793.6281127929688], [226.70132446289062, 391.0823974609375, 293.72833251953125, 596.9255981445312], [256.8796081542969, 359.94329833984375, 317.8153076171875, 570.7304077148438], [1629.15478515625, 259.07354736328125, 1692.0640869140625, 441.1015930175781], [544.084228515625, 148.3108673095703, 600.1620483398438, 327.87469482421875], [1800.78173828125, 205.6402130126953, 1853.9024658203125, 388.8652648925781], [791.3426513671875, 146.16807556152344, 853.9491577148438, 321.5275573730469], [499.4626159667969, 137.43128967285156, 551.396240234375, 306.72955322265625], [879.9107666015625, 127.64517974853516, 933.2338256835938, 305.47509765625], [1439.77734375, 245.8313751220703, 1498.4473876953125, 417.8497619628906]]","[0.8517162203788757, 0.8212292194366455, 0.6959754228591919, 0.7449763417243958, 0.42291533946990967, 0.7074649333953857, 0.6826890110969543, 0.6948995590209961, 0.535900354385376, 0.43203070759773254, 0.5609779357910156, 0.5165391564369202, 0.4733180105686188, 0.34911012649536133, 0.4531960189342499, 0.3190810978412628, 0.2778126895427704]","[[415.66278076171875, 645.9451904296875], [141.47692489624023, 796.5569458007812], [1149.9452514648438, 1079.6151123046875], [1763.8997192382812, 670.5353393554688], [1074.8475952148438, 304.1426086425781], [1106.3942260742188, 388.1942138671875], [22.451881408691406, 1079.9295654296875], [1399.4595336914062, 793.6281127929688], [260.21482849121094, 596.9255981445312], [287.3474578857422, 570.7304077148438], [1660.6094360351562, 441.1015930175781], [572.1231384277344, 327.87469482421875], [1827.3421020507812, 388.8652648925781], [822.6459045410156, 321.5275573730469], [525.4294281005859, 306.72955322265625], [906.5722961425781, 305.47509765625], [1469.1123657226562, 417.8497619628906]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
7,,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 12]","[[375.1293029785156, 406.89093017578125, 458.3024597167969, 644.4635620117188], [102.91534423828125, 548.9237060546875, 180.2181854248047, 796.4801635742188], [1115.796142578125, 975.9737548828125, 1190.4852294921875, 1079.516357421875], [1727.1441650390625, 456.3240661621094, 1799.80029296875, 669.604736328125], [1042.740478515625, 135.191650390625, 1104.2176513671875, 298.67291259765625], [1071.48046875, 209.09986877441406, 1134.221923828125, 388.21563720703125], [0.0, 872.4331665039062, 45.48847198486328, 1080.0], [1359.427490234375, 571.9967651367188, 1439.3975830078125, 792.1032104492188], [225.2517852783203, 397.0433654785156, 290.2975769042969, 594.4197387695312], [253.8550262451172, 357.7832946777344, 314.9737548828125, 567.391357421875], [1627.8433837890625, 258.6954345703125, 1690.4447021484375, 440.1231994628906], [543.5099487304688, 149.16757202148438, 599.97314453125, 330.6899719238281], [1801.945556640625, 206.71084594726562, 1855.1715087890625, 389.42706298828125], [791.3450927734375, 146.3211669921875, 854.1869506835938, 322.1019592285156], [499.8782653808594, 138.47340393066406, 552.0413208007812, 307.8715515136719], [880.4953002929688, 127.65565490722656, 934.1856079101562, 306.552734375], [269.25750732421875, 388.4352722167969, 314.0137023925781, 568.0140380859375]]","[0.8435579538345337, 0.8192283511161804, 0.6875186562538147, 0.7017985582351685, 0.46365493535995483, 0.703194797039032, 0.657633900642395, 0.6942079663276672, 0.4904119372367859, 0.4238477945327759, 0.5551924109458923, 0.550738513469696, 0.4908140301704407, 0.35174885392189026, 0.4643838703632355, 0.30450764298439026, 0.36837661266326904]","[[416.71588134765625, 644.4635620117188], [141.56676483154297, 796.4801635742188], [1153.1406860351562, 1079.516357421875], [1763.4722290039062, 669.604736328125], [1073.4790649414062, 298.67291259765625], [1102.8511962890625, 388.21563720703125], [22.74423599243164, 1080.0], [1399.4125366210938, 792.1032104492188], [257.7746810913086, 594.4197387695312], [284.41439056396484, 567.391357421875], [1659.14404296875, 440.1231994628906], [571.7415466308594, 330.6899719238281], [1828.5585327148438, 389.42706298828125], [822.7660217285156, 322.1019592285156], [525.9597930908203, 307.8715515136719], [907.3404541015625, 306.552734375], [291.63560485839844, 568.0140380859375]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
8,,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 12]","[[375.7385559082031, 404.41363525390625, 458.85443115234375, 642.2371215820312], [103.02147674560547, 549.1846313476562, 180.26385498046875, 796.4205932617188], [1119.4183349609375, 975.9526977539062, 1193.6390380859375, 1079.4892578125], [1726.6181640625, 456.6619873046875, 1798.575439453125, 667.4649047851562], [1043.786376953125, 134.52093505859375, 1103.4783935546875, 292.1170959472656], [1068.6068115234375, 209.68348693847656, 1133.5111083984375, 387.97296142578125], [0.23965997993946075, 870.9425048828125, 46.10801696777344, 1080.0], [1359.3048095703125, 572.1675415039062, 1439.4901123046875, 792.7700805664062], [221.5934295654297, 385.00909423828125, 290.9256591796875, 593.3954467773438], [254.2110595703125, 357.4200744628906, 314.4023132324219, 562.7162475585938], [1626.83154296875, 258.2659606933594, 1689.162109375, 439.0760498046875], [542.4410400390625, 149.73016357421875, 599.5485229492188, 334.2589111328125], [1802.26708984375, 207.3694610595703, 1855.8802490234375, 390.3125], [791.6112670898438, 146.50352478027344, 854.3179321289062, 321.75152587890625], [498.3453369140625, 140.0566864013672, 551.122314453125, 310.0545654296875], [266.981201171875, 388.9344482421875, 310.966796875, 563.08154296875]]","[0.842047929763794, 0.8184025883674622, 0.6925181746482849, 0.7357097268104553, 0.49471208453178406, 0.6772444844245911, 0.6689487099647522, 0.6735633611679077, 0.46129849553108215, 0.34377217292785645, 0.5097255110740662, 0.5186059474945068, 0.4228229522705078, 0.32121556997299194, 0.38922977447509766, 0.39257845282554626]","[[417.29649353027344, 642.2371215820312], [141.6426658630371, 796.4205932617188], [1156.5286865234375, 1079.4892578125], [1762.5968017578125, 667.4649047851562], [1073.6323852539062, 292.1170959472656], [1101.0589599609375, 387.97296142578125], [23.17383847385645, 1080.0], [1399.3974609375, 792.7700805664062], [256.2595443725586, 593.3954467773438], [284.3066864013672, 562.7162475585938], [1657.996826171875, 439.0760498046875], [570.9947814941406, 334.2589111328125], [1829.0736694335938, 390.3125], [822.964599609375, 321.75152587890625], [524.7338256835938, 310.0545654296875], [288.9739990234375, 563.08154296875]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
9,,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 12]","[[376.7208557128906, 402.74761962890625, 459.6797180175781, 640.2633056640625], [102.87517547607422, 549.1136474609375, 180.23985290527344, 796.5732421875], [1122.2032470703125, 975.464111328125, 1196.4315185546875, 1079.689697265625], [1725.948486328125, 456.8639221191406, 1797.9246826171875, 667.3818969726562], [1042.0750732421875, 135.84091186523438, 1102.2205810546875, 293.8274230957031], [1066.3243408203125, 210.23175048828125, 1133.407470703125, 386.9890441894531], [0.15205445885658264, 869.1141357421875, 46.42934036254883, 1080.0], [1358.6251220703125, 572.1054077148438, 1438.9202880859375, 792.4465942382812], [219.7320556640625, 384.8307800292969, 289.08514404296875, 590.8328247070312], [1625.20166015625, 257.7439270019531, 1687.447265625, 438.812255859375], [541.383544921875, 151.57388305664062, 597.873046875, 334.735595703125], [1801.97802734375, 207.81277465820312, 1856.8470458984375, 393.83087158203125], [792.0038452148438, 146.81646728515625, 854.767822265625, 322.0697326660156], [496.664794921875, 140.4252471923828, 550.9927978515625, 314.6816711425781], [265.6673889160156, 387.58935546875, 308.8056640625, 556.3695678710938]]","[0.8436362743377686, 0.8218400478363037, 0.7166088819503784, 0.7559503316879272, 0.4997798800468445, 0.6947616338729858, 0.703335165977478, 0.7110748291015625, 0.5453091859817505, 0.5576494932174683, 0.5021088719367981, 0.4535694122314453, 0.3350149393081665, 0.4258383512496948, 0.2637515962123871]","[[418.2002868652344, 640.2633056640625], [141.55751419067383, 796.5732421875], [1159.3173828125, 1079.689697265625], [1761.9365844726562, 667.3818969726562], [1072.1478271484375, 293.8274230957031], [1099.8659057617188, 386.9890441894531], [23.290697410702705, 1080.0], [1398.772705078125, 792.4465942382812], [254.40859985351562, 590.8328247070312], [1656.324462890625, 438.812255859375], [569.6282958984375, 334.735595703125], [1829.4125366210938, 393.83087158203125], [823.3858337402344, 322.0697326660156], [523.8287963867188, 314.6816711425781], [287.2365264892578, 556.3695678710938]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
10,,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17]","[[377.7198791503906, 401.2343444824219, 460.3412170410156, 637.5650024414062], [102.91385650634766, 549.3532104492188, 180.22091674804688, 796.556640625], [1125.3787841796875, 975.225341796875, 1198.854248046875, 1079.1309814453125], [1725.710205078125, 457.6375427246094, 1797.4442138671875, 667.093994140625], [1039.5064697265625, 136.9865264892578, 1101.9625244140625, 300.87078857421875], [1063.5391845703125, 210.24728393554688, 1133.3067626953125, 386.66094970703125], [0.027105413377285004, 867.2987670898438, 46.68270492553711, 1080.0], [1358.811767578125, 572.1489868164062, 1439.1572265625, 792.1175537109375], [218.65003967285156, 387.0409851074219, 287.1724853515625, 587.6273193359375], [1624.0540771484375, 256.9414978027344, 1686.3916015625, 438.3892822265625], [540.3490600585938, 152.9482879638672, 597.0973510742188, 337.6260070800781], [1802.0047607421875, 208.55087280273438, 1857.5118408203125, 395.8323669433594], [790.9207763671875, 146.69482421875, 854.3563842773438, 323.9078063964844], [496.498046875, 140.0063018798828, 551.6552124023438, 316.9512939453125], [893.2470092773438, 129.83815002441406, 948.3309326171875, 306.51776123046875]]","[0.8450687527656555, 0.8213617205619812, 0.724504828453064, 0.813167929649353, 0.4985201358795166, 0.7138836979866028, 0.7284965515136719, 0.7436308264732361, 0.5342987775802612, 0.5535025000572205, 0.42173323035240173, 0.41854846477508545, 0.33634066581726074, 0.45631149411201477, 0.3635416328907013]","[[419.0305480957031, 637.5650024414062], [141.56738662719727, 796.556640625], [1162.1165161132812, 1079.1309814453125], [1761.5772094726562, 667.093994140625], [1070.7344970703125, 300.87078857421875], [1098.4229736328125, 386.66094970703125], [23.354905169457197, 1080.0], [1398.9844970703125, 792.1175537109375], [252.91126251220703, 587.6273193359375], [1655.2228393554688, 438.3892822265625], [568.7232055664062, 337.6260070800781], [1829.75830078125, 395.8323669433594], [822.6385803222656, 323.9078063964844], [524.0766296386719, 316.9512939453125], [920.7889709472656, 306.51776123046875]]",303210496,288133120,303210496,640,yolo26s_640_ncnn_model,MOT17-04
