frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1696.9278564453125, 388.23455810546875, 1862.9283447265625, 726.9193115234375], [0.05200958251953125, 340.81884765625, 116.76856231689453, 901.607421875], [1289.6787109375, 461.9167175292969, 1361.1834716796875, 658.110107421875], [1254.6265869140625, 537.619384765625, 1313.6646728515625, 655.7891845703125], [253.46563720703125, 455.4461669921875, 355.80194091796875, 705.0311279296875], [122.24021911621094, 503.08343505859375, 213.0955810546875, 743.48583984375], [1885.30615234375, 392.9779052734375, 1919.1619873046875, 568.96337890625]]","[0.8773622512817383, 0.8121291995048523, 0.7536644339561462, 0.7284485697746277, 0.6895043253898621, 0.6537247896194458, 0.5442575812339783]","[[1779.9281005859375, 726.9193115234375], [58.41028594970703, 901.607421875], [1325.4310913085938, 658.110107421875], [1284.1456298828125, 655.7891845703125], [304.6337890625, 705.0311279296875], [167.66790008544922, 743.48583984375], [1902.2340698242188, 568.96337890625]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1691.6365966796875, 387.58123779296875, 1858.057861328125, 727.1350708007812], [0.8949418663978577, 337.75860595703125, 118.39279174804688, 902.1494140625], [1290.507568359375, 461.4384460449219, 1361.84912109375, 657.52490234375], [1256.9566650390625, 537.7858276367188, 1316.2034912109375, 656.4146118164062], [257.5770263671875, 456.6653747558594, 359.75787353515625, 706.153564453125], [119.91979217529297, 500.2559814453125, 211.96165466308594, 743.9192504882812], [1883.3426513671875, 389.0350646972656, 1918.888427734375, 573.7379760742188]]","[0.860379695892334, 0.8514982461929321, 0.7565979957580566, 0.7175058722496033, 0.8057906627655029, 0.6638089418411255, 0.565585196018219]","[[1774.8472290039062, 727.1350708007812], [59.643866807222366, 902.1494140625], [1326.1783447265625, 657.52490234375], [1286.580078125, 656.4146118164062], [308.6674499511719, 706.153564453125], [165.94072341918945, 743.9192504882812], [1901.1155395507812, 573.7379760742188]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1689.3177490234375, 387.26397705078125, 1856.4708251953125, 728.276611328125], [0.6469911932945251, 323.8985290527344, 121.09648895263672, 902.4019775390625], [1291.6192626953125, 460.69683837890625, 1363.0257568359375, 657.4909057617188], [1258.0789794921875, 539.3646850585938, 1317.043701171875, 657.6704711914062], [259.3321228027344, 456.8731689453125, 361.3824157714844, 706.368896484375], [118.17658233642578, 497.6960144042969, 210.927734375, 743.7306518554688], [1882.162353515625, 386.0908203125, 1918.6397705078125, 575.4522094726562]]","[0.8506267666816711, 0.8342469930648804, 0.7495225667953491, 0.719407856464386, 0.7991756796836853, 0.7185325622558594, 0.5833770632743835]","[[1772.894287109375, 728.276611328125], [60.87174007296562, 902.4019775390625], [1327.322509765625, 657.4909057617188], [1287.5613403320312, 657.6704711914062], [310.3572692871094, 706.368896484375], [164.5521583557129, 743.7306518554688], [1900.4010620117188, 575.4522094726562]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1687.6298828125, 387.3123779296875, 1855.407958984375, 729.8399047851562], [0.0, 274.86322021484375, 127.86067199707031, 902.2742309570312], [1292.73828125, 459.70684814453125, 1364.2196044921875, 657.5302124023438], [1259.552001953125, 541.2723999023438, 1317.936279296875, 659.0262451171875], [259.8406066894531, 457.006103515625, 361.7491149902344, 706.7527465820312], [118.63475799560547, 501.5713195800781, 209.89453125, 743.9508056640625], [1880.62353515625, 379.5812683105469, 1918.6385498046875, 576.734130859375]]","[0.8402509689331055, 0.8504998683929443, 0.7332978844642639, 0.7407978773117065, 0.8130834698677063, 0.7596044540405273, 0.5515130758285522]","[[1771.5189208984375, 729.8399047851562], [63.930335998535156, 902.2742309570312], [1328.4789428710938, 657.5302124023438], [1288.744140625, 659.0262451171875], [310.79486083984375, 706.7527465820312], [164.26464462280273, 743.9508056640625], [1899.6310424804688, 576.734130859375]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1687.810546875, 387.13848876953125, 1856.550537109375, 732.6494750976562], [2.8154125213623047, 248.17333984375, 139.00497436523438, 901.2403564453125], [1294.4818115234375, 459.1861877441406, 1366.23291015625, 658.8124389648438], [1262.190673828125, 541.2755737304688, 1319.6807861328125, 658.4098510742188], [260.135986328125, 456.88446044921875, 361.7333679199219, 706.5643920898438], [119.88548278808594, 505.04583740234375, 209.97665405273438, 744.4789428710938], [1879.431396484375, 368.5254211425781, 1919.2520751953125, 575.2330322265625]]","[0.8441424369812012, 0.8700463771820068, 0.6948055624961853, 0.7102649807929993, 0.7957428693771362, 0.6941059231758118, 0.6013214588165283]","[[1772.1805419921875, 732.6494750976562], [70.91019344329834, 901.2403564453125], [1330.3573608398438, 658.8124389648438], [1290.9357299804688, 658.4098510742188], [310.93467712402344, 706.5643920898438], [164.93106842041016, 744.4789428710938], [1899.3417358398438, 575.2330322265625]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.370849609375, 387.1983947753906, 1854.9283447265625, 736.3882446289062], [3.871657371520996, 236.01309204101562, 143.0165557861328, 901.1514282226562], [1297.5498046875, 459.9736633300781, 1366.4971923828125, 652.9364013671875], [1265.817138671875, 542.2019653320312, 1321.8370361328125, 657.7777099609375], [260.72869873046875, 456.6551513671875, 361.9205322265625, 706.1920776367188], [120.04383087158203, 505.4300231933594, 210.02117919921875, 744.8821411132812], [1878.172607421875, 361.1863708496094, 1919.6370849609375, 576.7972412109375]]","[0.8523606061935425, 0.8827563524246216, 0.6507143378257751, 0.7161721587181091, 0.7817712426185608, 0.713176429271698, 0.6224936246871948]","[[1770.1495971679688, 736.3882446289062], [73.4441065788269, 901.1514282226562], [1332.0234985351562, 652.9364013671875], [1293.8270874023438, 657.7777099609375], [311.3246154785156, 706.1920776367188], [165.0325050354004, 744.8821411132812], [1898.9048461914062, 576.7972412109375]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.78662109375, 387.7616882324219, 1852.418701171875, 737.3551635742188], [5.325159072875977, 228.9146728515625, 146.69546508789062, 901.3382568359375], [1298.9312744140625, 461.3175964355469, 1367.8043212890625, 655.6035766601562], [1269.544189453125, 540.4677124023438, 1325.777099609375, 658.1783447265625], [264.384033203125, 455.7343444824219, 364.5809020996094, 705.009521484375], [118.09706115722656, 505.9383850097656, 207.5679931640625, 744.9505615234375], [1875.659912109375, 350.8609924316406, 1919.7259521484375, 580.34765625]]","[0.8551948070526123, 0.8994861841201782, 0.6330169439315796, 0.7054697275161743, 0.7909778356552124, 0.6476574540138245, 0.6795101761817932]","[[1768.1026611328125, 737.3551635742188], [76.0103120803833, 901.3382568359375], [1333.3677978515625, 655.6035766601562], [1297.66064453125, 658.1783447265625], [314.4824676513672, 705.009521484375], [162.83252716064453, 744.9505615234375], [1897.6929321289062, 580.34765625]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.833984375, 388.7746276855469, 1850.46533203125, 739.2530517578125], [7.198410511016846, 225.50332641601562, 150.45965576171875, 901.8590698242188], [1300.9068603515625, 459.10601806640625, 1370.6217041015625, 656.7568969726562], [1272.79638671875, 539.37109375, 1328.666748046875, 657.9398803710938], [266.79095458984375, 455.2788391113281, 365.91668701171875, 704.5637817382812], [118.05491638183594, 507.6802062988281, 206.57342529296875, 745.01123046875], [1873.999267578125, 347.2764587402344, 1919.3438720703125, 583.3347778320312]]","[0.8625132441520691, 0.8952900767326355, 0.634434700012207, 0.6473283171653748, 0.7657915353775024, 0.5872471928596497, 0.6765177249908447]","[[1766.649658203125, 739.2530517578125], [78.8290331363678, 901.8590698242188], [1335.7642822265625, 656.7568969726562], [1300.7315673828125, 657.9398803710938], [316.35382080078125, 704.5637817382812], [162.31417083740234, 745.01123046875], [1896.6715698242188, 583.3347778320312]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.1778564453125, 389.6248779296875, 1850.5419921875, 740.281494140625], [9.62928581237793, 222.66163635253906, 155.13392639160156, 902.2448120117188], [1304.2095947265625, 458.25567626953125, 1374.5521240234375, 657.553466796875], [1274.0947265625, 538.8734130859375, 1329.6873779296875, 659.03662109375], [270.5667724609375, 455.44366455078125, 367.9080810546875, 703.956298828125], [117.89973449707031, 508.162841796875, 205.89480590820312, 745.3553466796875], [1872.2347412109375, 347.03961181640625, 1918.77197265625, 588.6995849609375]]","[0.8533806800842285, 0.8963751196861267, 0.6863309741020203, 0.6727418899536133, 0.7158669829368591, 0.6122176051139832, 0.69407719373703]","[[1767.3599243164062, 740.281494140625], [82.38160610198975, 902.2448120117188], [1339.380859375, 657.553466796875], [1301.8910522460938, 659.03662109375], [319.2374267578125, 703.956298828125], [161.89727020263672, 745.3553466796875], [1895.5033569335938, 588.6995849609375]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.0657958984375, 390.79412841796875, 1845.9866943359375, 742.4524536132812], [12.188323974609375, 224.45745849609375, 159.55160522460938, 902.9824829101562], [1309.640869140625, 459.64837646484375, 1380.3099365234375, 658.2684936523438], [1275.791748046875, 539.8684692382812, 1330.5882568359375, 660.0746459960938], [272.4024963378906, 455.4584045410156, 367.93475341796875, 702.8468627929688], [118.32777404785156, 508.2777404785156, 205.7857666015625, 745.6143188476562], [1870.5699462890625, 348.26727294921875, 1918.2760009765625, 595.0200805664062]]","[0.8366508483886719, 0.9037279486656189, 0.6851950883865356, 0.6409314870834351, 0.7099425196647644, 0.5610393285751343, 0.6847417950630188]","[[1763.5262451171875, 742.4524536132812], [85.86996459960938, 902.9824829101562], [1344.9754028320312, 658.2684936523438], [1303.1900024414062, 660.0746459960938], [320.1686248779297, 702.8468627929688], [162.05677032470703, 745.6143188476562], [1894.4229736328125, 595.0200805664062]]",303210496,288133120,303210496,576,yolo26m_576_ncnn_model,MOT17-09
