frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1698.526123046875, 389.40948486328125, 1863.2235107421875, 728.4970092773438], [1288.9603271484375, 460.1282958984375, 1352.859375, 656.9620361328125], [0.0, 340.5538330078125, 119.1109848022461, 898.4124755859375], [1254.33154296875, 535.681640625, 1311.6090087890625, 657.267333984375], [259.01654052734375, 455.21771240234375, 352.2832946777344, 704.1748657226562], [1887.573486328125, 394.26190185546875, 1919.2315673828125, 577.5538940429688], [1887.3048095703125, 394.849365234375, 1919.3199462890625, 569.3865356445312], [116.29928588867188, 508.23565673828125, 205.19857788085938, 743.211669921875]]","[0.8996182084083557, 0.888469398021698, 0.8575583100318909, 0.7112659811973572, 0.6420915126800537, 0.62465900182724, 0.5984331965446472, 0.5712817907333374]","[[1780.8748168945312, 728.4970092773438], [1320.9098510742188, 656.9620361328125], [59.55549240112305, 898.4124755859375], [1282.9702758789062, 657.267333984375], [305.64991760253906, 704.1748657226562], [1903.4025268554688, 577.5538940429688], [1903.3123779296875, 569.3865356445312], [160.74893188476562, 743.211669921875]]",581881856,640,yolo26s.pt,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1691.4952392578125, 388.63372802734375, 1856.4195556640625, 727.9776611328125], [1291.8546142578125, 459.690673828125, 1355.9256591796875, 657.2587890625], [0.0, 333.6773681640625, 120.13921356201172, 898.4190673828125], [1256.7540283203125, 536.682373046875, 1313.9256591796875, 658.0252075195312], [262.8412780761719, 455.581298828125, 355.9480285644531, 704.2750244140625], [1885.2745361328125, 388.5709228515625, 1918.25537109375, 579.250732421875], [112.45957946777344, 513.8439331054688, 199.2530517578125, 743.8787841796875]]","[0.9088484048843384, 0.8900222182273865, 0.9001401662826538, 0.7685384750366211, 0.6985363364219666, 0.6687949299812317, 0.6508529186248779]","[[1773.9573974609375, 727.9776611328125], [1323.89013671875, 657.2587890625], [60.06960678100586, 898.4190673828125], [1285.33984375, 658.0252075195312], [309.3946533203125, 704.2750244140625], [1901.7649536132812, 579.250732421875], [155.85631561279297, 743.8787841796875]]",588103680,640,yolo26s.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1687.6357421875, 388.6441650390625, 1853.0819091796875, 728.610107421875], [1293.0667724609375, 459.0443420410156, 1357.6429443359375, 658.2523193359375], [0.0, 321.296630859375, 121.917236328125, 899.0780029296875], [1258.5306396484375, 538.1525268554688, 1315.347900390625, 658.9068603515625], [265.36370849609375, 456.7667541503906, 358.0972595214844, 704.5601196289062], [1883.822021484375, 386.0299377441406, 1917.3597412109375, 579.1968383789062], [115.01170349121094, 510.9178771972656, 203.01573181152344, 743.9932250976562]]","[0.8978968858718872, 0.8794214725494385, 0.8995956778526306, 0.7019529342651367, 0.7943370938301086, 0.6978663802146912, 0.645728588104248]","[[1770.3588256835938, 728.610107421875], [1325.3548583984375, 658.2523193359375], [60.9586181640625, 899.0780029296875], [1286.9392700195312, 658.9068603515625], [311.73048400878906, 704.5601196289062], [1900.5908813476562, 579.1968383789062], [159.0137176513672, 743.9932250976562]]",581222400,640,yolo26s.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1684.0391845703125, 388.10589599609375, 1850.2479248046875, 729.5072021484375], [1294.89990234375, 459.88446044921875, 1359.2979736328125, 658.7440795898438], [0.5622519254684448, 295.74517822265625, 129.43515014648438, 899.3916625976562], [1259.8046875, 539.2962646484375, 1316.5528564453125, 660.28369140625], [265.2022399902344, 456.6728210449219, 357.910888671875, 704.4754028320312], [1883.016845703125, 383.9294128417969, 1917.190673828125, 579.8623046875], [115.78341674804688, 510.949951171875, 203.6792449951172, 744.0198364257812]]","[0.9088380336761475, 0.8637148141860962, 0.8653201460838318, 0.6823054552078247, 0.81415855884552, 0.6226432919502258, 0.6537907719612122]","[[1767.1435546875, 729.5072021484375], [1327.0989379882812, 658.7440795898438], [64.99870103597641, 899.3916625976562], [1288.1787719726562, 660.28369140625], [311.5565643310547, 704.4754028320312], [1900.103759765625, 579.8623046875], [159.73133087158203, 744.0198364257812]]",581222400,640,yolo26s.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1682.1036376953125, 387.6043701171875, 1849.6956787109375, 732.1515502929688], [1297.16796875, 459.43536376953125, 1361.5657958984375, 658.6409912109375], [1.0591483116149902, 257.5196228027344, 138.39515686035156, 900.3138427734375], [1262.2774658203125, 540.6180419921875, 1317.3994140625, 659.1862182617188], [265.81610107421875, 456.876953125, 358.43438720703125, 704.557373046875], [1882.0169677734375, 380.82220458984375, 1916.9537353515625, 579.8817749023438], [115.81128692626953, 521.229736328125, 199.5573272705078, 744.3081665039062]]","[0.8752202391624451, 0.8815205693244934, 0.912822425365448, 0.694913387298584, 0.8217210173606873, 0.7628922462463379, 0.5692501664161682]","[[1765.899658203125, 732.1515502929688], [1329.3668823242188, 658.6409912109375], [69.72715258598328, 900.3138427734375], [1289.8384399414062, 659.1862182617188], [312.125244140625, 704.557373046875], [1899.4853515625, 579.8817749023438], [157.68430709838867, 744.3081665039062]]",581222400,640,yolo26s.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1681.6005859375, 387.778076171875, 1849.9266357421875, 734.5863647460938], [1299.9599609375, 459.6962890625, 1363.9476318359375, 657.9048461914062], [4.284398555755615, 239.45138549804688, 146.3034210205078, 901.2039794921875], [1265.3675537109375, 541.697021484375, 1319.123291015625, 658.7623291015625], [267.2287292480469, 457.1708068847656, 359.52374267578125, 704.5661010742188], [1880.9332275390625, 376.9787292480469, 1916.72314453125, 579.3155517578125], [118.42826080322266, 524.9274291992188, 200.6592254638672, 744.3576049804688]]","[0.8723127841949463, 0.877158522605896, 0.7368936538696289, 0.5704573392868042, 0.8127700686454773, 0.7248810529708862, 0.6117900013923645]","[[1765.7636108398438, 734.5863647460938], [1331.9537963867188, 657.9048461914062], [75.29390978813171, 901.2039794921875], [1292.2454223632812, 658.7623291015625], [313.37623596191406, 704.5661010742188], [1898.8281860351562, 579.3155517578125], [159.54374313354492, 744.3576049804688]]",581222400,640,yolo26s.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1680.422119140625, 388.3840026855469, 1848.89453125, 736.7669067382812], [1301.8958740234375, 458.7073059082031, 1366.1895751953125, 658.1911010742188], [3.3153998851776123, 229.90823364257812, 147.93479919433594, 902.3630981445312], [1269.2177734375, 544.7521362304688, 1321.2486572265625, 659.8124389648438], [271.06976318359375, 457.6407470703125, 362.2601623535156, 704.0067749023438], [1877.9801025390625, 371.270751953125, 1915.644775390625, 581.4149780273438], [118.65495300292969, 531.0044555664062, 198.26329040527344, 743.9551391601562]]","[0.888634443283081, 0.875285804271698, 0.9385109543800354, 0.3719376027584076, 0.6793413758277893, 0.7515445351600647, 0.6040381193161011]","[[1764.6583251953125, 736.7669067382812], [1334.042724609375, 658.1911010742188], [75.62509953975677, 902.3630981445312], [1295.2332153320312, 659.8124389648438], [316.6649627685547, 704.0067749023438], [1896.8124389648438, 581.4149780273438], [158.45912170410156, 743.9551391601562]]",581222400,640,yolo26s.pt,MOT17-09
8,,6,"[1, 2, 3, 5, 6, 8]","[[1682.595703125, 389.2222595214844, 1850.82568359375, 738.1058959960938], [1304.41064453125, 458.7703857421875, 1369.1304931640625, 658.4029541015625], [4.775523662567139, 224.2154541015625, 151.4320068359375, 902.7117919921875], [273.9918518066406, 457.2633972167969, 364.2942199707031, 703.980224609375], [1876.8846435546875, 375.068359375, 1915.0316162109375, 584.4817504882812], [116.6087646484375, 522.4561157226562, 199.00233459472656, 744.1190795898438]]","[0.8898054361343384, 0.8737295866012573, 0.9452525973320007, 0.7528088688850403, 0.7869538068771362, 0.5602801442146301]","[[1766.710693359375, 738.1058959960938], [1336.7705688476562, 658.4029541015625], [78.10376524925232, 902.7117919921875], [319.1430358886719, 703.980224609375], [1895.9581298828125, 584.4817504882812], [157.80554962158203, 744.1190795898438]]",581222400,640,yolo26s.pt,MOT17-09
9,,7,"[1, 2, 3, 5, 6, 8, 4]","[[1682.4188232421875, 389.9226989746094, 1850.4608154296875, 739.9171752929688], [1308.5640869140625, 458.44708251953125, 1374.2144775390625, 659.4039306640625], [7.696828842163086, 222.1309356689453, 156.12196350097656, 902.508056640625], [278.640625, 457.2856140136719, 367.0465087890625, 703.0736083984375], [1875.552734375, 375.8573913574219, 1915.0263671875, 589.2046508789062], [116.56373596191406, 514.9080200195312, 201.1936492919922, 743.9561767578125], [1273.410400390625, 541.9379272460938, 1325.6583251953125, 659.6961669921875]]","[0.8900825381278992, 0.8867006301879883, 0.9337980151176453, 0.697462260723114, 0.7986567616462708, 0.67215895652771, 0.4219118356704712]","[[1766.4398193359375, 739.9171752929688], [1341.3892822265625, 659.4039306640625], [81.90939617156982, 902.508056640625], [322.84356689453125, 703.0736083984375], [1895.28955078125, 589.2046508789062], [158.87869262695312, 743.9561767578125], [1299.5343627929688, 659.6961669921875]]",581222400,640,yolo26s.pt,MOT17-09
10,,7,"[1, 2, 3, 5, 6, 8, 4]","[[1680.195068359375, 390.5211486816406, 1847.86962890625, 742.0211181640625], [1312.3741455078125, 458.8024597167969, 1378.5880126953125, 659.2523803710938], [12.0447998046875, 222.58444213867188, 162.45980834960938, 901.6968383789062], [280.22900390625, 455.76837158203125, 367.11920166015625, 701.6270141601562], [1874.1077880859375, 377.9715881347656, 1914.7593994140625, 593.7733154296875], [117.63883209228516, 514.5130004882812, 201.97267150878906, 743.9348754882812], [1276.0997314453125, 539.8178100585938, 1329.2928466796875, 661.5641479492188]]","[0.8714216351509094, 0.7535948753356934, 0.934753954410553, 0.6022425293922424, 0.8183542490005493, 0.452212929725647, 0.7003635168075562]","[[1764.0323486328125, 742.0211181640625], [1345.4810791015625, 659.2523803710938], [87.25230407714844, 901.6968383789062], [323.6741027832031, 701.6270141601562], [1894.43359375, 593.7733154296875], [159.8057518005371, 743.9348754882812], [1302.6962890625, 661.5641479492188]]",581222400,640,yolo26s.pt,MOT17-09
