frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1699.713623046875, 388.8261413574219, 1863.731201171875, 727.806396484375], [0.3348236083984375, 340.6194763183594, 117.64968872070312, 902.4351806640625], [1289.7589111328125, 461.2342529296875, 1362.3228759765625, 659.7889404296875], [1888.569091796875, 393.33465576171875, 1919.1224365234375, 567.3321533203125], [1255.182861328125, 537.4154663085938, 1314.6805419921875, 654.8406372070312], [247.6723175048828, 454.28369140625, 354.90997314453125, 705.512451171875], [122.78189086914062, 504.10430908203125, 215.44351196289062, 742.3131713867188], [47.022674560546875, 522.0964965820312, 115.0460205078125, 749.8596801757812]]","[0.9047026038169861, 0.8977770805358887, 0.7681134343147278, 0.7193697690963745, 0.6710951328277588, 0.6548675894737244, 0.3517095446586609, 0.29634711146354675]","[[1781.722412109375, 727.806396484375], [58.99225616455078, 902.4351806640625], [1326.0408935546875, 659.7889404296875], [1903.8457641601562, 567.3321533203125], [1284.9317016601562, 654.8406372070312], [301.29114532470703, 705.512451171875], [169.11270141601562, 742.3131713867188], [81.03434753417969, 749.8596801757812]]",1509842944,512,yolo26x.pt,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1690.3487548828125, 387.17657470703125, 1855.059326171875, 727.7499389648438], [0.9594718813896179, 336.3462219238281, 119.20585632324219, 902.4951171875], [1289.571533203125, 459.3966369628906, 1362.255859375, 658.6575927734375], [1886.57470703125, 392.3742980957031, 1916.912109375, 564.5811157226562], [1257.2952880859375, 538.3316650390625, 1316.655517578125, 655.566650390625], [252.916259765625, 455.52886962890625, 359.7559509277344, 705.839599609375], [121.1323013305664, 503.726806640625, 214.0362091064453, 742.7977905273438]]","[0.907461941242218, 0.9121919870376587, 0.8453549146652222, 0.5518864989280701, 0.7287473678588867, 0.6702827215194702, 0.2508450448513031]","[[1772.7040405273438, 727.7499389648438], [60.0826641023159, 902.4951171875], [1325.9136962890625, 658.6575927734375], [1901.743408203125, 564.5811157226562], [1286.9754028320312, 655.566650390625], [306.3361053466797, 705.839599609375], [167.58425521850586, 742.7977905273438]]",1523998720,512,yolo26x.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.361572265625, 387.5762023925781, 1850.806640625, 727.7433471679688], [5.316315650939941, 322.1090087890625, 126.99279022216797, 902.9364013671875], [1290.852783203125, 459.3753356933594, 1362.8564453125, 657.6085205078125], [1884.4603271484375, 390.68609619140625, 1916.0845947265625, 569.1539916992188], [1258.5673828125, 537.9493408203125, 1318.174560546875, 655.9334106445312], [258.5754699707031, 456.2820129394531, 364.7229919433594, 705.1492309570312], [120.53948974609375, 504.3774108886719, 213.0993194580078, 742.883544921875]]","[0.9082103967666626, 0.9106128811836243, 0.8416110277175903, 0.7383898496627808, 0.7259989380836487, 0.6349541544914246, 0.2796870470046997]","[[1768.5841064453125, 727.7433471679688], [66.15455293655396, 902.9364013671875], [1326.8546142578125, 657.6085205078125], [1900.2724609375, 569.1539916992188], [1288.3709716796875, 655.9334106445312], [311.64923095703125, 705.1492309570312], [166.81940460205078, 742.883544921875]]",1523998720,512,yolo26x.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.5628662109375, 388.22491455078125, 1847.6734619140625, 728.1246948242188], [2.560933828353882, 277.44891357421875, 133.54580688476562, 902.466796875], [1291.986328125, 459.6298828125, 1363.759033203125, 658.12548828125], [1882.7640380859375, 388.1204528808594, 1915.7642822265625, 572.938720703125], [1260.497802734375, 538.0679931640625, 1319.793701171875, 655.8578491210938], [255.6764678955078, 456.9090881347656, 361.759765625, 705.3515014648438], [120.46016693115234, 505.45355224609375, 212.16177368164062, 742.0573120117188]]","[0.8973062038421631, 0.9034010171890259, 0.8382524847984314, 0.7463992238044739, 0.7106045484542847, 0.6973589658737183, 0.40688061714172363]","[[1765.6181640625, 728.1246948242188], [68.05337035655975, 902.466796875], [1327.8726806640625, 658.12548828125], [1899.26416015625, 572.938720703125], [1290.145751953125, 655.8578491210938], [308.7181167602539, 705.3515014648438], [166.31097030639648, 742.0573120117188]]",1523998720,512,yolo26x.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.5457763671875, 388.1913757324219, 1849.1419677734375, 731.4702758789062], [4.637849807739258, 248.28070068359375, 142.18472290039062, 902.2906494140625], [1294.8087158203125, 459.6976013183594, 1366.10888671875, 658.5308837890625], [1881.3309326171875, 381.5644836425781, 1916.1904296875, 575.46923828125], [1263.0023193359375, 538.515380859375, 1321.9732666015625, 656.664306640625], [256.95452880859375, 456.9044189453125, 362.7987365722656, 705.8310546875], [120.85199737548828, 506.97662353515625, 212.2588348388672, 742.796875]]","[0.8883229494094849, 0.90913987159729, 0.8432890176773071, 0.7538014650344849, 0.7717166543006897, 0.718731701374054, 0.4977684020996094]","[[1766.3438720703125, 731.4702758789062], [73.41128635406494, 902.2906494140625], [1330.4588012695312, 658.5308837890625], [1898.7606811523438, 575.46923828125], [1292.48779296875, 656.664306640625], [309.8766326904297, 705.8310546875], [166.55541610717773, 742.796875]]",1523998720,512,yolo26x.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.988525390625, 388.3046875, 1849.4683837890625, 734.4939575195312], [5.407425880432129, 235.32809448242188, 146.27044677734375, 902.3579711914062], [1297.60546875, 460.405029296875, 1368.3018798828125, 658.8434448242188], [1880.3392333984375, 377.2331237792969, 1916.3330078125, 575.8785400390625], [1266.2943115234375, 538.5557861328125, 1324.5751953125, 656.8307495117188], [258.28857421875, 456.976318359375, 363.6069641113281, 706.122314453125], [120.6675033569336, 508.0538635253906, 211.52694702148438, 742.9916381835938]]","[0.892008900642395, 0.90511155128479, 0.8294447660446167, 0.7242136001586914, 0.8016685247421265, 0.7836817502975464, 0.5195589661598206]","[[1766.2284545898438, 734.4939575195312], [75.83893632888794, 902.3579711914062], [1332.9536743164062, 658.8434448242188], [1898.3361206054688, 575.8785400390625], [1295.4347534179688, 656.8307495117188], [310.94776916503906, 706.122314453125], [166.09722518920898, 742.9916381835938]]",1523998720,512,yolo26x.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.0069580078125, 389.5212707519531, 1848.127685546875, 736.7981567382812], [4.713318824768066, 228.81707763671875, 147.51730346679688, 902.805419921875], [1300.5748291015625, 460.3681945800781, 1370.906005859375, 659.087890625], [1877.6497802734375, 367.39520263671875, 1916.502685546875, 580.1831665039062], [1268.150146484375, 538.294677734375, 1325.7987060546875, 657.4037475585938], [262.0882263183594, 456.2393493652344, 365.9476013183594, 704.7827758789062], [118.38469696044922, 512.3291015625, 207.32965087890625, 742.8464965820312]]","[0.8944473266601562, 0.9146292209625244, 0.8314684629440308, 0.7598568201065063, 0.7465481162071228, 0.7653257250785828, 0.450072318315506]","[[1765.0673217773438, 736.7981567382812], [76.11531114578247, 902.805419921875], [1335.7404174804688, 659.087890625], [1897.0762329101562, 580.1831665039062], [1296.9744262695312, 657.4037475585938], [314.0179138183594, 704.7827758789062], [162.85717391967773, 742.8464965820312]]",1523998720,512,yolo26x.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.4854736328125, 390.3176574707031, 1849.02490234375, 738.1835327148438], [8.373638153076172, 224.53184509277344, 153.552001953125, 903.2722778320312], [1303.69580078125, 461.0876770019531, 1373.4273681640625, 658.3553466796875], [1876.5810546875, 369.770263671875, 1916.266357421875, 584.8977661132812], [1269.6240234375, 538.2234497070312, 1326.1566162109375, 657.2744140625], [265.26483154296875, 456.2566833496094, 367.58148193359375, 704.6329345703125], [115.99435424804688, 510.9549865722656, 204.8665008544922, 743.537841796875]]","[0.8923041224479675, 0.9169011116027832, 0.8268747329711914, 0.7710525393486023, 0.7429211139678955, 0.7473146319389343, 0.45679834485054016]","[[1766.2551879882812, 738.1835327148438], [80.96282005310059, 903.2722778320312], [1338.5615844726562, 658.3553466796875], [1896.4237060546875, 584.8977661132812], [1297.8903198242188, 657.2744140625], [316.42315673828125, 704.6329345703125], [160.43042755126953, 743.537841796875]]",1523998720,512,yolo26x.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.4959716796875, 391.1634216308594, 1848.514404296875, 739.8714599609375], [11.331311225891113, 221.70755004882812, 159.05682373046875, 903.7467651367188], [1306.9686279296875, 459.5117492675781, 1377.048095703125, 657.7748413085938], [1875.3870849609375, 367.0540466308594, 1916.759765625, 589.7431030273438], [1270.8917236328125, 537.801513671875, 1326.4892578125, 657.6464233398438], [266.56561279296875, 456.8750915527344, 367.1319580078125, 704.1788940429688], [115.95051574707031, 512.3943481445312, 203.4651641845703, 743.8023071289062]]","[0.891596794128418, 0.922822117805481, 0.866844654083252, 0.7799040079116821, 0.6896870136260986, 0.6638213396072388, 0.4368160367012024]","[[1766.0051879882812, 739.8714599609375], [85.19406747817993, 903.7467651367188], [1342.0083618164062, 657.7748413085938], [1896.0734252929688, 589.7431030273438], [1298.6904907226562, 657.6464233398438], [316.8487854003906, 704.1788940429688], [159.7078399658203, 743.8023071289062]]",1523998720,512,yolo26x.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.7109375, 391.9859313964844, 1846.1824951171875, 742.2227783203125], [13.182443618774414, 222.61709594726562, 162.78167724609375, 903.396484375], [1309.9283447265625, 458.4420166015625, 1380.9315185546875, 658.3702392578125], [1874.46630859375, 372.2085876464844, 1916.1832275390625, 593.9920654296875], [1273.92333984375, 538.5765991210938, 1328.590087890625, 658.7833862304688], [267.631103515625, 456.7219543457031, 366.72186279296875, 703.4783325195312], [116.63998413085938, 514.736328125, 202.2835235595703, 743.595947265625]]","[0.9055676460266113, 0.927075982093811, 0.8819179534912109, 0.8139779567718506, 0.7233367562294006, 0.606019914150238, 0.3728271424770355]","[[1763.9467163085938, 742.2227783203125], [87.98206043243408, 903.396484375], [1345.429931640625, 658.3702392578125], [1895.3247680664062, 593.9920654296875], [1301.2567138671875, 658.7833862304688], [317.1764831542969, 703.4783325195312], [159.46175384521484, 743.595947265625]]",1523998720,512,yolo26x.pt,MOT17-09
