frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[[1338.0, 418.125, 1507.5, 790.875], [581.625, 444.0, 671.625, 708.0], [1447.5, 431.625, 1599.0, 762.375], [441.1875, 441.0, 553.3125, 723.0], [1256.625, 445.875, 1293.375, 547.125], [730.3125, 463.875, 766.6875, 568.125], [935.625, 433.5, 975.375, 517.5], [1016.625, 428.625, 1056.375, 528.375], [912.375, 490.125, 1004.625, 586.875], [687.75, 484.5, 732.75, 604.5], [976.125, 446.25, 1006.875, 515.25], [1307.625, 429.375, 1344.375, 545.625], [1103.625, 433.875, 1137.375, 547.125]]","[0.89111328125, 0.84912109375, 0.83544921875, 0.8271484375, 0.65966796875, 0.65283203125, 0.583984375, 0.5810546875, 0.437255859375, 0.3486328125, 0.307861328125, 0.2744140625, 0.271240234375]","[[1422.75, 790.875], [626.625, 708.0], [1523.25, 762.375], [497.25, 723.0], [1275.0, 547.125], [748.5, 568.125], [955.5, 517.5], [1036.5, 528.375], [958.5, 586.875], [710.25, 604.5], [991.5, 515.25], [1326.0, 545.625], [1120.5, 547.125]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
2,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[1344.1466064453125, 421.0537109375, 1510.4649658203125, 786.6446533203125], [582.6912841796875, 444.3254089355469, 672.51123046875, 707.674560546875], [1449.7783203125, 431.2995910644531, 1603.22998046875, 766.6053466796875], [443.37347412109375, 441.65081787109375, 555.6823120117188, 723.6508178710938], [1256.516845703125, 444.8987731933594, 1293.483154296875, 546.799560546875], [731.1927490234375, 469.08160400390625, 765.8072509765625, 568.125], [935.61767578125, 433.5, 975.38232421875, 517.5], [1016.6029663085938, 428.625, 1056.3970947265625, 528.375], [913.9727783203125, 488.4979248046875, 1006.9321899414062, 585.8987426757812], [687.3921508789062, 479.6188049316406, 733.1078491210938, 601.5712890625], [977.3353271484375, 447.5516662597656, 1006.96630859375, 513.9483642578125]]","[0.8818359375, 0.857421875, 0.85693359375, 0.86181640625, 0.63525390625, 0.68896484375, 0.59765625, 0.62451171875, 0.51513671875, 0.43359375, 0.345947265625]","[[1427.3057861328125, 786.6446533203125], [627.6012573242188, 707.674560546875], [1526.504150390625, 766.6053466796875], [499.52789306640625, 723.6508178710938], [1275.0, 546.799560546875], [748.5, 568.125], [955.5, 517.5], [1036.5000305175781, 528.375], [960.4524841308594, 585.8987426757812], [710.25, 601.5712890625], [992.1508178710938, 513.9483642578125]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
3,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[1347.938720703125, 421.5537414550781, 1517.6593017578125, 794.17431640625], [582.8204345703125, 444.3811340332031, 672.71630859375, 707.618896484375], [1455.417724609375, 430.6624450683594, 1610.3336181640625, 770.238037109375], [444.71636962890625, 442.931640625, 556.8737182617188, 723.7622680664062], [1256.5218505859375, 444.73138427734375, 1293.4781494140625, 546.7437744140625], [731.7225341796875, 470.2645263671875, 765.8746337890625, 567.826416015625], [935.17724609375, 433.7923278808594, 974.6533813476562, 517.2076416015625], [1016.6942749023438, 428.9173278808594, 1056.3056640625, 528.0826416015625], [911.230712890625, 494.6321105957031, 997.5175170898438, 585.1483764648438], [687.671875, 479.6515808105469, 732.828125, 600.1973266601562], [977.5880737304688, 447.17913818359375, 1008.123291015625, 515.509033203125], [1306.96435546875, 429.375, 1343.6488037109375, 545.625]]","[0.88818359375, 0.8388671875, 0.8154296875, 0.853515625, 0.650390625, 0.68017578125, 0.6015625, 0.61474609375, 0.37255859375, 0.28955078125, 0.396484375, 0.330322265625]","[[1432.7990112304688, 794.17431640625], [627.7683715820312, 707.618896484375], [1532.8756713867188, 770.238037109375], [500.7950439453125, 723.7622680664062], [1275.0, 546.7437744140625], [748.798583984375, 567.826416015625], [954.9153137207031, 517.2076416015625], [1036.4999694824219, 528.0826416015625], [954.3741149902344, 585.1483764648438], [710.25, 600.1973266601562], [992.8556823730469, 515.509033203125], [1325.3065795898438, 545.625]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
4,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13]","[[1350.899658203125, 418.25030517578125, 1524.75830078125, 799.9682006835938], [583.180419921875, 445.2518310546875, 672.9981079101562, 707.893798828125], [1460.446044921875, 429.04644775390625, 1616.06640625, 771.605712890625], [446.1560974121094, 442.747314453125, 559.0118408203125, 724.3587646484375], [1256.535400390625, 445.26812744140625, 1293.464599609375, 547.3037109375], [732.2313842773438, 471.9803771972656, 766.1231079101562, 568.6113891601562], [935.6333618164062, 433.8839416503906, 974.97998046875, 517.1160888671875], [1016.5621337890625, 428.72186279296875, 1056.4378662109375, 528.2781372070312], [911.654296875, 490.0619812011719, 1002.6922607421875, 585.5313720703125], [979.2716674804688, 449.8861083984375, 1009.1163330078125, 516.5647583007812], [1306.92041015625, 429.375, 1343.5225830078125, 545.625], [1104.6627197265625, 435.6653137207031, 1137.76953125, 546.7669067382812]]","[0.8984375, 0.8505859375, 0.802734375, 0.85546875, 0.6708984375, 0.6806640625, 0.64208984375, 0.6318359375, 0.363037109375, 0.309326171875, 0.3515625, 0.279541015625]","[[1437.8289794921875, 799.9682006835938], [628.0892639160156, 707.893798828125], [1538.2562255859375, 771.605712890625], [502.58396911621094, 724.3587646484375], [1275.0, 547.3037109375], [749.17724609375, 568.6113891601562], [955.3066711425781, 517.1160888671875], [1036.5, 528.2781372070312], [957.1732788085938, 585.5313720703125], [994.1940002441406, 516.5647583007812], [1325.2214965820312, 545.625], [1121.2161254882812, 546.7669067382812]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
5,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]","[[1353.966064453125, 417.40887451171875, 1529.028076171875, 801.4515380859375], [583.0919189453125, 445.24908447265625, 672.7136840820312, 707.1544799804688], [1470.7623291015625, 427.9869689941406, 1626.463623046875, 772.4796142578125], [446.0962219238281, 442.65423583984375, 559.5641479492188, 724.541015625], [1256.5223388671875, 445.4525146484375, 1293.4776611328125, 547.487548828125], [732.4322509765625, 472.160400390625, 766.1412353515625, 568.018798828125], [934.6971435546875, 433.9061279296875, 973.972900390625, 517.0938720703125], [1015.4528198242188, 428.9295654296875, 1055.336181640625, 528.0704345703125], [913.3063354492188, 489.7843322753906, 1004.9235229492188, 585.6503295898438], [979.7125244140625, 450.77557373046875, 1008.3790283203125, 514.6376342773438], [1306.625, 430.7647705078125, 1342.672607421875, 545.3470458984375]]","[0.8974609375, 0.84228515625, 0.849609375, 0.869140625, 0.65869140625, 0.7001953125, 0.65234375, 0.59765625, 0.474853515625, 0.30908203125, 0.3251953125]","[[1441.4970703125, 801.4515380859375], [627.9028015136719, 707.1544799804688], [1548.6129760742188, 772.4796142578125], [502.83018493652344, 724.541015625], [1275.0, 547.487548828125], [749.2867431640625, 568.018798828125], [954.3350219726562, 517.0938720703125], [1035.3945007324219, 528.0704345703125], [959.1149291992188, 585.6503295898438], [994.0457763671875, 514.6376342773438], [1324.6488037109375, 545.3470458984375]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
6,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]","[[1359.1204833984375, 417.1593933105469, 1534.51904296875, 801.761962890625], [583.571044921875, 446.03790283203125, 673.162109375, 707.1751098632812], [1480.014892578125, 427.39849853515625, 1634.5186767578125, 770.8189697265625], [446.6383972167969, 441.5327453613281, 561.2162475585938, 724.5870971679688], [1256.1407470703125, 445.7798767089844, 1292.7861328125, 547.2733154296875], [732.5326538085938, 469.15924072265625, 767.1776733398438, 567.54443359375], [934.305908203125, 433.6391296386719, 973.7212524414062, 517.36083984375], [1015.552490234375, 428.9985656738281, 1055.5723876953125, 528.0014038085938], [909.611328125, 488.8966979980469, 1001.46728515625, 585.4335327148438], [979.7738647460938, 447.9763488769531, 1009.2368774414062, 513.694580078125], [1306.506103515625, 431.50201416015625, 1342.4266357421875, 546.0723266601562]]","[0.91162109375, 0.84912109375, 0.8212890625, 0.8701171875, 0.65283203125, 0.68505859375, 0.62744140625, 0.623046875, 0.43603515625, 0.349609375, 0.27001953125]","[[1446.8197631835938, 801.761962890625], [628.3665771484375, 707.1751098632812], [1557.2667846679688, 770.8189697265625], [503.9273223876953, 724.5870971679688], [1274.4634399414062, 547.2733154296875], [749.8551635742188, 567.54443359375], [954.0135803222656, 517.36083984375], [1035.5624389648438, 528.0014038085938], [955.539306640625, 585.4335327148438], [994.50537109375, 513.694580078125], [1324.4663696289062, 546.0723266601562]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
7,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13]","[[1363.4774169921875, 414.7608947753906, 1538.7802734375, 801.9827880859375], [583.4456787109375, 445.2451171875, 673.5957641601562, 707.1902465820312], [1485.95361328125, 426.44793701171875, 1640.3900146484375, 770.9415893554688], [446.3832092285156, 440.60980224609375, 562.14892578125, 725.1151123046875], [1256.04931640625, 445.88922119140625, 1292.5048828125, 547.1912231445312], [732.5492553710938, 470.9864807128906, 767.0089111328125, 568.6922607421875], [933.7420654296875, 433.543212890625, 973.0399780273438, 517.456787109375], [1014.8419189453125, 427.7041015625, 1055.375244140625, 527.1915283203125], [912.3079223632812, 488.5963134765625, 1004.61181640625, 585.3610229492188], [1306.3446044921875, 431.20147705078125, 1342.48974609375, 546.8521118164062], [1102.2386474609375, 431.3318786621094, 1136.20849609375, 544.3639526367188]]","[0.89892578125, 0.84912109375, 0.8388671875, 0.86865234375, 0.65234375, 0.677734375, 0.67578125, 0.63623046875, 0.47802734375, 0.26953125, 0.32421875]","[[1451.1288452148438, 801.9827880859375], [628.5207214355469, 707.1902465820312], [1563.1718139648438, 770.9415893554688], [504.2660675048828, 725.1151123046875], [1274.277099609375, 547.1912231445312], [749.7790832519531, 568.6922607421875], [953.3910217285156, 517.456787109375], [1035.1085815429688, 527.1915283203125], [958.4598693847656, 585.3610229492188], [1324.4171752929688, 546.8521118164062], [1119.2235717773438, 544.3639526367188]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
8,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12]","[[1373.2711181640625, 413.92779541015625, 1547.1226806640625, 801.9556884765625], [583.70556640625, 444.6899719238281, 674.4616088867188, 707.4595947265625], [1489.4912109375, 427.9442138671875, 1642.5811767578125, 771.2056884765625], [446.3171081542969, 441.0572204589844, 562.8876953125, 725.5518188476562], [1255.929931640625, 445.1447448730469, 1292.5032958984375, 546.8998413085938], [732.6968383789062, 471.3848876953125, 767.2951049804688, 569.3749389648438], [933.2418212890625, 433.76690673828125, 972.0895385742188, 517.2330932617188], [1014.6795043945312, 427.75909423828125, 1055.2330322265625, 526.3909912109375], [907.9988403320312, 494.1730041503906, 994.5877075195312, 585.8551025390625], [1306.43310546875, 431.3348083496094, 1342.3880615234375, 546.86083984375]]","[0.8935546875, 0.837890625, 0.8447265625, 0.85888671875, 0.6513671875, 0.64990234375, 0.63232421875, 0.65478515625, 0.346435546875, 0.32177734375]","[[1460.1968994140625, 801.9556884765625], [629.0835876464844, 707.4595947265625], [1566.0361938476562, 771.2056884765625], [504.60240173339844, 725.5518188476562], [1274.2166137695312, 546.8998413085938], [749.9959716796875, 569.3749389648438], [952.6656799316406, 517.2330932617188], [1034.9562683105469, 526.3909912109375], [951.2932739257812, 585.8551025390625], [1324.4105834960938, 546.86083984375]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
9,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 12, 11]","[[1382.94189453125, 411.6333312988281, 1554.9251708984375, 801.8544921875], [583.8551025390625, 444.7381896972656, 674.7029418945312, 707.3058471679688], [1491.324951171875, 425.9747009277344, 1644.30908203125, 770.7586669921875], [447.2637023925781, 441.2315979003906, 564.6635131835938, 725.6985473632812], [1255.854736328125, 444.87066650390625, 1292.546142578125, 546.7930297851562], [732.0780029296875, 472.0223388671875, 767.0287475585938, 571.1505737304688], [932.6116943359375, 433.5927734375, 971.201171875, 517.4072265625], [1014.4463500976562, 428.55877685546875, 1055.3795166015625, 527.39306640625], [1306.3992919921875, 431.1108093261719, 1342.436767578125, 547.1087646484375], [982.005126953125, 446.4305419921875, 1012.6224975585938, 515.007568359375]]","[0.87353515625, 0.84130859375, 0.75732421875, 0.85205078125, 0.67138671875, 0.59521484375, 0.63134765625, 0.63427734375, 0.29931640625, 0.302978515625]","[[1468.9335327148438, 801.8544921875], [629.2790222167969, 707.3058471679688], [1567.8170166015625, 770.7586669921875], [505.96360778808594, 725.6985473632812], [1274.200439453125, 546.7930297851562], [749.5533752441406, 571.1505737304688], [951.9064331054688, 517.4072265625], [1034.9129333496094, 527.39306640625], [1324.4180297851562, 547.1087646484375], [997.3138122558594, 515.007568359375]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
10,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 12, 11, 9]","[[1393.37060546875, 409.81781005859375, 1561.6298828125, 800.7398681640625], [583.83447265625, 444.2474060058594, 674.844482421875, 706.7434692382812], [1504.08349609375, 424.2594909667969, 1656.6634521484375, 771.5802612304688], [447.0826721191406, 441.3012390136719, 565.2730102539062, 725.7393798828125], [1255.814453125, 444.770751953125, 1292.5850830078125, 546.7544555664062], [731.6061401367188, 470.4701843261719, 767.1614379882812, 571.5372924804688], [932.4752197265625, 433.5283508300781, 970.8182373046875, 517.4716796875], [1015.4957885742188, 429.10919189453125, 1056.3477783203125, 527.5155639648438], [1306.4412841796875, 431.01727294921875, 1342.4144287109375, 547.1901245117188], [984.57568359375, 455.2268981933594, 1011.7644653320312, 515.48095703125], [905.6035766601562, 493.20361328125, 991.9771728515625, 585.83203125]]","[0.82177734375, 0.83935546875, 0.67236328125, 0.8701171875, 0.6943359375, 0.67626953125, 0.68310546875, 0.56689453125, 0.3134765625, 0.3984375, 0.261474609375]","[[1477.500244140625, 800.7398681640625], [629.3394775390625, 706.7434692382812], [1580.3734741210938, 771.5802612304688], [506.17784118652344, 725.7393798828125], [1274.1997680664062, 546.7544555664062], [749.3837890625, 571.5372924804688], [951.646728515625, 517.4716796875], [1035.9217834472656, 527.5155639648438], [1324.4278564453125, 547.1901245117188], [998.1700744628906, 515.48095703125], [948.7903747558594, 585.83203125]]",420757504,406274048,420757504,640,yolo26m_640_ncnn_model,MOT17-02
