frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,0,[],[],[],[],1461616640,384,yolo26l.pt,MOT17-04
2,,8,"[711, 712, 713, 714, 715, 717, 718, 720]","[[370.4353942871094, 408.72735595703125, 452.8853454589844, 650.2274169921875], [101.79878234863281, 546.135498046875, 181.4717559814453, 796.4193115234375], [1733.816650390625, 456.27471923828125, 1806.031982421875, 674.2959594726562], [1362.3909912109375, 571.6698608398438, 1437.8621826171875, 796.075439453125], [0.5611512660980225, 876.69873046875, 42.36067199707031, 1078.7601318359375], [261.56390380859375, 365.0506286621094, 323.9570007324219, 582.052978515625], [1099.059326171875, 978.9103393554688, 1174.0394287109375, 1079.65869140625], [224.48350524902344, 398.04278564453125, 291.7840576171875, 597.9683837890625]]","[0.7289942502975464, 0.6746214032173157, 0.5525118708610535, 0.594490110874176, 0.44338080286979675, 0.40683111548423767, 0.3575497567653656, 0.3900201618671417]","[[411.6603698730469, 650.2274169921875], [141.63526916503906, 796.4193115234375], [1769.92431640625, 674.2959594726562], [1400.1265869140625, 796.075439453125], [21.460911631584167, 1078.7601318359375], [292.7604522705078, 582.052978515625], [1136.5493774414062, 1079.65869140625], [258.13378143310547, 597.9683837890625]]",1464008704,384,yolo26l.pt,MOT17-04
3,,8,"[711, 712, 713, 714, 715, 717, 718, 720]","[[372.1512451171875, 408.35357666015625, 454.59722900390625, 649.8446655273438], [101.67945861816406, 546.080078125, 181.31332397460938, 796.2446899414062], [1732.791748046875, 455.8417663574219, 1805.2177734375, 674.4674682617188], [1361.7086181640625, 571.82666015625, 1437.4151611328125, 796.8309326171875], [0.9393177628517151, 874.288818359375, 43.271053314208984, 1078.7501220703125], [261.2922668457031, 364.0614318847656, 323.3802490234375, 580.0971069335938], [1102.4903564453125, 978.6884765625, 1177.8050537109375, 1079.92138671875], [223.13125610351562, 396.2256164550781, 290.440673828125, 596.1965942382812]]","[0.6929928660392761, 0.6700212955474854, 0.5238016843795776, 0.5690200328826904, 0.4580065906047821, 0.41456571221351624, 0.2784334123134613, 0.3511993885040283]","[[413.3742370605469, 649.8446655273438], [141.49639129638672, 796.2446899414062], [1769.0047607421875, 674.4674682617188], [1399.5618896484375, 796.8309326171875], [22.10518553853035, 1078.7501220703125], [292.3362579345703, 580.0971069335938], [1140.147705078125, 1079.92138671875], [256.7859649658203, 596.1965942382812]]",1461501952,384,yolo26l.pt,MOT17-04
4,,8,"[711, 712, 713, 714, 715, 717, 718, 720]","[[372.2384948730469, 407.8687438964844, 454.7325134277344, 649.2810668945312], [101.28235626220703, 545.6749267578125, 181.13967895507812, 796.5950927734375], [1730.9049072265625, 455.1591796875, 1803.7657470703125, 674.9902954101562], [1362.842529296875, 572.001220703125, 1438.1553955078125, 795.6986694335938], [1.2061676979064941, 872.4136962890625, 43.98697280883789, 1078.73046875], [260.16119384765625, 362.32220458984375, 321.4003601074219, 575.5510864257812], [1104.9493408203125, 978.035888671875, 1180.7216796875, 1079.9893798828125], [222.2682342529297, 395.642333984375, 289.5853576660156, 595.452392578125]]","[0.5462429523468018, 0.6546781063079834, 0.542330265045166, 0.5618389248847961, 0.4666912853717804, 0.35896289348602295, 0.25314202904701233, 0.331816703081131]","[[413.4855041503906, 649.2810668945312], [141.21101760864258, 796.5950927734375], [1767.3353271484375, 674.9902954101562], [1400.4989624023438, 795.6986694335938], [22.596570253372192, 1078.73046875], [290.78077697753906, 575.5510864257812], [1142.8355102539062, 1079.9893798828125], [255.92679595947266, 595.452392578125]]",1461567488,384,yolo26l.pt,MOT17-04
5,,9,"[711, 712, 713, 714, 715, 717, 718, 720, 725]","[[373.47552490234375, 407.2344665527344, 455.75482177734375, 647.7490844726562], [101.17851257324219, 545.7114868164062, 180.97230529785156, 796.5147705078125], [1729.5777587890625, 456.1746520996094, 1802.3094482421875, 675.35302734375], [1363.1571044921875, 571.599365234375, 1438.31640625, 794.6410522460938], [1.2368239164352417, 871.6732177734375, 44.23112869262695, 1078.6331787109375], [258.0389709472656, 360.7926025390625, 318.5367431640625, 571.3004760742188], [1108.3828125, 976.073974609375, 1185.365966796875, 1079.763671875], [220.75367736816406, 392.33648681640625, 289.2232666015625, 595.3792114257812], [1072.4661865234375, 208.87086486816406, 1150.661865234375, 386.7657470703125]]","[0.7088589072227478, 0.6718996167182922, 0.520130455493927, 0.5097181797027588, 0.45078787207603455, 0.2512657046318054, 0.2908150255680084, 0.2850336730480194, 0.4285493791103363]","[[414.61517333984375, 647.7490844726562], [141.07540893554688, 796.5147705078125], [1765.943603515625, 675.35302734375], [1400.7367553710938, 794.6410522460938], [22.733976304531097, 1078.6331787109375], [288.28785705566406, 571.3004760742188], [1146.8743896484375, 1079.763671875], [254.98847198486328, 595.3792114257812], [1111.5640258789062, 386.7657470703125]]",1454342144,384,yolo26l.pt,MOT17-04
6,,7,"[711, 712, 713, 714, 715, 720, 725]","[[374.5516357421875, 405.7261962890625, 456.8046569824219, 645.8684692382812], [101.53634643554688, 545.767578125, 181.3519287109375, 796.6861572265625], [1729.094482421875, 455.8628234863281, 1801.8865966796875, 675.09375], [1361.8851318359375, 571.4806518554688, 1438.0330810546875, 797.015380859375], [1.3624522686004639, 871.2677001953125, 44.49485397338867, 1078.323486328125], [220.41017150878906, 390.8633117675781, 289.3418884277344, 594.6343383789062], [1068.134521484375, 208.29071044921875, 1147.1146240234375, 387.274169921875]]","[0.711225688457489, 0.6720980405807495, 0.5122949481010437, 0.6302405595779419, 0.4419606626033783, 0.31126734614372253, 0.43961837887763977]","[[415.6781463623047, 645.8684692382812], [141.4441375732422, 796.6861572265625], [1765.4905395507812, 675.09375], [1399.9591064453125, 797.015380859375], [22.928653120994568, 1078.323486328125], [254.87602996826172, 594.6343383789062], [1107.6245727539062, 387.274169921875]]",1461698560,384,yolo26l.pt,MOT17-04
7,,8,"[711, 712, 713, 714, 715, 720, 725, 717]","[[375.3599548339844, 403.4783020019531, 457.64764404296875, 643.4710083007812], [101.68084716796875, 545.6122436523438, 181.40696716308594, 796.2664794921875], [1728.5328369140625, 455.3300476074219, 1800.9306640625, 673.3497924804688], [1361.784423828125, 571.3682861328125, 1438.1583251953125, 797.0743408203125], [1.0476614236831665, 869.4124755859375, 44.6301383972168, 1078.222900390625], [220.440185546875, 386.00897216796875, 291.1245422363281, 593.7161865234375], [1063.0274658203125, 207.83067321777344, 1142.982421875, 387.5976257324219], [254.3925323486328, 355.4803771972656, 314.3336181640625, 563.710693359375]]","[0.718869686126709, 0.6627990007400513, 0.5406318306922913, 0.6527506113052368, 0.46760857105255127, 0.2888699173927307, 0.47780972719192505, 0.2969488203525543]","[[416.50379943847656, 643.4710083007812], [141.54390716552734, 796.2664794921875], [1764.7317504882812, 673.3497924804688], [1399.9713745117188, 797.0743408203125], [22.83889991044998, 1078.222900390625], [255.78236389160156, 593.7161865234375], [1103.0049438476562, 387.5976257324219], [284.36307525634766, 563.710693359375]]",1463861248,384,yolo26l.pt,MOT17-04
8,,7,"[711, 712, 713, 714, 715, 720, 725]","[[375.31842041015625, 400.94866943359375, 457.7091979980469, 641.1095581054688], [101.80384063720703, 545.620361328125, 181.59561157226562, 796.5950927734375], [1727.6680908203125, 456.1808776855469, 1799.01220703125, 670.57275390625], [1361.870361328125, 571.351318359375, 1438.4071044921875, 796.9945068359375], [1.0160813331604004, 867.9898071289062, 44.99178695678711, 1078.174560546875], [219.71701049804688, 375.8960876464844, 293.810791015625, 592.1980590820312], [1061.5469970703125, 208.2044219970703, 1141.685546875, 386.4703369140625]]","[0.6919729709625244, 0.6942052841186523, 0.546674370765686, 0.6024326086044312, 0.456298291683197, 0.26940837502479553, 0.4865237772464752]","[[416.51380920410156, 641.1095581054688], [141.69972610473633, 796.5950927734375], [1763.3401489257812, 670.57275390625], [1400.1387329101562, 796.9945068359375], [23.003934144973755, 1078.174560546875], [256.76390075683594, 592.1980590820312], [1101.6162719726562, 386.4703369140625]]",1461682176,384,yolo26l.pt,MOT17-04
9,,8,"[711, 712, 713, 714, 715, 720, 725, 718]","[[376.6991271972656, 400.0286865234375, 458.5469665527344, 638.46435546875], [101.7684555053711, 544.9136352539062, 181.7328338623047, 796.6473388671875], [1727.3150634765625, 456.15032958984375, 1798.4566650390625, 668.8963623046875], [1361.4930419921875, 571.3448486328125, 1438.1925048828125, 796.52294921875], [0.9021658301353455, 866.7882690429688, 45.22345733642578, 1078.165283203125], [217.29904174804688, 361.3945007324219, 295.6417541503906, 589.9125366210938], [1058.947265625, 208.69895935058594, 1139.6170654296875, 385.66900634765625], [1120.0748291015625, 974.3927612304688, 1197.051513671875, 1078.6820068359375]]","[0.7301626801490784, 0.684481143951416, 0.5270819067955017, 0.6549768447875977, 0.46362948417663574, 0.2785497307777405, 0.46552345156669617, 0.2629765570163727]","[[417.623046875, 638.46435546875], [141.7506446838379, 796.6473388671875], [1762.8858642578125, 668.8963623046875], [1399.8427734375, 796.52294921875], [23.062811583280563, 1078.165283203125], [256.47039794921875, 589.9125366210938], [1099.2821655273438, 385.66900634765625], [1158.5631713867188, 1078.6820068359375]]",1463779328,384,yolo26l.pt,MOT17-04
10,,8,"[711, 712, 713, 714, 715, 720, 725, 718]","[[377.35101318359375, 398.7848205566406, 458.9056701660156, 635.9804077148438], [101.79998016357422, 545.544189453125, 181.52560424804688, 796.720458984375], [1725.9642333984375, 456.8460388183594, 1796.9158935546875, 668.1677856445312], [1361.7703857421875, 571.6171875, 1438.6407470703125, 796.7366333007812], [0.6406537890434265, 865.34423828125, 45.194950103759766, 1077.546142578125], [216.5441131591797, 365.867431640625, 292.9886169433594, 587.1919555664062], [1055.7857666015625, 207.3974151611328, 1137.5301513671875, 384.2549133300781], [1123.3304443359375, 973.9840087890625, 1200.0328369140625, 1078.5152587890625]]","[0.7262235283851624, 0.6866171956062317, 0.5576886534690857, 0.6173123121261597, 0.42746931314468384, 0.26231351494789124, 0.41765740513801575, 0.2507912814617157]","[[418.1283416748047, 635.9804077148438], [141.66279220581055, 796.720458984375], [1761.4400634765625, 668.1677856445312], [1400.20556640625, 796.7366333007812], [22.917801946401596, 1077.546142578125], [254.76636505126953, 587.1919555664062], [1096.657958984375, 384.2549133300781], [1161.681640625, 1078.5152587890625]]",1463894016,384,yolo26l.pt,MOT17-04
