frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,0,[],[],[],[],1808236544,320,yolo26m.pt,MOT17-04
2,,8,"[655, 656, 657, 658, 659, 660, 661, 663]","[[101.47314453125, 545.323486328125, 176.5222625732422, 791.143798828125], [369.21807861328125, 407.9599914550781, 453.03814697265625, 648.1156616210938], [1357.69873046875, 570.5947265625, 1433.9263916015625, 791.0902099609375], [1100.6041259765625, 206.37020874023438, 1156.76220703125, 386.2328796386719], [545.9149169921875, 149.0835723876953, 605.3124389648438, 324.94464111328125], [1045.2828369140625, 133.0052947998047, 1109.9383544921875, 313.4517517089844], [1732.15673828125, 454.88873291015625, 1805.1888427734375, 672.1962280273438], [257.71368408203125, 363.37420654296875, 324.97113037109375, 593.0567626953125]]","[0.6925768256187439, 0.6667676568031311, 0.5042778253555298, 0.45784467458724976, 0.4513491690158844, 0.34006816148757935, 0.3998873829841614, 0.3577246069908142]","[[138.9977035522461, 791.143798828125], [411.12811279296875, 648.1156616210938], [1395.8125610351562, 791.0902099609375], [1128.6831665039062, 386.2328796386719], [575.6136779785156, 324.94464111328125], [1077.610595703125, 313.4517517089844], [1768.6727905273438, 672.1962280273438], [291.3424072265625, 593.0567626953125]]",1796587520,320,yolo26m.pt,MOT17-04
3,,8,"[655, 656, 657, 658, 659, 660, 661, 663]","[[101.58808135986328, 545.0436401367188, 176.76463317871094, 791.300537109375], [369.99566650390625, 407.294921875, 454.1946716308594, 648.6123657226562], [1357.8980712890625, 570.899658203125, 1433.8134765625, 790.5490112304688], [1097.804931640625, 206.85789489746094, 1153.3443603515625, 384.55255126953125], [545.7147827148438, 148.60877990722656, 605.5123291015625, 325.6617736816406], [1045.600341796875, 134.0963134765625, 1109.660400390625, 312.8236999511719], [1731.574462890625, 453.4597473144531, 1804.0916748046875, 669.001220703125], [256.568359375, 362.0992431640625, 324.6776123046875, 594.9124755859375]]","[0.6931555867195129, 0.6567171216011047, 0.5363707542419434, 0.40319690108299255, 0.4085198640823364, 0.3487146496772766, 0.40010344982147217, 0.25181564688682556]","[[139.1763572692871, 791.300537109375], [412.0951690673828, 648.6123657226562], [1395.8557739257812, 790.5490112304688], [1125.5746459960938, 384.55255126953125], [575.6135559082031, 325.6617736816406], [1077.63037109375, 312.8236999511719], [1767.8330688476562, 669.001220703125], [290.62298583984375, 594.9124755859375]]",1796407296,320,yolo26m.pt,MOT17-04
4,,9,"[655, 656, 657, 658, 659, 660, 661, 663, 667]","[[101.87306213378906, 544.9571533203125, 176.8656463623047, 790.6661376953125], [370.5557556152344, 406.0766296386719, 454.9962158203125, 648.1802368164062], [1358.2286376953125, 570.8475341796875, 1434.7169189453125, 792.1514282226562], [1091.8497314453125, 205.7525634765625, 1148.42041015625, 386.0112609863281], [545.3106689453125, 149.26651000976562, 604.8812866210938, 325.6070251464844], [1045.726806640625, 132.53489685058594, 1109.2677001953125, 309.7620849609375], [1728.737060546875, 454.2793884277344, 1804.3377685546875, 678.9659423828125], [255.1154327392578, 361.67047119140625, 322.9571228027344, 594.0680541992188], [1106.5079345703125, 976.9741821289062, 1179.4993896484375, 1080.0]]","[0.6660228371620178, 0.6904286742210388, 0.5797968506813049, 0.4517183303833008, 0.3872910439968109, 0.30869147181510925, 0.4000888168811798, 0.28186365962028503, 0.37406203150749207]","[[139.36935424804688, 790.6661376953125], [412.77598571777344, 648.1802368164062], [1396.4727783203125, 792.1514282226562], [1120.1350708007812, 386.0112609863281], [575.0959777832031, 325.6070251464844], [1077.4972534179688, 309.7620849609375], [1766.5374145507812, 678.9659423828125], [289.0362777709961, 594.0680541992188], [1143.003662109375, 1080.0]]",1796587520,320,yolo26m.pt,MOT17-04
5,,7,"[655, 656, 657, 658, 661, 663, 667]","[[101.95362854003906, 545.210693359375, 176.85264587402344, 790.6239013671875], [371.7940979003906, 404.92608642578125, 456.50787353515625, 647.9151000976562], [1358.4019775390625, 571.226318359375, 1434.92529296875, 792.5774536132812], [1083.4569091796875, 205.67034912109375, 1141.294921875, 387.2464904785156], [1726.475830078125, 454.5233154296875, 1802.01416015625, 678.4627075195312], [252.43849182128906, 359.70428466796875, 319.8690185546875, 591.1211547851562], [1109.76953125, 976.7493896484375, 1182.88232421875, 1080.0]]","[0.668331503868103, 0.6966514587402344, 0.5621575117111206, 0.46265485882759094, 0.3936663568019867, 0.3244527578353882, 0.37630656361579895]","[[139.40313720703125, 790.6239013671875], [414.15098571777344, 647.9151000976562], [1396.6636352539062, 792.5774536132812], [1112.3759155273438, 387.2464904785156], [1764.2449951171875, 678.4627075195312], [286.1537551879883, 591.1211547851562], [1146.325927734375, 1080.0]]",1796587520,320,yolo26m.pt,MOT17-04
6,,7,"[655, 656, 657, 658, 661, 667, 659]","[[101.96204376220703, 544.9833374023438, 176.87631225585938, 790.4765014648438], [373.3834228515625, 404.1598205566406, 457.7823181152344, 646.5575561523438], [1358.120849609375, 571.199951171875, 1434.6224365234375, 792.5174560546875], [1077.9879150390625, 205.24977111816406, 1137.2275390625, 386.8797607421875], [1725.5501708984375, 455.10009765625, 1800.3892822265625, 676.154541015625], [1113.004150390625, 976.6657104492188, 1186.1092529296875, 1080.0], [543.1641235351562, 154.02076721191406, 600.9557495117188, 325.4544677734375]]","[0.6498594284057617, 0.7032167315483093, 0.530983030796051, 0.5140138864517212, 0.37685176730155945, 0.3724227249622345, 0.3361690640449524]","[[139.4191780090332, 790.4765014648438], [415.58287048339844, 646.5575561523438], [1396.3716430664062, 792.5174560546875], [1107.6077270507812, 386.8797607421875], [1762.9697265625, 676.154541015625], [1149.5567016601562, 1080.0], [572.0599365234375, 325.4544677734375]]",1796407296,320,yolo26m.pt,MOT17-04
7,,7,"[655, 656, 657, 658, 661, 667, 659]","[[102.04888153076172, 545.0218505859375, 176.80784606933594, 790.0748291015625], [374.2349548339844, 403.5877685546875, 458.1163024902344, 644.8822631835938], [1358.38037109375, 570.9215698242188, 1434.2498779296875, 790.5541381835938], [1072.2015380859375, 205.43856811523438, 1133.3929443359375, 386.6798400878906], [1726.6995849609375, 454.7344665527344, 1799.409423828125, 668.2162475585938], [1115.5731201171875, 975.6244506835938, 1189.21435546875, 1080.0], [542.2532958984375, 156.1788330078125, 599.2676391601562, 326.03662109375]]","[0.6689676642417908, 0.6980780959129333, 0.5346312522888184, 0.5922631621360779, 0.38847866654396057, 0.3893020749092102, 0.3118272125720978]","[[139.42836380004883, 790.0748291015625], [416.1756286621094, 644.8822631835938], [1396.3151245117188, 790.5541381835938], [1102.7972412109375, 386.6798400878906], [1763.0545043945312, 668.2162475585938], [1152.3937377929688, 1080.0], [570.7604675292969, 326.03662109375]]",1796587520,320,yolo26m.pt,MOT17-04
8,,7,"[655, 656, 657, 658, 661, 667, 659]","[[102.2175064086914, 544.873779296875, 176.76841735839844, 789.4295043945312], [374.65533447265625, 401.26043701171875, 458.7198791503906, 643.444091796875], [1358.221435546875, 570.8319091796875, 1433.962890625, 790.063232421875], [1068.9364013671875, 206.5182342529297, 1131.935302734375, 386.1508483886719], [1726.3939208984375, 455.278564453125, 1798.2161865234375, 664.9207153320312], [1118.749267578125, 974.7575073242188, 1192.7440185546875, 1080.0], [541.177490234375, 156.81309509277344, 598.63134765625, 329.13287353515625]]","[0.6748139262199402, 0.7527555823326111, 0.5080771446228027, 0.5550447702407837, 0.38352134823799133, 0.4129221737384796, 0.3713265359401703]","[[139.49296188354492, 789.4295043945312], [416.68760681152344, 643.444091796875], [1396.0921630859375, 790.063232421875], [1100.4358520507812, 386.1508483886719], [1762.3050537109375, 664.9207153320312], [1155.7466430664062, 1080.0], [569.9044189453125, 329.13287353515625]]",1796587520,320,yolo26m.pt,MOT17-04
9,,6,"[655, 656, 657, 661, 667, 659]","[[102.18531036376953, 544.6123657226562, 176.8197784423828, 789.6884155273438], [375.2478332519531, 399.2142333984375, 459.0364685058594, 640.9141235351562], [1358.62255859375, 570.9035034179688, 1434.3515625, 790.4707641601562], [1725.0765380859375, 455.03582763671875, 1797.49169921875, 665.2608032226562], [1122.5926513671875, 974.3961181640625, 1196.467529296875, 1080.0], [539.792724609375, 155.96728515625, 598.0486450195312, 332.0770263671875]]","[0.6605231761932373, 0.7511951327323914, 0.472791850566864, 0.3845071494579315, 0.36972567439079285, 0.44981127977371216]","[[139.50254440307617, 789.6884155273438], [417.14215087890625, 640.9141235351562], [1396.487060546875, 790.4707641601562], [1761.2841186523438, 665.2608032226562], [1159.5300903320312, 1080.0], [568.9206848144531, 332.0770263671875]]",1796292608,320,yolo26m.pt,MOT17-04
10,,7,"[655, 656, 657, 661, 667, 659, 658]","[[102.37171173095703, 544.8947143554688, 176.7652587890625, 789.3604125976562], [375.70892333984375, 397.9038391113281, 458.9346008300781, 638.4985961914062], [1359.2952880859375, 570.6144409179688, 1434.807861328125, 790.170654296875], [1724.9910888671875, 455.1744079589844, 1797.0, 663.3848266601562], [1125.214599609375, 975.218017578125, 1198.1007080078125, 1080.0], [539.3168334960938, 157.6809844970703, 597.1212158203125, 333.5494384765625], [1064.2891845703125, 209.35214233398438, 1129.3333740234375, 386.373291015625]]","[0.6515592932701111, 0.7516451478004456, 0.49916717410087585, 0.40050041675567627, 0.4341614246368408, 0.4718608260154724, 0.6398703455924988]","[[139.56848526000977, 789.3604125976562], [417.32176208496094, 638.4985961914062], [1397.0515747070312, 790.170654296875], [1760.9955444335938, 663.3848266601562], [1161.6576538085938, 1080.0], [568.2190246582031, 333.5494384765625], [1096.811279296875, 386.373291015625]]",1796603904,320,yolo26m.pt,MOT17-04
