frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,0,[],[],[],[],1983676416,384,yolo26n.pt,MOT17-04
2,,3,"[699, 700, 701]","[[98.55714416503906, 549.8363647460938, 179.17620849609375, 789.9998168945312], [373.1981506347656, 408.824951171875, 453.5634765625, 649.1747436523438], [1100.74951171875, 978.632568359375, 1172.963623046875, 1080.0]]","[0.7007242441177368, 0.6283784508705139, 0.42964205145835876]","[[138.8666763305664, 789.9998168945312], [413.3808135986328, 649.1747436523438], [1136.8565673828125, 1080.0]]",1983676416,384,yolo26n.pt,MOT17-04
3,,4,"[699, 700, 701, 704]","[[98.19825744628906, 549.3867797851562, 178.8177032470703, 789.5397338867188], [373.5744323730469, 407.83447265625, 453.9438781738281, 648.3218994140625], [1103.0272216796875, 978.5601196289062, 1175.320068359375, 1080.0], [1726.86767578125, 461.51507568359375, 1802.3739013671875, 681.2752075195312]]","[0.6961568593978882, 0.5896284580230713, 0.4260595440864563, 0.3441031873226166]","[[138.5079803466797, 789.5397338867188], [413.7591552734375, 648.3218994140625], [1139.1736450195312, 1080.0], [1764.6207885742188, 681.2752075195312]]",1983807488,384,yolo26n.pt,MOT17-04
4,,5,"[699, 700, 701, 704, 705]","[[98.59485626220703, 549.0064697265625, 179.3464813232422, 789.6044921875], [374.4351806640625, 406.39794921875, 454.7102966308594, 646.9220581054688], [1105.41796875, 977.3507080078125, 1178.588134765625, 1080.0], [1726.0413818359375, 462.5956115722656, 1802.3331298828125, 684.7362670898438], [1090.306396484375, 207.26475524902344, 1151.3492431640625, 392.6449890136719]]","[0.7115209698677063, 0.6074003577232361, 0.3778873085975647, 0.3862804174423218, 0.37187665700912476]","[[138.9706687927246, 789.6044921875], [414.57273864746094, 646.9220581054688], [1142.0030517578125, 1080.0], [1764.187255859375, 684.7362670898438], [1120.8278198242188, 392.6449890136719]]",1983676416,384,yolo26n.pt,MOT17-04
5,,4,"[699, 700, 701, 704]","[[98.15760803222656, 547.8506469726562, 179.32254028320312, 789.9171752929688], [374.92333984375, 405.5724792480469, 454.822998046875, 645.4578857421875], [1108.0692138671875, 976.6876220703125, 1181.780029296875, 1080.0], [1725.218505859375, 463.6956481933594, 1801.2947998046875, 685.248046875]]","[0.6942700743675232, 0.6167792081832886, 0.3875100314617157, 0.4298769235610962]","[[138.74007415771484, 789.9171752929688], [414.8731689453125, 645.4578857421875], [1144.9246215820312, 1080.0], [1763.2566528320312, 685.248046875]]",1983676416,384,yolo26n.pt,MOT17-04
6,,4,"[699, 700, 701, 704]","[[98.13410186767578, 548.2904052734375, 179.10345458984375, 790.0198974609375], [375.55914306640625, 404.2213134765625, 455.32586669921875, 644.3405151367188], [1111.042236328125, 975.6434326171875, 1185.694580078125, 1080.0], [1723.896728515625, 461.4483642578125, 1800.5428466796875, 684.7113037109375]]","[0.7039982080459595, 0.6258381605148315, 0.4156576097011566, 0.4043375849723816]","[[138.61877822875977, 790.0198974609375], [415.4425048828125, 644.3405151367188], [1148.368408203125, 1080.0], [1762.2197875976562, 684.7113037109375]]",1983807488,384,yolo26n.pt,MOT17-04
7,,4,"[699, 700, 701, 704]","[[97.97749328613281, 548.0660400390625, 179.052734375, 790.4281005859375], [376.4137878417969, 402.7964172363281, 456.0559387207031, 643.3822021484375], [1114.158203125, 974.642333984375, 1189.428466796875, 1080.0], [1724.029541015625, 462.56927490234375, 1799.0777587890625, 681.2716674804688]]","[0.7097668647766113, 0.6091175675392151, 0.3087817430496216, 0.3624725639820099]","[[138.5151138305664, 790.4281005859375], [416.23486328125, 643.3822021484375], [1151.7933349609375, 1080.0], [1761.5536499023438, 681.2716674804688]]",1983676416,384,yolo26n.pt,MOT17-04
8,,4,"[699, 700, 701, 704]","[[98.16105651855469, 548.17041015625, 179.36395263671875, 791.1415405273438], [377.4897766113281, 401.6358337402344, 456.7552185058594, 641.7373657226562], [1116.8363037109375, 973.636962890625, 1192.9185791015625, 1080.0], [1723.4952392578125, 462.5943298339844, 1797.724609375, 678.9369506835938]]","[0.6978796124458313, 0.6149858236312866, 0.28589141368865967, 0.3066905736923218]","[[138.76250457763672, 791.1415405273438], [417.12249755859375, 641.7373657226562], [1154.87744140625, 1080.0], [1760.6099243164062, 678.9369506835938]]",1983676416,384,yolo26n.pt,MOT17-04
9,,3,"[699, 700, 704]","[[98.32243347167969, 548.0096435546875, 179.32656860351562, 790.5322875976562], [377.97564697265625, 400.3582763671875, 456.662109375, 639.2406005859375], [1722.8919677734375, 464.6586608886719, 1795.8812255859375, 677.1615600585938]]","[0.7211417555809021, 0.618627667427063, 0.368602991104126]","[[138.82450103759766, 790.5322875976562], [417.3188781738281, 639.2406005859375], [1759.3865966796875, 677.1615600585938]]",1983807488,384,yolo26n.pt,MOT17-04
10,,4,"[699, 700, 704, 701]","[[98.458740234375, 547.968994140625, 179.3907928466797, 790.5504150390625], [378.9942626953125, 399.1408386230469, 456.57318115234375, 634.9029541015625], [1722.4134521484375, 465.49578857421875, 1794.6446533203125, 675.5151977539062], [1123.8360595703125, 973.6189575195312, 1199.551025390625, 1079.9215087890625]]","[0.706978976726532, 0.47406378388404846, 0.291350394487381, 0.38376012444496155]","[[138.92476654052734, 790.5504150390625], [417.7837219238281, 634.9029541015625], [1758.529052734375, 675.5151977539062], [1161.6935424804688, 1079.9215087890625]]",1983676416,384,yolo26n.pt,MOT17-04
11,,3,"[699, 700, 701]","[[98.69495391845703, 547.7529296875, 179.47096252441406, 790.09375], [379.79296875, 398.22412109375, 456.5920715332031, 631.5416259765625], [1128.701416015625, 973.9601440429688, 1203.492431640625, 1079.8677978515625]]","[0.7048541903495789, 0.464259535074234, 0.4090760350227356]","[[139.08295822143555, 790.09375], [418.19252014160156, 631.5416259765625], [1166.096923828125, 1079.8677978515625]]",1983676416,384,yolo26n.pt,MOT17-04
12,,4,"[699, 700, 701, 704]","[[98.97816467285156, 547.8267822265625, 179.6177520751953, 789.9761962890625], [379.58349609375, 395.96435546875, 456.8562927246094, 630.4810791015625], [1132.6851806640625, 973.7214965820312, 1207.146728515625, 1079.8555908203125], [1720.678466796875, 464.697265625, 1793.5330810546875, 676.3812866210938]]","[0.684729278087616, 0.5089610815048218, 0.4086483418941498, 0.3130747973918915]","[[139.29795837402344, 789.9761962890625], [418.2198944091797, 630.4810791015625], [1169.9159545898438, 1079.8555908203125], [1757.1057739257812, 676.3812866210938]]",1983807488,384,yolo26n.pt,MOT17-04
13,,4,"[699, 700, 701, 704]","[[99.05921173095703, 548.0604248046875, 179.8131561279297, 790.70263671875], [379.9809265136719, 394.3655090332031, 457.09368896484375, 628.2263793945312], [1136.250244140625, 973.2093505859375, 1210.0006103515625, 1079.862060546875], [1720.7301025390625, 462.7802429199219, 1793.8004150390625, 675.1389770507812]]","[0.6770909428596497, 0.643131673336029, 0.40025532245635986, 0.36416247487068176]","[[139.43618392944336, 790.70263671875], [418.5373077392578, 628.2263793945312], [1173.1254272460938, 1079.862060546875], [1757.2652587890625, 675.1389770507812]]",1983676416,384,yolo26n.pt,MOT17-04
14,,4,"[699, 700, 701, 704]","[[99.18368530273438, 548.30712890625, 179.833984375, 790.8534545898438], [380.6059265136719, 393.4322509765625, 457.7445983886719, 626.966796875], [1138.849365234375, 971.7113647460938, 1212.490966796875, 1079.8746337890625], [1720.517333984375, 462.1462097167969, 1794.3057861328125, 676.455078125]]","[0.6745188236236572, 0.6261748671531677, 0.3236478865146637, 0.3823245167732239]","[[139.5088348388672, 790.8534545898438], [419.1752624511719, 626.966796875], [1175.670166015625, 1079.8746337890625], [1757.4115600585938, 676.455078125]]",1983676416,384,yolo26n.pt,MOT17-04
15,,4,"[699, 700, 701, 704]","[[99.06954193115234, 548.2518920898438, 179.68206787109375, 790.6651611328125], [381.06585693359375, 392.4336242675781, 458.1622314453125, 625.14697265625], [1140.6146240234375, 971.4205932617188, 1213.5780029296875, 1079.8875732421875], [1720.7266845703125, 462.1545715332031, 1794.264404296875, 675.9675903320312]]","[0.700535774230957, 0.6049079895019531, 0.39178401231765747, 0.40206557512283325]","[[139.37580490112305, 790.6651611328125], [419.6140441894531, 625.14697265625], [1177.0963134765625, 1079.8875732421875], [1757.4955444335938, 675.9675903320312]]",1983807488,384,yolo26n.pt,MOT17-04
16,,4,"[699, 700, 701, 704]","[[98.952392578125, 547.1898193359375, 179.47593688964844, 789.5285034179688], [381.5654602050781, 392.2698974609375, 459.0008239746094, 625.2985229492188], [1143.250732421875, 971.2462158203125, 1215.2974853515625, 1079.7703857421875], [1720.7603759765625, 462.81817626953125, 1794.528076171875, 677.542236328125]]","[0.6878200769424438, 0.5833533406257629, 0.35034552216529846, 0.38828355073928833]","[[139.21416473388672, 789.5285034179688], [420.28314208984375, 625.2985229492188], [1179.2741088867188, 1079.7703857421875], [1757.6442260742188, 677.542236328125]]",1983676416,384,yolo26n.pt,MOT17-04
17,,4,"[699, 700, 701, 704]","[[99.00563049316406, 547.1980590820312, 179.3317108154297, 789.065185546875], [381.45196533203125, 391.566650390625, 459.6259765625, 626.6672973632812], [1145.236083984375, 971.940185546875, 1215.28271484375, 1078.7523193359375], [1720.9410400390625, 464.1723327636719, 1793.839111328125, 676.2764892578125]]","[0.6782432794570923, 0.5639830827713013, 0.37942126393318176, 0.37985265254974365]","[[139.16867065429688, 789.065185546875], [420.5389709472656, 626.6672973632812], [1180.2593994140625, 1078.7523193359375], [1757.3900756835938, 676.2764892578125]]",1983676416,384,yolo26n.pt,MOT17-04
18,,4,"[699, 700, 701, 704]","[[99.0494155883789, 547.1203002929688, 179.4440460205078, 789.185791015625], [381.5174560546875, 390.55706787109375, 460.2364807128906, 627.082763671875], [1148.417236328125, 972.592041015625, 1215.423095703125, 1075.710205078125], [1720.2659912109375, 463.2532043457031, 1793.9730224609375, 677.8179321289062]]","[0.6834964752197266, 0.5548572540283203, 0.3861447870731354, 0.4131055474281311]","[[139.24673080444336, 789.185791015625], [420.87696838378906, 627.082763671875], [1181.920166015625, 1075.710205078125], [1757.1195068359375, 677.8179321289062]]",1983807488,384,yolo26n.pt,MOT17-04
