frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,1,[799],"[[355.4324645996094, 425.1868896484375, 458.39813232421875, 630.1704711914062]]",[0.8916049599647522],"[[406.91529846191406, 630.1704711914062]]",1677967360,576,yolo26s.pt,MOT17-04
2,,14,"[799, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 815]","[[353.8334045410156, 412.78314208984375, 469.6613464355469, 647.3452758789062], [102.1650161743164, 547.286376953125, 181.6054229736328, 796.9844970703125], [1357.56103515625, 571.062744140625, 1433.259033203125, 794.3651123046875], [1100.7025146484375, 979.0469970703125, 1172.9122314453125, 1080.0], [1733.9364013671875, 457.2516174316406, 1807.445556640625, 678.1097412109375], [0.34395235776901245, 878.0228881835938, 42.64911651611328, 1078.3477783203125], [1045.125, 132.700927734375, 1108.2857666015625, 318.12689208984375], [224.48095703125, 400.41107177734375, 297.2530212402344, 600.1508178710938], [1097.799072265625, 208.3000030517578, 1155.1146240234375, 383.9720153808594], [263.5391540527344, 366.1340637207031, 326.4204406738281, 587.7452392578125], [787.8460693359375, 146.26486206054688, 856.5045776367188, 327.8567199707031], [1633.588134765625, 261.2073974609375, 1698.89306640625, 441.66973876953125], [545.6454467773438, 145.22593688964844, 602.4024047851562, 327.8636779785156], [1790.677001953125, 202.30686950683594, 1851.06494140625, 389.7918701171875]]","[0.8774963617324829, 0.8928477168083191, 0.7925382852554321, 0.8205524682998657, 0.7894113063812256, 0.7787121534347534, 0.6498737931251526, 0.6541714668273926, 0.6136633157730103, 0.5382698774337769, 0.40884271264076233, 0.4616232216358185, 0.4086325168609619, 0.35244226455688477]","[[411.74737548828125, 647.3452758789062], [141.8852195739746, 796.9844970703125], [1395.4100341796875, 794.3651123046875], [1136.807373046875, 1080.0], [1770.6909790039062, 678.1097412109375], [21.496534436941147, 1078.3477783203125], [1076.7053833007812, 318.12689208984375], [260.8669891357422, 600.1508178710938], [1126.4568481445312, 383.9720153808594], [294.97979736328125, 587.7452392578125], [822.1753234863281, 327.8567199707031], [1666.2406005859375, 441.66973876953125], [574.02392578125, 327.8636779785156], [1820.8709716796875, 389.7918701171875]]",1681506304,576,yolo26s.pt,MOT17-04
3,,14,"[799, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 815]","[[354.3771057128906, 407.2444152832031, 474.3017272949219, 654.627685546875], [102.466064453125, 547.3441162109375, 181.90341186523438, 797.033935546875], [1357.8333740234375, 571.3491821289062, 1433.2852783203125, 793.9006958007812], [1103.9241943359375, 978.58056640625, 1176.443115234375, 1080.0], [1732.7032470703125, 457.21319580078125, 1805.7742919921875, 676.6087646484375], [0.32852891087532043, 876.2781982421875, 42.96339797973633, 1078.1326904296875], [1044.5809326171875, 132.9701690673828, 1107.4639892578125, 317.54132080078125], [224.30638122558594, 399.8404541015625, 296.861328125, 598.9471435546875], [1090.7789306640625, 207.8652801513672, 1148.9757080078125, 385.56951904296875], [260.9624938964844, 364.9945068359375, 323.7673034667969, 586.293212890625], [788.3892211914062, 146.22698974609375, 856.0556030273438, 325.174072265625], [1631.9432373046875, 260.4988708496094, 1698.4622802734375, 444.4794921875], [545.4456787109375, 145.559814453125, 602.0120239257812, 327.6377868652344], [1792.4075927734375, 202.82652282714844, 1852.4249267578125, 389.3291015625]]","[0.886256754398346, 0.8956145644187927, 0.7915469408035278, 0.8119745254516602, 0.7830721735954285, 0.792994499206543, 0.5679852962493896, 0.6176428198814392, 0.588721752166748, 0.5234743356704712, 0.4112106263637543, 0.386772483587265, 0.3930025100708008, 0.30475208163261414]","[[414.33941650390625, 654.627685546875], [142.1847381591797, 797.033935546875], [1395.559326171875, 793.9006958007812], [1140.1836547851562, 1080.0], [1769.23876953125, 676.6087646484375], [21.645963445305824, 1078.1326904296875], [1076.0224609375, 317.54132080078125], [260.58385467529297, 598.9471435546875], [1119.8773193359375, 385.56951904296875], [292.3648986816406, 586.293212890625], [822.222412109375, 325.174072265625], [1665.2027587890625, 444.4794921875], [573.7288513183594, 327.6377868652344], [1822.416259765625, 389.3291015625]]",1677524992,576,yolo26s.pt,MOT17-04
4,,14,"[799, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 815]","[[355.5274658203125, 404.7639465332031, 475.3133239746094, 656.6865844726562], [102.37800598144531, 547.1046142578125, 181.762451171875, 796.6246948242188], [1358.1417236328125, 571.5728759765625, 1433.5760498046875, 793.9393920898438], [1107.225341796875, 978.0279541015625, 1180.0986328125, 1080.0], [1732.6339111328125, 456.7759094238281, 1803.9315185546875, 670.5029296875], [0.49258822202682495, 875.2110595703125, 43.379669189453125, 1078.146484375], [1044.2493896484375, 133.31285095214844, 1107.1226806640625, 317.6556396484375], [223.81365966796875, 399.00885009765625, 296.7948913574219, 599.06396484375], [1086.40185546875, 207.64707946777344, 1145.2301025390625, 386.2017517089844], [258.5639953613281, 362.85009765625, 321.5027770996094, 584.630615234375], [787.2776489257812, 145.9953155517578, 855.4545288085938, 326.24884033203125], [1630.2935791015625, 259.846435546875, 1696.68994140625, 443.8727111816406], [544.8306274414062, 146.18760681152344, 601.1731567382812, 327.6342468261719], [1795.374267578125, 203.23223876953125, 1855.1961669921875, 389.28271484375]]","[0.8958142399787903, 0.9005038142204285, 0.8215203285217285, 0.7884217500686646, 0.7971650958061218, 0.8158326148986816, 0.4993700683116913, 0.645138680934906, 0.5752840042114258, 0.5282406210899353, 0.43480321764945984, 0.4656648635864258, 0.3804309368133545, 0.29177480936050415]","[[415.42039489746094, 656.6865844726562], [142.07022857666016, 796.6246948242188], [1395.85888671875, 793.9393920898438], [1143.6619873046875, 1080.0], [1768.28271484375, 670.5029296875], [21.936128705739975, 1078.146484375], [1075.68603515625, 317.6556396484375], [260.3042755126953, 599.06396484375], [1115.8159790039062, 386.2017517089844], [290.03338623046875, 584.630615234375], [821.3660888671875, 326.24884033203125], [1663.4917602539062, 443.8727111816406], [573.0018920898438, 327.6342468261719], [1825.2852172851562, 389.28271484375]]",1674182656,576,yolo26s.pt,MOT17-04
5,,14,"[799, 802, 803, 804, 805, 806, 807, 808, 810, 811, 812, 813, 815, 817]","[[357.9756774902344, 403.9248352050781, 475.6553955078125, 656.3262939453125], [102.34691619873047, 547.2726440429688, 181.73611450195312, 796.8690795898438], [1358.1695556640625, 571.4678955078125, 1433.410888671875, 793.2493896484375], [1110.232666015625, 976.9581298828125, 1183.7139892578125, 1080.0], [1730.3702392578125, 456.51068115234375, 1802.124267578125, 671.0609741210938], [0.8353158831596375, 873.9987182617188, 44.050018310546875, 1078.192626953125], [1044.7608642578125, 133.88107299804688, 1106.75830078125, 315.0267639160156], [224.0113983154297, 398.14544677734375, 297.6087646484375, 599.0235595703125], [257.0914001464844, 361.70904541015625, 318.7455139160156, 578.9131469726562], [786.4619140625, 146.06253051757812, 855.8853759765625, 329.44903564453125], [1629.47509765625, 259.6183166503906, 1695.5948486328125, 443.263427734375], [543.7924194335938, 146.6922607421875, 599.8571166992188, 327.4590759277344], [1796.3824462890625, 203.28172302246094, 1855.960693359375, 388.68988037109375], [876.3103637695312, 128.4206085205078, 937.2117919921875, 307.43475341796875]]","[0.890512228012085, 0.8979215025901794, 0.8165708780288696, 0.813444197177887, 0.7906705141067505, 0.8334441781044006, 0.4110436737537384, 0.7245414853096008, 0.48427245020866394, 0.4688129425048828, 0.5213943123817444, 0.41935160756111145, 0.4276207983493805, 0.3762166202068329]","[[416.81553649902344, 656.3262939453125], [142.0415153503418, 796.8690795898438], [1395.7902221679688, 793.2493896484375], [1146.9733276367188, 1080.0], [1766.2472534179688, 671.0609741210938], [22.442667096853256, 1078.192626953125], [1075.7595825195312, 315.0267639160156], [260.8100814819336, 599.0235595703125], [287.91845703125, 578.9131469726562], [821.1736450195312, 329.44903564453125], [1662.5349731445312, 443.263427734375], [571.8247680664062, 327.4590759277344], [1826.1715698242188, 388.68988037109375], [906.7610778808594, 307.43475341796875]]",1674379264,576,yolo26s.pt,MOT17-04
6,,15,"[799, 802, 803, 804, 805, 806, 807, 808, 810, 811, 812, 813, 815, 817, 809]","[[359.90380859375, 402.9812927246094, 475.0193176269531, 654.5703735351562], [102.3781509399414, 547.3226318359375, 181.64454650878906, 796.6712646484375], [1358.06103515625, 571.4432983398438, 1433.184326171875, 792.7691650390625], [1113.569580078125, 975.9737548828125, 1187.5137939453125, 1080.0], [1728.8184814453125, 455.89923095703125, 1801.2093505859375, 671.7257080078125], [0.9477880001068115, 872.8311157226562, 44.46908950805664, 1078.1239013671875], [1047.10693359375, 134.91488647460938, 1104.468017578125, 301.3268127441406], [222.9611053466797, 398.1968078613281, 296.58575439453125, 598.2283325195312], [256.32830810546875, 359.8193359375, 317.4085388183594, 575.13037109375], [785.3878784179688, 146.42343139648438, 855.614501953125, 331.902587890625], [1628.29345703125, 259.0067138671875, 1694.748046875, 443.98956298828125], [542.9525756835938, 147.53424072265625, 599.1116943359375, 328.8519287109375], [1797.59423828125, 203.38528442382812, 1856.884765625, 388.50567626953125], [876.8026123046875, 129.37705993652344, 937.528076171875, 308.3355407714844], [1077.09130859375, 207.2333526611328, 1137.311279296875, 385.86883544921875]]","[0.8904930353164673, 0.8918797373771667, 0.817496657371521, 0.8273400068283081, 0.7280586957931519, 0.8172706961631775, 0.3839401304721832, 0.6881144642829895, 0.4545017182826996, 0.4445478022098541, 0.45404210686683655, 0.42550966143608093, 0.419868141412735, 0.33825790882110596, 0.6498690247535706]","[[417.46156311035156, 654.5703735351562], [142.01134872436523, 796.6712646484375], [1395.6226806640625, 792.7691650390625], [1150.5416870117188, 1080.0], [1765.013916015625, 671.7257080078125], [22.708438754081726, 1078.1239013671875], [1075.7874755859375, 301.3268127441406], [259.77342987060547, 598.2283325195312], [286.86842346191406, 575.13037109375], [820.5011901855469, 331.902587890625], [1661.520751953125, 443.98956298828125], [571.0321350097656, 328.8519287109375], [1827.239501953125, 388.50567626953125], [907.1653442382812, 308.3355407714844], [1107.2012939453125, 385.86883544921875]]",1674379264,576,yolo26s.pt,MOT17-04
7,,15,"[799, 802, 803, 804, 805, 806, 807, 808, 810, 811, 812, 813, 815, 817, 809]","[[362.02545166015625, 401.5390625, 474.6115417480469, 652.1284790039062], [102.59648895263672, 547.3086547851562, 181.8214569091797, 796.7704467773438], [1358.240234375, 571.453857421875, 1433.395263671875, 792.8197021484375], [1116.8455810546875, 975.55126953125, 1190.8043212890625, 1080.0], [1728.087890625, 455.54290771484375, 1799.9307861328125, 668.7911376953125], [1.2338169813156128, 871.0399780273438, 45.336143493652344, 1078.4776611328125], [1047.577392578125, 136.67457580566406, 1101.9766845703125, 292.98321533203125], [222.2226104736328, 397.7336120605469, 295.4807434082031, 595.4777221679688], [253.75721740722656, 357.56707763671875, 314.6430358886719, 571.3740844726562], [785.6572265625, 146.32167053222656, 855.8229370117188, 331.5574645996094], [1626.5172119140625, 258.9897155761719, 1692.593505859375, 443.40435791015625], [541.5521240234375, 148.0460968017578, 598.2023315429688, 331.5833435058594], [1797.83544921875, 203.4344482421875, 1857.1043701171875, 389.0352783203125], [878.563232421875, 129.0443572998047, 939.4893798828125, 309.02667236328125], [1072.4024658203125, 207.57601928710938, 1134.429443359375, 385.7175598144531]]","[0.8896413445472717, 0.8945385813713074, 0.8169847130775452, 0.8488634824752808, 0.7249815464019775, 0.7979443073272705, 0.35597753524780273, 0.5907900333404541, 0.474200040102005, 0.4194740355014801, 0.43839794397354126, 0.42089131474494934, 0.44535428285598755, 0.2723861634731293, 0.6770842671394348]","[[418.31849670410156, 652.1284790039062], [142.2089729309082, 796.7704467773438], [1395.8177490234375, 792.8197021484375], [1153.824951171875, 1080.0], [1764.0093383789062, 668.7911376953125], [23.28498023748398, 1078.4776611328125], [1074.7770385742188, 292.98321533203125], [258.85167694091797, 595.4777221679688], [284.2001266479492, 571.3740844726562], [820.7400817871094, 331.5574645996094], [1659.5553588867188, 443.40435791015625], [569.8772277832031, 331.5833435058594], [1827.4699096679688, 389.0352783203125], [909.0263061523438, 309.02667236328125], [1103.4159545898438, 385.7175598144531]]",1674182656,576,yolo26s.pt,MOT17-04
8,,16,"[799, 802, 803, 804, 805, 806, 807, 808, 810, 811, 812, 813, 815, 809, 821, 822]","[[363.75823974609375, 400.14898681640625, 473.7544250488281, 649.5575561523438], [102.83699798583984, 547.3058471679688, 181.98280334472656, 796.8159790039062], [1358.024658203125, 571.1882934570312, 1432.9256591796875, 791.6467895507812], [1119.6796875, 975.0786743164062, 1193.6351318359375, 1080.0], [1726.8040771484375, 455.4510803222656, 1797.9976806640625, 665.4999389648438], [1.3678464889526367, 869.3446655273438, 45.9939079284668, 1078.5391845703125], [1046.9317626953125, 138.92393493652344, 1100.1370849609375, 290.1868591308594], [220.9112091064453, 397.0205993652344, 293.4863586425781, 591.6033935546875], [252.22132873535156, 356.8857421875, 312.17236328125, 566.9080810546875], [785.498291015625, 146.5108184814453, 855.6508178710938, 331.50921630859375], [1625.6605224609375, 258.8488464355469, 1691.7646484375, 443.4798278808594], [540.5382080078125, 149.58460998535156, 597.5162353515625, 334.8721008300781], [1798.3370361328125, 204.67726135253906, 1857.2784423828125, 389.5592956542969], [1068.875, 207.20333862304688, 1133.0499267578125, 385.14398193359375], [1040.2650146484375, 136.9326171875, 1104.5732421875, 296.6888122558594], [267.75341796875, 387.19134521484375, 314.7987060546875, 565.1994018554688]]","[0.8886203169822693, 0.8974838852882385, 0.8192641139030457, 0.8423475027084351, 0.7629702091217041, 0.7994021773338318, 0.4162088632583618, 0.6545922756195068, 0.31442806124687195, 0.412093847990036, 0.40243133902549744, 0.4343666136264801, 0.43318891525268555, 0.7065714001655579, 0.3335638642311096, 0.3605072796344757]","[[418.75633239746094, 649.5575561523438], [142.4099006652832, 796.8159790039062], [1395.4751586914062, 791.6467895507812], [1156.6574096679688, 1080.0], [1762.40087890625, 665.4999389648438], [23.680877208709717, 1078.5391845703125], [1073.534423828125, 290.1868591308594], [257.1987838745117, 591.6033935546875], [282.1968460083008, 566.9080810546875], [820.5745544433594, 331.50921630859375], [1658.7125854492188, 443.4798278808594], [569.0272216796875, 334.8721008300781], [1827.8077392578125, 389.5592956542969], [1100.9624633789062, 385.14398193359375], [1072.4191284179688, 296.6888122558594], [291.27606201171875, 565.1994018554688]]",1674182656,576,yolo26s.pt,MOT17-04
9,,16,"[799, 802, 803, 804, 805, 806, 807, 808, 810, 811, 812, 813, 815, 809, 821, 817]","[[365.3995666503906, 398.61834716796875, 472.9366760253906, 646.7864990234375], [102.79043579101562, 546.80126953125, 182.0703887939453, 797.124267578125], [1358.241455078125, 571.3954467773438, 1432.78515625, 790.5384521484375], [1122.5794677734375, 974.8304443359375, 1196.2620849609375, 1080.0], [1725.9617919921875, 455.223388671875, 1797.4334716796875, 665.13818359375], [1.0853310823440552, 867.773193359375, 46.168365478515625, 1078.638916015625], [1045.4400634765625, 139.7089080810547, 1098.67529296875, 289.35711669921875], [219.54345703125, 395.0366516113281, 291.7784729003906, 587.4495239257812], [249.065673828125, 356.00927734375, 310.36767578125, 569.3645629882812], [785.2682495117188, 146.45872497558594, 855.6437377929688, 331.9484558105469], [1624.382568359375, 258.51324462890625, 1690.060791015625, 442.41558837890625], [539.751708984375, 151.72203063964844, 596.8132934570312, 337.5834045410156], [1798.919189453125, 206.90267944335938, 1857.97900390625, 392.29705810546875], [1065.4822998046875, 207.80133056640625, 1131.845703125, 384.8785400390625], [1038.747314453125, 137.40643310546875, 1103.541015625, 298.24267578125], [886.1634521484375, 128.51295471191406, 947.0345458984375, 306.75238037109375]]","[0.8875576257705688, 0.8970160484313965, 0.8210570216178894, 0.8413284420967102, 0.7807410359382629, 0.791353166103363, 0.2562152147293091, 0.6253451704978943, 0.2835597097873688, 0.37734726071357727, 0.377010315656662, 0.48132339119911194, 0.42186158895492554, 0.7131058573722839, 0.3573833107948303, 0.30803412199020386]","[[419.1681213378906, 646.7864990234375], [142.43041229248047, 797.124267578125], [1395.5133056640625, 790.5384521484375], [1159.4207763671875, 1080.0], [1761.6976318359375, 665.13818359375], [23.62684828042984, 1078.638916015625], [1072.0576782226562, 289.35711669921875], [255.6609649658203, 587.4495239257812], [279.7166748046875, 569.3645629882812], [820.4559936523438, 331.9484558105469], [1657.2216796875, 442.41558837890625], [568.2825012207031, 337.5834045410156], [1828.4490966796875, 392.29705810546875], [1098.6640014648438, 384.8785400390625], [1071.1441650390625, 298.24267578125], [916.5989990234375, 306.75238037109375]]",1674182656,576,yolo26s.pt,MOT17-04
10,,14,"[799, 802, 803, 804, 805, 806, 808, 811, 812, 813, 815, 809, 821, 817]","[[366.76507568359375, 397.76513671875, 471.7897033691406, 644.1351318359375], [103.07530212402344, 547.4578857421875, 181.9949493408203, 796.8886108398438], [1357.778076171875, 571.408203125, 1432.8822021484375, 792.2330932617188], [1125.3890380859375, 974.7073974609375, 1198.6837158203125, 1080.0], [1725.3602294921875, 455.2563781738281, 1796.9632568359375, 664.9143676757812], [0.5971828699111938, 865.8363037109375, 46.02964401245117, 1078.239501953125], [217.07789611816406, 394.47747802734375, 288.8370056152344, 584.564453125], [784.9823608398438, 146.3885955810547, 854.9815063476562, 331.0870666503906], [1623.3876953125, 257.37261962890625, 1689.23828125, 442.03289794921875], [539.5291137695312, 153.08148193359375, 596.3179931640625, 338.34246826171875], [1799.3651123046875, 209.8708953857422, 1858.825927734375, 395.5284729003906], [1062.42333984375, 207.93528747558594, 1131.4129638671875, 385.0790100097656], [1036.4185791015625, 137.42807006835938, 1104.3819580078125, 306.1670837402344], [889.0584716796875, 128.80433654785156, 950.3340454101562, 306.1846923828125]]","[0.8848208785057068, 0.8998859524726868, 0.8208258748054504, 0.8549180626869202, 0.7884747385978699, 0.7694969773292542, 0.6363564133644104, 0.3708486258983612, 0.3805520832538605, 0.45058268308639526, 0.4037078022956848, 0.7255861163139343, 0.3157234191894531, 0.31059738993644714]","[[419.2773895263672, 644.1351318359375], [142.53512573242188, 796.8886108398438], [1395.3301391601562, 792.2330932617188], [1162.036376953125, 1080.0], [1761.1617431640625, 664.9143676757812], [23.313413441181183, 1078.239501953125], [252.95745086669922, 584.564453125], [819.98193359375, 331.0870666503906], [1656.31298828125, 442.03289794921875], [567.9235534667969, 338.34246826171875], [1829.0955200195312, 395.5284729003906], [1096.9181518554688, 385.0790100097656], [1070.4002685546875, 306.1670837402344], [919.6962585449219, 306.1846923828125]]",1674608640,576,yolo26s.pt,MOT17-04
