frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,1,[941],"[[371.4056701660156, 428.5595397949219, 445.2847900390625, 624.2053833007812]]",[0.8189059495925903],"[[408.34523010253906, 624.2053833007812]]",1734541312,576,yolo26x.pt,MOT17-04
2,,11,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010]","[[369.573974609375, 416.8658447265625, 453.1015625, 640.210205078125], [103.15010833740234, 546.2857666015625, 182.29141235351562, 795.4640502929688], [1735.274169921875, 458.80712890625, 1806.22705078125, 684.9174194335938], [1045.18310546875, 131.64781188964844, 1108.690185546875, 314.2392578125], [263.5057678222656, 363.995361328125, 322.9600524902344, 585.9733276367188], [1098.9691162109375, 208.7505340576172, 1154.4888916015625, 386.8492736816406], [1358.8055419921875, 573.06396484375, 1446.030029296875, 798.09326171875], [0.38824063539505005, 877.7985229492188, 43.14872741699219, 1079.552978515625], [1100.6544189453125, 978.1397094726562, 1172.46044921875, 1079.5089111328125], [1790.5828857421875, 203.41162109375, 1849.563720703125, 386.3541564941406], [1633.531494140625, 261.11590576171875, 1697.2989501953125, 440.94647216796875]]","[0.8042532205581665, 0.7884781360626221, 0.709440290927887, 0.5417041182518005, 0.48790010809898376, 0.4737052619457245, 0.6162689328193665, 0.46552345156669617, 0.4761801064014435, 0.3546856939792633, 0.42261555790901184]","[[411.3377685546875, 640.210205078125], [142.72076034545898, 795.4640502929688], [1770.7506103515625, 684.9174194335938], [1076.9366455078125, 314.2392578125], [293.23291015625, 585.9733276367188], [1126.72900390625, 386.8492736816406], [1402.4177856445312, 798.09326171875], [21.76848402619362, 1079.552978515625], [1136.5574340820312, 1079.5089111328125], [1820.0733032226562, 386.3541564941406], [1665.4152221679688, 440.94647216796875]]",1739407360,576,yolo26x.pt,MOT17-04
3,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[369.2500915527344, 410.83770751953125, 457.0544738769531, 647.6788330078125], [103.29722595214844, 546.5619506835938, 182.3923797607422, 795.6129150390625], [1733.8944091796875, 458.89776611328125, 1804.4798583984375, 683.7037353515625], [1045.6878662109375, 132.20542907714844, 1107.3792724609375, 309.5781555175781], [261.937255859375, 363.70404052734375, 321.2472229003906, 585.0181884765625], [1094.85986328125, 209.35179138183594, 1150.1705322265625, 386.2203674316406], [1359.0521240234375, 573.1358032226562, 1446.3873291015625, 798.454345703125], [0.13197070360183716, 876.0783081054688, 43.262962341308594, 1079.619384765625], [1103.947509765625, 977.7232055664062, 1175.9598388671875, 1079.43017578125], [1792.058837890625, 204.01393127441406, 1850.8726806640625, 386.41351318359375], [1631.8037109375, 260.2326354980469, 1696.55712890625, 443.0075988769531], [544.89599609375, 146.4490203857422, 601.5230712890625, 325.6270446777344]]","[0.8169817328453064, 0.7969136834144592, 0.6979479193687439, 0.5352985262870789, 0.5280048847198486, 0.4851500988006592, 0.8105500936508179, 0.5291146636009216, 0.5286120772361755, 0.3731924891471863, 0.44235891103744507, 0.32354333996772766]","[[413.15228271484375, 647.6788330078125], [142.8448028564453, 795.6129150390625], [1769.1871337890625, 683.7037353515625], [1076.5335693359375, 309.5781555175781], [291.5922393798828, 585.0181884765625], [1122.5151977539062, 386.2203674316406], [1402.7197265625, 798.454345703125], [21.697466522455215, 1079.619384765625], [1139.9536743164062, 1079.43017578125], [1821.4657592773438, 386.41351318359375], [1664.180419921875, 443.0075988769531], [573.2095336914062, 325.6270446777344]]",1740210176,576,yolo26x.pt,MOT17-04
4,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[369.3445129394531, 408.0008850097656, 458.6383056640625, 650.5282592773438], [103.1100845336914, 546.5120239257812, 182.1868133544922, 795.5361938476562], [1732.366943359375, 459.0401611328125, 1802.4415283203125, 681.9721069335938], [1045.8804931640625, 132.90415954589844, 1106.1053466796875, 305.8857116699219], [259.6200866699219, 362.11956787109375, 319.5758056640625, 585.826416015625], [1089.098876953125, 208.84088134765625, 1144.897216796875, 386.0196838378906], [1358.987060546875, 572.35107421875, 1446.052490234375, 797.0390625], [0.03451969847083092, 874.5015869140625, 43.54979705810547, 1079.9207763671875], [1107.3056640625, 977.4719848632812, 1179.6214599609375, 1079.7247314453125], [1794.955078125, 203.89553833007812, 1853.8990478515625, 386.7063293457031], [1630.99267578125, 259.769775390625, 1695.2939453125, 441.48193359375], [545.1896362304688, 148.04568481445312, 601.3861694335938, 325.7208251953125]]","[0.8104913830757141, 0.8041471242904663, 0.6755170822143555, 0.5167993307113647, 0.4375438988208771, 0.4973682463169098, 0.35796061158180237, 0.5339179635047913, 0.4738685190677643, 0.39686715602874756, 0.31411978602409363, 0.29527634382247925]","[[413.9914093017578, 650.5282592773438], [142.6484489440918, 795.5361938476562], [1767.4042358398438, 681.9721069335938], [1075.992919921875, 305.8857116699219], [289.5979461669922, 585.826416015625], [1116.998046875, 386.0196838378906], [1402.519775390625, 797.0390625], [21.79215837828815, 1079.9207763671875], [1143.4635620117188, 1079.7247314453125], [1824.4270629882812, 386.7063293457031], [1663.143310546875, 441.48193359375], [573.2879028320312, 325.7208251953125]]",1735344128,576,yolo26x.pt,MOT17-04
5,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[370.66387939453125, 406.7200622558594, 459.7178649902344, 650.0481567382812], [103.22628021240234, 546.5250244140625, 182.35595703125, 795.76318359375], [1731.4576416015625, 458.6172790527344, 1799.7215576171875, 675.0160522460938], [1046.0384521484375, 133.71542358398438, 1105.77587890625, 305.0409240722656], [257.9875183105469, 361.2373962402344, 317.482666015625, 583.153564453125], [1082.486083984375, 209.00009155273438, 1139.383056640625, 386.81268310546875], [1358.93212890625, 573.1068115234375, 1445.9853515625, 797.7260131835938], [0.0, 873.0625, 43.76031494140625, 1079.7305908203125], [1110.8785400390625, 976.5654296875, 1183.6685791015625, 1079.62890625], [1797.1400146484375, 203.42236328125, 1856.2901611328125, 387.0552978515625], [1629.564453125, 259.1441955566406, 1693.552978515625, 440.24664306640625], [545.1356201171875, 149.6584014892578, 600.9868774414062, 326.00836181640625]]","[0.8033909797668457, 0.8164479732513428, 0.6324781179428101, 0.5254645347595215, 0.3386939465999603, 0.5429850220680237, 0.7022532224655151, 0.5869570970535278, 0.6261041164398193, 0.38353458046913147, 0.4461684226989746, 0.26816049218177795]","[[415.1908721923828, 650.0481567382812], [142.79111862182617, 795.76318359375], [1765.589599609375, 675.0160522460938], [1075.9071655273438, 305.0409240722656], [287.73509216308594, 583.153564453125], [1110.9345703125, 386.81268310546875], [1402.458740234375, 797.7260131835938], [21.880157470703125, 1079.7305908203125], [1147.2735595703125, 1079.62890625], [1826.715087890625, 387.0552978515625], [1661.5587158203125, 440.24664306640625], [573.0612487792969, 326.00836181640625]]",1740210176,576,yolo26x.pt,MOT17-04
6,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[371.8172912597656, 405.66680908203125, 460.2943420410156, 648.6588134765625], [103.29340362548828, 546.3020629882812, 182.42877197265625, 795.6126708984375], [1730.5169677734375, 458.04119873046875, 1798.234375, 671.8922119140625], [1046.165771484375, 134.72470092773438, 1103.938232421875, 299.9190979003906], [256.7386169433594, 359.3010559082031, 316.2375183105469, 581.0070190429688], [1077.0540771484375, 208.60421752929688, 1135.7330322265625, 387.857177734375], [1358.823974609375, 573.1254272460938, 1446.0220947265625, 798.1253662109375], [0.0, 871.6470336914062, 43.919795989990234, 1079.605224609375], [1113.85546875, 975.98681640625, 1186.9779052734375, 1079.71142578125], [1798.5634765625, 203.28375244140625, 1857.9998779296875, 388.2539367675781], [1627.7479248046875, 258.5563049316406, 1691.5374755859375, 439.16973876953125], [544.199951171875, 150.138916015625, 600.5368041992188, 327.90216064453125]]","[0.8157456517219543, 0.7943576574325562, 0.7334446907043457, 0.3400202989578247, 0.291554719209671, 0.5484122633934021, 0.8252043128013611, 0.5591183304786682, 0.5867007970809937, 0.405637264251709, 0.39725157618522644, 0.2746083736419678]","[[416.0558166503906, 648.6588134765625], [142.86108779907227, 795.6126708984375], [1764.3756713867188, 671.8922119140625], [1075.052001953125, 299.9190979003906], [286.4880676269531, 581.0070190429688], [1106.3935546875, 387.857177734375], [1402.4230346679688, 798.1253662109375], [21.959897994995117, 1079.605224609375], [1150.4166870117188, 1079.71142578125], [1828.2816772460938, 388.2539367675781], [1659.6427001953125, 439.16973876953125], [572.3683776855469, 327.90216064453125]]",1740210176,576,yolo26x.pt,MOT17-04
7,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[372.51629638671875, 403.99066162109375, 460.7127380371094, 647.2810668945312], [103.43159484863281, 546.2079467773438, 182.54107666015625, 795.4660034179688], [1729.548828125, 457.2509765625, 1797.1361083984375, 669.4976806640625], [1045.0985107421875, 135.0078887939453, 1102.1685791015625, 297.47943115234375], [256.0590515136719, 357.8701477050781, 313.2420349121094, 570.1622314453125], [1072.74560546875, 208.09095764160156, 1133.466552734375, 388.0682373046875], [1358.4837646484375, 573.6210327148438, 1445.5362548828125, 798.10009765625], [0.22764457762241364, 869.68115234375, 44.65665817260742, 1079.5625], [1116.765380859375, 975.2422485351562, 1189.998291015625, 1079.376708984375], [1799.4775390625, 204.3288116455078, 1858.5142822265625, 388.6749572753906], [1626.1646728515625, 258.4269714355469, 1689.9500732421875, 439.1792297363281], [543.238037109375, 150.38771057128906, 600.6657104492188, 331.4281311035156]]","[0.8253208994865417, 0.8015766143798828, 0.7316949963569641, 0.32870879769325256, 0.3156772553920746, 0.5707086324691772, 0.6861606240272522, 0.5459418296813965, 0.591238260269165, 0.4242652356624603, 0.447237491607666, 0.2902224659919739]","[[416.61451721191406, 647.2810668945312], [142.98633575439453, 795.4660034179688], [1763.3424682617188, 669.4976806640625], [1073.633544921875, 297.47943115234375], [284.6505432128906, 570.1622314453125], [1103.1060791015625, 388.0682373046875], [1402.010009765625, 798.10009765625], [22.442151375114918, 1079.5625], [1153.3818359375, 1079.376708984375], [1828.9959106445312, 388.6749572753906], [1658.057373046875, 439.1792297363281], [571.9518737792969, 331.4281311035156]]",1734541312,576,yolo26x.pt,MOT17-04
8,,11,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010]","[[373.29119873046875, 402.19158935546875, 460.9604797363281, 645.1616821289062], [103.48778533935547, 545.9105224609375, 182.5713653564453, 795.2250366210938], [1728.720703125, 457.5111999511719, 1796.3431396484375, 668.46240234375], [1043.435791015625, 135.3408966064453, 1101.2657470703125, 298.9544982910156], [256.12945556640625, 355.951904296875, 311.14764404296875, 558.8474731445312], [1068.7742919921875, 207.9542694091797, 1131.640869140625, 387.7354431152344], [1358.3277587890625, 573.6867065429688, 1445.3685302734375, 797.9140014648438], [0.5898581147193909, 867.6488647460938, 45.528411865234375, 1079.595703125], [1119.9832763671875, 974.9398803710938, 1193.274658203125, 1079.3092041015625], [1800.4776611328125, 206.61314392089844, 1859.3009033203125, 390.32672119140625], [1624.7802734375, 257.96759033203125, 1688.6986083984375, 439.0899353027344]]","[0.8087225556373596, 0.802361249923706, 0.7107833623886108, 0.31050312519073486, 0.3256056606769562, 0.5571228861808777, 0.706903338432312, 0.5591265559196472, 0.5776138305664062, 0.37979307770729065, 0.4014807641506195]","[[417.12583923339844, 645.1616821289062], [143.0295753479004, 795.2250366210938], [1762.5319213867188, 668.46240234375], [1072.3507690429688, 298.9544982910156], [283.6385498046875, 558.8474731445312], [1100.2075805664062, 387.7354431152344], [1401.84814453125, 797.9140014648438], [23.059134989976883, 1079.595703125], [1156.6289672851562, 1079.3092041015625], [1829.8892822265625, 390.32672119140625], [1656.7394409179688, 439.0899353027344]]",1739407360,576,yolo26x.pt,MOT17-04
9,,12,"[941, 998, 999, 1000, 1002, 1003, 1004, 1005, 1006, 1010, 1019, 1011]","[[374.53533935546875, 400.7740783691406, 461.3725280761719, 642.2688598632812], [103.42514038085938, 545.4913940429688, 182.660888671875, 795.442626953125], [1728.19140625, 457.4900817871094, 1796.0120849609375, 667.6156616210938], [1041.9737548828125, 136.1533203125, 1100.1746826171875, 299.5218505859375], [1065.9033203125, 207.4330291748047, 1130.8128662109375, 386.1195068359375], [1358.21240234375, 573.54833984375, 1445.391357421875, 797.88671875], [0.7616510391235352, 865.8299560546875, 46.20127487182617, 1079.7034912109375], [1123.2430419921875, 974.6412963867188, 1196.404541015625, 1079.2608642578125], [1800.4384765625, 208.939208984375, 1859.6552734375, 394.0944519042969], [1623.7314453125, 257.99609375, 1687.1431884765625, 438.0749206542969], [214.4447021484375, 389.7943420410156, 294.79742431640625, 589.0988159179688], [541.5938720703125, 152.4580841064453, 600.34716796875, 337.4291687011719]]","[0.8288536071777344, 0.8168947696685791, 0.7399262189865112, 0.29929155111312866, 0.5107673406600952, 0.817564070224762, 0.572502851486206, 0.6041949391365051, 0.4289343059062958, 0.46719053387641907, 0.38064461946487427, 0.29929426312446594]","[[417.9539337158203, 642.2688598632812], [143.0430145263672, 795.442626953125], [1762.1017456054688, 667.6156616210938], [1071.07421875, 299.5218505859375], [1098.3580932617188, 386.1195068359375], [1401.8018798828125, 797.88671875], [23.481462955474854, 1079.7034912109375], [1159.8237915039062, 1079.2608642578125], [1830.046875, 394.0944519042969], [1655.4373168945312, 438.0749206542969], [254.62106323242188, 589.0988159179688], [570.9705200195312, 337.4291687011719]]",1735344128,576,yolo26x.pt,MOT17-04
10,,11,"[941, 998, 999, 1000, 1002, 1003, 1004, 1005, 1006, 1010, 1019]","[[375.1423645019531, 399.341064453125, 461.1769104003906, 639.236328125], [103.72215270996094, 545.2952270507812, 182.94981384277344, 795.4749755859375], [1727.8955078125, 457.5433044433594, 1795.97998046875, 667.2887573242188], [1039.6295166015625, 137.14666748046875, 1099.982666015625, 305.83795166015625], [1062.5848388671875, 207.02378845214844, 1129.8173828125, 385.0679931640625], [1358.289794921875, 573.5078735351562, 1445.4951171875, 797.6534423828125], [0.6519986987113953, 863.33740234375, 46.64262390136719, 1079.515625], [1126.2254638671875, 974.4315185546875, 1199.003662109375, 1079.2791748046875], [1801.0147705078125, 212.0124053955078, 1860.26953125, 396.8408508300781], [1622.015380859375, 256.711669921875, 1686.0963134765625, 439.1623840332031], [212.9217529296875, 389.0434875488281, 291.99749755859375, 585.1101684570312]]","[0.8253130912780762, 0.8085118532180786, 0.7345306873321533, 0.29064059257507324, 0.45070523023605347, 0.5650669932365417, 0.5763632655143738, 0.6141310930252075, 0.3967970311641693, 0.4762890636920929, 0.36544474959373474]","[[418.1596374511719, 639.236328125], [143.3359832763672, 795.4749755859375], [1761.937744140625, 667.2887573242188], [1069.8060913085938, 305.83795166015625], [1096.2011108398438, 385.0679931640625], [1401.8924560546875, 797.6534423828125], [23.64731130003929, 1079.515625], [1162.6145629882812, 1079.2791748046875], [1830.6421508789062, 396.8408508300781], [1654.0558471679688, 439.1623840332031], [252.45962524414062, 585.1101684570312]]",1740210176,576,yolo26x.pt,MOT17-04
