frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,6,"[1, 2, 3, 4, 5, 6]","[[1700.833251953125, 386.4582824707031, 1879.1666259765625, 726.875], [0.41666412353515625, 337.5000305175781, 115.41666412353516, 902.5], [253.33331298828125, 455.0, 355.0, 706.6666259765625], [115.88542175292969, 491.6666259765625, 210.78125, 741.6666259765625], [1290.0, 463.3333435058594, 1361.6666259765625, 656.6666259765625], [1885.833251953125, 386.6666259765625, 1920.0, 580.0]]","[0.79931640625, 0.7578125, 0.63134765625, 0.5458984375, 0.54248046875, 0.45068359375]","[[1789.9999389648438, 726.875], [57.916664123535156, 902.5], [304.1666564941406, 706.6666259765625], [163.33333587646484, 741.6666259765625], [1325.8333129882812, 656.6666259765625], [1902.9166259765625, 580.0]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
2,,6,"[1, 2, 3, 4, 5, 6]","[[1693.242431640625, 388.0853576660156, 1872.2945556640625, 729.5867309570312], [5.242033958435059, 335.3305969238281, 121.34800720214844, 904.6693725585938], [259.4128112792969, 455.3615417480469, 361.21392822265625, 707.7513427734375], [116.55879974365234, 490.2203674316406, 211.91571044921875, 741.6666259765625], [1288.488037109375, 464.4179992675781, 1360.2860107421875, 658.4744873046875], [1882.98046875, 386.4858703613281, 1917.7908935546875, 583.0733032226562]]","[0.78125, 0.818359375, 0.69921875, 0.481201171875, 0.452392578125, 0.56884765625]","[[1782.7684936523438, 729.5867309570312], [63.29502058029175, 904.6693725585938], [310.31336975097656, 707.7513427734375], [164.23725509643555, 741.6666259765625], [1324.3870239257812, 658.4744873046875], [1900.3856811523438, 583.0733032226562]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
3,,6,"[1, 2, 3, 4, 5, 6]","[[1691.776611328125, 393.39208984375, 1868.68701171875, 730.2136840820312], [8.5167236328125, 316.34197998046875, 128.9025421142578, 904.2319946289062], [262.19427490234375, 457.6944885253906, 362.48553466796875, 706.9639892578125], [116.0128402709961, 490.9444580078125, 211.1514892578125, 741.9906616210938], [1289.9144287109375, 462.9823913574219, 1362.2554931640625, 659.108642578125], [1882.364501953125, 384.680908203125, 1917.5374755859375, 582.7948608398438]]","[0.75830078125, 0.83984375, 0.650390625, 0.5126953125, 0.4052734375, 0.5576171875]","[[1780.2318115234375, 730.2136840820312], [68.70963287353516, 904.2319946289062], [312.33990478515625, 706.9639892578125], [163.5821647644043, 741.9906616210938], [1326.0849609375, 659.108642578125], [1899.9509887695312, 582.7948608398438]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
4,,6,"[1, 2, 3, 4, 5, 6]","[[1690.4512939453125, 392.46630859375, 1868.70263671875, 731.6378784179688], [9.591267585754395, 298.3127746582031, 134.457275390625, 904.838623046875], [263.7042541503906, 459.70001220703125, 362.9686584472656, 706.6954345703125], [115.56336975097656, 491.2003173828125, 210.51727294921875, 742.0929565429688], [1292.616455078125, 460.9298400878906, 1365.7333984375, 659.5929565429688], [1881.9320068359375, 382.2110595703125, 1917.7857666015625, 583.280029296875]]","[0.7333984375, 0.84423828125, 0.67724609375, 0.54443359375, 0.4345703125, 0.58251953125]","[[1779.5769653320312, 731.6378784179688], [72.0242714881897, 904.838623046875], [313.3364562988281, 706.6954345703125], [163.04032135009766, 742.0929565429688], [1329.1749267578125, 659.5929565429688], [1899.85888671875, 583.280029296875]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
5,,6,"[1, 2, 3, 4, 5, 6]","[[1686.8360595703125, 388.8288269042969, 1867.204833984375, 732.8204345703125], [8.977212905883789, 258.7958984375, 142.74044799804688, 905.33544921875], [262.8418884277344, 456.5591125488281, 363.02557373046875, 706.6209106445312], [116.87703704833984, 493.1207275390625, 210.41012573242188, 740.27392578125], [1294.839111328125, 459.0684814453125, 1367.9022216796875, 658.50341796875], [1881.72119140625, 380.3853759765625, 1917.9954833984375, 583.2684936523438]]","[0.7099609375, 0.85546875, 0.68359375, 0.4697265625, 0.424560546875, 0.58544921875]","[[1777.0204467773438, 732.8204345703125], [75.85883045196533, 905.33544921875], [312.93373107910156, 706.6209106445312], [163.64358139038086, 740.27392578125], [1331.3706665039062, 658.50341796875], [1899.8583374023438, 583.2684936523438]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1686.2982177734375, 386.0722351074219, 1868.5443115234375, 734.6558227539062], [9.139007568359375, 243.39479064941406, 147.041748046875, 905.21337890625], [263.2354431152344, 456.3639831542969, 363.1383056640625, 706.902587890625], [117.32890319824219, 494.9559326171875, 210.24212646484375, 740.8616333007812], [1296.6373291015625, 459.9680480957031, 1367.455322265625, 655.4384155273438], [1881.6143798828125, 378.5005798339844, 1918.1405029296875, 582.2119140625], [1266.5003662109375, 535.5, 1316.166259765625, 658.4999389648438]]","[0.69921875, 0.861328125, 0.6591796875, 0.48291015625, 0.344482421875, 0.541015625, 0.453125]","[[1777.4212646484375, 734.6558227539062], [78.09037780761719, 905.21337890625], [313.18687438964844, 706.902587890625], [163.78551483154297, 740.8616333007812], [1332.0463256835938, 655.4384155273438], [1899.87744140625, 582.2119140625], [1291.3333129882812, 658.4999389648438]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1683.130615234375, 387.1329345703125, 1865.2213134765625, 737.8585205078125], [6.999720573425293, 233.53866577148438, 147.68136596679688, 905.7130126953125], [264.1903076171875, 455.41680908203125, 363.143798828125, 705.5516967773438], [115.58391571044922, 497.01934814453125, 206.365478515625, 739.613525390625], [1298.0311279296875, 461.8207702636719, 1367.530029296875, 656.4092407226562], [1879.8773193359375, 373.85302734375, 1917.6019287109375, 582.40478515625], [1270.001953125, 534.7958984375, 1320.8572998046875, 661.252197265625]]","[0.69677734375, 0.86474609375, 0.63623046875, 0.5576171875, 0.372314453125, 0.57763671875, 0.417724609375]","[[1774.1759643554688, 737.8585205078125], [77.34054327011108, 905.7130126953125], [313.66705322265625, 705.5516967773438], [160.9746971130371, 739.613525390625], [1332.7805786132812, 656.4092407226562], [1898.7396240234375, 582.40478515625], [1295.4296264648438, 661.252197265625]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1680.7545166015625, 388.12042236328125, 1860.8092041015625, 738.3928833007812], [8.234511375427246, 232.3472900390625, 150.4864501953125, 906.4479370117188], [264.8799133300781, 453.9280700683594, 363.2997131347656, 705.0728759765625], [114.7690658569336, 499.7327575683594, 205.19590759277344, 741.7924194335938], [1310.0029296875, 464.8070983886719, 1379.0029296875, 659.0811767578125], [1878.1297607421875, 372.66754150390625, 1916.2874755859375, 580.9202880859375], [1271.537353515625, 532.9623413085938, 1323.3785400390625, 662.50537109375]]","[0.736328125, 0.86767578125, 0.5830078125, 0.4169921875, 0.436767578125, 0.59619140625, 0.38623046875]","[[1770.7818603515625, 738.3928833007812], [79.36048078536987, 906.4479370117188], [314.0898132324219, 705.0728759765625], [159.98248672485352, 741.7924194335938], [1344.5029296875, 659.0811767578125], [1897.2086181640625, 580.9202880859375], [1297.4579467773438, 662.50537109375]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1681.0787353515625, 388.5000915527344, 1860.413818359375, 740.7804565429688], [11.26223087310791, 228.64059448242188, 155.8587188720703, 905.1827392578125], [272.2014465332031, 454.2484130859375, 367.8533630371094, 702.9276733398438], [114.60907745361328, 507.2248229980469, 201.26614379882812, 741.7254028320312], [1311.645263671875, 465.03863525390625, 1382.2733154296875, 662.0494384765625], [1877.4212646484375, 372.7547607421875, 1915.8905029296875, 579.9419555664062], [1275.79052734375, 535.7564697265625, 1326.3465576171875, 663.1417846679688]]","[0.75830078125, 0.8759765625, 0.5224609375, 0.414794921875, 0.56201171875, 0.61669921875, 0.33251953125]","[[1770.7462768554688, 740.7804565429688], [83.56047487258911, 905.1827392578125], [320.02740478515625, 702.9276733398438], [157.9376106262207, 741.7254028320312], [1346.9592895507812, 662.0494384765625], [1896.6558837890625, 579.9419555664062], [1301.0685424804688, 663.1417846679688]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
10,,6,"[1, 2, 3, 4, 5, 6]","[[1678.6302490234375, 388.6456604003906, 1856.2706298828125, 741.6023559570312], [13.850167274475098, 226.5974578857422, 161.22703552246094, 904.828857421875], [277.1630554199219, 453.5363464355469, 369.4664306640625, 698.4759521484375], [115.1406478881836, 507.30023193359375, 201.0321044921875, 740.8361206054688], [1311.825927734375, 462.58685302734375, 1383.6517333984375, 660.0365600585938], [1876.548583984375, 374.9808349609375, 1915.843017578125, 583.0973510742188]]","[0.7841796875, 0.88818359375, 0.32080078125, 0.308349609375, 0.498046875, 0.6220703125]","[[1767.450439453125, 741.6023559570312], [87.53860139846802, 904.828857421875], [323.3147430419922, 698.4759521484375], [158.08637619018555, 740.8361206054688], [1347.7388305664062, 660.0365600585938], [1896.19580078125, 583.0973510742188]]",420741120,406241280,420741120,576,yolo26n_576_ncnn_model,MOT17-09
