frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1699.5, 388.125, 1861.5, 727.875], [0.0, 340.125, 118.125, 898.875], [1289.625, 460.5, 1353.375, 657.0], [1254.75, 537.375, 1311.75, 656.625], [257.625, 456.0, 353.25, 703.5], [1889.25, 394.5, 1920.0, 576.0], [116.4375, 504.75, 208.875, 743.25]]","[0.86474609375, 0.8193359375, 0.814453125, 0.74267578125, 0.67578125, 0.66162109375, 0.4970703125]","[[1780.5, 727.875], [59.0625, 898.875], [1321.5, 657.0], [1283.25, 656.625], [305.4375, 703.5], [1904.625, 576.0], [162.65625, 743.25]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1693.0404052734375, 389.1012268066406, 1854.9429931640625, 728.200439453125], [0.0, 333.942138671875, 119.61337280273438, 899.8512573242188], [1292.9012451171875, 460.5, 1356.6070556640625, 657.0], [1257.0491943359375, 536.7241821289062, 1314.6573486328125, 657.2758178710938], [260.1201171875, 455.0237731933594, 355.96148681640625, 703.174560546875], [1886.2203369140625, 388.317138671875, 1918.473876953125, 578.2778930664062], [111.16731262207031, 510.6074523925781, 201.29136657714844, 743.9008178710938]]","[0.86474609375, 0.85498046875, 0.8017578125, 0.75146484375, 0.69677734375, 0.60205078125, 0.591796875]","[[1773.99169921875, 728.200439453125], [59.80668640136719, 899.8512573242188], [1324.754150390625, 657.0], [1285.853271484375, 657.2758178710938], [308.0408020019531, 703.174560546875], [1902.3471069335938, 578.2778930664062], [156.22933959960938, 743.9008178710938]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1689.4375, 389.8535461425781, 1851.6361083984375, 728.8412475585938], [0.0, 322.55889892578125, 121.35638427734375, 899.8734130859375], [1293.8385009765625, 460.5, 1357.953857421875, 658.1693115234375], [1258.190185546875, 538.0674438476562, 1315.57373046875, 658.260498046875], [263.01458740234375, 455.7325134277344, 358.6313171386719, 703.4108276367188], [1884.3223876953125, 385.243408203125, 1917.292236328125, 578.38427734375], [113.61962890625, 509.2467346191406, 204.31649780273438, 744.0119018554688]]","[0.8505859375, 0.85205078125, 0.7841796875, 0.71875, 0.734375, 0.6484375, 0.59619140625]","[[1770.5368041992188, 728.8412475585938], [60.678192138671875, 899.8734130859375], [1325.8961791992188, 658.1693115234375], [1286.8819580078125, 658.260498046875], [310.8229522705078, 703.4108276367188], [1900.8073120117188, 578.38427734375], [158.9680633544922, 744.0119018554688]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.66259765625, 389.21209716796875, 1848.904052734375, 729.8949584960938], [1.8593512773513794, 303.2034606933594, 128.37222290039062, 900.9939575195312], [1295.9622802734375, 461.6413269042969, 1359.8551025390625, 658.5364990234375], [1258.57666015625, 538.2205200195312, 1318.0299072265625, 663.4251098632812], [263.31915283203125, 456.5464172363281, 358.834716796875, 704.06396484375], [1883.5777587890625, 383.78228759765625, 1917.1048583984375, 578.93798828125], [114.77568054199219, 508.44732666015625, 205.33477783203125, 743.1761474609375]]","[0.85400390625, 0.83935546875, 0.7744140625, 0.71728515625, 0.759765625, 0.58203125, 0.6123046875]","[[1767.2833251953125, 729.8949584960938], [65.115787088871, 900.9939575195312], [1327.90869140625, 658.5364990234375], [1288.3032836914062, 663.4251098632812], [311.0769348144531, 704.06396484375], [1900.34130859375, 578.93798828125], [160.05522918701172, 743.1761474609375]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.8626708984375, 387.6020202636719, 1847.6759033203125, 731.5946044921875], [1.4860632419586182, 259.1302795410156, 137.53240966796875, 901.4921875], [1298.279052734375, 462.00970458984375, 1362.0467529296875, 658.62548828125], [1261.552001953125, 538.250244140625, 1319.1461181640625, 660.7301635742188], [264.4180603027344, 457.9044494628906, 359.3846740722656, 704.2696533203125], [1881.9659423828125, 380.96832275390625, 1916.3377685546875, 579.3728637695312], [115.0442886352539, 520.3651123046875, 200.88540649414062, 744.0079956054688]]","[0.8154296875, 0.88671875, 0.8037109375, 0.6904296875, 0.767578125, 0.69921875, 0.54736328125]","[[1765.269287109375, 731.5946044921875], [69.50923645496368, 901.4921875], [1330.1629028320312, 658.62548828125], [1290.3490600585938, 660.7301635742188], [311.9013671875, 704.2696533203125], [1899.15185546875, 579.3728637695312], [157.96484756469727, 744.0079956054688]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.7542724609375, 387.3256530761719, 1846.5489501953125, 734.0065307617188], [4.198728084564209, 238.5616455078125, 145.51698303222656, 903.059326171875], [1301.1097412109375, 461.5754699707031, 1364.88671875, 658.095947265625], [1264.2247314453125, 538.7737426757812, 1321.00341796875, 661.2446899414062], [265.9331970214844, 458.3376159667969, 360.4625549316406, 704.3248901367188], [1881.056640625, 376.39642333984375, 1916.5052490234375, 578.9737548828125], [117.2024917602539, 522.7064208984375, 201.79673767089844, 743.7495727539062]]","[0.80078125, 0.91943359375, 0.794921875, 0.5849609375, 0.763671875, 0.658203125, 0.5966796875]","[[1763.651611328125, 734.0065307617188], [74.85785555839539, 903.059326171875], [1332.9982299804688, 658.095947265625], [1292.6140747070312, 661.2446899414062], [313.1978759765625, 704.3248901367188], [1898.7809448242188, 578.9737548828125], [159.49961471557617, 743.7495727539062]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.298583984375, 388.2911071777344, 1846.1007080078125, 735.8547973632812], [3.7541916370391846, 230.12962341308594, 147.04205322265625, 902.2400512695312], [1302.8397216796875, 460.6189270019531, 1367.0743408203125, 658.6849975585938], [1269.31689453125, 546.2808837890625, 1321.55126953125, 660.33837890625], [269.914306640625, 458.19342041015625, 363.33367919921875, 703.543212890625], [1877.4759521484375, 365.8460693359375, 1915.7784423828125, 581.6454467773438], [117.5712661743164, 528.1510620117188, 199.50904846191406, 743.1278686523438]]","[0.82470703125, 0.927734375, 0.8134765625, 0.470703125, 0.77685546875, 0.67626953125, 0.5927734375]","[[1763.1996459960938, 735.8547973632812], [75.39812242984772, 902.2400512695312], [1334.95703125, 658.6849975585938], [1295.43408203125, 660.33837890625], [316.6239929199219, 703.543212890625], [1896.627197265625, 581.6454467773438], [158.54015731811523, 743.1278686523438]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.0511474609375, 389.1706237792969, 1850.468994140625, 738.0073852539062], [5.121950149536133, 223.8837432861328, 150.60643005371094, 902.8966674804688], [1305.3345947265625, 460.52880859375, 1369.9365234375, 658.6302490234375], [1271.0035400390625, 544.709228515625, 1323.819580078125, 662.0885009765625], [273.2348327636719, 458.1146240234375, 365.4552307128906, 703.2567749023438], [1876.6376953125, 372.0108337402344, 1915.090087890625, 584.5977783203125], [115.6475601196289, 520.6163940429688, 200.0828094482422, 743.7061767578125]]","[0.82958984375, 0.93115234375, 0.818359375, 0.424560546875, 0.74462890625, 0.7041015625, 0.57470703125]","[[1767.2600708007812, 738.0073852539062], [77.86419010162354, 902.8966674804688], [1337.6355590820312, 658.6302490234375], [1297.4115600585938, 662.0885009765625], [319.34503173828125, 703.2567749023438], [1895.8638916015625, 584.5977783203125], [157.86518478393555, 743.7061767578125]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.933837890625, 390.7685241699219, 1848.6064453125, 739.4973754882812], [7.783629894256592, 222.2759552001953, 155.00267028808594, 903.1258544921875], [1308.298583984375, 459.7311096191406, 1373.86181640625, 659.3657836914062], [1272.6988525390625, 542.6223754882812, 1325.4356689453125, 662.1566162109375], [277.38140869140625, 457.5539855957031, 368.2597961425781, 703.6654663085938], [1875.504638671875, 373.6906433105469, 1915.253173828125, 589.7450561523438], [115.40586853027344, 512.5985107421875, 202.0281982421875, 743.14306640625]]","[0.82177734375, 0.92822265625, 0.822265625, 0.5732421875, 0.6748046875, 0.732421875, 0.65673828125]","[[1765.7701416015625, 739.4973754882812], [81.39315009117126, 903.1258544921875], [1341.0802001953125, 659.3657836914062], [1299.0672607421875, 662.1566162109375], [322.8206024169922, 703.6654663085938], [1895.37890625, 589.7450561523438], [158.71703338623047, 743.14306640625]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.349609375, 390.3446044921875, 1847.1475830078125, 740.994384765625], [12.324895858764648, 221.36419677734375, 161.62008666992188, 901.2030029296875], [1312.46728515625, 457.9249572753906, 1379.128173828125, 659.1227416992188], [1275.667236328125, 539.7874145507812, 1329.597412109375, 664.1739501953125], [278.67327880859375, 455.55963134765625, 368.0929260253906, 701.5341796875], [1874.0499267578125, 376.63616943359375, 1914.9232177734375, 594.3528442382812], [116.6626205444336, 513.5936279296875, 202.29002380371094, 742.9348754882812]]","[0.80322265625, 0.91943359375, 0.65185546875, 0.64453125, 0.5732421875, 0.7607421875, 0.4853515625]","[[1764.2485961914062, 740.994384765625], [86.97249126434326, 901.2030029296875], [1345.7977294921875, 659.1227416992188], [1302.63232421875, 664.1739501953125], [323.3831024169922, 701.5341796875], [1894.486572265625, 594.3528442382812], [159.47632217407227, 742.9348754882812]]",420806656,406323200,420806656,640,yolo26s_640_ncnn_model,MOT17-09
