frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,6,"[1, 2, 3, 4, 5, 6]","[[1337.4921875, 420.00262451171875, 1507.072021484375, 787.9300537109375], [582.007568359375, 439.7504577636719, 675.496826171875, 705.7825317382812], [438.007568359375, 441.2971496582031, 550.7446899414062, 722.7962646484375], [1450.0125732421875, 429.6296691894531, 1598.49560546875, 765.2632446289062], [1015.8863525390625, 429.3753967285156, 1061.30078125, 527.908203125], [938.2684326171875, 431.0810546875, 975.0323486328125, 514.408203125]]","[0.9138278365135193, 0.7901344895362854, 0.7428030967712402, 0.6295517683029175, 0.45828375220298767, 0.3771268129348755]","[[1422.2821044921875, 787.9300537109375], [628.752197265625, 705.7825317382812], [494.3761291503906, 722.7962646484375], [1524.2540893554688, 765.2632446289062], [1038.5935668945312, 527.908203125], [956.650390625, 514.408203125]]",492519424,640,yolo26m.hef,MOT17-02
2,,6,"[2, 1, 3, 4, 5, 6]","[[582.007568359375, 442.8438720703125, 675.496826171875, 705.7825317382812], [1337.4921875, 443.84979248046875, 1507.072021484375, 787.9300537109375], [438.007568359375, 441.2971496582031, 556.2440185546875, 722.7962646484375], [1461.0113525390625, 426.53631591796875, 1598.49560546875, 771.4500122070312], [1018.0490112304688, 430.59185791015625, 1061.30078125, 528.516357421875], [937.1870727539062, 432.2975158691406, 976.1136474609375, 513.7999267578125]]","[0.7901344895362854, 0.7838049530982971, 0.6889985203742981, 0.5, 0.5, 0.45828375220298767]","[[628.752197265625, 705.7825317382812], [1422.2821044921875, 787.9300537109375], [497.12579345703125, 722.7962646484375], [1529.7534790039062, 771.4500122070312], [1039.6748962402344, 528.516357421875], [956.6503601074219, 513.7999267578125]]",498761728,640,yolo26m.hef,MOT17-02
3,,7,"[1, 4, 2, 5, 6, 7, 3]","[[1347.2578125, 433.4292297363281, 1523.23779296875, 801.54345703125], [1474.759765625, 423.4429016113281, 1606.74462890625, 769.9033203125], [582.007568359375, 442.8438720703125, 678.24658203125, 704.23583984375], [1014.8051147460938, 430.59185791015625, 1062.3819580078125, 528.516357421875], [938.2684326171875, 431.68927001953125, 973.9509887695312, 509.5423583984375], [1260.2115478515625, 444.0918273925781, 1296.9754638671875, 546.8822021484375], [435.25787353515625, 441.2971496582031, 556.2440185546875, 722.7962646484375]]","[0.8648335933685303, 0.6889985203742981, 0.6889985203742981, 0.5417162775993347, 0.417144238948822, 0.3771268129348755, 0.3704482316970825]","[[1435.247802734375, 801.54345703125], [1540.752197265625, 769.9033203125], [630.1270751953125, 704.23583984375], [1038.5935363769531, 528.516357421875], [956.1097106933594, 509.5423583984375], [1278.593505859375, 546.8822021484375], [495.7509460449219, 722.7962646484375]]",498761728,640,yolo26m.hef,MOT17-02
4,,8,"[1, 3, 2, 5, 4, 8, 6, 7]","[[1349.60498046875, 423.4093322753906, 1519.184814453125, 794.7434692382812], [435.25787353515625, 442.8438720703125, 558.9937133789062, 722.7962646484375], [579.2578735351562, 439.7504577636719, 675.496826171875, 705.7825317382812], [1011.5612182617188, 429.3753967285156, 1063.4632568359375, 528.516357421875], [1477.5093994140625, 428.0829772949219, 1609.494384765625, 771.4500122070312], [735.4554443359375, 484.4728088378906, 768.9754638671875, 568.408203125], [937.1870727539062, 432.2975158691406, 973.9509887695312, 513.191650390625], [1259.1302490234375, 444.7000732421875, 1298.056884765625, 546.27392578125]]","[0.8477814793586731, 0.7901344895362854, 0.7428030967712402, 0.582855761051178, 0.5659012198448181, 0.5417162775993347, 0.417144238948822, 0.3771268129348755]","[[1434.3948974609375, 794.7434692382812], [497.12579345703125, 722.7962646484375], [627.3773498535156, 705.7825317382812], [1037.5122375488281, 528.516357421875], [1543.5018920898438, 771.4500122070312], [752.2154541015625, 568.408203125], [955.5690307617188, 513.191650390625], [1278.5935668945312, 546.27392578125]]",498761728,640,yolo26m.hef,MOT17-02
5,,8,"[1, 3, 2, 4, 5, 8, 6, 7]","[[1354.7587890625, 423.4093322753906, 1530.39501953125, 798.1502075195312], [435.25787353515625, 442.8438720703125, 561.743408203125, 722.7962646484375], [579.2578735351562, 441.2971496582031, 675.496826171875, 705.7825317382812], [1483.0087890625, 431.1763916015625, 1620.4931640625, 771.4500122070312], [1011.5612182617188, 428.76715087890625, 1062.3819580078125, 527.908203125], [736.5367431640625, 483.2563781738281, 768.9754638671875, 567.7999267578125], [937.1870727539062, 431.68927001953125, 973.9509887695312, 513.191650390625], [1260.2115478515625, 445.3083190917969, 1298.056884765625, 546.8822021484375]]","[0.873467206954956, 0.7901344895362854, 0.6889985203742981, 0.5659012198448181, 0.5417162775993347, 0.5, 0.45828375220298767, 0.2682493329048157]","[[1442.576904296875, 798.1502075195312], [498.5006408691406, 722.7962646484375], [627.3773498535156, 705.7825317382812], [1551.7509765625, 771.4500122070312], [1036.9715881347656, 527.908203125], [752.756103515625, 567.7999267578125], [955.5690307617188, 513.191650390625], [1279.1342163085938, 546.8822021484375]]",498761728,640,yolo26m.hef,MOT17-02
6,,8,"[1, 3, 2, 4, 5, 8, 6, 7]","[[1360.815185546875, 420.00262451171875, 1530.39501953125, 801.5570068359375], [435.25787353515625, 442.8438720703125, 564.4931030273438, 722.7962646484375], [582.007568359375, 441.2971496582031, 672.7471923828125, 705.7825317382812], [1494.007568359375, 432.72308349609375, 1625.992431640625, 771.4500122070312], [1012.642578125, 429.3753967285156, 1062.3819580078125, 527.908203125], [736.5367431640625, 482.6481628417969, 767.8942260742188, 566.58349609375], [936.105712890625, 431.68927001953125, 975.0323486328125, 513.191650390625], [1260.2115478515625, 445.3083190917969, 1296.9754638671875, 545.665771484375]]","[0.8953536748886108, 0.8307403326034546, 0.7428030967712402, 0.5659012198448181, 0.5417162775993347, 0.45828375220298767, 0.45828375220298767, 0.33871737122535706]","[[1445.6051025390625, 801.5570068359375], [499.87548828125, 722.7962646484375], [627.3773803710938, 705.7825317382812], [1560.0, 771.4500122070312], [1037.5122680664062, 527.908203125], [752.2154846191406, 566.58349609375], [955.5690307617188, 513.191650390625], [1278.593505859375, 545.665771484375]]",498761728,640,yolo26m.hef,MOT17-02
7,,8,"[1, 3, 2, 4, 5, 6, 8, 7]","[[1372.927978515625, 420.00262451171875, 1530.39501953125, 801.5570068359375], [435.25787353515625, 444.3905029296875, 564.4931030273438, 724.3429565429688], [582.007568359375, 438.2037658691406, 675.496826171875, 705.7825317382812], [1491.2578125, 420.3495178222656, 1628.7421875, 774.54345703125], [1012.642578125, 428.76715087890625, 1062.3819580078125, 527.908203125], [937.1870727539062, 432.2975158691406, 973.9509887695312, 513.7999267578125], [735.4554443359375, 480.823486328125, 768.9754638671875, 567.7999267578125], [1260.2115478515625, 445.3083190917969, 1296.9754638671875, 546.27392578125]]","[0.873467206954956, 0.8307403326034546, 0.6889985203742981, 0.5659012198448181, 0.5, 0.5, 0.33871737122535706, 0.33871737122535706]","[[1451.6614990234375, 801.5570068359375], [499.87548828125, 724.3429565429688], [628.752197265625, 705.7825317382812], [1560.0, 774.54345703125], [1037.5122680664062, 527.908203125], [955.5690307617188, 513.7999267578125], [752.2154541015625, 567.7999267578125], [1278.593505859375, 546.27392578125]]",498761728,640,yolo26m.hef,MOT17-02
8,,8,"[3, 1, 2, 4, 5, 6, 8, 7]","[[435.25787353515625, 442.8438720703125, 567.2427978515625, 721.24951171875], [1385.0408935546875, 416.59588623046875, 1530.39501953125, 798.1502075195312], [582.007568359375, 439.7504577636719, 675.496826171875, 707.3292846679688], [1496.7572021484375, 417.256103515625, 1634.2415771484375, 774.54345703125], [1012.642578125, 430.59185791015625, 1060.2193603515625, 527.908203125], [938.2684326171875, 432.2975158691406, 975.0323486328125, 513.7999267578125], [734.3741455078125, 479.6070251464844, 768.9754638671875, 569.6246337890625], [1259.1302490234375, 445.3083190917969, 1295.894287109375, 546.27392578125]]","[0.8307403326034546, 0.7023791074752808, 0.6889985203742981, 0.5, 0.45828375220298767, 0.417144238948822, 0.3771268129348755, 0.3771268129348755]","[[501.2503356933594, 721.24951171875], [1457.7179565429688, 798.1502075195312], [628.752197265625, 707.3292846679688], [1565.4993896484375, 774.54345703125], [1036.4309692382812, 527.908203125], [956.650390625, 513.7999267578125], [751.6748046875, 569.6246337890625], [1277.5122680664062, 546.27392578125]]",498761728,640,yolo26m.hef,MOT17-02
9,,8,"[4, 3, 1, 2, 5, 6, 8, 7]","[[1495.262939453125, 417.256103515625, 1649.2452392578125, 772.9967651367188], [435.25787353515625, 441.2971496582031, 567.2427978515625, 722.7962646484375], [1403.210205078125, 416.59588623046875, 1536.451416015625, 798.1502075195312], [582.007568359375, 439.7504577636719, 675.496826171875, 705.7825317382812], [1015.8863525390625, 431.80828857421875, 1059.1380615234375, 528.516357421875], [937.1870727539062, 431.68927001953125, 971.7884521484375, 511.9752197265625], [734.3741455078125, 478.998779296875, 767.8942260742188, 569.6246337890625], [1259.1302490234375, 445.91650390625, 1296.9754638671875, 546.27392578125]]","[0.7428030967712402, 0.7428030967712402, 0.7023791074752808, 0.6889985203742981, 0.5, 0.45828375220298767, 0.417144238948822, 0.417144238948822]","[[1572.2540893554688, 772.9967651367188], [501.2503356933594, 722.7962646484375], [1469.830810546875, 798.1502075195312], [628.752197265625, 705.7825317382812], [1037.51220703125, 528.516357421875], [954.4877624511719, 511.9752197265625], [751.1341857910156, 569.6246337890625], [1278.0528564453125, 546.27392578125]]",498761728,640,yolo26m.hef,MOT17-02
10,,8,"[3, 2, 1, 4, 6, 8, 7, 5]","[[435.25787353515625, 441.2971496582031, 567.2427978515625, 722.7962646484375], [582.007568359375, 442.8438720703125, 675.496826171875, 707.3292846679688], [1415.322998046875, 413.1891174316406, 1542.5078125, 798.1502075195312], [1517.2603759765625, 417.256103515625, 1657.494384765625, 774.54345703125], [936.105712890625, 431.68927001953125, 971.7884521484375, 513.191650390625], [734.3741455078125, 477.7823486328125, 768.9754638671875, 572.0574951171875], [1259.1302490234375, 444.7000732421875, 1296.9754638671875, 546.27392578125], [1018.0490112304688, 432.41650390625, 1060.2193603515625, 527.908203125]]","[0.7428030967712402, 0.6889985203742981, 0.6057128310203552, 0.5659012198448181, 0.45828375220298767, 0.3771268129348755, 0.3771268129348755, 0.3771268129348755]","[[501.2503356933594, 722.7962646484375], [628.752197265625, 707.3292846679688], [1478.9154052734375, 798.1502075195312], [1587.3773803710938, 774.54345703125], [953.9470825195312, 513.191650390625], [751.6748046875, 572.0574951171875], [1278.0528564453125, 546.27392578125], [1039.1341857910156, 527.908203125]]",498761728,640,yolo26m.hef,MOT17-02
