frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,3,"[1, 2, 3]","[[437.3536071777344, 450.4263916015625, 562.5642700195312, 719.5736083984375], [582.0306396484375, 448.09576416015625, 687.1182250976562, 707.1813354492188], [1337.3125, 431.376220703125, 1516.1849365234375, 783.5314331054688]]","[0.6711364388465881, 0.6711364388465881, 0.5]","[[499.9589385986328, 719.5736083984375], [634.5744323730469, 707.1813354492188], [1426.7487182617188, 783.5314331054688]]",529252352,576,yolo26n_576.hef,MOT17-02
2,,3,"[1, 2, 3]","[[437.3536071777344, 452.94183349609375, 562.5642700195312, 717.0581665039062], [577.558837890625, 447.9110107421875, 687.1182250976562, 708.2542724609375], [1344.020263671875, 450.0569763183594, 1522.892578125, 789.6351318359375]]","[0.8063801527023315, 0.6711364388465881, 0.32886359095573425]","[[499.9589385986328, 717.0581665039062], [632.3385314941406, 708.2542724609375], [1433.4564208984375, 789.6351318359375]]",529252352,576,yolo26n_576.hef,MOT17-02
3,,3,"[1, 2, 3]","[[439.5894775390625, 454.19952392578125, 567.0361328125, 719.5736083984375], [582.0306396484375, 449.1687316894531, 691.5900268554688, 709.5120239257812], [1366.322265625, 430.5522766113281, 1555.121337890625, 793.1845092773438]]","[0.8063801527023315, 0.6711364388465881, 0.38705477118492126]","[[503.31280517578125, 719.5736083984375], [636.8103332519531, 709.5120239257812], [1460.7218017578125, 793.1845092773438]]",529252352,576,yolo26n_576.hef,MOT17-02
4,,3,"[2, 1, 3]","[[579.7947387695312, 449.1687316894531, 687.1182250976562, 708.2542724609375], [435.11767578125, 455.45721435546875, 571.5079345703125, 719.5736083984375], [1366.322265625, 417.1764221191406, 1541.3067626953125, 795.3500366210938]]","[0.6711364388465881, 0.6711364388465881, 0.38705477118492126]","[[633.4564819335938, 708.2542724609375], [503.31280517578125, 719.5736083984375], [1453.8145141601562, 795.3500366210938]]",529252352,576,yolo26n_576.hef,MOT17-02
5,,3,"[1, 2, 3]","[[432.88177490234375, 455.45721435546875, 575.9796752929688, 719.5736083984375], [584.2665405273438, 448.09576416015625, 687.1182250976562, 705.9236450195312], [1370.92724609375, 417.60113525390625, 1550.5164794921875, 798.364990234375]]","[0.8063801527023315, 0.6711364388465881, 0.5]","[[504.43072509765625, 719.5736083984375], [635.6923828125, 705.9236450195312], [1460.7218627929688, 798.364990234375]]",529252352,576,yolo26n_576.hef,MOT17-02
6,,3,"[1, 2, 3]","[[441.8254089355469, 452.94183349609375, 575.9796752929688, 720.831298828125], [582.0306396484375, 448.09576416015625, 687.1182250976562, 705.9236450195312], [1375.531982421875, 415.0108947753906, 1559.72607421875, 798.364990234375]]","[0.6711364388465881, 0.6711364388465881, 0.6129452586174011]","[[508.9025421142578, 720.831298828125], [634.5744323730469, 705.9236450195312], [1467.6290283203125, 798.364990234375]]",529252352,576,yolo26n_576.hef,MOT17-02
7,,3,"[1, 2, 3]","[[435.11767578125, 455.45721435546875, 578.2156372070312, 722.0889892578125], [579.7947387695312, 448.09576416015625, 684.8822631835938, 705.9236450195312], [1384.74169921875, 412.4206848144531, 1564.3310546875, 795.7747192382812]]","[0.6711364388465881, 0.6711364388465881, 0.38705477118492126]","[[506.6666564941406, 722.0889892578125], [632.3385009765625, 705.9236450195312], [1474.536376953125, 795.7747192382812]]",529252352,576,yolo26n_576.hef,MOT17-02
8,,4,"[2, 1, 6, 3]","[[584.2665405273438, 448.09576416015625, 684.8822631835938, 704.6659545898438], [432.88177490234375, 452.94183349609375, 580.4515380859375, 722.0889892578125], [1512.9638671875, 425.2724609375, 1629.23095703125, 766.1083374023438], [1393.951416015625, 412.4206848144531, 1578.1455078125, 795.7747192382812]]","[0.8063801527023315, 0.6711364388465881, 0.5, 0.2850763499736786]","[[634.5744018554688, 704.6659545898438], [506.6666564941406, 722.0889892578125], [1571.097412109375, 766.1083374023438], [1486.0484619140625, 795.7747192382812]]",529252352,576,yolo26n_576.hef,MOT17-02
9,,2,"[1, 2]","[[435.11767578125, 451.6841125488281, 582.6874389648438, 720.831298828125], [582.0306396484375, 446.8380432128906, 682.6463623046875, 703.4082641601562]]","[0.6711364388465881, 0.6711364388465881]","[[508.9025573730469, 720.831298828125], [632.3385009765625, 703.4082641601562]]",529252352,576,yolo26n_576.hef,MOT17-02
10,,2,"[2, 1]","[[577.558837890625, 450.4263916015625, 684.8822631835938, 708.2542724609375], [432.88177490234375, 452.94183349609375, 582.6874389648438, 723.3466796875]]","[0.6711364388465881, 0.6711364388465881]","[[631.2205505371094, 708.2542724609375], [507.78460693359375, 723.3466796875]]",529252352,576,yolo26n_576.hef,MOT17-02
11,,2,"[3, 1]","[[1426.9404296875, 409.40576171875, 1661.7879638671875, 797.940185546875], [428.40997314453125, 452.94183349609375, 584.92333984375, 723.3466796875]]","[0.714923620223999, 0.6711364388465881]","[[1544.3641967773438, 797.940185546875], [506.6666564941406, 723.3466796875]]",529252352,576,yolo26n_576.hef,MOT17-02
12,,3,"[1, 3, 2]","[[437.3536071777344, 455.45721435546875, 578.2156372070312, 723.3466796875], [1445.35986328125, 411.9959716796875, 1680.2073974609375, 792.759765625], [577.558837890625, 447.9110107421875, 682.6463623046875, 709.5120239257812]]","[0.8063801527023315, 0.714923620223999, 0.6711364388465881]","[[507.7846221923828, 723.3466796875], [1562.7836303710938, 792.759765625], [630.1026000976562, 709.5120239257812]]",529252352,576,yolo26n_576.hef,MOT17-02
13,,3,"[2, 1, 3]","[[577.558837890625, 447.9110107421875, 687.1182250976562, 710.7697143554688], [437.3536071777344, 455.45721435546875, 580.4515380859375, 724.6043701171875], [1449.9647216796875, 411.9959716796875, 1657.18310546875, 795.3500366210938]]","[0.6711364388465881, 0.6711364388465881, 0.6129452586174011]","[[632.3385314941406, 710.7697143554688], [508.90257263183594, 724.6043701171875], [1553.5739135742188, 795.3500366210938]]",529252352,576,yolo26n_576.hef,MOT17-02
14,,4,"[2, 1, 6, 3]","[[579.7947387695312, 447.9110107421875, 687.1182250976562, 709.5120239257812], [439.5894775390625, 454.19952392578125, 575.9796752929688, 724.6043701171875], [1539.46630859375, 428.86083984375, 1713.866943359375, 779.75830078125], [1449.9647216796875, 414.5862121582031, 1661.7879638671875, 795.3500366210938]]","[0.8063801527023315, 0.6711364388465881, 0.5, 0.2850763499736786]","[[633.4564819335938, 709.5120239257812], [507.7845764160156, 724.6043701171875], [1626.6666259765625, 779.75830078125], [1555.8763427734375, 795.3500366210938]]",529252352,576,yolo26n_576.hef,MOT17-02
15,,4,"[2, 1, 8, 6]","[[579.7947387695312, 447.9110107421875, 682.6463623046875, 709.5120239257812], [441.8254089355469, 454.19952392578125, 580.4515380859375, 724.6043701171875], [931.453857421875, 435.75445556640625, 965.4588623046875, 508.7421875], [1538.2119140625, 422.7816162109375, 1731.61572265625, 803.54541015625]]","[0.6711364388465881, 0.6711364388465881, 0.4198945164680481, 0.38705477118492126]","[[631.2205505371094, 709.5120239257812], [511.1384735107422, 724.6043701171875], [948.4563598632812, 508.7421875], [1634.913818359375, 803.54541015625]]",529252352,576,yolo26n_576.hef,MOT17-02
16,,5,"[2, 1, 3, 9, 8]","[[579.7947387695312, 447.9110107421875, 682.6463623046875, 706.99658203125], [437.3536071777344, 452.94183349609375, 578.2156372070312, 723.3466796875], [1501.3731689453125, 425.371826171875, 1745.430419921875, 806.1356811523438], [728.6795654296875, 474.2107238769531, 771.63330078125, 568.8430786132812], [932.3486938476562, 436.7611999511719, 964.56396484375, 508.7421875]]","[0.6711364388465881, 0.6711364388465881, 0.5, 0.45968687534332275, 0.30831339955329895]","[[631.2205505371094, 706.99658203125], [507.7846221923828, 723.3466796875], [1623.4017944335938, 806.1356811523438], [750.1564331054688, 568.8430786132812], [948.4563293457031, 508.7421875]]",529252352,576,yolo26n_576.hef,MOT17-02
17,,4,"[1, 3, 2, 8]","[[435.11767578125, 454.19952392578125, 578.2156372070312, 728.3775024414062], [1552.0264892578125, 427.9620666503906, 1759.2449951171875, 806.1356811523438], [577.558837890625, 447.9110107421875, 684.8822631835938, 708.2542724609375], [932.3486938476562, 435.2510986328125, 966.353759765625, 507.7354431152344]]","[0.6711364388465881, 0.5, 0.5, 0.30831339955329895]","[[506.6666564941406, 728.3775024414062], [1655.6357421875, 806.1356811523438], [631.2205505371094, 708.2542724609375], [949.3512268066406, 507.7354431152344]]",529252352,576,yolo26n_576.hef,MOT17-02
18,,4,"[1, 2, 3, 8]","[[444.061279296875, 452.94183349609375, 578.2156372070312, 727.1197509765625], [579.7947387695312, 449.1687316894531, 684.8822631835938, 709.5120239257812], [1570.4459228515625, 430.5522766113281, 1759.2449951171875, 808.7258911132812], [932.3486938476562, 434.244384765625, 966.353759765625, 508.2388000488281]]","[0.8063801527023315, 0.6711364388465881, 0.6129452586174011, 0.381117045879364]","[[511.1384582519531, 727.1197509765625], [632.3385009765625, 709.5120239257812], [1664.845458984375, 808.7258911132812], [949.3512268066406, 508.2388000488281]]",529252352,576,yolo26n_576.hef,MOT17-02
