frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,3,"[1, 2, 3]","[[426.7039794921875, 445.2467956542969, 554.7642211914062, 721.1593017578125], [580.5601196289062, 447.0267028808594, 678.4418334960938, 708.8005981445312], [1336.776123046875, 421.81201171875, 1505.2149658203125, 785.2105102539062]]","[0.776086688041687, 0.6939089298248291, 0.480314701795578]","[[490.7341003417969, 721.1593017578125], [629.5009765625, 708.8005981445312], [1420.9955444335938, 785.2105102539062]]",488423424,576,yolo26n_576_hq.hef,MOT17-02
2,,3,"[1, 2, 3]","[[426.0391540527344, 446.8887023925781, 555.6237182617188, 718.6873168945312], [582.9763793945312, 447.13616943359375, 676.5931396484375, 708.4357299804688], [1343.538330078125, 446.80419921875, 1512.6258544921875, 787.8546142578125]]","[0.7620992660522461, 0.758108913898468, 0.478130042552948]","[[490.83143615722656, 718.6873168945312], [629.7847595214844, 708.4357299804688], [1428.0820922851562, 787.8546142578125]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
3,,3,"[1, 2, 3]","[[423.2174987792969, 448.5123596191406, 558.704833984375, 720.4021606445312], [578.9385375976562, 444.3163757324219, 680.8256225585938, 706.0264282226562], [1345.614013671875, 438.8865966796875, 1530.7718505859375, 799.5394287109375]]","[0.7340781688690186, 0.6816923022270203, 0.3594539165496826]","[[490.96116638183594, 720.4021606445312], [629.882080078125, 706.0264282226562], [1438.1929321289062, 799.5394287109375]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
4,,3,"[1, 2, 3]","[[427.64453125, 449.6708068847656, 558.704833984375, 718.9244995117188], [579.6358032226562, 444.3893737792969, 677.5174560546875, 706.300048828125], [1348.5794677734375, 421.054931640625, 1530.0238037109375, 784.052001953125]]","[0.7836005687713623, 0.6939089298248291, 0.5501636266708374]","[[493.1746826171875, 718.9244995117188], [628.5766296386719, 706.300048828125], [1439.3016357421875, 784.052001953125]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
5,,4,"[2, 1, 4, 3]","[[580.2844848632812, 445.7393798828125, 675.7174682617188, 707.203125], [428.7959289550781, 451.29443359375, 563.3102416992188, 720.5116577148438], [1493.5003662109375, 424.05712890625, 1612.901123046875, 767.3970947265625], [1358.4156494140625, 419.7373352050781, 1547.3624267578125, 797.921875]]","[0.7644716501235962, 0.7636827230453491, 0.5866521000862122, 0.3507288098335266]","[[628.0009765625, 707.203125], [496.05308532714844, 720.5116577148438], [1553.2007446289062, 767.3970947265625], [1452.8890380859375, 797.921875]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
6,,4,"[1, 2, 4, 3]","[[428.5040283203125, 450.6650695800781, 567.8345947265625, 722.007568359375], [579.895263671875, 447.6743469238281, 677.8742065429688, 707.3046264648438], [1497.246337890625, 424.5679626464844, 1616.8741455078125, 763.99462890625], [1365.352294921875, 418.8233642578125, 1557.205078125, 798.8710327148438]]","[0.7491708397865295, 0.7094807028770447, 0.6118713617324829, 0.5466130375862122]","[[498.1693115234375, 722.007568359375], [628.8847351074219, 707.3046264648438], [1557.0602416992188, 763.99462890625], [1461.2786865234375, 798.8710327148438]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
7,,4,"[1, 2, 4, 3]","[[426.3148193359375, 450.02655029296875, 570.5588989257812, 721.65185546875], [580.0250244140625, 446.6162414550781, 675.7174682617188, 709.24755859375], [1501.8680419921875, 426.22808837890625, 1625.3389892578125, 765.7642211914062], [1373.97412109375, 421.79376220703125, 1531.8724365234375, 791.750732421875]]","[0.771490216255188, 0.7201860547065735, 0.676925003528595, 0.42293134331703186]","[[498.4368591308594, 721.65185546875], [627.8712463378906, 709.24755859375], [1563.603515625, 765.7642211914062], [1452.9232788085938, 791.750732421875]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
8,,4,"[1, 2, 4, 3]","[[424.4337463378906, 448.8406982421875, 571.467041015625, 722.56396484375], [579.3439331054688, 447.0997009277344, 676.1066284179688, 707.6239013671875], [1508.5328369140625, 420.49053955078125, 1615.3984375, 769.1666870117188], [1386.8985595703125, 415.846435546875, 1537.4508056640625, 792.2615356445312]]","[0.7776042222976685, 0.7175323963165283, 0.5598918199539185, 0.4628658592700958]","[[497.9503936767578, 722.56396484375], [627.7252807617188, 707.6239013671875], [1561.9656372070312, 769.1666870117188], [1462.1746826171875, 792.2615356445312]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
9,,4,"[1, 2, 4, 3]","[[424.4012756347656, 448.2295837402344, 572.3914184570312, 722.0623168945312], [579.3763427734375, 446.5432434082031, 674.2579956054688, 708.946533203125], [1504.8194580078125, 423.01727294921875, 1637.8094482421875, 770.990966796875], [1399.822998046875, 419.4494934082031, 1538.35888671875, 795.6730346679688]]","[0.7620992660522461, 0.694837749004364, 0.37984657287597656, 0.3584468364715576]","[[498.39634704589844, 722.0623168945312], [626.8171691894531, 708.946533203125], [1571.314453125, 770.990966796875], [1469.0909423828125, 795.6730346679688]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
10,,3,"[1, 2, 3]","[[421.90399169921875, 448.1930847167969, 574.1913452148438, 723.321044921875], [580.15478515625, 444.56268310546875, 675.7498779296875, 709.54736328125], [1406.585205078125, 425.27825927734375, 1548.7373046875, 794.6058349609375]]","[0.7508121728897095, 0.7366334199905396, 0.25746601819992065]","[[498.04766845703125, 723.321044921875], [627.9523315429688, 709.54736328125], [1477.6612548828125, 794.6058349609375]]",494649344,576,yolo26n_576_hq.hef,MOT17-02
