frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,5,"[1, 2, 3, 4, 5]","[[1439.9718017578125, 427.7181396484375, 1600.264404296875, 769.3890380859375], [578.6728515625, 443.3539733886719, 676.8480224609375, 708.9097900390625], [437.9754943847656, 439.91082763671875, 555.9904174804688, 724.8857421875], [1339.072021484375, 432.4234619140625, 1509.0089111328125, 794.3880004882812], [732.7571411132812, 470.18182373046875, 765.962890625, 569.1156005859375]]","[0.7901096343994141, 0.7539051175117493, 0.7445783019065857, 0.5884258151054382, 0.45559972524642944]","[[1520.1181030273438, 769.3890380859375], [627.7604370117188, 708.9097900390625], [496.9829559326172, 724.8857421875], [1424.0404663085938, 794.3880004882812], [749.3600158691406, 569.1156005859375]]",489766912,576,yolo26s_576_hq.hef,MOT17-02
2,,5,"[1, 2, 3, 5, 4]","[[1443.8099365234375, 433.9623718261719, 1601.169677734375, 774.205078125], [579.853759765625, 443.48681640625, 676.8873901367188, 709.90625], [434.66888427734375, 439.6007995605469, 561.8360595703125, 725.4503173828125], [732.6229858398438, 474.8733825683594, 765.1727905273438, 569.3671875], [1343.146240234375, 437.2948303222656, 1515.130126953125, 793.5687255859375]]","[0.8587181568145752, 0.7515950798988342, 0.7045021653175354, 0.4919385015964508, 0.45728349685668945]","[[1522.4898071289062, 774.205078125], [628.3705749511719, 709.90625], [498.2524719238281, 725.4503173828125], [748.8978881835938, 569.3671875], [1429.13818359375, 793.5687255859375]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
3,,5,"[4, 3, 2, 1, 5]","[[1344.05810546875, 433.8900451660156, 1524.3790283203125, 799.8261108398438], [434.27520751953125, 440.70794677734375, 561.7966918945312, 724.7528686523438], [584.1641845703125, 442.9775695800781, 678.0682983398438, 709.2862548828125], [1453.074462890625, 432.7113037109375, 1609.922607421875, 773.3857421875], [732.48876953125, 477.73699951171875, 766.9541625976562, 569.4216918945312]]","[0.8029870986938477, 0.7954111695289612, 0.7207662463188171, 0.7029494643211365, 0.4751327931880951]","[[1434.2185668945312, 799.8261108398438], [498.03594970703125, 724.7528686523438], [631.1162414550781, 709.2862548828125], [1531.49853515625, 773.3857421875], [749.7214660644531, 569.4216918945312]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
4,,5,"[3, 2, 1, 4, 5]","[[436.3221740722656, 442.30218505859375, 564.04052734375, 726.291748046875], [584.2035522460938, 444.57183837890625, 677.399169921875, 710.0833740234375], [1467.6590576171875, 426.43707275390625, 1605.75, 771.1082763671875], [1345.4852294921875, 421.1885986328125, 1531.1849365234375, 804.6815185546875], [732.8241577148438, 477.6070251464844, 766.5368041992188, 567.9835815429688]]","[0.7855453491210938, 0.6977400183677673, 0.6945896148681641, 0.5751973390579224, 0.5266152620315552]","[[500.1813507080078, 726.291748046875], [630.8013610839844, 710.0833740234375], [1536.7045288085938, 771.1082763671875], [1438.3350830078125, 804.6815185546875], [749.6804809570312, 567.9835815429688]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
5,,5,"[3, 4, 1, 2, 5]","[[440.16021728515625, 446.5978698730469, 564.0011596679688, 726.57958984375], [1346.656005859375, 416.64190673828125, 1532.3193359375, 801.32861328125], [1485.077880859375, 420.9757080078125, 1624.4678955078125, 774.459716796875], [584.1641845703125, 444.9039306640625, 677.3204345703125, 709.308349609375], [733.2490234375, 478.3533020019531, 768.8697509765625, 569.4090576171875]]","[0.8178479075431824, 0.8065653443336487, 0.7345384359359741, 0.6966918706893921, 0.5806137323379517]","[[502.0806884765625, 726.57958984375], [1439.4876708984375, 801.32861328125], [1554.7728881835938, 774.459716796875], [630.7423095703125, 709.308349609375], [751.0593872070312, 569.4090576171875]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
6,,4,"[3, 1, 4, 5]","[[437.1094665527344, 440.9515075683594, 563.9617919921875, 726.4246215820312], [1491.4156494140625, 423.946044921875, 1632.695068359375, 778.2050170898438], [1355.0355224609375, 418.0003662109375, 1537.1126708984375, 802.460693359375], [733.740966796875, 477.938232421875, 768.4002075195312, 569.8325805664062]]","[0.889699399471283, 0.7086195349693298, 0.6382170915603638, 0.601957380771637]","[[500.53562927246094, 726.4246215820312], [1562.0553588867188, 778.2050170898438], [1446.0740966796875, 802.460693359375], [751.0705871582031, 569.8325805664062]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
7,,4,"[3, 2, 4, 5]","[[439.3335876464844, 441.68218994140625, 568.6658325195312, 728.9820556640625], [583.45556640625, 443.2654113769531, 677.399169921875, 709.6626586914062], [1363.8905029296875, 417.23675537109375, 1537.844482421875, 802.6027221679688], [732.414306640625, 474.6470031738281, 768.4448852539062, 570.1260375976562]]","[0.8254855275154114, 0.7625505924224854, 0.718553364276886, 0.5641424655914307]","[[503.9997100830078, 728.9820556640625], [630.4273681640625, 709.6626586914062], [1450.8674926757812, 802.6027221679688], [750.4295959472656, 570.1260375976562]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
8,,5,"[3, 1, 2, 5, 4]","[[439.4122619628906, 447.54998779296875, 568.1934204101562, 728.0077514648438], [1494.367919921875, 419.24859619140625, 1640.94189453125, 778.7664184570312], [581.8023071289062, 443.5754089355469, 680.54833984375, 708.2455444335938], [732.5931396484375, 468.5928039550781, 768.5120239257812, 571.8828125], [1389.41357421875, 411.1776428222656, 1532.2677001953125, 801.9053955078125]]","[0.8631755113601685, 0.7602959275245667, 0.7291799783706665, 0.6129898428916931, 0.32143309712409973]","[[503.80284118652344, 728.0077514648438], [1567.6549072265625, 778.7664184570312], [631.1753234863281, 708.2455444335938], [750.5525817871094, 571.8828125], [1460.8406372070312, 801.9053955078125]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
9,,4,"[3, 1, 2, 5]","[[435.02313232421875, 442.3686218261719, 570.1813354492188, 727.5206298828125], [1497.300537109375, 419.7579040527344, 1652.1412353515625, 779.585693359375], [580.52294921875, 442.5457763671875, 678.422607421875, 707.90234375], [732.12353515625, 469.3558654785156, 766.0448608398438, 571.0526123046875]]","[0.8694984316825867, 0.7330837249755859, 0.7008718848228455, 0.5454433560371399]","[[502.60223388671875, 727.5206298828125], [1574.7208862304688, 779.585693359375], [629.4727783203125, 707.90234375], [749.0841979980469, 571.0526123046875]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
10,,5,"[3, 1, 2, 4, 5]","[[437.8967590332031, 444.1732482910156, 571.67724609375, 729.4249267578125], [1510.4483642578125, 416.1043701171875, 1662.2972412109375, 777.9028930664062], [581.9597778320312, 442.2800598144531, 675.9426879882812, 711.1351928710938], [1417.5789794921875, 418.6064758300781, 1538.900634765625, 808.2714233398438], [730.7073974609375, 464.47564697265625, 766.4920654296875, 572.1846313476562]]","[0.8854894042015076, 0.7464621067047119, 0.7055346369743347, 0.5148898363113403, 0.46047261357307434]","[[504.78700256347656, 729.4249267578125], [1586.372802734375, 777.9028930664062], [628.9512329101562, 711.1351928710938], [1478.2398071289062, 808.2714233398438], [748.5997314453125, 572.1846313476562]]",495992832,576,yolo26s_576_hq.hef,MOT17-02
