frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,6,"[1, 2, 3, 4, 5, 6]","[[1331.9068603515625, 427.0056457519531, 1504.523681640625, 790.4307861328125], [584.324462890625, 445.27886962890625, 674.928955078125, 708.2982788085938], [434.799560546875, 440.11419677734375, 555.5525512695312, 724.7425537109375], [730.493896484375, 470.232421875, 766.1557006835938, 570.9879150390625], [1442.56494140625, 430.9964599609375, 1601.3822021484375, 763.9715576171875], [1255.974365234375, 446.209228515625, 1294.149169921875, 547.2642822265625]]","[0.8788106441497803, 0.7533015608787537, 0.7103663682937622, 0.5953238606452942, 0.4368146061897278, 0.4087258577346802]","[[1418.2152709960938, 790.4307861328125], [629.626708984375, 708.2982788085938], [495.1760559082031, 724.7425537109375], [748.3247985839844, 570.9879150390625], [1521.9735717773438, 763.9715576171875], [1275.061767578125, 547.2642822265625]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
2,,,5,"[1, 2, 3, 6, 4]","[[1333.822509765625, 424.87054443359375, 1514.8466796875, 792.1268920898438], [585.7752075195312, 445.9048767089844, 677.09521484375, 707.593994140625], [437.5818786621094, 439.5244445800781, 558.9310913085938, 724.890625], [1255.993896484375, 448.1122131347656, 1293.889404296875, 547.2935180664062], [731.0653076171875, 470.02056884765625, 766.7076416015625, 570.4400634765625]]","[0.9022026658058167, 0.749932587146759, 0.48518049716949463, 0.44843512773513794, 0.3043680489063263]","[[1424.3345947265625, 792.1268920898438], [631.4352111816406, 707.593994140625], [498.25648498535156, 724.890625], [1274.941650390625, 547.2935180664062], [748.886474609375, 570.4400634765625]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
3,,,6,"[1, 2, 5, 3, 4, 6]","[[1337.8310546875, 420.9994201660156, 1523.963623046875, 798.7716674804688], [583.88720703125, 445.9608154296875, 677.1349487304688, 706.2525634765625], [1463.60107421875, 426.267333984375, 1611.3504638671875, 773.3101196289062], [432.99102783203125, 440.4942626953125, 557.4008178710938, 724.1277465820312], [730.909423828125, 480.0833435058594, 767.6102294921875, 569.355224609375], [1256.260009765625, 447.3013610839844, 1293.447998046875, 546.76025390625]]","[0.8715067505836487, 0.7608868479728699, 0.7350155711174011, 0.7234451174736023, 0.557438313961029, 0.49440574645996094]","[[1430.8973388671875, 798.7716674804688], [630.5110778808594, 706.2525634765625], [1537.4757690429688, 773.3101196289062], [495.1959228515625, 724.1277465820312], [749.2598266601562, 569.355224609375], [1274.85400390625, 546.76025390625]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
4,,,6,"[1, 3, 2, 5, 4, 6]","[[1348.0830078125, 420.66021728515625, 1529.0008544921875, 801.0065307617188], [433.4083557128906, 442.2381896972656, 562.5282592773438, 725.9052124023438], [585.4970092773438, 447.7829895019531, 677.1349487304688, 706.05126953125], [1474.4036865234375, 425.19293212890625, 1616.0042724609375, 770.2326049804688], [731.3964233398438, 475.181640625, 767.4803466796875, 570.396240234375], [1257.0782470703125, 448.6016540527344, 1294.181640625, 547.0853271484375]]","[0.861339807510376, 0.8082309365272522, 0.74310302734375, 0.5998295545578003, 0.5889059901237488, 0.5097891092300415]","[[1438.5419311523438, 801.0065307617188], [497.9683074951172, 725.9052124023438], [631.3159790039062, 706.05126953125], [1545.2039794921875, 770.2326049804688], [749.4383850097656, 570.396240234375], [1275.6299438476562, 547.0853271484375]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
5,,,7,"[1, 3, 2, 5, 4, 6, 9]","[[1352.37548828125, 416.6494140625, 1528.929931640625, 800.7670288085938], [432.05694580078125, 440.6646728515625, 567.7550048828125, 725.0136108398438], [585.35791015625, 445.12237548828125, 677.1349487304688, 706.37548828125], [1485.672119140625, 424.65631103515625, 1622.681884765625, 770.7803955078125], [731.5911865234375, 473.87396240234375, 768.3180541992188, 569.6218872070312], [1256.416015625, 449.3394775390625, 1293.8310546875, 547.220458984375], [1681.269287109375, 424.8605651855469, 1793.01953125, 587.3137817382812]]","[0.8706485033035278, 0.7746732234954834, 0.7508982419967651, 0.7066394090652466, 0.5872119665145874, 0.5515648722648621, 0.42515838146209717]","[[1440.6527099609375, 800.7670288085938], [499.9059753417969, 725.0136108398438], [631.2464294433594, 706.37548828125], [1554.177001953125, 770.7803955078125], [749.9546203613281, 569.6218872070312], [1275.12353515625, 547.220458984375], [1737.1444091796875, 587.3137817382812]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
6,,,6,"[1, 3, 2, 6, 4, 9]","[[1354.9295654296875, 415.75146484375, 1532.370849609375, 801.6649780273438], [434.3424072265625, 438.4176940917969, 566.940185546875, 726.2321166992188], [586.9080810546875, 443.5796813964844, 679.658935546875, 707.3145141601562], [1256.3704833984375, 448.8573303222656, 1294.4609375, 546.650634765625], [731.6626586914062, 473.1800231933594, 767.94140625, 568.7672119140625], [1685.89990234375, 427.9459533691406, 1791.310302734375, 587.5932006835938]]","[0.8638308048248291, 0.8357245922088623, 0.7533015608787537, 0.5453302264213562, 0.5369956493377686, 0.2998145818710327]","[[1443.6502075195312, 801.6649780273438], [500.64129638671875, 726.2321166992188], [633.2835083007812, 707.3145141601562], [1275.4157104492188, 546.650634765625], [749.8020324707031, 568.7672119140625], [1738.6051025390625, 587.5932006835938]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
7,,,8,"[1, 3, 2, 5, 4, 11, 6, 9]","[[1366.9979248046875, 414.65399169921875, 1541.601318359375, 799.5099487304688], [434.2430419921875, 442.0816955566406, 568.9674072265625, 727.90625], [585.914306640625, 440.79608154296875, 680.55322265625, 707.2698364257812], [1487.404052734375, 421.3187255859375, 1634.9052734375, 773.5296630859375], [732.2276000976562, 473.2713317871094, 767.8894653320312, 569.5379028320312], [934.078125, 436.8802490234375, 971.2010498046875, 517.1011962890625], [1256.5328369140625, 446.04486083984375, 1293.7401123046875, 547.0524291992188], [1684.82666015625, 425.44189453125, 1791.1314697265625, 585.6368408203125]]","[0.9170893430709839, 0.8274210691452026, 0.7826700806617737, 0.6822671890258789, 0.5800748467445374, 0.4877645671367645, 0.4605711102485657, 0.38908496499061584]","[[1454.2996215820312, 799.5099487304688], [501.605224609375, 727.90625], [633.2337646484375, 707.2698364257812], [1561.1546630859375, 773.5296630859375], [750.0585327148438, 569.5379028320312], [952.6395874023438, 517.1011962890625], [1275.136474609375, 547.0524291992188], [1737.9790649414062, 585.6368408203125]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
8,,,8,"[1, 3, 2, 4, 5, 6, 11, 9]","[[1383.5289306640625, 410.52349853515625, 1539.5438232421875, 798.9911499023438], [433.130126953125, 446.5979919433594, 569.0269775390625, 726.0840454101562], [585.0001220703125, 441.3774108886719, 680.0961303710938, 706.0736694335938], [731.5782470703125, 470.593994140625, 768.343994140625, 570.5386352539062], [1491.270751953125, 418.10205078125, 1644.6251220703125, 780.1702880859375], [1256.65625, 446.2603759765625, 1292.642822265625, 547.0013427734375], [933.3248291015625, 436.1935729980469, 971.18798828125, 516.9149169921875], [1682.2430419921875, 426.660400390625, 1790.316650390625, 585.2120971679688]]","[0.8792170286178589, 0.8503833413124084, 0.7542585730552673, 0.5321239233016968, 0.5262455940246582, 0.5073422193527222, 0.4564041495323181, 0.42326927185058594]","[[1461.536376953125, 798.9911499023438], [501.07855224609375, 726.0840454101562], [632.5481262207031, 706.0736694335938], [749.9611206054688, 570.5386352539062], [1567.9479370117188, 780.1702880859375], [1274.6495361328125, 547.0013427734375], [952.2564086914062, 516.9149169921875], [1736.2798461914062, 585.2120971679688]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
9,,,8,"[3, 1, 2, 5, 4, 6, 9, 11]","[[433.16986083984375, 443.27783203125, 567.8941650390625, 727.7833251953125], [1389.985107421875, 413.8118896484375, 1548.66064453125, 800.7430419921875], [585.35791015625, 441.88043212890625, 679.7384033203125, 705.9171752929688], [1481.7991943359375, 419.1795654296875, 1659.240478515625, 783.86181640625], [730.4288940429688, 470.4588623046875, 767.5907592773438, 572.4160766601562], [1254.5653076171875, 445.5736999511719, 1292.9869384765625, 547.1583251953125], [1679.10302734375, 423.3402404785156, 1790.27685546875, 587.4926147460938], [934.3702392578125, 436.65380859375, 969.869873046875, 516.2720336914062]]","[0.8536339402198792, 0.7992013692855835, 0.793010413646698, 0.7316531538963318, 0.5272460579872131, 0.4877645671367645, 0.44670847058296204, 0.37573325634002686]","[[500.5320129394531, 727.7833251953125], [1469.3228759765625, 800.7430419921875], [632.5481567382812, 705.9171752929688], [1570.5198364257812, 783.86181640625], [749.0098266601562, 572.4160766601562], [1273.776123046875, 547.1583251953125], [1734.68994140625, 587.4926147460938], [952.1200561523438, 516.2720336914062]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
10,,,7,"[3, 2, 6, 1, 11, 4, 9]","[[433.9449462890625, 441.68194580078125, 571.4913330078125, 726.6680908203125], [585.8746337890625, 441.8133850097656, 678.386962890625, 707.9517211914062], [1254.5653076171875, 445.2413330078125, 1293.798583984375, 547.3483276367188], [1409.8861083984375, 409.06280517578125, 1551.676025390625, 802.0799560546875], [933.9742431640625, 436.6391906738281, 971.350341796875, 517.0902099609375], [731.0133056640625, 467.5660400390625, 767.5712890625, 573.1611938476562], [1684.727294921875, 430.36065673828125, 1789.42236328125, 584.8991088867188]]","[0.8437039852142334, 0.8118014931678772, 0.5248050689697266, 0.49283599853515625, 0.45085790753364563, 0.41516315937042236, 0.4063742458820343]","[[502.7181396484375, 726.6680908203125], [632.1307983398438, 707.9517211914062], [1274.1819458007812, 547.3483276367188], [1480.7810668945312, 802.0799560546875], [952.6622924804688, 517.0902099609375], [749.2922973632812, 573.1611938476562], [1737.0748291015625, 584.8991088867188]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
11,,,8,"[3, 2, 1, 5, 4, 6, 9, 11]","[[438.07867431640625, 441.7378234863281, 571.670166015625, 726.5674438476562], [585.6758422851562, 440.21478271484375, 678.8440551757812, 707.1915283203125], [1419.0029296875, 424.631103515625, 1558.80615234375, 799.0509643554688], [1526.28369140625, 421.1949462890625, 1664.029541015625, 783.7620849609375], [730.8834838867188, 474.81634521484375, 767.343994140625, 572.1932983398438], [1255.734130859375, 443.63055419921875, 1294.973876953125, 547.6697387695312], [1689.139404296875, 427.8006286621094, 1790.316650390625, 586.6318359375], [933.526123046875, 436.7926025390625, 970.7334594726562, 516.7395629882812]]","[0.8274210691452026, 0.7878862619400024, 0.7179361581802368, 0.6306362748146057, 0.5919499397277832, 0.46543940901756287, 0.3775070011615753, 0.37573325634002686]","[[504.8744201660156, 726.5674438476562], [632.2599487304688, 707.1915283203125], [1488.904541015625, 799.0509643554688], [1595.1566162109375, 783.7620849609375], [749.1137390136719, 572.1932983398438], [1275.35400390625, 547.6697387695312], [1739.72802734375, 586.6318359375], [952.1297912597656, 516.7395629882812]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
12,,,8,"[5, 1, 3, 2, 4, 6, 9, 11]","[[1532.59814453125, 420.61627197265625, 1694.678955078125, 786.3560791015625], [1430.07080078125, 421.5581359863281, 1568.100341796875, 796.3970947265625], [438.61529541015625, 442.4980163574219, 569.7822265625, 728.970947265625], [586.2322998046875, 440.5613098144531, 678.8838500976562, 707.3369140625], [730.57177734375, 472.548095703125, 766.63623046875, 574.2313842773438], [1253.5394287109375, 444.5071716308594, 1294.181640625, 547.593017578125], [1686.794189453125, 426.5038757324219, 1790.316650390625, 588.0739135742188], [934.078125, 436.6063232421875, 970.3958129882812, 516.7030639648438]]","[0.8574150204658508, 0.793312668800354, 0.7566398978233337, 0.755689263343811, 0.6077269315719604, 0.49930068850517273, 0.4511730372905731, 0.2823411822319031]","[[1613.6385498046875, 786.3560791015625], [1499.0855712890625, 796.3970947265625], [504.1987609863281, 728.970947265625], [632.5580749511719, 707.3369140625], [748.60400390625, 574.2313842773438], [1273.8605346679688, 547.593017578125], [1738.555419921875, 588.0739135742188], [952.2369689941406, 516.7030639648438]]",219398144,204865536,219398144,640,yolo26s_hq.hef,MOT17-02
