frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,5,"[1, 2, 3, 4, 5]","[[1733.8740234375, 457.4749755859375, 1807.0819091796875, 669.071044921875], [1095.08154296875, 978.7498779296875, 1171.4591064453125, 1079.3209228515625], [1357.2576904296875, 571.7119750976562, 1446.37109375, 795.184326171875], [367.09423828125, 409.4324645996094, 452.33978271484375, 648.962646484375], [100.88040924072266, 548.3416137695312, 184.57875061035156, 795.5557861328125]]","[0.5588690042495728, 0.5316046476364136, 0.5077813863754272, 0.47511813044548035, 0.45035916566848755]","[[1770.4779663085938, 669.071044921875], [1133.2703247070312, 1079.3209228515625], [1401.8143920898438, 795.184326171875], [409.7170104980469, 648.962646484375], [142.7295799255371, 795.5557861328125]]",500711424,576,yolo26m_576_hq.hef,MOT17-04
2,,5,"[3, 1, 2, 4, 5]","[[1355.7105712890625, 571.3617553710938, 1446.2012939453125, 796.2350463867188], [1733.72314453125, 458.3558349609375, 1808.3270263671875, 667.6913452148438], [1098.213623046875, 978.654296875, 1175.2515869140625, 1079.3634033203125], [368.8301086425781, 408.2862243652344, 455.622802734375, 648.156005859375], [99.22003173828125, 549.0632934570312, 183.25799560546875, 794.3565063476562]]","[0.5609143972396851, 0.5083000659942627, 0.5077813863754272, 0.4880698025226593, 0.4519007205963135]","[[1400.9559326171875, 796.2350463867188], [1771.0250854492188, 667.6913452148438], [1136.7326049804688, 1079.3634033203125], [412.22645568847656, 648.156005859375], [141.239013671875, 794.3565063476562]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
3,,5,"[4, 3, 1, 2, 5]","[[371.0376281738281, 407.78741455078125, 456.151123046875, 649.46142578125], [1356.35205078125, 571.7862548828125, 1446.37109375, 795.322265625], [1729.383544921875, 457.54925537109375, 1807.176025390625, 667.5745849609375], [1104.270263671875, 978.69677734375, 1177.2327880859375, 1079.1722412109375], [98.89927673339844, 548.85107421875, 183.29574584960938, 795.43896484375]]","[0.6474923491477966, 0.5160772800445557, 0.4916999638080597, 0.4865144193172455, 0.44113099575042725]","[[413.59437561035156, 649.46142578125], [1401.361572265625, 795.322265625], [1768.27978515625, 667.5745849609375], [1140.7515258789062, 1079.1722412109375], [141.0975112915039, 795.43896484375]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
4,,5,"[4, 1, 3, 5, 2]","[[370.0376281738281, 406.7685546875, 454.4906921386719, 649.30224609375], [1727.685302734375, 456.6365051269531, 1806.760986328125, 664.8788452148438], [1356.5972900390625, 572.4124755859375, 1446.5220947265625, 796.1182861328125], [101.18229675292969, 548.5326538085938, 184.0504608154297, 794.5899658203125], [1106.477783203125, 977.8370971679688, 1179.85546875, 1079.7135009765625]]","[0.5832630395889282, 0.527468740940094, 0.5062252879142761, 0.5, 0.4263511896133423]","[[412.26416015625, 649.30224609375], [1767.22314453125, 664.8788452148438], [1401.5596923828125, 796.1182861328125], [142.6163787841797, 794.5899658203125], [1143.1666259765625, 1079.7135009765625]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
5,,7,"[4, 3, 1, 6, 5, 2, 7]","[[372.8866882324219, 406.3015441894531, 455.5661926269531, 647.635986328125], [1357.748291015625, 572.582275390625, 1446.352294921875, 796.627685546875], [1724.2701416015625, 459.1836853027344, 1803.8931884765625, 665.2078857421875], [1070.4464111328125, 203.97491455078125, 1152.7296142578125, 386.1617736816406], [100.91814422607422, 549.233154296875, 182.1636505126953, 793.4224853515625], [1111.8929443359375, 975.8524780273438, 1186.1007080078125, 1079.904541015625], [1041.0501708984375, 134.41964721679688, 1108.10693359375, 296.36700439453125]]","[0.6175995469093323, 0.5362523198127747, 0.5202221870422363, 0.5020751953125, 0.4937747120857239, 0.44215449690818787, 0.3991962969303131]","[[414.2264404296875, 647.635986328125], [1402.05029296875, 796.627685546875], [1764.0816650390625, 665.2078857421875], [1111.5880126953125, 386.1617736816406], [141.54089736938477, 793.4224853515625], [1148.996826171875, 1079.904541015625], [1074.5785522460938, 296.36700439453125]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
6,,7,"[4, 2, 3, 1, 5, 6, 7]","[[373.282958984375, 406.5775146484375, 457.3208923339844, 645.0569458007812], [1114.383544921875, 975.0776977539062, 1188.5535888671875, 1079.7135009765625], [1356.35205078125, 571.2767944335938, 1447.0692138671875, 796.69140625], [1723.685302734375, 457.7827453613281, 1802.8175048828125, 663.3823852539062], [99.42757415771484, 547.588134765625, 183.50328063964844, 794.4520263671875], [1061.35205078125, 204.2084197998047, 1152.408935546875, 387.276123046875], [1040.8802490234375, 134.3453369140625, 1106.5596923828125, 295.1465148925781]]","[0.6258959770202637, 0.5460424423217773, 0.5362523198127747, 0.53470379114151, 0.5243643522262573, 0.39224910736083984, 0.3010016679763794]","[[415.3019256591797, 645.0569458007812], [1151.4685668945312, 1079.7135009765625], [1401.7106323242188, 796.69140625], [1763.2514038085938, 663.3823852539062], [141.46542739868164, 794.4520263671875], [1106.8804931640625, 387.276123046875], [1073.719970703125, 295.1465148925781]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
7,,7,"[4, 3, 5, 1, 2, 6, 7]","[[374.86785888671875, 405.2933044433594, 459.2454528808594, 644.8977661132812], [1356.4652099609375, 571.5315551757812, 1446.27685546875, 796.3729248046875], [101.5973892211914, 548.2991333007812, 183.50328063964844, 795.1099853515625], [1724.4400634765625, 456.4879455566406, 1802.723388671875, 663.5946655273438], [1119.4212646484375, 974.51513671875, 1193.5535888671875, 1080.0], [1052.76708984375, 207.88059997558594, 1153.3145751953125, 385.54620361328125], [1036.635009765625, 134.4408721923828, 1105.93701171875, 290.4023742675781]]","[0.6393989324569702, 0.5378001928329468, 0.4735657870769501, 0.46426379680633545, 0.41673699021339417, 0.40268534421920776, 0.2867923378944397]","[[417.05665588378906, 644.8977661132812], [1401.3710327148438, 796.3729248046875], [142.55033493041992, 795.1099853515625], [1763.5817260742188, 663.5946655273438], [1156.4874267578125, 1080.0], [1103.0408325195312, 385.54620361328125], [1071.2860107421875, 290.4023742675781]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
8,,7,"[4, 1, 3, 5, 2, 6, 7]","[[375.0942687988281, 401.7060241699219, 459.5661926269531, 641.5758056640625], [1723.1571044921875, 458.2497253417969, 1802.723388671875, 663.1064453125], [1355.7105712890625, 573.3357543945312, 1446.2012939453125, 796.2562255859375], [101.93701171875, 550.0503540039062, 184.0504608154297, 795.545166015625], [1120.4591064453125, 975.6826171875, 1194.459228515625, 1080.0], [1048.955810546875, 206.2673797607422, 1149.993896484375, 385.3869934082031], [1036.76708984375, 136.43614196777344, 1105.559814453125, 288.2478942871094]]","[0.5736488103866577, 0.5563094019889832, 0.5202221870422363, 0.5160772800445557, 0.43092525005340576, 0.42280223965644836, 0.2758843004703522]","[[417.3302307128906, 641.5758056640625], [1762.9402465820312, 663.1064453125], [1400.9559326171875, 796.2562255859375], [142.99373626708984, 795.545166015625], [1157.4591674804688, 1080.0], [1099.474853515625, 385.3869934082031], [1071.1634521484375, 288.2478942871094]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
9,,7,"[3, 5, 4, 2, 1, 6, 7]","[[1355.842529296875, 572.3699951171875, 1446.7862548828125, 795.8104858398438], [101.25776672363281, 548.384033203125, 182.50328063964844, 794.940185546875], [377.4150390625, 400.18133544921875, 458.1510925292969, 641.8023071289062], [1123.6287841796875, 975.4490966796875, 1197.459228515625, 1079.5543212890625], [1722.647705078125, 458.3664855957031, 1802.383544921875, 664.2314453125], [1044.7105712890625, 206.70252990722656, 1151.4844970703125, 384.8032531738281], [1033.18212890625, 137.37013244628906, 1104.8994140625, 288.09930419921875]]","[0.5491271018981934, 0.5300542116165161, 0.49118128418922424, 0.4339812397956848, 0.42330875992774963, 0.38240042328834534, 0.2975202798843384]","[[1401.3143920898438, 795.8104858398438], [141.88052368164062, 794.940185546875], [417.78306579589844, 641.8023071289062], [1160.5440063476562, 1079.5543212890625], [1762.515625, 664.2314453125], [1098.0975341796875, 384.8032531738281], [1069.040771484375, 288.09930419921875]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
10,,6,"[5, 4, 3, 2, 1, 6]","[[100.46531677246094, 548.7130737304688, 183.50328063964844, 794.4095458984375], [374.90557861328125, 398.7591552734375, 458.8114929199219, 640.2421264648438], [1355.106689453125, 571.9030151367188, 1446.69189453125, 795.7149658203125], [1127.704345703125, 974.695556640625, 1197.666748046875, 1079.8834228515625], [1722.685302734375, 458.2709655761719, 1801.025146484375, 664.0191650390625], [1043.2576904296875, 206.21432495117188, 1148.5787353515625, 385.2490234375]]","[0.5593805313110352, 0.5165954828262329, 0.5020751953125, 0.48392269015312195, 0.43092525005340576, 0.38485392928123474]","[[141.9842987060547, 794.4095458984375], [416.85853576660156, 640.2421264648438], [1400.8992919921875, 795.7149658203125], [1162.685546875, 1079.8834228515625], [1761.855224609375, 664.0191650390625], [1095.918212890625, 385.2490234375]]",506937344,576,yolo26m_576_hq.hef,MOT17-04
