frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,2,"[1, 2]","[[106.50890350341797, 548.8076782226562, 175.93434143066406, 793.160400390625], [374.279052734375, 416.0391845703125, 453.6224365234375, 647.002685546875]]","[0.5, 0.5]","[[141.22162246704102, 793.160400390625], [413.95074462890625, 647.002685546875]]",477446144,640,yolo26n.hef,MOT17-04
2,,1,[2],"[[376.26263427734375, 413.80767822265625, 455.60601806640625, 647.002685546875]]",[0.5],"[[415.934326171875, 647.002685546875]]",483672064,640,yolo26n.hef,MOT17-04
3,,2,"[2, 1]","[[376.26263427734375, 414.9234313964844, 457.589599609375, 648.1184692382812], [106.50890350341797, 548.8076782226562, 175.93434143066406, 794.276123046875]]","[0.6587501168251038, 0.34124991297721863]","[[416.9261169433594, 648.1184692382812], [141.22162246704102, 794.276123046875]]",483672064,640,yolo26n.hef,MOT17-04
4,,2,"[2, 1]","[[376.26263427734375, 413.80767822265625, 455.60601806640625, 648.1184692382812], [104.52532196044922, 549.9234619140625, 175.93434143066406, 795.3919067382812]]","[0.6587501168251038, 0.5]","[[415.934326171875, 648.1184692382812], [140.22983169555664, 795.3919067382812]]",483672064,640,yolo26n.hef,MOT17-04
5,,2,"[2, 1]","[[378.2462463378906, 413.80767822265625, 457.589599609375, 647.002685546875], [104.52532196044922, 548.8076782226562, 177.9179229736328, 794.276123046875]]","[0.6587501168251038, 0.34124991297721863]","[[417.9179229736328, 647.002685546875], [141.22162246704102, 794.276123046875]]",483672064,640,yolo26n.hef,MOT17-04
6,,2,"[2, 1]","[[378.2462463378906, 411.57611083984375, 457.589599609375, 645.8869018554688], [106.50890350341797, 547.69189453125, 177.9179229736328, 793.160400390625]]","[0.5, 0.34124991297721863]","[[417.9179229736328, 645.8869018554688], [142.2134132385254, 793.160400390625]]",483672064,640,yolo26n.hef,MOT17-04
7,,1,[2],"[[382.2134094238281, 409.3445739746094, 461.5567626953125, 645.8869018554688]]",[0.5],"[[421.8850860595703, 645.8869018554688]]",483672064,640,yolo26n.hef,MOT17-04
8,,2,"[2, 1]","[[380.2298278808594, 410.4603576660156, 461.5567626953125, 642.5396118164062], [106.50890350341797, 549.9234619140625, 177.9179229736328, 792.0446166992188]]","[0.6587501168251038, 0.34124991297721863]","[[420.89329528808594, 642.5396118164062], [142.2134132385254, 792.0446166992188]]",483672064,640,yolo26n.hef,MOT17-04
9,,2,"[2, 1]","[[378.2462463378906, 408.22882080078125, 461.5567626953125, 640.30810546875], [106.50890350341797, 548.8076782226562, 177.9179229736328, 793.160400390625]]","[0.5, 0.34124991297721863]","[[419.90150451660156, 640.30810546875], [142.2134132385254, 793.160400390625]]",483672064,640,yolo26n.hef,MOT17-04
10,,1,[2],"[[378.2462463378906, 407.1130676269531, 461.5567626953125, 636.9608154296875]]",[0.5],"[[419.90150451660156, 636.9608154296875]]",483672064,640,yolo26n.hef,MOT17-04
11,,2,"[2, 1]","[[380.2298278808594, 402.4283752441406, 461.5567626953125, 628.9288330078125], [106.50890350341797, 549.9234619140625, 177.9179229736328, 794.276123046875]]","[0.6587501168251038, 0.34124991297721863]","[[420.89329528808594, 628.9288330078125], [142.2134132385254, 794.276123046875]]",483672064,640,yolo26n.hef,MOT17-04
12,,2,"[2, 1]","[[380.2298278808594, 402.4283752441406, 463.54034423828125, 624.4657592773438], [106.50890350341797, 549.9234619140625, 177.9179229736328, 794.276123046875]]","[0.6587501168251038, 0.34124991297721863]","[[421.8850860595703, 624.4657592773438], [142.2134132385254, 794.276123046875]]",483672064,640,yolo26n.hef,MOT17-04
13,,1,[2],"[[380.2298278808594, 400.19683837890625, 463.54034423828125, 623.3499755859375]]",[0.5],"[[421.8850860595703, 623.3499755859375]]",483672064,640,yolo26n.hef,MOT17-04
14,,2,"[1, 2]","[[104.52532196044922, 549.9234619140625, 179.90150451660156, 795.3919067382812], [382.2134094238281, 399.0810852050781, 463.54034423828125, 623.3499755859375]]","[0.5, 0.5]","[[142.2134132385254, 795.3919067382812], [422.8768768310547, 623.3499755859375]]",483672064,640,yolo26n.hef,MOT17-04
15,,2,"[2, 1]","[[382.2134094238281, 397.96533203125, 465.52392578125, 623.3499755859375], [106.50890350341797, 549.9234619140625, 177.9179229736328, 794.276123046875]]","[0.6587501168251038, 0.5]","[[423.86866760253906, 623.3499755859375], [142.2134132385254, 794.276123046875]]",483672064,640,yolo26n.hef,MOT17-04
16,,2,"[2, 1]","[[382.2134094238281, 396.84954833984375, 463.54034423828125, 622.2341918945312], [104.52532196044922, 548.8076782226562, 177.9179229736328, 794.276123046875]]","[0.6587501168251038, 0.5]","[[422.8768768310547, 622.2341918945312], [141.22162246704102, 794.276123046875]]",483672064,640,yolo26n.hef,MOT17-04
17,,2,"[1, 2]","[[104.52532196044922, 548.8076782226562, 179.90150451660156, 794.276123046875], [382.2134094238281, 395.7337951660156, 463.54034423828125, 623.3499755859375]]","[0.5, 0.5]","[[142.2134132385254, 794.276123046875], [422.8768768310547, 623.3499755859375]]",483672064,640,yolo26n.hef,MOT17-04
18,,2,"[1, 2]","[[104.52532196044922, 549.9234619140625, 179.90150451660156, 794.276123046875], [384.19696044921875, 393.50225830078125, 465.52392578125, 623.3499755859375]]","[0.5, 0.5]","[[142.2134132385254, 794.276123046875], [424.8604431152344, 623.3499755859375]]",483672064,640,yolo26n.hef,MOT17-04
