frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,3,"[1, 2, 3]","[[370.60589599609375, 409.644287109375, 452.551513671875, 647.6328735351562], [101.82742309570312, 546.468994140625, 175.72286987304688, 792.1915893554688], [227.3610076904297, 372.0832824707031, 329.7521667480469, 593.6495971679688]]","[0.6977651715278625, 0.6397861242294312, 0.4297049045562744]","[[411.5787048339844, 647.6328735351562], [138.775146484375, 792.1915893554688], [278.5565872192383, 593.6495971679688]]",485097472,640,yolo26n_hq.hef,MOT17-04
2,,3,"[1, 2, 3]","[[372.22784423828125, 408.6398620605469, 452.87890625, 647.6495971679688], [101.79766845703125, 545.9248657226562, 176.66030883789062, 791.8986206054688], [227.42428588867188, 376.81866455078125, 324.71148681640625, 596.9536743164062]]","[0.7090535759925842, 0.6502695679664612, 0.4843953847885132]","[[412.5533752441406, 647.6495971679688], [139.22898864746094, 791.8986206054688], [276.06788635253906, 596.9536743164062]]",491388928,640,yolo26n_hq.hef,MOT17-04
3,,4,"[1, 2, 3, 4]","[[373.8646545410156, 408.17950439453125, 453.39971923828125, 648.126708984375], [102.67559814453125, 545.4227294921875, 176.33294677734375, 792.3255004882812], [223.84927368164062, 367.546630859375, 325.6898498535156, 597.4998779296875], [1353.6219482421875, 573.9126586914062, 1457.1885986328125, 819.2250366210938]]","[0.7141788601875305, 0.6578043699264526, 0.4430132210254669, 0.419535368680954]","[[413.63218688964844, 648.126708984375], [139.5042724609375, 792.3255004882812], [274.7695617675781, 597.4998779296875], [1405.4052734375, 819.2250366210938]]",497614848,640,yolo26n_hq.hef,MOT17-04
4,,6,"[1, 2, 3, 4, 5, 6]","[[370.0255432128906, 408.16278076171875, 452.551513671875, 648.1769409179688], [101.18758392333984, 546.9126586914062, 177.3001708984375, 792.5096435546875], [222.08226013183594, 378.2164611816406, 319.72662353515625, 595.2713012695312], [1354.09814453125, 573.3601684570312, 1458.036865234375, 820.2462158203125], [876.1514892578125, 125.26860046386719, 964.8677978515625, 296.2206115722656], [1078.58251953125, 211.48109436035156, 1156.1981201171875, 387.59747314453125]]","[0.7925475835800171, 0.7030060887336731, 0.5508155226707458, 0.4615720808506012, 0.37472543120384216, 0.3592551648616791]","[[411.2885284423828, 648.1769409179688], [139.24387741088867, 792.5096435546875], [270.9044418334961, 595.2713012695312], [1406.0675048828125, 820.2462158203125], [920.5096435546875, 296.2206115722656], [1117.3903198242188, 387.59747314453125]]",485310464,640,yolo26n_hq.hef,MOT17-04
5,,7,"[1, 2, 6, 3, 7, 5, 4]","[[372.22784423828125, 408.229736328125, 453.39971923828125, 646.712158203125], [102.61608123779297, 545.3892211914062, 176.66030883789062, 793.2964477539062], [1066.276611328125, 212.73660278320312, 1154.3828125, 388.79443359375], [222.960205078125, 362.8509826660156, 319.6671142578125, 595.98486328125], [1730.007080078125, 459.5366516113281, 1805.420166015625, 666.2208862304688], [879.946044921875, 125.74569702148438, 965.9241943359375, 301.58587646484375], [1352.803466796875, 572.8328857421875, 1457.1885986328125, 819.2250366210938]]","[0.7562486529350281, 0.6474242806434631, 0.5166441798210144, 0.4533074200153351, 0.38452833890914917, 0.3093034625053406, 0.29786378145217896]","[[412.81378173828125, 646.712158203125], [139.6381950378418, 793.2964477539062], [1110.3297119140625, 388.79443359375], [271.31365966796875, 595.98486328125], [1767.713623046875, 666.2208862304688], [922.9351196289062, 301.58587646484375], [1404.9960327148438, 819.2250366210938]]",497614848,640,yolo26n_hq.hef,MOT17-04
6,,6,"[1, 6, 2, 3, 4, 5]","[[373.2991943359375, 406.170654296875, 454.57525634765625, 645.4900512695312], [1058.4644775390625, 211.18812561035156, 1154.4124755859375, 388.7023620605469], [102.64583587646484, 545.406005859375, 176.66030883789062, 791.4215087890625], [218.06460571289062, 361.1769714355469, 317.24163818359375, 592.8963012695312], [1353.10107421875, 571.8117065429688, 1456.3701171875, 818.3377685546875], [879.0382690429688, 126.30650329589844, 967.1593017578125, 303.41058349609375]]","[0.7477094531059265, 0.6203854084014893, 0.5784359574317932, 0.419535368680954, 0.4134657084941864, 0.25623688101768494]","[[413.9372253417969, 645.4900512695312], [1106.4384765625, 388.7023620605469], [139.65307235717773, 791.4215087890625], [267.6531219482422, 592.8963012695312], [1404.735595703125, 818.3377685546875], [923.0987854003906, 303.41058349609375]]",485310464,640,yolo26n_hq.hef,MOT17-04
7,,6,"[1, 6, 2, 4, 5, 3]","[[373.18017578125, 404.0697937011719, 457.9084167480469, 644.50244140625], [1053.955810546875, 212.12559509277344, 1156.16845703125, 388.74420166015625], [101.76791381835938, 545.3892211914062, 176.66030883789062, 792.3924560546875], [1353.5921630859375, 574.3980712890625, 1457.4862060546875, 817.9276733398438], [878.48779296875, 126.80033111572266, 966.2813720703125, 304.0467224121094], [218.36219787597656, 362.834228515625, 312.65850830078125, 586.2587890625]]","[0.6634038686752319, 0.6549878716468811, 0.6223440766334534, 0.4348125457763672, 0.3200750946998596, 0.2841247320175171]","[[415.54429626464844, 644.50244140625], [1105.0621337890625, 388.74420166015625], [139.214111328125, 792.3924560546875], [1405.5391845703125, 817.9276733398438], [922.3845825195312, 304.0467224121094], [265.5103530883789, 586.2587890625]]",497614848,640,yolo26n_hq.hef,MOT17-04
8,,6,"[1, 2, 6, 3, 4, 5]","[[375.47174072265625, 403.19091796875, 456.21209716796875, 639.5556640625], [102.64583587646484, 546.410400390625, 176.98768615722656, 792.141357421875], [1050.235595703125, 214.95469665527344, 1152.5821533203125, 388.20849609375], [212.88626098632812, 356.1046447753906, 313.0602722167969, 573.6365356445312], [1352.773681640625, 572.8328857421875, 1458.0665283203125, 818.605712890625], [879.916259765625, 127.34439849853516, 966.3110961914062, 304.4150085449219]]","[0.7849183678627014, 0.6203854084014893, 0.6203854084014893, 0.459503710269928, 0.3727768659591675, 0.3110848069190979]","[[415.8419189453125, 639.5556640625], [139.8167610168457, 792.141357421875], [1101.4088745117188, 388.20849609375], [262.9732666015625, 573.6365356445312], [1405.4201049804688, 818.605712890625], [923.1136779785156, 304.4150085449219]]",485310464,640,yolo26n_hq.hef,MOT17-04
9,,6,"[1, 2, 5, 3, 6, 4]","[[377.65911865234375, 401.6340637207031, 458.72686767578125, 637.8900146484375], [102.64583587646484, 546.9461059570312, 176.98768615722656, 791.3712768554688], [879.886474609375, 127.3109130859375, 966.6533203125, 303.05902099609375], [212.8267364501953, 356.1046447753906, 313.81915283203125, 585.0785522460938], [1043.926513671875, 216.28555297851562, 1151.897705078125, 388.2922058105469], [1353.711181640625, 573.410400390625, 1455.254150390625, 818.0281372070312]]","[0.6960065960884094, 0.6194045543670654, 0.4760834872722626, 0.43685951828956604, 0.4185219705104828, 0.33012089133262634]","[[418.1929931640625, 637.8900146484375], [139.8167610168457, 791.3712768554688], [923.2698974609375, 303.05902099609375], [263.3229446411133, 585.0785522460938], [1097.912109375, 388.2922058105469], [1404.482666015625, 818.0281372070312]]",497614848,640,yolo26n_hq.hef,MOT17-04
10,,5,"[1, 2, 3, 5, 4]","[[377.6888732910156, 400.15252685546875, 458.72686767578125, 636.13232421875], [99.31266784667969, 546.4271240234375, 177.04721069335938, 792.3255004882812], [209.27037048339844, 354.49755859375, 311.30438232421875, 582.5926513671875], [878.42822265625, 127.27742767333984, 966.980712890625, 304.9422912597656], [1350.824462890625, 573.32666015625, 1457.1885986328125, 819.6854248046875]]","[0.6634038686752319, 0.6272231340408325, 0.4864749014377594, 0.4185219705104828, 0.34219565987586975]","[[418.20787048339844, 636.13232421875], [138.17993927001953, 792.3255004882812], [260.2873764038086, 582.5926513671875], [922.7044677734375, 304.9422912597656], [1404.0065307617188, 819.6854248046875]]",485310464,640,yolo26n_hq.hef,MOT17-04
