frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[[103.47331237792969, 547.876953125, 182.0275421142578, 794.0602416992188], [368.722900390625, 411.298828125, 455.693603515625, 646.4354858398438], [1359.8897705078125, 574.70458984375, 1444.0550537109375, 792.4821166992188], [1049.139404296875, 136.21986389160156, 1108.0550537109375, 306.65447998046875], [4.361443519592285, 886.079833984375, 46.44406509399414, 1075.4515380859375], [227.52838134765625, 403.2359924316406, 322.9156799316406, 595.7639770507812], [1738.27880859375, 458.8140869140625, 1811.221923828125, 668.701171875], [1097.139404296875, 982.6884765625, 1172.88818359375, 1077.3743896484375], [795.1118774414062, 149.01699829101562, 856.8330688476562, 316.29541015625], [1102.7503662109375, 211.07981872558594, 1161.6661376953125, 384.6706237792969], [687.8898315429688, 210.7351531982422, 758.0275268554688, 313.3115234375], [543.8898315429688, 152.34552001953125, 608.41650390625, 325.9363098144531], [59.83103942871094, 1059.6549072265625, 101.9029312133789, 1079.292236328125], [1639.1669921875, 266.485595703125, 1703.693603515625, 436.9201965332031], [882.6953125, 126.75128173828125, 958.444091796875, 298.7640075683594], [1791.889892578125, 206.1731719970703, 1892.88818359375, 390.8106994628906]]","[0.9005722403526306, 0.9005722403526306, 0.8129153847694397, 0.8129153847694397, 0.8129153847694397, 0.7505971193313599, 0.6757992506027222, 0.5907983183860779, 0.5907983183860779, 0.5907983183860779, 0.5, 0.5, 0.4529374837875366, 0.4092016816139221, 0.4092016816139221, 0.4092016816139221]","[[142.75042724609375, 794.0602416992188], [412.208251953125, 646.4354858398438], [1401.972412109375, 792.4821166992188], [1078.5972290039062, 306.65447998046875], [25.402754306793213, 1075.4515380859375], [275.22203063964844, 595.7639770507812], [1774.7503662109375, 668.701171875], [1135.0137939453125, 1077.3743896484375], [825.9724731445312, 316.29541015625], [1132.208251953125, 384.6706237792969], [722.9586791992188, 313.3115234375], [576.1531677246094, 325.9363098144531], [80.86698532104492, 1079.292236328125], [1671.4302978515625, 436.9201965332031], [920.5697021484375, 298.7640075683594], [1842.3890380859375, 390.8106994628906]]",476053504,640,yolo26s.hef,MOT17-04
2,,15,"[2, 1, 5, 3, 8, 6, 4, 9, 10, 11, 7, 12, 16, 15, 14]","[[371.52838134765625, 411.298828125, 455.693603515625, 646.4354858398438], [106.2788314819336, 547.876953125, 182.0275421142578, 794.0602416992188], [1.5559358596801758, 886.079833984375, 46.44406509399414, 1075.4515380859375], [1362.6953125, 574.70458984375, 1444.0550537109375, 789.3259887695312], [1102.7503662109375, 982.6884765625, 1172.88818359375, 1078.952392578125], [227.52838134765625, 401.65789794921875, 322.9156799316406, 598.9202270507812], [1049.139404296875, 134.64178466796875, 1108.0550537109375, 303.498291015625], [795.1118774414062, 150.59507751464844, 856.8330688476562, 316.29541015625], [1097.139404296875, 211.07981872558594, 1158.860595703125, 386.24871826171875], [685.0843505859375, 213.89134216308594, 760.8330688476562, 314.8896179199219], [1735.4732666015625, 457.23602294921875, 1811.221923828125, 667.123046875], [543.8898315429688, 152.1731719970703, 605.6110229492188, 322.6077880859375], [1794.6954345703125, 206.1731719970703, 1890.08251953125, 389.2325744628906], [882.6953125, 128.3293914794922, 961.2496337890625, 297.1859130859375], [1630.75048828125, 264.907470703125, 1700.88818359375, 435.34210205078125]]","[0.9005722403526306, 0.8625143766403198, 0.8129153847694397, 0.8129153847694397, 0.7505971193313599, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.5, 0.5, 0.5, 0.4092016816139221, 0.4092016816139221, 0.3242007791996002]","[[413.6109924316406, 646.4354858398438], [144.1531867980957, 794.0602416992188], [24.000000476837158, 1075.4515380859375], [1403.3751831054688, 789.3259887695312], [1137.8192749023438, 1078.952392578125], [275.22203063964844, 598.9202270507812], [1078.5972290039062, 303.498291015625], [825.9724731445312, 316.29541015625], [1128.0, 386.24871826171875], [722.9587097167969, 314.8896179199219], [1773.3475952148438, 667.123046875], [574.7504272460938, 322.6077880859375], [1842.3889770507812, 389.2325744628906], [921.9724731445312, 297.1859130859375], [1665.8193359375, 435.34210205078125]]",482279424,640,yolo26s.hef,MOT17-04
3,,14,"[2, 1, 7, 5, 3, 8, 6, 10, 4, 9, 12, 15, 16, 11]","[[371.52838134765625, 411.298828125, 455.693603515625, 646.4354858398438], [106.2788314819336, 547.876953125, 182.0275421142578, 792.4821166992188], [1732.361328125, 460.3922119140625, 1805.3045654296875, 668.701171875], [1.5559358596801758, 884.501708984375, 43.63855743408203, 1075.4515380859375], [1357.0843505859375, 573.1265258789062, 1446.860595703125, 792.4821166992188], [1105.555908203125, 981.1103515625, 1178.4991455078125, 1078.952392578125], [224.722900390625, 400.0798034667969, 320.11016845703125, 592.6077880859375], [1071.8897705078125, 211.07981872558594, 1153.2496337890625, 387.8268127441406], [1049.139404296875, 136.21986389160156, 1108.0550537109375, 297.1859130859375], [795.1118774414062, 150.59507751464844, 856.8330688476562, 316.29541015625], [546.6953125, 152.1731719970703, 602.8054809570312, 325.7640075683594], [877.0843505859375, 128.3293914794922, 961.2496337890625, 298.7640075683594], [1794.6954345703125, 206.1731719970703, 1890.08251953125, 389.2325744628906], [685.0843505859375, 215.4694366455078, 758.0275268554688, 313.3115234375]]","[0.9005722403526306, 0.8625143766403198, 0.8129153847694397, 0.7505971193313599, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.5907983183860779, 0.5, 0.5, 0.4092016816139221, 0.3242007791996002]","[[413.6109924316406, 646.4354858398438], [144.1531867980957, 792.4821166992188], [1768.8329467773438, 668.701171875], [22.597246646881104, 1075.4515380859375], [1401.9724731445312, 792.4821166992188], [1142.0275268554688, 1078.952392578125], [272.4165344238281, 592.6077880859375], [1112.5697021484375, 387.8268127441406], [1078.5972290039062, 297.1859130859375], [825.9724731445312, 316.29541015625], [574.7503967285156, 325.7640075683594], [919.1669921875, 298.7640075683594], [1842.3889770507812, 389.2325744628906], [721.5559387207031, 313.3115234375]]",482279424,640,yolo26s.hef,MOT17-04
4,,16,"[2, 1, 5, 7, 8, 3, 6, 9, 4, 10, 14, 16, 11, 12, 15, 17]","[[371.52838134765625, 411.298828125, 455.693603515625, 646.4354858398438], [103.47331237792969, 546.298828125, 182.0275421142578, 794.0602416992188], [4.361443519592285, 882.923583984375, 43.63855743408203, 1075.4515380859375], [1729.555908203125, 458.8140869140625, 1805.3045654296875, 663.9668579101562], [1108.3614501953125, 981.1103515625, 1184.1102294921875, 1078.952392578125], [1359.8897705078125, 574.876953125, 1444.0550537109375, 794.2326049804688], [221.91737365722656, 398.501708984375, 317.3046569824219, 595.7639770507812], [795.1118774414062, 150.59507751464844, 856.8330688476562, 316.29541015625], [1046.3338623046875, 136.21986389160156, 1108.0550537109375, 305.0763854980469], [1077.5008544921875, 211.07981872558594, 1153.2496337890625, 389.4049072265625], [1633.555908203125, 264.907470703125, 1695.277099609375, 436.9201965332031], [1791.889892578125, 207.75128173828125, 1890.08251953125, 387.65447998046875], [685.0843505859375, 210.7351531982422, 760.8330688476562, 313.3115234375], [549.5008544921875, 152.1731719970703, 602.8054809570312, 328.9201965332031], [877.0843505859375, 128.3293914794922, 950.0275268554688, 292.45159912109375], [340.3614501953125, 106.23600769042969, 413.3046569824219, 275.092529296875]]","[0.9005722403526306, 0.8625143766403198, 0.8129153847694397, 0.8129153847694397, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.5907983183860779, 0.5, 0.4092016816139221, 0.4092016816139221, 0.4092016816139221, 0.4092016816139221, 0.4092016816139221]","[[413.6109924316406, 646.4354858398438], [142.75042724609375, 794.0602416992188], [24.000000476837158, 1075.4515380859375], [1767.4302368164062, 663.9668579101562], [1146.23583984375, 1078.952392578125], [1401.972412109375, 794.2326049804688], [269.6110153198242, 595.7639770507812], [825.9724731445312, 316.29541015625], [1077.1944580078125, 305.0763854980469], [1115.375244140625, 389.4049072265625], [1664.41650390625, 436.9201965332031], [1840.9862060546875, 387.65447998046875], [722.9587097167969, 313.3115234375], [576.1531677246094, 328.9201965332031], [913.5559387207031, 292.45159912109375], [376.8330535888672, 275.092529296875]]",482279424,640,yolo26s.hef,MOT17-04
5,,16,"[2, 1, 7, 5, 10, 8, 9, 6, 3, 15, 4, 17, 16, 11, 12, 14]","[[374.33392333984375, 409.7207336425781, 455.693603515625, 644.8573608398438], [106.2788314819336, 546.298828125, 182.0275421142578, 794.0602416992188], [1729.555908203125, 458.8140869140625, 1805.3045654296875, 663.9668579101562], [4.361443519592285, 881.345458984375, 46.44406509399414, 1075.4515380859375], [1069.0843505859375, 212.6579132080078, 1153.2496337890625, 389.4049072265625], [1114.27880859375, 976.2037353515625, 1190.027587890625, 1077.2020263671875], [795.1118774414062, 150.59507751464844, 856.8330688476562, 319.45159912109375], [219.11187744140625, 398.501708984375, 311.6936340332031, 592.6077880859375], [1359.8897705078125, 573.298828125, 1444.0550537109375, 792.654541015625], [882.6953125, 129.907470703125, 958.444091796875, 294.0296936035156], [1046.3338623046875, 137.7979736328125, 1108.0550537109375, 290.8735046386719], [340.3614501953125, 104.65790557861328, 413.3046569824219, 273.514404296875], [1794.6954345703125, 206.1731719970703, 1892.88818359375, 389.2325744628906], [685.0843505859375, 213.89134216308594, 760.8330688476562, 314.8896179199219], [546.6953125, 152.1731719970703, 602.8054809570312, 325.7640075683594], [1630.75048828125, 261.5789489746094, 1695.277099609375, 414.65447998046875]]","[0.9005722403526306, 0.8625143766403198, 0.8129153847694397, 0.7505971193313599, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.5907983183860779, 0.5, 0.5, 0.5, 0.5, 0.3242007791996002, 0.3242007791996002, 0.3242007791996002]","[[415.0137634277344, 644.8573608398438], [144.1531867980957, 794.0602416992188], [1767.4302368164062, 663.9668579101562], [25.402754306793213, 1075.4515380859375], [1111.1669921875, 389.4049072265625], [1152.1531982421875, 1077.2020263671875], [825.9724731445312, 319.45159912109375], [265.4027557373047, 592.6077880859375], [1401.972412109375, 792.654541015625], [920.5697021484375, 294.0296936035156], [1077.1944580078125, 290.8735046386719], [376.8330535888672, 273.514404296875], [1843.7918090820312, 389.2325744628906], [722.9587097167969, 314.8896179199219], [574.7503967285156, 325.7640075683594], [1663.0137939453125, 414.65447998046875]]",482279424,640,yolo26s.hef,MOT17-04
6,,15,"[2, 3, 1, 7, 8, 5, 6, 10, 9, 16, 4, 12, 17, 11, 15]","[[374.33392333984375, 408.14263916015625, 458.4991455078125, 643.2792358398438], [1359.8897705078125, 573.1265258789062, 1444.0550537109375, 789.3259887695312], [106.2788314819336, 547.876953125, 182.0275421142578, 792.4821166992188], [1726.75048828125, 460.3922119140625, 1802.499267578125, 665.5449829101562], [1117.0843505859375, 976.2037353515625, 1190.027587890625, 1078.7801513671875], [1.5559358596801758, 879.7673950195312, 46.44406509399414, 1073.87353515625], [219.11187744140625, 396.9236145019531, 306.0826416015625, 597.3421020507812], [1060.6678466796875, 211.07981872558594, 1153.2496337890625, 387.8268127441406], [795.1118774414062, 150.59507751464844, 856.8330688476562, 316.29541015625], [1797.500732421875, 206.1731719970703, 1895.693603515625, 389.2325744628906], [1046.3338623046875, 136.21986389160156, 1105.2496337890625, 286.13922119140625], [546.6953125, 153.92361450195312, 608.41650390625, 329.092529296875], [340.3614501953125, 104.65790557861328, 413.3046569824219, 273.514404296875], [685.0843505859375, 210.7351531982422, 760.8330688476562, 313.3115234375], [882.6953125, 129.907470703125, 961.2496337890625, 298.7640075683594]]","[0.9005722403526306, 0.8625143766403198, 0.8625143766403198, 0.8129153847694397, 0.7505971193313599, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.5907983183860779, 0.5907983183860779, 0.5, 0.5, 0.4092016816139221, 0.4092016816139221]","[[416.4165344238281, 643.2792358398438], [1401.972412109375, 789.3259887695312], [144.1531867980957, 792.4821166992188], [1764.6248779296875, 665.5449829101562], [1153.5559692382812, 1078.7801513671875], [24.000000476837158, 1073.87353515625], [262.5972595214844, 597.3421020507812], [1106.958740234375, 387.8268127441406], [825.9724731445312, 316.29541015625], [1846.59716796875, 389.2325744628906], [1075.791748046875, 286.13922119140625], [577.555908203125, 329.092529296875], [376.8330535888672, 273.514404296875], [722.9587097167969, 313.3115234375], [921.9724731445312, 298.7640075683594]]",482279424,640,yolo26s.hef,MOT17-04
7,,14,"[2, 3, 1, 8, 7, 5, 10, 9, 4, 6, 16, 17, 15, 12]","[[374.33392333984375, 406.56451416015625, 458.4991455078125, 641.701171875], [1359.8897705078125, 574.70458984375, 1444.0550537109375, 789.3259887695312], [106.2788314819336, 547.876953125, 182.0275421142578, 794.0602416992188], [1119.8897705078125, 976.3760375976562, 1192.8330078125, 1077.3743896484375], [1726.75048828125, 460.3922119140625, 1802.499267578125, 663.9668579101562], [1.5559358596801758, 876.6112670898438, 46.44406509399414, 1073.87353515625], [1052.251220703125, 212.6579132080078, 1153.2496337890625, 387.8268127441406], [792.3063354492188, 150.59507751464844, 856.8330688476562, 316.29541015625], [1043.5284423828125, 137.7979736328125, 1105.2496337890625, 287.7173156738281], [219.11187744140625, 395.1731872558594, 297.66607666015625, 587.701171875], [1797.500732421875, 209.3293914794922, 1892.88818359375, 389.2325744628906], [337.5559387207031, 103.0798110961914, 413.3046569824219, 275.092529296875], [882.6953125, 129.907470703125, 958.444091796875, 301.9201965332031], [540.7779541015625, 150.76742553710938, 602.4991455078125, 330.6706237792969]]","[0.9005722403526306, 0.8625143766403198, 0.8625143766403198, 0.8129153847694397, 0.8129153847694397, 0.7505971193313599, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.5907983183860779, 0.5907983183860779, 0.5, 0.4092016816139221, 0.3242007791996002]","[[416.4165344238281, 641.701171875], [1401.972412109375, 789.3259887695312], [144.1531867980957, 794.0602416992188], [1156.3613891601562, 1077.3743896484375], [1764.6248779296875, 663.9668579101562], [24.000000476837158, 1073.87353515625], [1102.7504272460938, 387.8268127441406], [824.5697021484375, 316.29541015625], [1074.3890380859375, 287.7173156738281], [258.38897705078125, 587.701171875], [1845.1944580078125, 389.2325744628906], [375.4302978515625, 275.092529296875], [920.5697021484375, 301.9201965332031], [571.6385498046875, 330.6706237792969]]",482279424,640,yolo26s.hef,MOT17-04
8,,15,"[2, 3, 1, 7, 8, 5, 10, 9, 6, 15, 16, 11, 4, 17, 14]","[[374.33392333984375, 404.9864196777344, 458.4991455078125, 638.5449829101562], [1359.8897705078125, 573.1265258789062, 1444.0550537109375, 787.7478637695312], [106.2788314819336, 547.876953125, 184.83303833007812, 794.0602416992188], [1723.9449462890625, 460.3922119140625, 1802.499267578125, 662.3887329101562], [1122.6953125, 976.3760375976562, 1192.8330078125, 1077.3743896484375], [1.5559358596801758, 876.6112670898438, 46.44406509399414, 1075.4515380859375], [1052.251220703125, 211.07981872558594, 1153.2496337890625, 387.8268127441406], [792.3063354492188, 150.59507751464844, 856.8330688476562, 316.29541015625], [213.5008544921875, 392.0169982910156, 300.47161865234375, 581.3887329101562], [882.6953125, 131.48558044433594, 961.2496337890625, 305.0763854980469], [1794.6954345703125, 210.907470703125, 1890.08251953125, 390.8106994628906], [687.8898315429688, 210.7351531982422, 760.8330688476562, 311.7334289550781], [1043.5284423828125, 137.7979736328125, 1105.2496337890625, 287.7173156738281], [340.3614501953125, 104.65790557861328, 413.3046569824219, 273.514404296875], [1627.9449462890625, 263.3293762207031, 1689.6661376953125, 399.04583740234375]]","[0.9289628863334656, 0.8625143766403198, 0.8625143766403198, 0.8129153847694397, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.5907983183860779, 0.5907983183860779, 0.5, 0.5, 0.5, 0.4092016816139221, 0.3242007791996002]","[[416.4165344238281, 638.5449829101562], [1401.972412109375, 787.7478637695312], [145.55593490600586, 794.0602416992188], [1763.2221069335938, 662.3887329101562], [1157.76416015625, 1077.3743896484375], [24.000000476837158, 1075.4515380859375], [1102.7504272460938, 387.8268127441406], [824.5697021484375, 316.29541015625], [256.9862365722656, 581.3887329101562], [921.9724731445312, 305.0763854980469], [1842.3889770507812, 390.8106994628906], [724.3614501953125, 311.7334289550781], [1074.3890380859375, 287.7173156738281], [376.8330535888672, 273.514404296875], [1658.8055419921875, 399.04583740234375]]",482279424,640,yolo26s.hef,MOT17-04
9,,14,"[2, 1, 5, 7, 8, 3, 9, 6, 10, 16, 11, 4, 15, 12]","[[379.9449157714844, 403.4083251953125, 458.4991455078125, 635.3887329101562], [106.2788314819336, 546.298828125, 182.0275421142578, 792.4821166992188], [1.5559358596801758, 873.4550170898438, 46.44406509399414, 1075.4515380859375], [1726.75048828125, 460.3922119140625, 1802.499267578125, 663.9668579101562], [1128.306396484375, 976.3760375976562, 1195.6385498046875, 1077.3743896484375], [1359.8897705078125, 574.876953125, 1444.0550537109375, 791.076416015625], [795.1118774414062, 150.59507751464844, 856.8330688476562, 316.29541015625], [213.5008544921875, 392.0169982910156, 297.66607666015625, 586.123046875], [1052.251220703125, 212.6579132080078, 1153.2496337890625, 387.8268127441406], [1786.27880859375, 214.06369018554688, 1895.693603515625, 392.3887939453125], [687.8898315429688, 210.7351531982422, 758.0275268554688, 311.7334289550781], [1040.722900390625, 137.7979736328125, 1105.2496337890625, 290.8735046386719], [882.6953125, 131.48558044433594, 961.2496337890625, 306.65447998046875], [537.9724731445312, 152.1731719970703, 599.693603515625, 325.7640075683594]]","[0.9005722403526306, 0.8625143766403198, 0.8129153847694397, 0.8129153847694397, 0.7505971193313599, 0.7505971193313599, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.5, 0.5, 0.5, 0.5, 0.4092016816139221]","[[419.22203063964844, 635.3887329101562], [144.1531867980957, 792.4821166992188], [24.000000476837158, 1075.4515380859375], [1764.6248779296875, 663.9668579101562], [1161.9724731445312, 1077.3743896484375], [1401.972412109375, 791.076416015625], [825.9724731445312, 316.29541015625], [255.58346557617188, 586.123046875], [1102.7504272460938, 387.8268127441406], [1840.9862060546875, 392.3887939453125], [722.9586791992188, 311.7334289550781], [1072.9862670898438, 290.8735046386719], [921.9724731445312, 306.65447998046875], [568.8330383300781, 325.7640075683594]]",482279424,640,yolo26s.hef,MOT17-04
10,,15,"[2, 1, 7, 8, 5, 3, 10, 15, 9, 4, 6, 16, 11, 14, 17]","[[377.139404296875, 404.8140869140625, 461.3046569824219, 633.6383056640625], [106.2788314819336, 546.298828125, 182.0275421142578, 794.0602416992188], [1723.9449462890625, 458.8140869140625, 1802.499267578125, 662.3887329101562], [1128.306396484375, 977.9541625976562, 1195.6385498046875, 1078.952392578125], [1.5559358596801758, 871.8768920898438, 46.44406509399414, 1075.4515380859375], [1359.8897705078125, 576.4550170898438, 1444.0550537109375, 792.654541015625], [1046.6402587890625, 212.6579132080078, 1153.2496337890625, 387.8268127441406], [882.6953125, 131.6579132080078, 961.2496337890625, 306.8268127441406], [795.1118774414062, 150.59507751464844, 856.8330688476562, 314.7173156738281], [1040.722900390625, 137.7979736328125, 1105.2496337890625, 289.29541015625], [210.69534301757812, 388.86077880859375, 297.66607666015625, 582.9668579101562], [1791.889892578125, 215.64178466796875, 1895.693603515625, 398.701171875], [687.8898315429688, 209.15704345703125, 760.8330688476562, 313.3115234375], [1625.139404296875, 258.4227294921875, 1686.860595703125, 402.0296936035156], [337.5559387207031, 104.65790557861328, 413.3046569824219, 271.9363098144531]]","[0.9005722403526306, 0.8625143766403198, 0.8625143766403198, 0.8129153847694397, 0.7505971193313599, 0.7505971193313599, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.6757992506027222, 0.5907983183860779, 0.5, 0.5, 0.4092016816139221, 0.3242007791996002]","[[419.22203063964844, 633.6383056640625], [144.1531867980957, 794.0602416992188], [1763.2221069335938, 662.3887329101562], [1161.9724731445312, 1078.952392578125], [24.000000476837158, 1075.4515380859375], [1401.972412109375, 792.654541015625], [1099.9449462890625, 387.8268127441406], [921.9724731445312, 306.8268127441406], [825.9724731445312, 314.7173156738281], [1072.9862670898438, 289.29541015625], [254.1807098388672, 582.9668579101562], [1843.791748046875, 398.701171875], [724.3614501953125, 313.3115234375], [1656.0, 402.0296936035156], [375.4302978515625, 271.9363098144531]]",482279424,640,yolo26s.hef,MOT17-04
