frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[103.29816436767578, 549.1083984375, 183.40505981445312, 799.109130859375], [371.8936767578125, 412.4271545410156, 456.31103515625, 653.2164916992188], [1733.7015380859375, 453.8527526855469, 1812.6669921875, 676.1309204101562], [1355.2705078125, 570.1438598632812, 1443.5653076171875, 801.9322509765625], [1095.4139404296875, 979.4664306640625, 1173.9659423828125, 1079.2850341796875], [0.0, 884.6218872070312, 45.83721160888672, 1080.0], [1101.6138916015625, 206.72283935546875, 1164.557861328125, 389.5097351074219], [1043.2615966796875, 131.83514404296875, 1113.7635498046875, 316.8141784667969]]","[0.7625505924224854, 0.7262287139892578, 0.6687442660331726, 0.5884258151054382, 0.5359323620796204, 0.532844066619873, 0.4776735007762909, 0.4431523382663727]","[[143.35161209106445, 799.109130859375], [414.10235595703125, 653.2164916992188], [1773.1842651367188, 676.1309204101562], [1399.4179077148438, 801.9322509765625], [1134.68994140625, 1079.2850341796875], [22.91860580444336, 1080.0], [1133.0858764648438, 389.5097351074219], [1078.5125732421875, 316.8141784667969]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
2,,,8,"[1, 2, 3, 5, 4, 6, 8, 7]","[[102.55023956298828, 547.6912841796875, 182.57839965820312, 798.6441650390625], [373.25177001953125, 411.60791015625, 455.5237121582031, 653.6151123046875], [1733.9771728515625, 454.3620300292969, 1811.249755859375, 673.0863037109375], [1102.5587158203125, 979.4000244140625, 1176.5050048828125, 1079.01953125], [1355.8807373046875, 571.0738525390625, 1443.4078369140625, 806.18359375], [0.0, 882.7840576171875, 45.797847747802734, 1080.0], [1041.6475830078125, 132.4108428955078, 1113.7635498046875, 317.899169921875], [1090.39501953125, 205.9146270751953, 1161.9991455078125, 388.8011779785156]]","[0.791751503944397, 0.6966918706893921, 0.5519417524337769, 0.5439484119415283, 0.5229458212852478, 0.521087646484375, 0.4272891879081726, 0.34290364384651184]","[[142.5643196105957, 798.6441650390625], [414.3877410888672, 653.6151123046875], [1772.6134643554688, 673.0863037109375], [1139.5318603515625, 1079.01953125], [1399.644287109375, 806.18359375], [22.898923873901367, 1080.0], [1077.70556640625, 317.899169921875], [1126.1970825195312, 388.8011779785156]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
3,,,8,"[1, 2, 5, 4, 3, 6, 8, 7]","[[105.56163024902344, 548.112060546875, 181.90919494628906, 799.109130859375], [374.1965026855469, 411.0986022949219, 457.05889892578125, 653.1279907226562], [1110.667724609375, 979.6435546875, 1179.7132568359375, 1079.4622802734375], [1355.2705078125, 569.811767578125, 1440.042236328125, 804.9104614257812], [1731.0247802734375, 454.9930725097656, 1809.3995361328125, 674.50341796875], [0.0, 881.333740234375, 45.797847747802734, 1079.67578125], [1043.891357421875, 132.53579711914062, 1111.4410400390625, 309.9309997558594], [1076.6763916015625, 205.427490234375, 1159.4798583984375, 387.73834228515625]]","[0.7709846496582031, 0.7197659611701965, 0.5647957921028137, 0.5464104413986206, 0.46530264616012573, 0.46159905195236206, 0.4127770960330963, 0.3615915775299072]","[[143.73541259765625, 799.109130859375], [415.62770080566406, 653.1279907226562], [1145.1904907226562, 1079.4622802734375], [1397.6563720703125, 804.9104614257812], [1770.212158203125, 674.50341796875], [22.898923873901367, 1079.67578125], [1077.6661987304688, 309.9309997558594], [1118.078125, 387.73834228515625]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
4,,,8,"[1, 2, 4, 5, 6, 3, 7, 8]","[[104.28227233886719, 548.4441528320312, 181.18096923828125, 797.59228515625], [374.1571350097656, 411.3421936035156, 457.7674865722656, 652.7958374023438], [1355.231201171875, 571.5609741210938, 1444.5887451171875, 802.5079956054688], [1108.9356689453125, 978.42578125, 1180.8154296875, 1079.86083984375], [0.0, 879.6951904296875, 46.545772552490234, 1079.91943359375], [1731.575927734375, 454.9930725097656, 1807.884033203125, 672.4442138671875], [1074.3145751953125, 206.18032836914062, 1157.2557373046875, 386.5980224609375], [1040.9193115234375, 132.84580993652344, 1111.834716796875, 313.5734558105469]]","[0.802979588508606, 0.7121943235397339, 0.6210463047027588, 0.5944241285324097, 0.5464104413986206, 0.49317389726638794, 0.42972084879875183, 0.34908241033554077]","[[142.73162078857422, 797.59228515625], [415.9623107910156, 652.7958374023438], [1399.9099731445312, 802.5079956054688], [1144.8755493164062, 1079.86083984375], [23.272886276245117, 1079.91943359375], [1769.72998046875, 672.4442138671875], [1115.78515625, 386.5980224609375], [1076.3770141601562, 313.5734558105469]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
5,,,9,"[1, 2, 4, 5, 6, 3, 10, 7, 8]","[[104.28227233886719, 547.7576904296875, 181.18096923828125, 798.1126708984375], [374.6689147949219, 409.4932861328125, 458.4957275390625, 650.6480102539062], [1355.2705078125, 570.8524169921875, 1443.9195556640625, 802.8179931640625], [1113.5413818359375, 977.4957275390625, 1180.539794921875, 1079.572998046875], [0.0, 878.5105590820312, 46.900054931640625, 1080.0], [1724.214599609375, 454.94879150390625, 1806.3883056640625, 670.5731201171875], [221.8135528564453, 399.39630126953125, 311.9977722167969, 598.3583374023438], [1070.6002197265625, 207.07711791992188, 1149.8804931640625, 388.9340515136719], [1040.840576171875, 133.310791015625, 1111.4410400390625, 314.5477294921875]]","[0.7884581685066223, 0.7330837249755859, 0.6045560836791992, 0.5997986793518066, 0.5384009480476379, 0.5186091661453247, 0.37895363569259644, 0.34908241033554077, 0.34908241033554077]","[[142.73162078857422, 798.1126708984375], [416.5823211669922, 650.6480102539062], [1399.5950317382812, 802.8179931640625], [1147.0405883789062, 1079.572998046875], [23.450027465820312, 1080.0], [1765.3014526367188, 670.5731201171875], [266.9056625366211, 598.3583374023438], [1110.2403564453125, 388.9340515136719], [1076.1408081054688, 314.5477294921875]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
6,,,9,"[1, 2, 6, 3, 4, 5, 7, 10, 8]","[[105.56163024902344, 547.9127197265625, 181.90919494628906, 798.9984130859375], [374.1571350097656, 409.3382873535156, 458.53509521484375, 648.9762573242188], [0.0, 876.4734497070312, 46.545772552490234, 1080.0], [1723.2305908203125, 455.7237854003906, 1806.033935546875, 674.4591674804688], [1355.802001953125, 571.1624145507812, 1444.982421875, 803.1723022460938], [1117.8516845703125, 976.9089965820312, 1184.6337890625, 1079.99365234375], [1065.6796875, 208.3613739013672, 1149.8411865234375, 389.3547668457031], [220.79010009765625, 398.7320251464844, 306.4277038574219, 598.11474609375], [1039.2266845703125, 133.02294921875, 1110.7520751953125, 304.4175109863281]]","[0.7701069116592407, 0.7616504430770874, 0.645824134349823, 0.6140108704566956, 0.5727107524871826, 0.5024823546409607, 0.4745776653289795, 0.30699244141578674, 0.27180156111717224]","[[143.73541259765625, 798.9984130859375], [416.3461151123047, 648.9762573242188], [23.272886276245117, 1080.0], [1764.6322631835938, 674.4591674804688], [1400.3922119140625, 803.1723022460938], [1151.2427368164062, 1079.99365234375], [1107.7604370117188, 389.3547668457031], [263.60890197753906, 598.11474609375], [1074.9893798828125, 304.4175109863281]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
7,,,8,"[1, 2, 4, 3, 6, 5, 7, 10]","[[105.52227020263672, 547.4034423828125, 181.2203369140625, 798.37841796875], [376.2828369140625, 408.5190124511719, 458.4957275390625, 647.90234375], [1355.231201171875, 570.232421875, 1446.4586181640625, 805.3754272460938], [1725.4154052734375, 453.89703369140625, 1804.57763671875, 672.9755859375], [0.0, 874.270263671875, 48.0416259765625, 1080.0], [1119.7215576171875, 976.48828125, 1188.90478515625, 1079.92724609375], [1054.2835693359375, 208.89280700683594, 1149.4080810546875, 388.97833251953125], [220.19960021972656, 395.17022705078125, 298.61383056640625, 593.1912231445312]]","[0.7855453491210938, 0.7469316124916077, 0.6593301892280579, 0.5635750889778137, 0.5580724477767944, 0.5043440461158752, 0.4721023440361023, 0.2635299265384674]","[[143.3713035583496, 798.37841796875], [417.3892822265625, 647.90234375], [1400.8449096679688, 805.3754272460938], [1764.9965209960938, 672.9755859375], [24.02081298828125, 1080.0], [1154.3131713867188, 1079.92724609375], [1101.8458251953125, 388.97833251953125], [259.4067153930664, 593.1912231445312]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
8,,,8,"[1, 2, 3, 4, 5, 6, 7, 10]","[[105.52227020263672, 548.7098388671875, 181.2203369140625, 797.4151611328125], [376.1253662109375, 405.7179870605469, 458.85003662109375, 645.134521484375], [1724.3525390625, 454.5945129394531, 1804.57763671875, 670.0859985351562], [1355.2705078125, 569.6345825195312, 1443.171630859375, 801.8436889648438], [1122.1229248046875, 976.4440307617188, 1192.939697265625, 1078.997314453125], [0.0, 872.332763671875, 49.08478927612305, 1080.0], [1048.083740234375, 210.89669799804688, 1150.274169921875, 388.2033386230469], [218.03456115722656, 394.5945129394531, 296.70465087890625, 588.1427001953125]]","[0.7970222234725952, 0.7884581685066223, 0.6898297071456909, 0.611065149307251, 0.6063350439071655, 0.5012412071228027, 0.37836962938308716, 0.2698407471179962]","[[143.3713035583496, 797.4151611328125], [417.4877014160156, 645.134521484375], [1764.465087890625, 670.0859985351562], [1399.2210693359375, 801.8436889648438], [1157.5313110351562, 1078.997314453125], [24.542394638061523, 1080.0], [1099.178955078125, 388.2033386230469], [257.3696060180664, 588.1427001953125]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
9,,,7,"[1, 2, 3, 5, 4, 6, 7]","[[103.45562744140625, 547.5362548828125, 181.86984252929688, 797.105224609375], [377.22760009765625, 403.13836669921875, 459.59796142578125, 642.39990234375], [1723.427490234375, 453.7420349121094, 1804.2822265625, 669.1781616210938], [1126.5906982421875, 977.1082153320312, 1193.923828125, 1079.6837158203125], [1355.2705078125, 570.8524169921875, 1444.2738037109375, 803.1279907226562], [0.0, 871.4249877929688, 49.08478927612305, 1079.6536865234375], [1051.6068115234375, 213.5870361328125, 1150.2347412109375, 388.69049072265625]]","[0.8088040351867676, 0.7982243895530701, 0.6626676917076111, 0.6033685803413391, 0.5944241285324097, 0.5556221604347229, 0.4013936221599579]","[[142.66273498535156, 797.105224609375], [418.41278076171875, 642.39990234375], [1763.8548583984375, 669.1781616210938], [1160.2572631835938, 1079.6837158203125], [1399.7721557617188, 803.1279907226562], [24.542394638061523, 1079.6536865234375], [1100.9207763671875, 388.69049072265625]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
10,,,8,"[1, 2, 4, 3, 5, 6, 7, 10]","[[105.52227020263672, 547.95703125, 183.40505981445312, 797.8580322265625], [377.22760009765625, 401.6880187988281, 461.3299865722656, 640.0639038085938], [1355.2705078125, 570.3431396484375, 1441.8726806640625, 803.6151123046875], [1724.391845703125, 453.8305969238281, 1803.101318359375, 668.4142456054688], [1129.051025390625, 976.1782836914062, 1195.360595703125, 1079.66162109375], [0.0, 868.1256713867188, 49.08478927612305, 1080.0], [1046.6273193359375, 208.3613739013672, 1148.817626953125, 387.2733154296875], [216.28285217285156, 390.83026123046875, 292.2761535644531, 585.9174194335938]]","[0.7566580176353455, 0.7506669759750366, 0.6412686705589294, 0.6187066435813904, 0.6045560836791992, 0.5519417524337769, 0.49441489577293396, 0.29240667819976807]","[[144.46366500854492, 797.8580322265625], [419.27879333496094, 640.0639038085938], [1398.5715942382812, 803.6151123046875], [1763.74658203125, 668.4142456054688], [1162.205810546875, 1079.66162109375], [24.542394638061523, 1080.0], [1097.7224731445312, 387.2733154296875], [254.27950286865234, 585.9174194335938]]",219758592,205242368,219758592,576,yolo26s_576_hq.hef,MOT17-04
