frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[368.41143798828125, 409.33294677734375, 453.61029052734375, 650.5532836914062], [103.64872741699219, 543.1144409179688, 183.08419799804688, 797.3248291015625], [0.0, 883.2037353515625, 43.89364242553711, 1080.0], [1359.180908203125, 571.2100219726562, 1443.863037109375, 797.0033569335938], [1042.895751953125, 132.87994384765625, 1112.056396484375, 318.9319763183594], [61.24706268310547, 1060.2286376953125, 103.25299072265625, 1079.2255859375], [1099.938232421875, 979.9830932617188, 1175.379150390625, 1078.9619140625], [1102.5616455078125, 208.50283813476562, 1159.9769287109375, 388.8647766113281], [226.2597198486328, 401.1051940917969, 319.4676818847656, 602.8637084960938], [792.8197021484375, 143.91360473632812, 857.1510009765625, 319.33441162109375], [546.3209228515625, 145.19073486328125, 607.750732421875, 329.24169921875]]","[0.7290828227996826, 0.6291336417198181, 0.6279297471046448, 0.6279297471046448, 0.5564752817153931, 0.5115365386009216, 0.48968926072120667, 0.4422525465488434, 0.4194978177547455, 0.3848040699958801, 0.35832512378692627]","[[411.0108642578125, 650.5532836914062], [143.36646270751953, 797.3248291015625], [21.946821212768555, 1080.0], [1401.52197265625, 797.0033569335938], [1077.47607421875, 318.9319763183594], [82.25002670288086, 1079.2255859375], [1137.65869140625, 1078.9619140625], [1131.269287109375, 388.8647766113281], [272.8637008666992, 602.8637084960938], [824.9853515625, 319.33441162109375], [577.0358276367188, 329.24169921875]]",483950592,640,yolo26s_hq.hef,MOT17-04
2,,10,"[1, 2, 4, 3, 7, 5, 8, 10, 9, 11]","[[370.0013427734375, 410.0931091308594, 455.37908935546875, 650.7098388671875], [103.11213684082031, 543.273681640625, 183.85926818847656, 795.6842041015625], [1359.220703125, 570.628662109375, 1440.007568359375, 798.0877075195312], [0.0, 880.6968994140625, 45.62266159057617, 1080.0], [1102.83984375, 979.547119140625, 1174.961669921875, 1079.6661376953125], [1041.822509765625, 132.62281799316406, 1112.9110107421875, 317.10980224609375], [1096.877685546875, 207.80128479003906, 1158.665283203125, 388.3309020996094], [792.7203369140625, 144.1483612060547, 859.7147827148438, 318.75311279296875], [223.93447875976562, 400.40093994140625, 308.9345703125, 604.2276000976562], [545.4663696289062, 147.1917724609375, 607.3334350585938, 330.34844970703125]]","[0.7896046042442322, 0.7151168584823608, 0.6291336417198181, 0.5602896213531494, 0.4967774450778961, 0.42957472801208496, 0.4076186716556549, 0.34772685170173645, 0.33958616852760315, 0.26135122776031494]","[[412.6902160644531, 650.7098388671875], [143.48570251464844, 795.6842041015625], [1399.6141357421875, 798.0877075195312], [22.811330795288086, 1080.0], [1138.9007568359375, 1079.6661376953125], [1077.3667602539062, 317.10980224609375], [1127.771484375, 388.3309020996094], [826.2175598144531, 318.75311279296875], [266.4345245361328, 604.2276000976562], [576.39990234375, 330.34844970703125]]",490192896,640,yolo26s_hq.hef,MOT17-04
3,,11,"[2, 1, 4, 12, 8, 7, 3, 5, 11, 10, 9]","[[103.60897827148438, 542.3905029296875, 183.89901733398438, 794.9016723632812], [370.0808410644531, 408.85223388671875, 457.0285949707031, 651.8165283203125], [1358.9622802734375, 570.7516479492188, 1442.15380859375, 798.3448486328125], [1732.9609375, 458.9033508300781, 1806.39453125, 674.1660766601562], [1071.041748046875, 208.78231811523438, 1157.2144775390625, 390.20623779296875], [1104.091796875, 979.5023193359375, 1176.6708984375, 1079.621337890625], [0.0, 878.6735229492188, 43.89364242553711, 1080.0], [1047.44677734375, 133.1007843017578, 1109.89013671875, 302.54083251953125], [546.4202880859375, 146.95701599121094, 606.4390869140625, 329.24169921875], [792.6209106445312, 145.3109893798828, 858.8602294921875, 318.8760681152344], [224.7890625, 399.3585510253906, 316.625732421875, 601.7431030273438]]","[0.7523421049118042, 0.7331372499465942, 0.6237038969993591, 0.6224930286407471, 0.589888870716095, 0.5867669582366943, 0.5488269925117493, 0.4729568064212799, 0.32246193289756775, 0.31462740898132324, 0.2775876224040985]","[[143.75399780273438, 794.9016723632812], [413.5547180175781, 651.8165283203125], [1400.5580444335938, 798.3448486328125], [1769.677734375, 674.1660766601562], [1114.1281127929688, 390.20623779296875], [1140.38134765625, 1079.621337890625], [21.946821212768555, 1080.0], [1078.66845703125, 302.54083251953125], [576.4296875, 329.24169921875], [825.7405700683594, 318.8760681152344], [270.7073974609375, 601.7431030273438]]",496418816,640,yolo26s_hq.hef,MOT17-04
4,,11,"[2, 1, 12, 3, 7, 4, 8, 5, 10, 9, 11]","[[102.57554626464844, 542.7146606445312, 183.89901733398438, 795.661865234375], [370.816162109375, 408.2933044433594, 457.0285949707031, 652.05126953125], [1728.4097900390625, 458.3667297363281, 1806.39453125, 672.6680908203125], [0.0, 877.5556030273438, 45.62266159057617, 1080.0], [1107.5498046875, 977.98193359375, 1180.228271484375, 1079.8673095703125], [1357.7698974609375, 571.1876220703125, 1443.42578125, 797.7076416015625], [1072.7509765625, 207.13900756835938, 1155.922607421875, 389.9491271972656], [1044.38623046875, 132.95545959472656, 1108.995849609375, 315.8885498046875], [793.39599609375, 144.7855682373047, 859.2775268554688, 318.9766845703125], [221.4105224609375, 393.556640625, 313.1279602050781, 599.5408325195312], [544.61181640625, 147.07998657226562, 606.4390869140625, 328.6045227050781]]","[0.7001854181289673, 0.6941986083984375, 0.6786635518074036, 0.6735827326774597, 0.6053858399391174, 0.5748416185379028, 0.5360302329063416, 0.5090222358703613, 0.41011112928390503, 0.36129432916641235, 0.32812005281448364]","[[143.2372817993164, 795.661865234375], [413.92237854003906, 652.05126953125], [1767.4021606445312, 672.6680908203125], [22.811330795288086, 1080.0], [1143.8890380859375, 1079.8673095703125], [1400.5978393554688, 797.7076416015625], [1114.3367919921875, 389.9491271972656], [1076.6910400390625, 315.8885498046875], [826.3367614746094, 318.9766845703125], [267.2692413330078, 599.5408325195312], [575.5254516601562, 328.6045227050781]]",502644736,640,yolo26s_hq.hef,MOT17-04
5,,10,"[1, 2, 12, 4, 3, 8, 10, 9, 11, 5]","[[370.7565612792969, 407.890869140625, 457.0285949707031, 650.094970703125], [102.57554626464844, 542.79296875, 183.89901733398438, 796.086669921875], [1727.416015625, 457.6624755859375, 1804.685302734375, 673.707763671875], [1357.412109375, 571.690673828125, 1443.42578125, 797.08154296875], [0.0, 877.33203125, 46.87471008300781, 1080.0], [1066.9080810546875, 208.10040283203125, 1154.6109619140625, 388.3058166503906], [792.7600708007812, 144.72967529296875, 858.4229736328125, 318.67486572265625], [220.31744384765625, 395.3341064453125, 310.703369140625, 599.2166137695312], [544.2142944335938, 146.43161010742188, 606.0416259765625, 328.6604309082031], [1044.962646484375, 133.6597442626953, 1109.89013671875, 307.60491943359375]]","[0.7523421049118042, 0.6469920873641968, 0.6387056708335876, 0.6206737160682678, 0.5691612958908081, 0.46589380502700806, 0.4543668031692505, 0.41887012124061584, 0.41887012124061584, 0.37629610300064087]","[[413.892578125, 650.094970703125], [143.2372817993164, 796.086669921875], [1766.0506591796875, 673.707763671875], [1400.4189453125, 797.08154296875], [23.437355041503906, 1080.0], [1110.759521484375, 388.3058166503906], [825.5915222167969, 318.67486572265625], [265.5104064941406, 599.2166137695312], [575.1279602050781, 328.6604309082031], [1077.4263916015625, 307.60491943359375]]",490323968,640,yolo26s_hq.hef,MOT17-04
6,,11,"[1, 2, 12, 4, 7, 3, 8, 9, 5, 11, 10]","[[372.6644287109375, 406.39288330078125, 457.8831481933594, 649.0552978515625], [103.96671295166016, 543.3519287109375, 183.44192504882812, 794.9016723632812], [1726.6409912109375, 458.5232238769531, 1803.373779296875, 673.908935546875], [1356.0606689453125, 571.3888549804688, 1442.5712890625, 795.7848510742188], [1116.02099609375, 974.6395263671875, 1193.111328125, 1078.559326171875], [0.0, 874.5149536132812, 49.04095458984375, 1080.0], [1065.000244140625, 206.638671875, 1155.96240234375, 387.4701232910156], [217.9326171875, 393.0759582519531, 305.1585693359375, 597.0367431640625], [1042.359130859375, 133.76036071777344, 1108.995849609375, 306.0845642089844], [543.3994750976562, 149.63998413085938, 606.0416259765625, 331.77935791015625], [792.501708984375, 144.83029174804688, 856.7536010742188, 320.0163269042969]]","[0.8307092189788818, 0.7151168584823608, 0.6931029558181763, 0.6673171520233154, 0.5992106199264526, 0.5848903656005859, 0.5748416185379028, 0.4441611170768738, 0.3726727068424225, 0.3235894739627838, 0.31965214014053345]","[[415.27378845214844, 649.0552978515625], [143.70431900024414, 794.9016723632812], [1765.0073852539062, 673.908935546875], [1399.3159790039062, 795.7848510742188], [1154.566162109375, 1078.559326171875], [24.520477294921875, 1080.0], [1110.4813232421875, 387.4701232910156], [261.54559326171875, 597.0367431640625], [1075.677490234375, 306.0845642089844], [574.7205505371094, 331.77935791015625], [824.6276550292969, 320.0163269042969]]",496418816,640,yolo26s_hq.hef,MOT17-04
7,,11,"[1, 2, 4, 12, 8, 3, 7, 9, 5, 10, 11]","[[373.34014892578125, 404.36944580078125, 458.6979675292969, 645.265625], [102.93327331542969, 541.6974487304688, 183.48167419433594, 795.60595703125], [1358.3660888671875, 570.7069091796875, 1442.5712890625, 796.0419311523438], [1727.416015625, 457.36065673828125, 1801.088134765625, 672.5115966796875], [1056.494140625, 208.62852478027344, 1156.002197265625, 387.0676574707031], [0.0, 874.0119018554688, 49.04095458984375, 1080.0], [1118.584716796875, 974.8629760742188, 1189.05712890625, 1078.6600341796875], [216.85940551757812, 392.05865478515625, 300.4286193847656, 595.6170043945312], [1041.5443115234375, 134.46463012695312, 1108.995849609375, 292.93804931640625], [791.7862548828125, 143.6453094482422, 857.5087890625, 318.83135986328125], [546.0180053710938, 148.01902770996094, 598.7431030273438, 334.3840637207031]]","[0.736152708530426, 0.7295917272567749, 0.6803478598594666, 0.6469920873641968, 0.607846736907959, 0.5545655488967896, 0.5373123288154602, 0.4435247480869293, 0.439710408449173, 0.3775070011615753, 0.2658551335334778]","[[416.01905822753906, 645.265625], [143.2074737548828, 795.60595703125], [1400.4686889648438, 796.0419311523438], [1764.2520751953125, 672.5115966796875], [1106.2481689453125, 387.0676574707031], [24.520477294921875, 1080.0], [1153.8209228515625, 1078.6600341796875], [258.6440124511719, 595.6170043945312], [1075.2700805664062, 292.93804931640625], [824.6475219726562, 318.83135986328125], [572.3805541992188, 334.3840637207031]]",496418816,640,yolo26s_hq.hef,MOT17-04
8,,10,"[2, 1, 4, 12, 7, 8, 3, 9, 10, 5]","[[101.82035064697266, 543.0724487304688, 183.44192504882812, 795.6395263671875], [375.08905029296875, 404.4253845214844, 458.6979675292969, 642.4485473632812], [1357.412109375, 571.2323608398438, 1443.863037109375, 797.7634887695312], [1726.0250244140625, 459.2275085449219, 1801.088134765625, 671.5502319335938], [1118.8629150390625, 974.38232421875, 1195.49609375, 1079.2413330078125], [1054.70556640625, 208.24844360351562, 1155.1475830078125, 385.04425048828125], [0.0, 871.4742431640625, 49.47817611694336, 1080.0], [212.98402404785156, 389.0179748535156, 299.5343017578125, 593.716552734375], [792.5414428710938, 143.6676788330078, 857.1510009765625, 319.8710021972656], [1038.8414306640625, 135.3813018798828, 1106.88916015625, 295.4309997558594]]","[0.8013461828231812, 0.7996994256973267, 0.7103663682937622, 0.7103663682937622, 0.6291336417198181, 0.6035367250442505, 0.5513791441917419, 0.5161072611808777, 0.3964632749557495, 0.3720702528953552]","[[142.6311378479004, 795.6395263671875], [416.8935089111328, 642.4485473632812], [1400.6375732421875, 797.7634887695312], [1763.5565795898438, 671.5502319335938], [1157.1795043945312, 1079.2413330078125], [1104.9265747070312, 385.04425048828125], [24.73908805847168, 1080.0], [256.25916290283203, 593.716552734375], [824.8462219238281, 319.8710021972656], [1072.8652954101562, 295.4309997558594]]",496418816,640,yolo26s_hq.hef,MOT17-04
9,,12,"[1, 2, 12, 4, 3, 7, 9, 8, 5, 13, 10, 11]","[[375.7647399902344, 402.1895751953125, 461.5002136230469, 642.672119140625], [101.50236511230469, 542.0775146484375, 183.85926818847656, 794.9464111328125], [1726.0250244140625, 458.1208190917969, 1801.088134765625, 672.2321166992188], [1359.041748046875, 570.7516479492188, 1443.42578125, 796.399658203125], [0.0, 870.2333984375, 49.04095458984375, 1080.0], [1124.2685546875, 974.9412841796875, 1197.066162109375, 1079.621337890625], [213.4808807373047, 386.5138854980469, 296.95068359375, 589.0101928710938], [1054.069580078125, 208.22608947753906, 1156.002197265625, 385.6255798339844], [1036.238037109375, 135.3813018798828, 1106.928955078125, 292.4126892089844], [882.0626220703125, 127.78231811523438, 966.526123046875, 308.8261413574219], [792.501708984375, 143.6676788330078, 858.0056762695312, 320.6982421875], [543.5337524414062, 150.35543823242188, 598.2462768554688, 339.42578125]]","[0.7900326251983643, 0.7870233654975891, 0.7114260196685791, 0.6481688022613525, 0.6452236175537109, 0.6321362257003784, 0.5398750305175781, 0.46781882643699646, 0.44543442130088806, 0.40202829241752625, 0.3921533226966858, 0.34074345231056213]","[[418.6324768066406, 642.672119140625], [142.68081665039062, 794.9464111328125], [1763.5565795898438, 672.2321166992188], [1401.2337646484375, 796.399658203125], [24.520477294921875, 1080.0], [1160.6673583984375, 1079.621337890625], [255.21578216552734, 589.0101928710938], [1105.035888671875, 385.6255798339844], [1071.58349609375, 292.4126892089844], [924.2943725585938, 308.8261413574219], [825.2536926269531, 320.6982421875], [570.8900146484375, 339.42578125]]",496418816,640,yolo26s_hq.hef,MOT17-04
10,,11,"[1, 4, 12, 3, 5, 7, 9, 8, 13, 11, 10]","[[375.7647399902344, 400.28912353515625, 461.5399475097656, 639.3631591796875], [1359.041748046875, 570.1926879882812, 1441.259521484375, 800.0663452148438], [1724.3953857421875, 458.02020263671875, 1801.1279296875, 670.6111450195312], [0.0, 867.1144409179688, 49.04095458984375, 1080.0], [1038.086181640625, 136.72279357910156, 1105.5775146484375, 292.8486328125], [1126.1962890625, 976.1821899414062, 1197.483642578125, 1078.9619140625], [212.34808349609375, 384.2892761230469, 295.6589050292969, 586.4725952148438], [1049.83642578125, 208.5838165283203, 1153.8955078125, 386.4639892578125], [882.499755859375, 128.1623992919922, 965.532470703125, 308.56903076171875], [541.9041137695312, 148.35438537597656, 598.2462768554688, 341.21441650390625], [792.501708984375, 144.875, 855.04443359375, 319.3567810058594]]","[0.7290828227996826, 0.7124834656715393, 0.6604138016700745, 0.6511027812957764, 0.5077335238456726, 0.48067420721054077, 0.45692458748817444, 0.4422525465488434, 0.3419026732444763, 0.29819348454475403, 0.2801799476146698]","[[418.65234375, 639.3631591796875], [1400.150634765625, 800.0663452148438], [1762.7616577148438, 670.6111450195312], [24.520477294921875, 1080.0], [1071.8318481445312, 292.8486328125], [1161.8399658203125, 1078.9619140625], [254.0034942626953, 586.4725952148438], [1101.865966796875, 386.4639892578125], [924.01611328125, 308.56903076171875], [570.0751953125, 341.21441650390625], [823.7730712890625, 319.3567810058594]]",496418816,640,yolo26s_hq.hef,MOT17-04
