frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,4,"[1, 2, 3, 4]","[[1692.337158203125, 392.28509521484375, 1858.1962890625, 721.2752685546875], [0.8414926528930664, 348.89190673828125, 116.11784362792969, 900.0569458007812], [1285.082275390625, 460.20428466796875, 1363.6470947265625, 658.2530517578125], [242.16461181640625, 458.5675048828125, 355.6471252441406, 699.1723022460938]]","[0.9205455780029297, 0.7928208112716675, 0.7729232311248779, 0.5]","[[1775.2667236328125, 721.2752685546875], [58.47966814041138, 900.0569458007812], [1324.3646850585938, 658.2530517578125], [298.90586853027344, 699.1723022460938]]",496336896,640,yolo26l.hef,MOT17-09
2,,4,"[1, 2, 4, 3]","[[1687.984375, 391.4600830078125, 1862.5726318359375, 723.7237548828125], [0.8414926528930664, 345.94451904296875, 116.11784362792969, 900.0569458007812], [250.89404296875, 456.1056823730469, 358.5569152832031, 703.2575073242188], [1290.90185546875, 463.47784423828125, 1363.6470947265625, 656.6163330078125]]","[0.895065426826477, 0.8718215823173523, 0.64849853515625, 0.575963020324707]","[[1775.2785034179688, 723.7237548828125], [58.47966814041138, 900.0569458007812], [304.72547912597656, 703.2575073242188], [1327.2744750976562, 656.6163330078125]]",501547008,640,yolo26l.hef,MOT17-09
3,,5,"[1, 2, 4, 3, 5]","[[1685.074462890625, 391.4600830078125, 1856.753173828125, 723.7237548828125], [0.8414926528930664, 327.3133850097656, 126.59751892089844, 902.0577392578125], [253.8038330078125, 456.1056823730469, 364.37652587890625, 704.894287109375], [1290.90185546875, 463.47784423828125, 1363.6470947265625, 658.2530517578125], [1872.7216796875, 398.8454895019531, 1920.0, 573.9795532226562]]","[0.895065426826477, 0.8225513100624084, 0.575963020324707, 0.5, 0.5]","[[1770.913818359375, 723.7237548828125], [63.71950578689575, 902.0577392578125], [309.0901794433594, 704.894287109375], [1327.2744750976562, 658.2530517578125], [1896.36083984375, 573.9795532226562]]",501547008,640,yolo26l.hef,MOT17-09
4,,5,"[1, 2, 4, 3, 5]","[[1682.1646728515625, 389.82330322265625, 1853.84326171875, 723.7237548828125], [0.8414926528930664, 267.4185791015625, 131.83734130859375, 907.0057983398438], [247.98422241210938, 455.2939758300781, 358.5569152832031, 702.44580078125], [1293.811767578125, 462.66607666015625, 1366.556884765625, 655.8045654296875], [1872.7216796875, 395.57196044921875, 1920.0, 575.6163330078125]]","[0.895065426826477, 0.848828911781311, 0.64849853515625, 0.5, 0.5]","[[1768.0039672851562, 723.7237548828125], [66.33941698074341, 907.0057983398438], [303.27056884765625, 702.44580078125], [1330.184326171875, 655.8045654296875], [1896.36083984375, 575.6163330078125]]",501547008,640,yolo26l.hef,MOT17-09
5,,5,"[1, 2, 4, 3, 5]","[[1682.1646728515625, 389.0115966796875, 1848.023681640625, 726.185546875], [0.8414926528930664, 249.734130859375, 142.3170166015625, 907.0057983398438], [242.16461181640625, 455.2939758300781, 361.46673583984375, 702.44580078125], [1296.7215576171875, 462.66607666015625, 1366.556884765625, 654.1677856445312], [1872.7216796875, 393.9351806640625, 1920.0, 569.0692749023438]]","[0.895065426826477, 0.8917631506919861, 0.7147707343101501, 0.5, 0.35150146484375]","[[1765.0941772460938, 726.185546875], [71.57925462722778, 907.0057983398438], [301.815673828125, 702.44580078125], [1331.6392211914062, 654.1677856445312], [1896.36083984375, 569.0692749023438]]",501547008,640,yolo26l.hef,MOT17-09
6,,5,"[1, 2, 4, 5, 3]","[[1685.074462890625, 391.4600830078125, 1850.93359375, 733.5443725585938], [0.8414926528930664, 243.83932495117188, 142.3170166015625, 904.058349609375], [247.98422241210938, 454.4689636230469, 361.46673583984375, 704.894287109375], [1872.7216796875, 350.5675048828125, 1919.2783203125, 573.1677856445312], [1296.7215576171875, 459.392578125, 1375.286376953125, 655.8045654296875]]","[0.895065426826477, 0.8718215823173523, 0.7147707343101501, 0.575963020324707, 0.42403697967529297]","[[1768.0040283203125, 733.5443725585938], [71.57925462722778, 904.058349609375], [304.72547912597656, 704.894287109375], [1896.0, 573.1677856445312], [1336.0039672851562, 655.8045654296875]]",501547008,640,yolo26l.hef,MOT17-09
7,,5,"[2, 1, 4, 5, 3]","[[0.8414926528930664, 237.9445037841797, 152.79669189453125, 907.0057983398438], [1682.1646728515625, 389.82330322265625, 1845.1138916015625, 735.18115234375], [259.62347412109375, 454.4689636230469, 364.37652587890625, 704.894287109375], [1869.811767578125, 347.29400634765625, 1920.0, 576.4413452148438], [1299.63134765625, 459.392578125, 1375.286376953125, 655.8045654296875]]","[0.8917631506919861, 0.8626335263252258, 0.575963020324707, 0.575963020324707, 0.5]","[[76.81909227371216, 907.0057983398438], [1763.6392822265625, 735.18115234375], [312.0, 704.894287109375], [1894.9058837890625, 576.4413452148438], [1337.4588623046875, 655.8045654296875]]",501547008,640,yolo26l.hef,MOT17-09
8,,5,"[2, 1, 5, 4, 3]","[[0.8414926528930664, 232.99635314941406, 163.27635192871094, 899.1102905273438], [1685.074462890625, 393.0968322753906, 1845.1138916015625, 735.18115234375], [1869.811767578125, 350.5675048828125, 1920.0, 581.3516845703125], [265.4430847167969, 452.8321838378906, 361.46673583984375, 703.2575073242188], [1296.7215576171875, 457.75579833984375, 1378.1961669921875, 654.1677856445312]]","[0.8718215823173523, 0.8626335263252258, 0.64849853515625, 0.575963020324707, 0.575963020324707]","[[82.058922290802, 899.1102905273438], [1765.0941772460938, 735.18115234375], [1894.9058837890625, 581.3516845703125], [313.4549102783203, 703.2575073242188], [1337.4588623046875, 654.1677856445312]]",501547008,640,yolo26l.hef,MOT17-09
9,,5,"[2, 1, 3, 5, 4]","[[0.0, 234.99710083007812, 163.27635192871094, 907.0057983398438], [1687.984375, 391.4600830078125, 1845.1138916015625, 735.18115234375], [1302.5411376953125, 457.75579833984375, 1384.0157470703125, 654.1677856445312], [1866.9019775390625, 352.20428466796875, 1920.0, 589.5355224609375], [271.2626953125, 458.5675048828125, 367.286376953125, 700.8090209960938]]","[0.8917631506919861, 0.8626335263252258, 0.575963020324707, 0.575963020324707, 0.28522923588752747]","[[81.63817596435547, 907.0057983398438], [1766.5491333007812, 735.18115234375], [1343.2784423828125, 654.1677856445312], [1893.4509887695312, 589.5355224609375], [319.2745361328125, 700.8090209960938]]",501547008,640,yolo26l.hef,MOT17-09
10,,5,"[2, 1, 3, 5, 4]","[[0.8414926528930664, 232.99635314941406, 173.75601196289062, 905.005126953125], [1682.1646728515625, 390.6483459472656, 1845.1138916015625, 736.0061645507812], [1306.89404296875, 460.21759033203125, 1388.36865234375, 654.9928588867188], [1866.9019775390625, 353.841064453125, 1920.0, 594.44580078125], [265.4430847167969, 453.6572570800781, 361.46673583984375, 702.44580078125]]","[0.8917631506919861, 0.8221693634986877, 0.575963020324707, 0.5, 0.42403697967529297]","[[87.29875230789185, 905.005126953125], [1763.6392822265625, 736.0061645507812], [1347.63134765625, 654.9928588867188], [1893.4509887695312, 594.44580078125], [313.4549102783203, 702.44580078125]]",501547008,640,yolo26l.hef,MOT17-09
