frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,3,"[1, 2, 3]","[[1694.422119140625, 390.41668701171875, 1861.6153564453125, 716.3353271484375], [0.0, 346.6830749511719, 125.51658630371094, 901.591796875], [250.0937042236328, 455.2811584472656, 353.8687744140625, 701.7469482421875]]","[0.9230126142501831, 0.8746727108955383, 0.6703380942344666]","[[1778.0187377929688, 716.3353271484375], [62.75829315185547, 901.591796875], [301.98123931884766, 701.7469482421875]]",544849920,576,yolo26l_576.hef,MOT17-09
2,,3,"[1, 2, 3]","[[1688.65673828125, 388.79522705078125, 1852.96728515625, 717.956787109375], [0.0, 343.2994689941406, 125.51658630371094, 901.591796875], [252.97634887695312, 456.0893859863281, 359.63409423828125, 702.55517578125]]","[0.9230126142501831, 0.8042439818382263, 0.7435632944107056]","[[1770.81201171875, 717.956787109375], [62.75829315185547, 901.591796875], [306.3052215576172, 702.55517578125]]",544849920,576,yolo26l_576.hef,MOT17-09
3,,3,"[1, 2, 3]","[[1688.65673828125, 388.79522705078125, 1850.0848388671875, 716.3353271484375], [0.0, 327.2861328125, 125.51658630371094, 902.4963989257812], [258.74163818359375, 457.7108459472656, 365.39935302734375, 704.1766967773438]]","[0.9230126142501831, 0.8042439818382263, 0.6703380942344666]","[[1769.3707885742188, 716.3353271484375], [62.75829315185547, 902.4963989257812], [312.07049560546875, 704.1766967773438]]",544849920,576,yolo26l_576.hef,MOT17-09
4,,4,"[1, 2, 3, 5]","[[1691.5394287109375, 390.41668701171875, 1847.2021484375, 717.956787109375], [0.0, 266.38153076171875, 131.53184509277344, 899.1128540039062], [257.3047790527344, 459.33233642578125, 361.0798645019531, 700.9337158203125], [108.83534240722656, 510.4116516113281, 209.72779846191406, 735.7981567382812]]","[0.9230126142501831, 0.8305686712265015, 0.5877949595451355, 0.4122050106525421]","[[1769.3707885742188, 717.956787109375], [65.76592254638672, 899.1128540039062], [309.19232177734375, 700.9337158203125], [159.2815704345703, 735.7981567382812]]",544849920,576,yolo26l_576.hef,MOT17-09
5,,3,"[1, 2, 3]","[[1688.65673828125, 388.79522705078125, 1844.3194580078125, 722.8212280273438], [0.0, 250.36817932128906, 149.57765197753906, 900.0174560546875], [244.32843017578125, 459.33233642578125, 365.39935302734375, 700.9337158203125]]","[0.9230126142501831, 0.9085600972175598, 0.6703380942344666]","[[1766.4880981445312, 722.8212280273438], [74.78882598876953, 900.0174560546875], [304.8638916015625, 700.9337158203125]]",544849920,576,yolo26l_576.hef,MOT17-09
6,,5,"[2, 1, 3, 6, 5]","[[0.0, 243.6009979248047, 155.59292602539062, 900.0174560546875], [1688.65673828125, 390.41668701171875, 1847.2021484375, 722.8212280273438], [247.21107482910156, 457.7108459472656, 362.5167236328125, 700.9337158203125], [1873.1549072265625, 393.65460205078125, 1919.277099609375, 575.2610473632812], [105.95271301269531, 511.22491455078125, 206.84515380859375, 741.4758911132812]]","[0.9085600972175598, 0.8937037587165833, 0.8549899458885193, 0.4122050106525421, 0.32966190576553345]","[[77.79646301269531, 900.0174560546875], [1767.929443359375, 722.8212280273438], [304.86389923095703, 700.9337158203125], [1896.2160034179688, 575.2610473632812], [156.39893341064453, 741.4758911132812]]",544849920,576,yolo26l_576.hef,MOT17-09
7,,5,"[1, 2, 3, 6, 5]","[[1688.65673828125, 392.0382080078125, 1847.2021484375, 727.6857299804688], [0.0, 236.83383178710938, 155.59292602539062, 900.0174560546875], [268.8353271484375, 460.1455993652344, 355.3145751953125, 701.7469482421875], [1873.1549072265625, 390.4116516113281, 1919.277099609375, 578.5039672851562], [108.83534240722656, 530.6827392578125, 203.96250915527344, 741.4758911132812]]","[0.9230126142501831, 0.9085600972175598, 0.7435632944107056, 0.4122050106525421, 0.32966190576553345]","[[1767.929443359375, 727.6857299804688], [77.79646301269531, 900.0174560546875], [312.074951171875, 701.7469482421875], [1896.2160034179688, 578.5039672851562], [156.39892578125, 741.4758911132812]]",544849920,576,yolo26l_576.hef,MOT17-09
8,,5,"[1, 2, 3, 5, 6]","[[1688.65673828125, 390.41668701171875, 1847.2021484375, 727.6857299804688], [0.0, 233.4502410888672, 155.59292602539062, 896.6338500976562], [265.95269775390625, 460.1455993652344, 355.3145751953125, 700.12548828125], [111.7179946899414, 512.8463745117188, 203.96250915527344, 743.097412109375], [1870.272216796875, 388.7901916503906, 1919.277099609375, 578.5039672851562]]","[0.9230126142501831, 0.9085600972175598, 0.8052489161491394, 0.5, 0.5]","[[1767.929443359375, 727.6857299804688], [77.79646301269531, 896.6338500976562], [310.6336364746094, 700.12548828125], [157.84025192260742, 743.097412109375], [1894.774658203125, 578.5039672851562]]",544849920,576,yolo26l_576.hef,MOT17-09
9,,6,"[2, 1, 3, 7, 6, 5]","[[0.0, 230.066650390625, 167.62347412109375, 900.0174560546875], [1685.774169921875, 392.0382080078125, 1844.3194580078125, 727.6857299804688], [271.7179870605469, 459.33233642578125, 355.3145751953125, 697.6907958984375], [1302.34716796875, 460.1405944824219, 1385.9437255859375, 654.7188110351562], [1867.3895263671875, 392.03314208984375, 1920.0, 586.6114501953125], [114.60063934326172, 516.0894165039062, 201.0798797607422, 741.4758911132812]]","[0.9085600972175598, 0.8937037587165833, 0.7435632944107056, 0.6703380942344666, 0.5877949595451355, 0.5]","[[83.81173706054688, 900.0174560546875], [1765.0468139648438, 727.6857299804688], [313.5162811279297, 697.6907958984375], [1344.1454467773438, 654.7188110351562], [1893.6947631835938, 586.6114501953125], [157.84025955200195, 741.4758911132812]]",544849920,576,yolo26l_576.hef,MOT17-09
10,,6,"[1, 2, 3, 6, 7, 5]","[[1682.8914794921875, 392.0382080078125, 1841.436767578125, 732.5501708984375], [0.0, 230.066650390625, 167.62347412109375, 903.4010620117188], [274.6006164550781, 459.33233642578125, 358.19720458984375, 696.0692749023438], [1867.3895263671875, 392.03314208984375, 1920.0, 594.7188110351562], [1305.229736328125, 461.7620544433594, 1388.826416015625, 654.7188110351562], [114.60063934326172, 524.19677734375, 203.96250915527344, 741.4758911132812]]","[0.8937037587165833, 0.8746727108955383, 0.6703380942344666, 0.6703380942344666, 0.5877949595451355, 0.32966190576553345]","[[1762.1641235351562, 732.5501708984375], [83.81173706054688, 903.4010620117188], [316.39891052246094, 696.0692749023438], [1893.6947631835938, 594.7188110351562], [1347.028076171875, 654.7188110351562], [159.28157424926758, 741.4758911132812]]",544849920,576,yolo26l_576.hef,MOT17-09
