frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,4,"[1, 2, 3, 4]","[[1696.0904541015625, 384.71728515625, 1870.9962158203125, 729.06298828125], [4.866908073425293, 347.27313232421875, 129.49485778808594, 900.3096923828125], [243.36026000976562, 453.2350769042969, 355.7996520996094, 700.953125], [1284.803466796875, 458.37237548828125, 1362.8863525390625, 653.3844604492188]]","[0.8079941272735596, 0.6597748398780823, 0.5713609457015991, 0.360127329826355]","[[1783.5433349609375, 729.06298828125], [67.18088293075562, 900.3096923828125], [299.5799560546875, 700.953125], [1323.8449096679688, 653.3844604492188]]",541310976,576,yolo26m_576.hef,MOT17-09
2,,4,"[1, 4, 2, 3]","[[1683.8385009765625, 390.8473205566406, 1863.8565673828125, 725.784912109375], [1288.1636962890625, 456.6155090332031, 1369.369873046875, 655.141357421875], [4.866908073425293, 340.21722412109375, 129.49485778808594, 904.9376220703125], [249.60690307617188, 453.2350769042969, 355.7996520996094, 700.953125]]","[0.8539731502532959, 0.7594420909881592, 0.7509748339653015, 0.5713609457015991]","[[1773.8475341796875, 725.784912109375], [1328.7667846679688, 655.141357421875], [67.18088293075562, 904.9376220703125], [302.7032775878906, 700.953125]]",541310976,576,yolo26m_576.hef,MOT17-09
3,,4,"[2, 3, 4, 1]","[[4.866908073425293, 324.63873291015625, 129.49485778808594, 904.9376220703125], [255.853515625, 453.2350769042969, 358.9229736328125, 702.7099609375], [1269.1868896484375, 460.2625427246094, 1362.8863525390625, 655.2745971679688], [1686.7205810546875, 384.5840148925781, 1864.74951171875, 725.4159545898438]]","[0.7899429798126221, 0.5713609457015991, 0.42863911390304565, 0.360127329826355]","[[67.18088293075562, 904.9376220703125], [307.38824462890625, 702.7099609375], [1316.03662109375, 655.2745971679688], [1775.7350463867188, 725.4159545898438]]",541310976,576,yolo26m_576.hef,MOT17-09
4,,3,"[1, 2, 3]","[[1686.7205810546875, 386.34088134765625, 1864.74951171875, 728.9296875], [4.866908073425293, 262.32476806640625, 143.3424072265625, 904.9376220703125], [255.853515625, 453.2350769042969, 358.9229736328125, 702.7099609375]]","[0.848699152469635, 0.7899429798126221, 0.639872670173645]","[[1775.7350463867188, 728.9296875], [74.1046576499939, 904.9376220703125], [307.38824462890625, 702.7099609375]]",541310976,576,yolo26m_576.hef,MOT17-09
5,,6,"[2, 1, 3, 4, 5, 6]","[[4.866908073425293, 249.0602264404297, 157.18995666503906, 911.1461791992188], [1692.967041015625, 382.8271484375, 1861.6260986328125, 734.2003173828125], [249.60690307617188, 454.991943359375, 355.7996520996094, 700.953125], [1291.2869873046875, 456.6155090332031, 1372.4932861328125, 655.141357421875], [111.70706176757812, 513.2350463867188, 199.15992736816406, 743.3844604492188], [1877.7166748046875, 387.6979064941406, 1920.0, 570.4119262695312]]","[0.7899429798126221, 0.7594420909881592, 0.7031236886978149, 0.7031236886978149, 0.360127329826355, 0.360127329826355]","[[81.02843236923218, 911.1461791992188], [1777.2965698242188, 734.2003173828125], [302.7032775878906, 700.953125], [1331.89013671875, 655.141357421875], [155.4334945678711, 743.3844604492188], [1898.8583374023438, 570.4119262695312]]",541310976,576,yolo26m_576.hef,MOT17-09
6,,5,"[2, 1, 3, 4, 5]","[[0.0, 245.1656036376953, 157.18995666503906, 911.1461791992188], [1692.967041015625, 382.8271484375, 1861.6260986328125, 737.7140502929688], [252.73019409179688, 454.991943359375, 362.0462951660156, 699.1962280273438], [1294.410400390625, 456.6155090332031, 1372.4932861328125, 655.141357421875], [111.70706176757812, 506.2076110839844, 199.15992736816406, 743.3844604492188]]","[0.8242404460906982, 0.7594420909881592, 0.639872670173645, 0.42863911390304565, 0.360127329826355]","[[78.59497833251953, 911.1461791992188], [1777.2965698242188, 737.7140502929688], [307.38824462890625, 699.1962280273438], [1333.4518432617188, 655.141357421875], [155.4334945678711, 743.3844604492188]]",541310976,576,yolo26m_576.hef,MOT17-09
7,,6,"[2, 1, 3, 4, 5, 6]","[[0.0, 237.37635803222656, 150.2661895751953, 911.1461791992188], [1692.967041015625, 384.71728515625, 1852.2562255859375, 736.0904541015625], [268.583740234375, 453.2350769042969, 356.0365905761719, 700.953125], [1300.6568603515625, 453.101806640625, 1378.7398681640625, 655.141357421875], [108.58375549316406, 507.8311767578125, 199.15992736816406, 743.251220703125], [1871.4700927734375, 382.4273376464844, 1920.0, 575.6825561523438]]","[0.8242404460906982, 0.7594420909881592, 0.7031236886978149, 0.42863911390304565, 0.360127329826355, 0.29687631130218506]","[[75.13309478759766, 911.1461791992188], [1772.6116333007812, 736.0904541015625], [312.31016540527344, 700.953125], [1339.6983642578125, 655.141357421875], [153.87184143066406, 743.251220703125], [1895.7350463867188, 575.6825561523438]]",541310976,576,yolo26m_576.hef,MOT17-09
8,,5,"[2, 1, 3, 4, 5]","[[0.0, 233.4817352294922, 157.18995666503906, 911.1461791992188], [1689.8438720703125, 384.71728515625, 1855.379638671875, 736.0904541015625], [271.70703125, 453.2350769042969, 356.0365905761719, 699.1962280273438], [1297.53369140625, 454.991943359375, 1378.7398681640625, 655.2745971679688], [114.83036804199219, 506.2076110839844, 196.03662109375, 745.141357421875]]","[0.8242404460906982, 0.7594420909881592, 0.639872670173645, 0.5713609457015991, 0.29687631130218506]","[[78.59497833251953, 911.1461791992188], [1772.6117553710938, 736.0904541015625], [313.87181091308594, 699.1962280273438], [1338.1367797851562, 655.2745971679688], [155.4334945678711, 745.141357421875]]",541310976,576,yolo26m_576.hef,MOT17-09
9,,6,"[2, 1, 4, 3, 6, 5]","[[0.0, 233.4817352294922, 157.18995666503906, 911.1461791992188], [1689.8438720703125, 386.47418212890625, 1849.133056640625, 739.6041870117188], [1303.7802734375, 454.858642578125, 1384.986572265625, 655.141357421875], [271.70703125, 451.47821044921875, 356.0365905761719, 699.1962280273438], [1868.3466796875, 384.1841735839844, 1920.0, 586.2236938476562], [111.70706176757812, 507.9645080566406, 196.03662109375, 743.3844604492188]]","[0.8242404460906982, 0.7594420909881592, 0.639872670173645, 0.5713609457015991, 0.42863911390304565, 0.360127329826355]","[[78.59497833251953, 911.1461791992188], [1769.4884643554688, 739.6041870117188], [1344.3834228515625, 655.141357421875], [313.87181091308594, 699.1962280273438], [1894.17333984375, 586.2236938476562], [153.87184143066406, 743.3844604492188]]",541310976,576,yolo26m_576.hef,MOT17-09
10,,5,"[2, 1, 4, 6, 3]","[[0.0, 233.4817352294922, 171.03750610351562, 907.2515258789062], [1689.60693359375, 386.47418212890625, 1845.772705078125, 743.117919921875], [1303.7802734375, 454.858642578125, 1388.10986328125, 653.3844604492188], [1865.223388671875, 387.8312072753906, 1920.0, 589.8707275390625], [265.4604187011719, 451.34490966796875, 359.159912109375, 699.06298828125]]","[0.8539731502532959, 0.7594420909881592, 0.7594420909881592, 0.639872670173645, 0.5713609457015991]","[[85.51875305175781, 907.2515258789062], [1767.6898193359375, 743.117919921875], [1345.945068359375, 653.3844604492188], [1892.6116943359375, 589.8707275390625], [312.31016540527344, 699.06298828125]]",541310976,576,yolo26m_576.hef,MOT17-09
