frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,4,"[1, 2, 3, 4]","[[1691.471923828125, 387.85211181640625, 1867.2366943359375, 727.21533203125], [4.605053901672363, 345.7821044921875, 126.2029037475586, 908.4548950195312], [246.18438720703125, 455.1127014160156, 388.3530578613281, 704.549560546875], [1285.622802734375, 461.0337829589844, 1365.5914306640625, 657.4511108398438]]","[0.8922578692436218, 0.7534646391868591, 0.5827792286872864, 0.5487394332885742]","[[1779.3543090820312, 727.21533203125], [65.40397882461548, 908.4548950195312], [317.2687225341797, 704.549560546875], [1325.6071166992188, 657.4511108398438]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
2,,,4,"[1, 2, 3, 4]","[[1682.34814453125, 386.77392578125, 1862.866455078125, 727.948486328125], [4.221708297729492, 342.6123046875, 127.96630096435547, 907.2904052734375], [254.4016571044922, 456.0915222167969, 386.28424072265625, 705.0607299804688], [1294.1300048828125, 460.2724609375, 1357.52880859375, 659.5174560546875]]","[0.8919119834899902, 0.8274980783462524, 0.5270318388938904, 0.39524054527282715]","[[1772.6072998046875, 727.948486328125], [66.09400463104248, 907.2904052734375], [320.3429489135742, 705.0607299804688], [1325.8294067382812, 659.5174560546875]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
3,,,5,"[1, 2, 3, 4, 5]","[[1684.6483154296875, 387.95989990234375, 1856.464599609375, 726.3743286132812], [2.228299140930176, 325.92230224609375, 134.3298797607422, 906.0181884765625], [259.85406494140625, 455.6129455566406, 384.8341369628906, 706.6812744140625], [1292.7958984375, 459.67431640625, 1360.100341796875, 658.8540649414062], [1258.2723388671875, 539.50439453125, 1319.157470703125, 658.4423217773438]]","[0.8733392953872681, 0.8151129484176636, 0.5571880340576172, 0.486711323261261, 0.34269747138023376]","[[1770.5564575195312, 726.3743286132812], [68.27908945083618, 906.0181884765625], [322.34410095214844, 706.6812744140625], [1326.4481201171875, 658.8540649414062], [1288.7149047851562, 658.4423217773438]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
4,,,5,"[1, 2, 3, 4, 5]","[[1684.2265625, 386.8817443847656, 1854.432861328125, 726.4606323242188], [1.8066186904907227, 263.0868225097656, 141.0767822265625, 905.97509765625], [257.7852783203125, 455.2431945800781, 386.0909423828125, 706.7465209960938], [1297.010986328125, 459.41326904296875, 1368.49169921875, 658.2449951171875], [1263.58935546875, 539.6566772460938, 1313.395751953125, 657.8115234375]]","[0.8787986636161804, 0.81993567943573, 0.5014241337776184, 0.4682375192642212, 0.2969079911708832]","[[1769.3297119140625, 726.4606323242188], [71.44170045852661, 905.97509765625], [321.9381103515625, 706.7465209960938], [1332.7513427734375, 658.2449951171875], [1288.4925537109375, 657.8115234375]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
5,,,4,"[1, 2, 4, 3]","[[1684.7633056640625, 384.25103759765625, 1855.544677734375, 730.5792236328125], [0.0, 249.80384826660156, 151.73385620117188, 909.4252319335938], [1298.5963134765625, 461.8277282714844, 1373.67333984375, 658.7670288085938], [260.1634521484375, 453.92718505859375, 361.1103515625, 706.4420166015625]]","[0.8906939029693604, 0.8325656652450562, 0.4297369122505188, 0.37768393754959106]","[[1770.1539916992188, 730.5792236328125], [75.86692810058594, 909.4252319335938], [1336.1348266601562, 658.7670288085938], [310.63690185546875, 706.4420166015625]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
6,,,4,"[1, 2, 3, 4]","[[1685.3382568359375, 385.2429504394531, 1855.6212158203125, 732.218017578125], [0.0, 240.2242431640625, 153.22891235351562, 907.3280639648438], [260.6661376953125, 456.1350402832031, 360.87835693359375, 706.2897338867188], [1300.0078125, 461.2077941894531, 1372.3779296875, 658.353759765625]]","[0.8857007026672363, 0.8521043062210083, 0.4658743441104889, 0.43206509947776794]","[[1770.479736328125, 732.218017578125], [76.61445617675781, 907.3280639648438], [310.7722473144531, 706.2897338867188], [1336.19287109375, 658.353759765625]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
7,,,4,"[1, 4, 2, 3]","[[1685.989990234375, 383.69036865234375, 1854.432861328125, 734.8271484375], [1278.062744140625, 458.2930908203125, 1380.5179443359375, 657.1465454101562], [0.0, 232.4183349609375, 161.0108642578125, 912.7836303710938], [272.0543212890625, 454.0794677734375, 360.2789611816406, 706.59423828125]]","[0.8849713206291199, 0.4029817581176758, 0.3433516323566437, 0.3363107442855835]","[[1770.21142578125, 734.8271484375], [1329.2903442382812, 657.1465454101562], [80.50543212890625, 912.7836303710938], [316.16664123535156, 706.59423828125]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
8,,,5,"[1, 2, 3, 4, 6]","[[1690.053466796875, 385.88983154296875, 1855.0462646484375, 736.4228515625], [2.046398162841797, 234.50997924804688, 169.76095581054688, 914.0126953125], [265.9831848144531, 453.75323486328125, 360.24029541015625, 706.1375122070312], [1302.3004150390625, 457.4012756347656, 1384.5699462890625, 659.4522094726562], [1871.3675537109375, 352.7898864746094, 1917.635498046875, 585.021240234375]]","[0.8889329433441162, 0.7997602224349976, 0.46965616941452026, 0.4428119361400604, 0.41629767417907715]","[[1772.5498657226562, 736.4228515625], [85.90367698669434, 914.0126953125], [313.1117401123047, 706.1375122070312], [1343.4351806640625, 659.4522094726562], [1894.5015258789062, 585.021240234375]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
9,,,5,"[1, 2, 4, 3, 6]","[[1688.558349609375, 385.76043701171875, 1856.9630126953125, 736.4660034179688], [1.7013816833496094, 233.53961181640625, 177.23623657226562, 913.408935546875], [1304.2724609375, 458.2930908203125, 1387.412109375, 659.7785034179688], [262.8122863769531, 453.44866943359375, 360.9943542480469, 704.1362915039062], [1872.2955322265625, 361.2512512207031, 1918.215576171875, 593.9937744140625]]","[0.9089440107345581, 0.8406660556793213, 0.6155986785888672, 0.4498503506183624, 0.3405620753765106]","[[1772.7606811523438, 736.4660034179688], [89.46880912780762, 913.408935546875], [1345.84228515625, 659.7785034179688], [311.9033203125, 704.1362915039062], [1895.2555541992188, 593.9937744140625]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
10,,,5,"[2, 1, 4, 3, 6]","[[1.3947029113769531, 234.57464599609375, 182.41143798828125, 912.3739013671875], [1686.98681640625, 385.0920104980469, 1851.4427490234375, 741.1883544921875], [1308.4488525390625, 457.44476318359375, 1386.1939697265625, 659.24560546875], [270.6042175292969, 453.0028076171875, 360.317626953125, 703.5054931640625], [1870.130126953125, 387.82086181640625, 1917.7130126953125, 598.1592407226562]]","[0.9265118837356567, 0.8867871165275574, 0.6824871301651001, 0.4278765916824341, 0.2929594814777374]","[[91.9030704498291, 912.3739013671875], [1769.2147827148438, 741.1883544921875], [1347.3214111328125, 659.24560546875], [315.46092224121094, 703.5054931640625], [1893.9215698242188, 598.1592407226562]]",237715456,223182848,237715456,640,yolo26m_hq.hef,MOT17-09
