frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,3,"[1, 2, 3]","[[0.0, 345.59332275390625, 127.63719940185547, 903.7569580078125], [1699.6822509765625, 390.6730041503906, 1873.3914794921875, 726.3780517578125], [249.98712158203125, 457.67962646484375, 356.98236083984375, 707.2396240234375]]","[0.7387906908988953, 0.7357834577560425, 0.3819108009338379]","[[63.818599700927734, 903.7569580078125], [1786.536865234375, 726.3780517578125], [303.4847412109375, 707.2396240234375]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
2,,,3,"[1, 2, 3]","[[0.0, 339.898681640625, 123.5126724243164, 915.515380859375], [1689.96875, 390.1074523925781, 1868.7698974609375, 723.7145385742188], [256.1493225097656, 458.8836975097656, 355.11749267578125, 708.388916015625]]","[0.7877572774887085, 0.5898324847221375, 0.25247764587402344]","[[61.7563362121582, 915.515380859375], [1779.3693237304688, 723.7145385742188], [305.63340759277344, 708.388916015625]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
3,,,4,"[1, 2, 4, 3]","[[0.8706791996955872, 325.8553771972656, 127.57469940185547, 915.9371948242188], [1688.26611328125, 391.211181640625, 1866.01318359375, 726.9983520507812], [1262.4610595703125, 460.280517578125, 1361.5264892578125, 660.337158203125], [263.3818054199219, 460.76275634765625, 354.7607421875, 708.9544677734375]]","[0.7852451801300049, 0.6314271092414856, 0.35143232345581055, 0.29414102435112]","[[64.22268930077553, 915.9371948242188], [1777.1396484375, 726.9983520507812], [1311.9937744140625, 660.337158203125], [309.07127380371094, 708.9544677734375]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
4,,,2,"[1, 2]","[[1.5581003427505493, 311.6890563964844, 134.76136779785156, 909.10009765625], [1689.74169921875, 391.8040771484375, 1866.01318359375, 726.9983520507812]]","[0.7939428687095642, 0.6624036431312561]","[[68.15973407030106, 909.10009765625], [1777.87744140625, 726.9983520507812]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
5,,,3,"[1, 2, 3]","[[1.2143898010253906, 257.7176513671875, 145.07266235351562, 910.3703002929688], [1693.2120361328125, 391.9135437011719, 1861.43994140625, 729.1602172851562], [262.78179931640625, 460.1881103515625, 354.7607421875, 709.4561767578125]]","[0.7788711786270142, 0.7022110223770142, 0.27455270290374756]","[[73.14352607727051, 910.3703002929688], [1777.3259887695312, 729.1602172851562], [308.7712707519531, 709.4561767578125]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
6,,,3,"[1, 2, 3]","[[1.0269100666046143, 251.77694702148438, 152.82176208496094, 906.5211791992188], [1689.57958984375, 390.4802551269531, 1860.5643310546875, 734.3218383789062], [264.45208740234375, 457.6066589355469, 358.76617431640625, 709.4379272460938]]","[0.7810108661651611, 0.7184186577796936, 0.29323315620422363]","[[76.92433607578278, 906.5211791992188], [1775.0719604492188, 734.3218383789062], [311.609130859375, 709.4379272460938]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
7,,,2,"[1, 2]","[[1.0269100666046143, 238.71791076660156, 154.32159423828125, 906.5914306640625], [1690.2607421875, 388.8565673828125, 1856.9482421875, 737.4414672851562]]","[0.7805840969085693, 0.6854789853096008]","[[77.67425215244293, 906.5914306640625], [1773.6044921875, 737.4414672851562]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
8,,,2,"[2, 1]","[[1689.1417236328125, 389.4859924316406, 1853.234619140625, 739.9681396484375], [0.9331734776496887, 239.59671020507812, 156.41510009765625, 903.6387329101562]]","[0.8057227730751038, 0.7661674618721008]","[[1771.1881713867188, 739.9681396484375], [78.67413678765297, 903.6387329101562]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
9,,,2,"[1, 2]","[[2.714214324951172, 234.5875244140625, 166.66390991210938, 907.92724609375], [1685.13623046875, 391.0366516113281, 1856.9156494140625, 737.9522705078125]]","[0.78692227602005, 0.7683891654014587]","[[84.68906211853027, 907.92724609375], [1771.0259399414062, 737.9522705078125]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
10,,,2,"[1, 2]","[[2.432997941970825, 235.69482421875, 173.91305541992188, 913.1121826171875], [1683.4984130859375, 391.6660461425781, 1851.467041015625, 740.96240234375]]","[0.8235867023468018, 0.8184100389480591]","[[88.17302668094635, 913.1121826171875], [1767.4827270507812, 740.96240234375]]",218087424,203571200,218087424,576,yolo26n_576_hq.hef,MOT17-09
