frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,3,"[1, 2, 3]","[[1285.123046875, 466.7096252441406, 1365.1422119140625, 653.677490234375], [0.0, 339.32635498046875, 121.68106842041016, 902.0301513671875], [1697.41455078125, 390.5375671386719, 1869.7633056640625, 731.5807495117188]]","[0.7263163924217224, 0.6947325468063354, 0.5]","[[1325.1326293945312, 653.677490234375], [60.84053421020508, 902.0301513671875], [1783.5889282226562, 731.5807495117188]]",530432000,576,yolo26s_576.hef,MOT17-09
2,,3,"[2, 3, 1]","[[0.0, 336.4153747558594, 134.10792541503906, 906.1093139648438], [1685.4388427734375, 388.25714111328125, 1865.628173828125, 727.2774658203125], [1278.9676513671875, 463.2472839355469, 1368.2198486328125, 657.1398315429688]]","[0.8720034956932068, 0.8381704092025757, 0.580624520778656]","[[67.05396270751953, 906.1093139648438], [1775.5335083007812, 727.2774658203125], [1323.59375, 657.1398315429688]]",530432000,576,yolo26s_576.hef,MOT17-09
3,,4,"[3, 2, 1, 4]","[[1685.4388427734375, 388.25714111328125, 1859.414794921875, 730.7725830078125], [0.0, 325.93023681640625, 134.10792541503906, 909.6043701171875], [1278.9676513671875, 463.2472839355469, 1365.1422119140625, 657.1398315429688], [1884.100341796875, 387.09674072265625, 1920.0, 560.215087890625]]","[0.8720034956932068, 0.8381704092025757, 0.580624520778656, 0.4193754494190216]","[[1772.4268188476562, 730.7725830078125], [67.05396270751953, 909.6043701171875], [1322.054931640625, 657.1398315429688], [1902.0501708984375, 560.215087890625]]",530432000,576,yolo26s_576.hef,MOT17-09
4,,4,"[3, 2, 1, 4]","[[1685.4388427734375, 388.25714111328125, 1865.628173828125, 730.7725830078125], [0.0, 266.5143127441406, 140.3213653564453, 909.6043701171875], [1292.2913818359375, 461.5160827636719, 1378.4659423828125, 657.1398315429688], [1881.022705078125, 383.6343688964844, 1920.0, 570.6021728515625]]","[0.8720034956932068, 0.8381704092025757, 0.7263163924217224, 0.5]","[[1775.5335083007812, 730.7725830078125], [70.16068267822266, 909.6043701171875], [1335.378662109375, 657.1398315429688], [1900.5113525390625, 570.6021728515625]]",530432000,576,yolo26s_576.hef,MOT17-09
5,,4,"[1, 2, 4, 3]","[[1292.2913818359375, 461.5160827636719, 1381.5435791015625, 655.4086303710938], [0.0, 263.0192565917969, 146.53480529785156, 909.6043701171875], [1877.9449462890625, 387.09674072265625, 1920.0, 563.677490234375], [1685.4388427734375, 388.25714111328125, 1859.414794921875, 734.267578125]]","[0.7860621809959412, 0.6947325468063354, 0.5, 0.30526745319366455]","[[1336.91748046875, 655.4086303710938], [73.26740264892578, 909.6043701171875], [1898.9724731445312, 563.677490234375], [1772.4268188476562, 734.267578125]]",530432000,576,yolo26s_576.hef,MOT17-09
6,,5,"[2, 6, 1, 4, 3]","[[0.0, 244.95989990234375, 152.74822998046875, 912.515380859375], [268.7120361328125, 460.35479736328125, 357.9642028808594, 700.9893188476562], [1289.2138671875, 461.5160827636719, 1381.5435791015625, 660.6021728515625], [1881.022705078125, 383.6343688964844, 1917.9547119140625, 570.6021728515625], [1691.25927734375, 388.806396484375, 1848.2197265625, 733.3118896484375]]","[0.8720034956932068, 0.5, 0.5, 0.5, 0.4193754494190216]","[[76.37411499023438, 912.515380859375], [313.33811950683594, 700.9893188476562], [1335.3787231445312, 660.6021728515625], [1899.4887084960938, 570.6021728515625], [1769.739501953125, 733.3118896484375]]",530432000,576,yolo26s_576.hef,MOT17-09
7,,5,"[2, 3, 1, 4, 6]","[[0.0, 241.46484375, 152.74822998046875, 912.515380859375], [1694.3367919921875, 390.5375671386719, 1835.9091796875, 733.3118896484375], [1289.2138671875, 459.784912109375, 1384.6212158203125, 658.8710327148438], [1877.9449462890625, 381.9031982421875, 1920.0, 579.2581176757812], [275.8804626464844, 456.89239501953125, 358.977294921875, 700.9893188476562]]","[0.8996104001998901, 0.8357154726982117, 0.7263163924217224, 0.7263163924217224, 0.4193754494190216]","[[76.37411499023438, 912.515380859375], [1765.1229858398438, 733.3118896484375], [1336.9175415039062, 658.8710327148438], [1898.9724731445312, 579.2581176757812], [317.4288787841797, 700.9893188476562]]",530432000,576,yolo26s_576.hef,MOT17-09
8,,5,"[3, 2, 4, 1, 6]","[[1694.3367919921875, 390.5375671386719, 1835.9091796875, 735.0430908203125], [0.0, 237.96978759765625, 165.1750946044922, 912.515380859375], [1877.9449462890625, 381.9031982421875, 1920.0, 580.9893188476562], [1292.2913818359375, 459.784912109375, 1384.6212158203125, 657.1398315429688], [278.9581604003906, 458.62359619140625, 358.977294921875, 700.9893188476562]]","[0.87566739320755, 0.8720034956932068, 0.7263163924217224, 0.657162606716156, 0.4193754494190216]","[[1765.1229858398438, 735.0430908203125], [82.5875473022461, 912.515380859375], [1898.9724731445312, 580.9893188476562], [1338.456298828125, 657.1398315429688], [318.9677276611328, 700.9893188476562]]",530432000,576,yolo26s_576.hef,MOT17-09
9,,5,"[2, 3, 1, 4, 6]","[[0.0, 237.96978759765625, 177.60194396972656, 912.515380859375], [1690.24609375, 390.5375671386719, 1828.7408447265625, 741.9678344726562], [1289.2138671875, 459.784912109375, 1387.698974609375, 657.1398315429688], [1877.9449462890625, 381.9031982421875, 1920.0, 586.182861328125], [285.11346435546875, 458.0537109375, 355.899658203125, 700.41943359375]]","[0.9217969179153442, 0.7860621809959412, 0.7860621809959412, 0.7263163924217224, 0.2736836075782776]","[[88.80097198486328, 912.515380859375], [1759.4934692382812, 741.9678344726562], [1338.4564208984375, 657.1398315429688], [1898.9724731445312, 586.182861328125], [320.5065612792969, 700.41943359375]]",530432000,576,yolo26s_576.hef,MOT17-09
10,,5,"[2, 1, 4, 3, 6]","[[0.0, 241.46484375, 177.60194396972656, 916.0103759765625], [1307.6796875, 458.0537109375, 1387.698974609375, 657.1398315429688], [1874.8673095703125, 381.9031982421875, 1920.0, 587.9140014648438], [1690.24609375, 390.5375671386719, 1834.89599609375, 747.161376953125], [282.0357971191406, 458.0537109375, 362.0549621582031, 700.41943359375]]","[0.8996104001998901, 0.7263163924217224, 0.7263163924217224, 0.580624520778656, 0.2736836075782776]","[[88.80097198486328, 916.0103759765625], [1347.6893310546875, 657.1398315429688], [1897.4336547851562, 587.9140014648438], [1762.571044921875, 747.161376953125], [322.0453796386719, 700.41943359375]]",530432000,576,yolo26s_576.hef,MOT17-09
11,,5,"[2, 1, 4, 3, 6]","[[0.0, 241.46484375, 177.60194396972656, 912.515380859375], [1313.8350830078125, 459.784912109375, 1387.698974609375, 657.1398315429688], [1868.7119140625, 381.9031982421875, 1920.0, 591.3764038085938], [1687.16845703125, 393.99993896484375, 1834.89599609375, 747.161376953125], [285.11346435546875, 456.322509765625, 362.0549621582031, 700.41943359375]]","[0.9217969179153442, 0.7263163924217224, 0.7263163924217224, 0.580624520778656, 0.2736836075782776]","[[88.80097198486328, 912.515380859375], [1350.7670288085938, 657.1398315429688], [1894.35595703125, 591.3764038085938], [1761.0322265625, 747.161376953125], [323.58421325683594, 700.41943359375]]",530432000,576,yolo26s_576.hef,MOT17-09
