frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,5,"[1, 2, 3, 4, 5]","[[1696.6708984375, 390.65203857421875, 1862.658203125, 728.3324584960938], [5.753851890563965, 345.389892578125, 120.42196655273438, 905.5285034179688], [1292.33544921875, 460.67791748046875, 1364.2633056640625, 658.3065185546875], [1884.9342041015625, 401.4637451171875, 1918.131591796875, 569.52587890625], [253.90443420410156, 454.9991455078125, 381.161376953125, 703.9801025390625]]","[0.9388021230697632, 0.8551709651947021, 0.796610951423645, 0.6643238663673401, 0.5845090746879578]","[[1779.66455078125, 728.3324584960938], [63.08790922164917, 905.5285034179688], [1328.2993774414062, 658.3065185546875], [1901.5328979492188, 569.52587890625], [317.5329055786133, 703.9801025390625]]",516620288,640,yolo26x.hef,MOT17-09
2,,5,"[1, 3, 5, 4, 2]","[[1693.904541015625, 389.09588623046875, 1857.125244140625, 728.3324584960938], [1297.8682861328125, 459.1217956542969, 1367.02978515625, 658.3065185546875], [259.4373474121094, 458.1114501953125, 361.79620361328125, 705.5362548828125], [1882.167724609375, 399.3618469238281, 1920.0, 567.4240112304688], [5.753851890563965, 338.6003112792969, 120.42196655273438, 902.1337280273438]]","[0.8857320547103882, 0.8463891744613647, 0.6643238663673401, 0.5845090746879578, 0.5630816221237183]","[[1775.514892578125, 728.3324584960938], [1332.4490356445312, 658.3065185546875], [310.6167755126953, 705.5362548828125], [1901.0838623046875, 567.4240112304688], [63.08790922164917, 902.1337280273438]]",520257536,640,yolo26x.hef,MOT17-09
3,,5,"[1, 2, 3, 5, 4]","[[1688.37158203125, 387.53973388671875, 1851.59228515625, 728.3324584960938], [5.753851890563965, 318.5481262207031, 138.5274658203125, 902.4502563476562], [1300.6348876953125, 457.565673828125, 1372.5626220703125, 656.7504272460938], [262.20379638671875, 456.5552673339844, 361.79620361328125, 705.5362548828125], [1879.4013671875, 396.24957275390625, 1918.131591796875, 565.8678588867188]]","[0.8857320547103882, 0.8838521242141724, 0.8463891744613647, 0.5845090746879578, 0.5]","[[1769.98193359375, 728.3324584960938], [72.14065885543823, 902.4502563476562], [1336.5987548828125, 656.7504272460938], [312.0, 705.5362548828125], [1898.7664794921875, 565.8678588867188]]",520257536,640,yolo26x.hef,MOT17-09
4,,5,"[3, 2, 1, 5, 4]","[[1303.4013671875, 457.565673828125, 1372.5626220703125, 656.7504272460938], [5.753851890563965, 264.23162841796875, 144.5626220703125, 905.8450317382812], [1688.37158203125, 387.53973388671875, 1848.825927734375, 728.3324584960938], [262.20379638671875, 452.43267822265625, 361.79620361328125, 706.08203125], [1876.634765625, 348.47412109375, 1918.131591796875, 566.3324584960938]]","[0.8857320547103882, 0.8551709651947021, 0.8463891744613647, 0.4154909551143646, 0.4154909551143646]","[[1337.9819946289062, 656.7504272460938], [75.15823698043823, 905.8450317382812], [1768.5987548828125, 728.3324584960938], [312.0, 706.08203125], [1897.3831787109375, 566.3324584960938]]",526467072,640,yolo26x.hef,MOT17-09
5,,5,"[2, 1, 3, 4, 5]","[[5.753851890563965, 240.78466796875, 156.63294982910156, 906.1615600585938], [1688.37158203125, 385.9836120605469, 1846.0594482421875, 733.0008544921875], [1306.167724609375, 457.565673828125, 1375.3291015625, 656.7504272460938], [1882.167724609375, 344.8972473144531, 1920.0, 567.4240112304688], [259.4373474121094, 458.1114501953125, 359.0297546386719, 705.5362548828125]]","[0.9074680209159851, 0.8857320547103882, 0.8857320547103882, 0.7357382774353027, 0.5]","[[81.19340085983276, 906.1615600585938], [1767.2155151367188, 733.0008544921875], [1340.7484130859375, 656.7504272460938], [1901.0838623046875, 567.4240112304688], [309.2335510253906, 705.5362548828125]]",526467072,640,yolo26x.hef,MOT17-09
6,,5,"[1, 2, 3, 5, 4]","[[1688.37158203125, 385.9836120605469, 1843.2930908203125, 736.1130981445312], [5.753851890563965, 240.78466796875, 156.63294982910156, 902.7667846679688], [1306.167724609375, 457.565673828125, 1372.5626220703125, 656.7504272460938], [256.6708984375, 456.5552673339844, 361.79620361328125, 703.9801025390625], [1876.634765625, 345.4430236816406, 1920.0, 575.7504272460938]]","[0.8857320547103882, 0.8838521242141724, 0.796610951423645, 0.6643238663673401, 0.4154909551143646]","[[1765.8323364257812, 736.1130981445312], [81.19340085983276, 902.7667846679688], [1339.3651733398438, 656.7504272460938], [309.2335510253906, 703.9801025390625], [1898.3173828125, 575.7504272460938]]",526467072,640,yolo26x.hef,MOT17-09
7,,5,"[1, 2, 3, 4, 5]","[[1688.37158203125, 387.53973388671875, 1840.526611328125, 736.1130981445312], [5.753851890563965, 230.60031127929688, 162.66812133789062, 906.1615600585938], [1306.167724609375, 457.565673828125, 1378.095458984375, 656.7504272460938], [1871.101806640625, 345.4430236816406, 1920.0, 578.8626708984375], [267.7367248535156, 456.5552673339844, 361.79620361328125, 703.9801025390625]]","[0.8857320547103882, 0.8838521242141724, 0.8463891744613647, 0.796610951423645, 0.5845090746879578]","[[1764.4490966796875, 736.1130981445312], [84.2109866142273, 906.1615600585938], [1342.131591796875, 656.7504272460938], [1895.5509033203125, 578.8626708984375], [314.76646423339844, 703.9801025390625]]",526467072,640,yolo26x.hef,MOT17-09
8,,5,"[2, 1, 3, 4, 5]","[[5.19122314453125, 244.179443359375, 174.1758270263672, 899.3720092773438], [1691.137939453125, 389.09588623046875, 1843.2930908203125, 737.6692504882812], [1300.6348876953125, 457.565673828125, 1378.095458984375, 658.3065185546875], [1871.101806640625, 346.9991455078125, 1918.131591796875, 585.0872192382812], [278.80255126953125, 454.9991455078125, 361.79620361328125, 702.4240112304688]]","[0.9074680209159851, 0.8857320547103882, 0.8463891744613647, 0.8463891744613647, 0.5845090746879578]","[[89.68352508544922, 899.3720092773438], [1767.2155151367188, 737.6692504882812], [1339.3651733398438, 658.3065185546875], [1894.61669921875, 585.0872192382812], [320.29937744140625, 702.4240112304688]]",526467072,640,yolo26x.hef,MOT17-09
9,,5,"[2, 1, 3, 4, 5]","[[0.0, 237.389892578125, 186.24615478515625, 895.9772338867188], [1691.137939453125, 390.65203857421875, 1840.526611328125, 739.225341796875], [1308.9342041015625, 457.565673828125, 1383.6285400390625, 656.7504272460938], [1868.33544921875, 348.5552673339844, 1918.131591796875, 592.8678588867188], [276.03607177734375, 454.9991455078125, 361.79620361328125, 703.9801025390625]]","[0.9074680209159851, 0.8857320547103882, 0.8857320547103882, 0.8463891744613647, 0.5845090746879578]","[[93.12307739257812, 895.9772338867188], [1765.832275390625, 739.225341796875], [1346.2813720703125, 656.7504272460938], [1893.2335205078125, 592.8678588867188], [318.9161376953125, 703.9801025390625]]",526467072,640,yolo26x.hef,MOT17-09
10,,5,"[2, 1, 4, 3, 5]","[[0.0, 237.389892578125, 186.24615478515625, 899.3720092773438], [1685.60498046875, 390.65203857421875, 1840.526611328125, 743.8937377929688], [1868.33544921875, 350.1114196777344, 1918.131591796875, 595.9801025390625], [1307.137939453125, 460.67791748046875, 1387.3651123046875, 659.8626708984375], [248.3715362548828, 453.4430236816406, 361.79620361328125, 702.4240112304688]]","[0.9421581625938416, 0.8857320547103882, 0.8857320547103882, 0.8463891744613647, 0.5]","[[93.12307739257812, 899.3720092773438], [1763.0657958984375, 743.8937377929688], [1893.2335205078125, 595.9801025390625], [1347.2515258789062, 659.8626708984375], [305.08386993408203, 702.4240112304688]]",526467072,640,yolo26x.hef,MOT17-09
