frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,4,"[1, 2, 3, 4]","[[1698.8232421875, 386.0279235839844, 1862.74609375, 727.35400390625], [0.2584330141544342, 345.3038635253906, 124.09986877441406, 909.2247314453125], [1292.2874755859375, 458.8226013183594, 1361.3074951171875, 657.794677734375], [255.94741821289062, 451.6164245605469, 376.732666015625, 705.5889282226562]]","[0.9077900052070618, 0.8029811382293701, 0.7271319031715393, 0.6577790975570679]","[[1780.78466796875, 727.35400390625], [62.17915089428425, 909.2247314453125], [1326.7974853515625, 657.794677734375], [316.3400421142578, 705.5889282226562]]",568246272,576,yolo26x_576.hef,MOT17-09
2,,4,"[1, 3, 2, 4]","[[1693.071533203125, 382.7926025390625, 1856.994384765625, 727.35400390625], [1295.1632080078125, 457.2049255371094, 1358.4317626953125, 656.177001953125], [0.2584330141544342, 341.6959533691406, 124.09986877441406, 905.6167602539062], [253.07159423828125, 449.9987487792969, 365.2292785644531, 705.5889282226562]]","[0.9077900052070618, 0.786981463432312, 0.7184301018714905, 0.6577790975570679]","[[1775.032958984375, 727.35400390625], [1326.7974853515625, 656.177001953125], [62.17915089428425, 905.6167602539062], [309.1504364013672, 705.5889282226562]]",568246272,576,yolo26x_576.hef,MOT17-09
3,,4,"[1, 2, 3, 4]","[[1687.3199462890625, 384.4102478027344, 1851.24267578125, 728.9716796875], [0.2584330141544342, 325.11004638671875, 129.9970703125, 908.9339599609375], [1298.0390625, 458.8226013183594, 1361.3074951171875, 657.794677734375], [258.8232727050781, 451.6164245605469, 376.732666015625, 703.9713134765625]]","[0.9077900052070618, 0.8916345834732056, 0.786981463432312, 0.6577790975570679]","[[1769.2813110351562, 728.9716796875], [65.12775166332722, 908.9339599609375], [1329.6732788085938, 657.794677734375], [317.77796936035156, 703.9713134765625]]",568246272,576,yolo26x_576.hef,MOT17-09
4,,4,"[1, 2, 3, 4]","[[1687.3199462890625, 384.4102478027344, 1848.3668212890625, 728.9716796875], [0.2584330141544342, 272.03515625, 129.9970703125, 908.9339599609375], [1300.9150390625, 459.55810546875, 1364.1834716796875, 655.2948608398438], [261.6990966796875, 451.6164245605469, 376.732666015625, 705.5889282226562]]","[0.876558780670166, 0.8374265432357788, 0.7271319031715393, 0.5809577703475952]","[[1767.8433837890625, 728.9716796875], [65.12775166332722, 908.9339599609375], [1332.5492553710938, 655.2948608398438], [319.21588134765625, 705.5889282226562]]",568246272,576,yolo26x_576.hef,MOT17-09
5,,4,"[2, 1, 3, 4]","[[0.0, 248.8148956298828, 153.58590698242188, 902.299560546875], [1687.3199462890625, 384.4102478027344, 1851.24267578125, 735.4423217773438], [1303.790771484375, 457.9404602050781, 1369.93505859375, 655.2948608398438], [250.19573974609375, 453.23406982421875, 362.35345458984375, 705.5889282226562]]","[0.9122737646102905, 0.876558780670166, 0.786981463432312, 0.5]","[[76.79295349121094, 902.299560546875], [1769.2813110351562, 735.4423217773438], [1336.8629150390625, 655.2948608398438], [306.27459716796875, 705.5889282226562]]",568246272,576,yolo26x_576.hef,MOT17-09
6,,5,"[2, 1, 3, 4, 5]","[[0.0, 245.49771118164062, 165.38034057617188, 905.6167602539062], [1687.3199462890625, 384.4102478027344, 1848.3668212890625, 737.0599365234375], [1303.790771484375, 458.67596435546875, 1367.059326171875, 652.7951049804688], [247.31991577148438, 451.6164245605469, 362.35345458984375, 705.5889282226562], [1876.0782470703125, 383.3815002441406, 1919.2158203125, 572.6476440429688]]","[0.8916345834732056, 0.876558780670166, 0.8366528749465942, 0.5809577703475952, 0.5]","[[82.69017028808594, 905.6167602539062], [1767.8433837890625, 737.0599365234375], [1335.425048828125, 652.7951049804688], [304.83668518066406, 705.5889282226562], [1897.6470336914062, 572.6476440429688]]",568246272,576,yolo26x_576.hef,MOT17-09
7,,5,"[1, 2, 5, 3, 4]","[[1687.3199462890625, 382.7926025390625, 1845.4910888671875, 740.2952880859375], [0.2584330141544342, 235.2554168701172, 171.27755737304688, 905.3260498046875], [1870.3265380859375, 347.7929992675781, 1920.0, 580.7359619140625], [1305.3590087890625, 457.2049255371094, 1377.2550048828125, 659.412353515625], [267.4507751464844, 451.6164245605469, 359.47760009765625, 703.9713134765625]]","[0.9077900052070618, 0.8916345834732056, 0.7271319031715393, 0.6577790975570679, 0.5809577703475952]","[[1766.405517578125, 740.2952880859375], [85.76799519360065, 905.3260498046875], [1895.1632690429688, 580.7359619140625], [1341.3070068359375, 659.412353515625], [313.4641876220703, 703.9713134765625]]",568246272,576,yolo26x_576.hef,MOT17-09
8,,5,"[2, 1, 3, 4, 5]","[[0.0, 228.6210479736328, 177.17477416992188, 905.3260498046875], [1693.071533203125, 384.4102478027344, 1848.3668212890625, 740.2952880859375], [1308.23486328125, 458.8226013183594, 1380.130859375, 659.412353515625], [270.32659912109375, 449.9987487792969, 359.47760009765625, 705.5889282226562], [1870.3265380859375, 349.4106750488281, 1920.0, 583.9713134765625]]","[0.9122737646102905, 0.876558780670166, 0.7271319031715393, 0.6577790975570679, 0.6577790975570679]","[[88.58738708496094, 905.3260498046875], [1770.7191772460938, 740.2952880859375], [1344.182861328125, 659.412353515625], [314.902099609375, 705.5889282226562], [1895.1632690429688, 583.9713134765625]]",568246272,576,yolo26x_576.hef,MOT17-09
9,,5,"[1, 2, 3, 5, 4]","[[1690.1956787109375, 386.0279235839844, 1851.24267578125, 740.2952880859375], [0.0, 225.30386352539062, 183.0719757080078, 905.3260498046875], [1305.3590087890625, 458.8226013183594, 1383.0067138671875, 659.412353515625], [1870.3265380859375, 351.0283508300781, 1919.2158203125, 592.0595703125], [270.32659912109375, 448.381103515625, 359.47760009765625, 705.5889282226562]]","[0.876558780670166, 0.8374265432357788, 0.8366528749465942, 0.7271319031715393, 0.5809577703475952]","[[1770.7191772460938, 740.2952880859375], [91.5359878540039, 905.3260498046875], [1344.182861328125, 659.412353515625], [1894.7711791992188, 592.0595703125], [314.902099609375, 705.5889282226562]]",568246272,576,yolo26x_576.hef,MOT17-09
10,,5,"[2, 1, 3, 5, 4]","[[0.0, 225.30386352539062, 183.0719757080078, 905.3260498046875], [1687.3199462890625, 387.6455383300781, 1851.24267578125, 743.5305786132812], [1311.1107177734375, 458.8226013183594, 1388.75830078125, 661.0299682617188], [1867.45068359375, 356.763427734375, 1919.2158203125, 596.177001953125], [276.0782775878906, 448.381103515625, 359.47760009765625, 702.3536376953125]]","[0.9122737646102905, 0.8366528749465942, 0.786981463432312, 0.5809577703475952, 0.5]","[[91.5359878540039, 905.3260498046875], [1769.2813110351562, 743.5305786132812], [1349.9345092773438, 661.0299682617188], [1893.333251953125, 596.177001953125], [317.77793884277344, 702.3536376953125]]",568246272,576,yolo26x_576.hef,MOT17-09
