model,imgsz,fps_level,stride,mt_fp32,mt_int8,idsw_fp32,idsw_int8,mt_fp32_ref,mt_int8_ref,idsw_fp32_ref,idsw_int8_ref,effect_b_mt,effect_b_idsw,effect_c_mt,effect_c_idsw,effect_d_mt,effect_d_idsw
yolo26n,640,30,1,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.0,0.0,0.1139240506329114,-0.1455696202531645,0.0,0.0
yolo26n,640,15,2,0.19745222929936307,0.08917197452229299,0.4840764331210191,0.4267515923566879,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.01773764411835846,-0.15516407320809478,0.1139240506329114,-0.1455696202531645,0.012093848262517137,-0.06691929371926147
yolo26n,640,10,3,0.19745222929936307,0.08917197452229299,0.5414012738853503,0.3503184713375796,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.01773764411835846,-0.09783923244376358,0.1139240506329114,-0.1455696202531645,0.012093848262517137,-0.1433524147383698
yolo26n,640,7,4,0.18471337579617833,0.07643312101910828,0.5859872611464968,0.4394904458598726,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.030476497621543197,-0.05325324518261709,0.1139240506329114,-0.1455696202531645,0.024832701765701848,-0.054180440216076764
yolo26n,640,5,6,0.16560509554140126,0.07006369426751592,0.6305732484076433,0.3503184713375796,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.04958477787632026,-0.008667257921470606,0.1139240506329114,-0.1455696202531645,0.031202128517294203,-0.1433524147383698
yolo26n,640,3,10,0.1032258064516129,0.05161290322580645,0.5935483870967742,0.33548387096774196,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.11196406696610862,-0.045692119232339734,0.1139240506329114,-0.1455696202531645,0.04965291955900367,-0.15818701510820743
yolo26n,640,2,15,0.07792207792207792,0.045454545454545456,0.7207792207792207,0.33766233766233766,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.1372677954956436,0.08153871445010685,0.1139240506329114,-0.1455696202531645,0.05581127733026467,-0.15600854841361173
yolo26n,640,1,30,0.06,0.013333333333333334,0.52,0.19333333333333333,0.21518987341772153,0.10126582278481013,0.6392405063291139,0.4936708860759494,0.15518987341772153,-0.11924050632911387,0.1139240506329114,-0.1455696202531645,0.08793248945147679,-0.3003375527426161
yolo26n,576,30,1,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.0,0.0,0.12025316455696203,-0.03797468354430378,0.0,0.0
yolo26n,576,15,2,0.19745222929936307,0.08917197452229299,0.6305732484076433,0.445859872611465,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.005079416270257181,-0.02132548576957194,0.12025316455696203,-0.03797468354430378,-0.0068934935096347655,-0.16806417802144646
yolo26n,576,10,3,0.17834394904458598,0.08917197452229299,0.5286624203821656,0.445859872611465,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.024187696525034275,-0.12323631379504962,0.12025316455696203,-0.03797468354430378,-0.0068934935096347655,-0.16806417802144646
yolo26n,576,7,4,0.1592356687898089,0.07643312101910828,0.535031847133758,0.40764331210191085,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.04329597677981134,-0.11686688704345727,0.12025316455696203,-0.03797468354430378,0.005845359993549945,-0.2062807385310006
yolo26n,576,5,6,0.1337579617834395,0.06369426751592357,0.6305732484076433,0.3630573248407643,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.06877368378618076,-0.02132548576957194,0.12025316455696203,-0.03797468354430378,0.018584213496734656,-0.25086672579214714
