model,imgsz,fps_level,stride,precision,buf_mode,track_buffer,seq,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,mostly_lost,n_gt_tracks,n_strided_frames
yolo26n,640,30,1,fp32,scaled,30,MOT17-09,0.5794392523364487,0.5822272784730123,34,1.3076923076923077,0.6153846153846154,3,26,525
yolo26n,640,30,1,fp32,scaled,30,MOT17-02,0.3125731928031513,0.4411060309166122,34,0.6415094339622641,0.20754716981132076,31,53,600
yolo26n,640,30,1,fp32,scaled,30,MOT17-04,0.2459255166871751,0.3618947491384849,33,0.4177215189873418,0.08860759493670886,50,79,1050
yolo26n,640,30,1,int8,scaled,30,MOT17-09,0.6696929238985314,0.6709996904982978,35,1.3461538461538463,0.34615384615384615,3,26,525
yolo26n,640,30,1,int8,scaled,30,MOT17-02,0.22995847971893968,0.3813478122005749,13,0.24528301886792453,0.11320754716981132,38,53,600
yolo26n,640,30,1,int8,scaled,30,MOT17-04,0.12149368423696039,0.18450930012956496,30,0.379746835443038,0.012658227848101266,62,79,1050
yolo26n,640,30,1,trt,scaled,30,MOT17-09,0.7041388518024032,0.6069210292812778,36,1.3846153846153846,0.46153846153846156,3,26,525
yolo26n,640,30,1,trt,scaled,30,MOT17-02,0.23049079101458536,0.41050640279394646,18,0.33962264150943394,0.1320754716981132,33,53,600
yolo26n,640,30,1,trt,scaled,30,MOT17-04,0.19647924461967303,0.29919317331607787,32,0.4050632911392405,0.05063291139240506,52,79,1050
yolo26n,640,15,2,fp32,scaled,15,MOT17-09,0.5756929637526653,0.6224151136073526,29,1.1153846153846154,0.5384615384615384,3,26,263
yolo26n,640,15,2,fp32,scaled,15,MOT17-02,0.31026405451448036,0.43787678282605497,22,0.4230769230769231,0.21153846153846154,31,52,300
yolo26n,640,15,2,fp32,scaled,15,MOT17-04,0.23789431384368098,0.36075477619552,25,0.31645569620253167,0.0759493670886076,52,79,525
yolo26n,640,15,2,int8,scaled,15,MOT17-09,0.6481876332622601,0.6469663627790003,31,1.1923076923076923,0.34615384615384615,3,26,263
yolo26n,640,15,2,int8,scaled,15,MOT17-02,0.23083475298126066,0.3619233268356075,12,0.23076923076923078,0.07692307692307693,37,52,300
yolo26n,640,15,2,int8,scaled,15,MOT17-04,0.1184448462929476,0.18187428369919775,24,0.3037974683544304,0.012658227848101266,62,79,525
yolo26n,640,15,2,trt,scaled,15,MOT17-09,0.687633262260128,0.6282127913927077,42,1.6153846153846154,0.46153846153846156,3,26,263
yolo26n,640,15,2,trt,scaled,15,MOT17-02,0.22870528109028965,0.4086432456269293,15,0.28846153846153844,0.1346153846153846,32,52,300
yolo26n,640,15,2,trt,scaled,15,MOT17-04,0.19012457303596542,0.2864231676563898,29,0.3670886075949367,0.05063291139240506,52,79,525
yolo26n,640,10,3,fp32,scaled,10,MOT17-09,0.5749799518845229,0.6047600468201326,37,1.4230769230769231,0.5769230769230769,3,26,175
yolo26n,640,10,3,fp32,scaled,10,MOT17-02,0.3134996801023673,0.42256042972247093,24,0.46153846153846156,0.19230769230769232,31,52,200
yolo26n,640,10,3,fp32,scaled,10,MOT17-04,0.23249679704574577,0.34181258873639375,24,0.3037974683544304,0.0759493670886076,52,79,350
yolo26n,640,10,3,int8,scaled,10,MOT17-09,0.6230954290296712,0.6733620277379244,23,0.8846153846153846,0.3076923076923077,3,26,175
yolo26n,640,10,3,int8,scaled,10,MOT17-02,0.21657069737683943,0.36848544164423785,8,0.15384615384615385,0.09615384615384616,39,52,200
yolo26n,640,10,3,int8,scaled,10,MOT17-04,0.11191498982590997,0.17280830118398297,24,0.3037974683544304,0.012658227848101266,62,79,350
yolo26n,640,10,3,trt,scaled,10,MOT17-09,0.6615878107457899,0.618744313011829,40,1.5384615384615385,0.46153846153846156,3,26,175
yolo26n,640,10,3,trt,scaled,10,MOT17-02,0.2111324376199616,0.3856282079892881,21,0.40384615384615385,0.11538461538461539,33,52,200
yolo26n,640,10,3,trt,scaled,10,MOT17-04,0.18403798326927423,0.28745237802629964,31,0.3924050632911392,0.05063291139240506,53,79,350
yolo26n,640,7,4,fp32,scaled,8,MOT17-09,0.5626326963906582,0.5817028027498677,55,2.1153846153846154,0.5384615384615384,3,26,132
yolo26n,640,7,4,fp32,scaled,8,MOT17-02,0.3083475298126065,0.4746474647464746,17,0.3269230769230769,0.17307692307692307,32,52,150
yolo26n,640,7,4,fp32,scaled,8,MOT17-04,0.2302446851183313,0.34843700663088095,20,0.25316455696202533,0.0759493670886076,54,79,263
yolo26n,640,7,4,int8,scaled,8,MOT17-09,0.5828025477707006,0.6170622193713919,40,1.5384615384615385,0.2692307692307692,4,26,132
yolo26n,640,7,4,int8,scaled,8,MOT17-02,0.22061328790459966,0.36327477626781574,9,0.17307692307692307,0.07692307692307693,39,52,150
yolo26n,640,7,4,int8,scaled,8,MOT17-04,0.11111111111111116,0.16569097037431257,20,0.25316455696202533,0.012658227848101266,63,79,263
yolo26n,640,7,4,trt,scaled,8,MOT17-09,0.6433121019108281,0.6038882138517618,38,1.4615384615384615,0.38461538461538464,3,26,132
yolo26n,640,7,4,trt,scaled,8,MOT17-02,0.20911413969335602,0.359510301582562,16,0.3076923076923077,0.11538461538461539,33,52,150
yolo26n,640,7,4,trt,scaled,8,MOT17-04,0.18020457280385083,0.26771782869343846,28,0.35443037974683544,0.012658227848101266,54,79,263
yolo26n,640,5,6,fp32,scaled,5,MOT17-09,0.4944178628389154,0.5677210056772101,56,2.1538461538461537,0.4230769230769231,4,26,88
yolo26n,640,5,6,fp32,scaled,5,MOT17-02,0.29814459373000635,0.39541284403669724,21,0.40384615384615385,0.19230769230769232,31,52,100
yolo26n,640,5,6,fp32,scaled,5,MOT17-04,0.21803377563329307,0.314703765891101,22,0.27848101265822783,0.06329113924050633,54,79,175
yolo26n,640,5,6,int8,scaled,5,MOT17-09,0.5247208931419458,0.5668662674650699,30,1.1538461538461537,0.2692307692307692,6,26,88
yolo26n,640,5,6,int8,scaled,5,MOT17-02,0.20345489443378117,0.34782608695652173,7,0.1346153846153846,0.07692307692307693,42,52,100
yolo26n,640,5,6,int8,scaled,5,MOT17-04,0.10012062726176119,0.1543026706231454,18,0.22784810126582278,0.0,62,79,175
yolo26n,640,5,6,trt,scaled,5,MOT17-09,0.5869218500797448,0.625,37,1.4230769230769231,0.3076923076923077,4,26,88
yolo26n,640,5,6,trt,scaled,5,MOT17-02,0.19705694177863087,0.3529949702789209,14,0.2692307692307692,0.07692307692307693,36,52,100
yolo26n,640,5,6,trt,scaled,5,MOT17-04,0.1679734620024126,0.2600249066002491,28,0.35443037974683544,0.012658227848101266,54,79,175
yolo26n,640,3,10,fp32,scaled,5,MOT17-09,0.31999999999999995,0.43478260869565216,58,2.32,0.32,4,25,53
yolo26n,640,3,10,fp32,scaled,5,MOT17-02,0.25080385852090037,0.3520900321543408,9,0.17647058823529413,0.11764705882352941,34,51,60
yolo26n,640,3,10,fp32,scaled,5,MOT17-04,0.19844064386317906,0.2946210268948655,25,0.31645569620253167,0.02531645569620253,56,79,105
yolo26n,640,3,10,int8,scaled,5,MOT17-09,0.3573333333333333,0.44165170556552963,34,1.36,0.2,9,25,53
yolo26n,640,3,10,int8,scaled,5,MOT17-02,0.165058949624866,0.23076923076923078,5,0.09803921568627451,0.058823529411764705,41,51,60
yolo26n,640,3,10,int8,scaled,5,MOT17-04,0.09180080482897379,0.14701866181156123,13,0.16455696202531644,0.0,63,79,105
yolo26n,640,3,10,trt,scaled,5,MOT17-09,0.43200000000000005,0.48739495798319327,42,1.68,0.32,5,25,53
yolo26n,640,3,10,trt,scaled,5,MOT17-02,0.16184351554126475,0.2692913385826772,14,0.27450980392156865,0.09803921568627451,37,51,60
yolo26n,640,3,10,trt,scaled,5,MOT17-04,0.15065392354124751,0.22391857506361323,27,0.34177215189873417,0.0,58,79,105
yolo26n,640,2,15,fp32,scaled,5,MOT17-09,0.15102040816326534,0.2791762013729977,65,2.6,0.28,4,25,35
yolo26n,640,2,15,fp32,scaled,5,MOT17-02,0.1773162939297125,0.24,29,0.58,0.06,33,50,40
yolo26n,640,2,15,fp32,scaled,5,MOT17-04,0.18384295960739905,0.2781415653258497,17,0.21518987341772153,0.02531645569620253,57,79,70
yolo26n,640,2,15,fp32,fixed,30,MOT17-09,0.15918367346938778,0.2786516853932584,71,2.84,0.36,3,25,35
yolo26n,640,2,15,fp32,fixed,30,MOT17-02,0.16293929712460065,0.22549019607843138,52,1.04,0.06,31,50,40
yolo26n,640,2,15,fp32,fixed,30,MOT17-04,0.19101547753869386,0.2901425914445133,17,0.21518987341772153,0.02531645569620253,57,79,70
yolo26n,640,2,15,int8,scaled,5,MOT17-09,0.28979591836734697,0.3651685393258427,30,1.2,0.16,11,25,35
yolo26n,640,2,15,int8,scaled,5,MOT17-02,0.15015974440894564,0.17765814266487215,9,0.18,0.06,41,50,40
yolo26n,640,2,15,int8,scaled,5,MOT17-04,0.07587768969422426,0.1253896778662972,13,0.16455696202531644,0.0,66,79,70
yolo26n,640,2,15,int8,fixed,30,MOT17-09,0.27755102040816326,0.2958904109589041,42,1.68,0.2,10,25,35
yolo26n,640,2,15,int8,fixed,30,MOT17-02,0.15175718849840258,0.176,15,0.3,0.06,41,50,40
yolo26n,640,2,15,int8,fixed,30,MOT17-04,0.07550018875047193,0.12404712404712405,13,0.16455696202531644,0.0,66,79,70
yolo26n,640,2,15,trt,scaled,5,MOT17-09,0.3224489795918367,0.3450134770889488,39,1.56,0.24,8,25,35
yolo26n,640,2,15,trt,scaled,5,MOT17-02,0.10702875399361023,0.2121951219512195,15,0.3,0.1,39,50,40
yolo26n,640,2,15,trt,scaled,5,MOT17-04,0.12721781804454513,0.19537609899055683,23,0.2911392405063291,0.0,60,79,70
yolo26n,640,2,15,trt,fixed,30,MOT17-09,0.310204081632653,0.3129973474801061,48,1.92,0.24,6,25,35
yolo26n,640,2,15,trt,fixed,30,MOT17-02,0.09424920127795522,0.19664268585131894,31,0.62,0.08,39,50,40
yolo26n,640,2,15,trt,fixed,30,MOT17-04,0.13137032842582108,0.2134977287475665,23,0.2911392405063291,0.0,60,79,70
yolo26n,640,1,30,fp32,scaled,5,MOT17-09,0.06349206349206349,0.25116279069767444,29,1.3181818181818181,0.22727272727272727,3,22,18
yolo26n,640,1,30,fp32,scaled,5,MOT17-02,0.10223642172523961,0.1483375959079284,30,0.6,0.06,37,50,20
yolo26n,640,1,30,fp32,scaled,5,MOT17-04,0.1338880484114977,0.21688311688311687,19,0.24358974358974358,0.01282051282051282,61,78,35
yolo26n,640,1,30,fp32,fixed,30,MOT17-09,0.05555555555555558,0.24770642201834864,29,1.3181818181818181,0.18181818181818182,3,22,18
yolo26n,640,1,30,fp32,fixed,30,MOT17-02,0.10223642172523961,0.1468354430379747,32,0.64,0.06,36,50,20
yolo26n,640,1,30,fp32,fixed,30,MOT17-04,0.13464447806354007,0.2147477360931436,24,0.3076923076923077,0.02564102564102564,61,78,35
yolo26n,640,1,30,int8,scaled,5,MOT17-09,0.17460317460317465,0.24561403508771928,15,0.6818181818181818,0.09090909090909091,10,22,18
yolo26n,640,1,30,int8,scaled,5,MOT17-02,0.08626198083067094,0.11204481792717087,11,0.22,0.0,43,50,20
yolo26n,640,1,30,int8,scaled,5,MOT17-04,0.0340393343419062,0.06676342525399129,3,0.038461538461538464,0.0,73,78,35
yolo26n,640,1,30,int8,fixed,30,MOT17-09,0.19047619047619047,0.24,17,0.7727272727272727,0.13636363636363635,9,22,18
yolo26n,640,1,30,int8,fixed,30,MOT17-02,0.09584664536741216,0.1111111111111111,11,0.22,0.0,43,50,20
yolo26n,640,1,30,int8,fixed,30,MOT17-04,0.036308623298033305,0.0694645441389291,4,0.05128205128205128,0.0,73,78,35
yolo26n,640,1,30,trt,scaled,5,MOT17-09,0.2063492063492064,0.23333333333333334,24,1.0909090909090908,0.18181818181818182,5,22,18
yolo26n,640,1,30,trt,scaled,5,MOT17-02,0.022364217252396124,0.11917098445595854,22,0.44,0.04,41,50,20
yolo26n,640,1,30,trt,scaled,5,MOT17-04,0.08245083207261727,0.1394395078605605,12,0.15384615384615385,0.0,67,78,35
yolo26n,640,1,30,trt,fixed,30,MOT17-09,0.2063492063492064,0.23076923076923078,26,1.1818181818181819,0.18181818181818182,5,22,18
yolo26n,640,1,30,trt,fixed,30,MOT17-02,0.028753993610223683,0.11794871794871795,24,0.48,0.06,40,50,20
yolo26n,640,1,30,trt,fixed,30,MOT17-04,0.0885022692889561,0.1523809523809524,11,0.14102564102564102,0.0,66,78,35
yolo26n,576,30,1,fp32,scaled,30,MOT17-09,0.6034712950600801,0.6165533786485405,42,1.6153846153846154,0.6153846153846154,3,26,525
yolo26n,576,30,1,fp32,scaled,30,MOT17-02,0.2884062599808368,0.43174976136280196,23,0.4339622641509434,0.18867924528301888,33,53,600
yolo26n,576,30,1,fp32,scaled,30,MOT17-04,0.20672509479922652,0.29439916698372015,38,0.4810126582278481,0.0759493670886076,55,79,1050
yolo26n,576,30,1,int8,scaled,30,MOT17-09,0.6267022696929239,0.6565656565656566,36,1.3846153846153846,0.3076923076923077,4,26,525
yolo26n,576,30,1,int8,scaled,30,MOT17-02,0.24912168636218457,0.37771891805120794,12,0.22641509433962265,0.07547169811320754,37,53,600
yolo26n,576,30,1,int8,scaled,30,MOT17-04,0.11740036664071718,0.1728541078038417,49,0.620253164556962,0.012658227848101266,64,79,1050
yolo26n,576,30,1,trt,scaled,30,MOT17-09,0.6918558077436583,0.6519453207150369,29,1.1153846153846154,0.5,3,26,525
yolo26n,576,30,1,trt,scaled,30,MOT17-02,0.22112211221122113,0.38915518274415817,14,0.2641509433962264,0.11320754716981132,35,53,600
yolo26n,576,30,1,trt,scaled,30,MOT17-04,0.1676753471786243,0.2302634316867119,36,0.45569620253164556,0.0379746835443038,59,79,1050
yolo26n,576,15,2,fp32,scaled,15,MOT17-09,0.6050106609808102,0.5890633459664321,47,1.8076923076923077,0.5769230769230769,3,26,263
yolo26n,576,15,2,fp32,scaled,15,MOT17-02,0.28556218057921634,0.42946058091286304,23,0.4423076923076923,0.19230769230769232,32,52,300
yolo26n,576,15,2,fp32,scaled,15,MOT17-04,0.20162748643761297,0.297294027503327,29,0.3670886075949367,0.0759493670886076,55,79,525
yolo26n,576,15,2,int8,scaled,15,MOT17-09,0.6023454157782516,0.6109510086455331,35,1.3461538461538463,0.3076923076923077,4,26,263
yolo26n,576,15,2,int8,scaled,15,MOT17-02,0.24190800681431002,0.3472721332897746,12,0.23076923076923078,0.09615384615384616,38,52,300
yolo26n,576,15,2,int8,scaled,15,MOT17-04,0.11477797870202933,0.16729703579910282,23,0.2911392405063291,0.012658227848101266,64,79,525
